Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,14.4,15.4,14.2,14.95,14.95,64049726.0,9581.14
2018-03-12,14.3,14.75,13.95,14.55,14.6,50770866.0,7324.94
2018-03-09,14.65,14.9,13.8,14.0,13.95,58639925.0,8352.75
2018-03-08,15.0,15.25,13.7,14.65,14.6,94099112.0,13592.92
2018-03-07,16.0,16.05,13.05,14.85,14.75,118235276.0,17511.75
2018-03-06,17.25,17.5,15.6,15.85,16.1,66531776.0,11119.84
2018-03-05,17.45,17.8,16.8,16.9,17.0,58603569.0,10082.56
2018-03-01,17.8,18.15,17.3,17.4,17.45,31165412.0,5521.78
2018-02-28,18.0,18.65,17.55,17.7,17.7,46228999.0,8326.04
2018-02-27,18.4,18.6,17.85,18.2,18.35,53328819.0,9733.52
2018-02-26,20.1,20.15,18.1,18.35,18.25,114735851.0,21751.74
2018-02-23,16.45,20.0,16.3,19.9,19.15,185260648.0,33530.52
2018-02-22,16.45,16.7,16.15,16.3,16.35,31308915.0,5158.89
2018-02-21,16.9,17.1,16.55,16.7,16.65,23753531.0,3992.61
2018-02-20,16.75,17.1,16.6,16.75,16.75,30042198.0,5052.05
2018-02-19,17.3,17.55,16.4,16.75,16.75,38097378.0,6424.42
2018-02-16,17.25,17.7,17.1,17.4,17.35,29986556.0,5206.24
2018-02-15,17.9,17.9,16.65,17.15,17.0,35751698.0,6185.49
2018-02-14,17.75,18.15,17.25,17.4,17.4,33597417.0,5950.54
2018-02-12,17.6,18.25,17.6,17.8,17.85,41190709.0,7385.58
2018-02-09,17.0,17.85,16.9,17.45,17.5,50821831.0,8861.25
2018-02-08,17.9,17.95,17.1,17.65,17.75,76130457.0,13356.36
2018-02-07,18.1,18.45,17.45,17.65,17.75,59373335.0,10689.6
2018-02-06,17.3,18.1,16.65,17.55,17.6,74742676.0,13120.54
2018-02-05,16.9,19.35,16.9,19.35,19.05,67254823.0,12342.56
2018-02-02,19.9,20.15,16.55,18.05,17.95,83206059.0,15378.78
2018-02-01,20.5,20.9,19.2,20.55,20.4,41667901.0,8447.26
2018-01-31,20.45,20.9,19.9,20.25,20.3,42105203.0,8586.2
2018-01-30,20.2,20.95,19.65,20.5,20.35,48691774.0,9889.26
2018-01-29,22.4,22.4,20.1,20.2,20.25,55755693.0,11757.95
2018-01-25,21.55,22.6,21.25,22.05,22.0,69532837.0,15285.28
2018-01-24,22.15,22.15,21.3,21.6,21.6,37387763.0,8068.57
2018-01-23,22.1,22.65,21.6,22.15,22.1,52899443.0,11697.82
2018-01-22,23.5,24.55,21.6,21.8,21.95,230608204.0,52429.77
2018-01-19,21.2,21.95,20.35,21.85,21.7,98659778.0,20987.32
2018-01-18,23.0,23.9,20.3,20.65,20.85,94996332.0,21118.46
2018-01-17,21.6,23.0,19.65,22.75,22.8,94244334.0,20704.68
2018-01-16,23.25,23.35,21.05,21.45,21.4,63848493.0,14210.32
2018-01-15,23.15,23.7,22.85,23.05,23.0,44302131.0,10325.98
2018-01-12,23.5,24.0,22.75,22.85,22.95,42705514.0,9978.96
2018-01-11,24.0,24.2,23.4,23.4,23.5,31926971.0,7564.12
2018-01-10,23.45,25.0,23.3,24.05,24.05,89703373.0,21680.91
2018-01-09,22.85,24.2,22.85,23.3,23.6,77878459.0,18450.76
2018-01-08,26.0,26.9,25.2,25.5,25.35,69122045.0,17718.78
2018-01-05,24.6,25.6,24.25,25.05,25.1,67847289.0,16968.49
2018-01-04,25.25,25.3,24.2,24.35,24.4,59894875.0,14781.98
2018-01-03,23.95,25.5,23.75,24.3,24.25,98155395.0,24216.79
2018-01-02,25.55,25.95,22.6,23.65,23.9,113272899.0,27259.03
2018-01-01,26.4,27.25,24.7,24.95,25.1,140366939.0,36340.71
2017-12-29,23.4,27.3,23.3,26.15,26.0,293435834.0,75193.3
2017-12-28,21.5,23.9,21.25,23.15,23.2,181042192.0,41750.87
2017-12-27,20.1,21.75,19.85,21.3,21.35,110978355.0,23307.76
2017-12-26,18.45,20.4,18.45,19.8,19.8,89057507.0,17591.11
2017-12-22,18.65,18.85,18.25,18.3,18.35,22315310.0,4143.0
2017-12-21,17.45,19.2,17.35,18.45,18.55,85492453.0,15792.25
2017-12-20,16.9,17.9,16.75,17.35,17.55,49056095.0,8424.32
2017-12-19,17.3,17.3,16.95,17.1,17.1,23455188.0,4010.18
2017-12-18,17.3,17.4,16.7,17.1,17.05,40328524.0,6911.58
2017-12-15,17.75,18.0,17.35,17.45,17.55,36819322.0,6496.13
2017-12-14,18.3,18.4,17.35,17.6,17.6,40517749.0,7233.14
2017-12-13,18.15,18.5,17.65,18.2,18.05,62901546.0,11396.52
2017-12-12,17.55,18.45,17.4,17.95,17.95,67023349.0,12046.25
2017-12-11,18.05,18.2,17.4,17.45,17.55,34304920.0,6079.23
2017-12-08,17.25,18.3,17.25,17.9,18.0,133012090.0,23779.66
2017-12-07,16.65,17.05,16.55,16.85,16.95,40470527.0,6810.73
2017-12-06,17.0,17.1,16.45,16.6,16.55,38354308.0,6427.73
2017-12-05,17.3,17.3,16.85,17.15,17.05,28035887.0,4770.68
2017-12-04,17.95,18.05,17.0,17.3,17.25,36416410.0,6340.49
2017-12-01,18.35,18.55,17.55,17.7,17.7,46036123.0,8317.76
2017-11-30,18.45,18.55,17.95,18.25,18.1,44008377.0,8004.55
2017-11-29,18.95,19.0,18.25,18.5,18.5,19612771.0,3652.42
2017-11-28,19.0,19.1,18.5,18.6,18.65,17995758.0,3380.01
2017-11-27,19.0,19.15,18.7,18.9,18.9,18119113.0,3425.32
2017-11-24,18.85,19.1,18.55,19.0,18.9,33305424.0,6263.38
2017-11-23,18.65,19.8,18.55,18.8,18.75,66659401.0,12731.76
2017-11-22,18.8,20.15,17.8,19.05,19.25,134425463.0,25892.47
2017-11-21,18.7,18.9,18.5,18.65,18.75,23168095.0,4334.83
2017-11-20,18.8,19.2,18.3,18.7,18.75,44523567.0,8365.73
2017-11-17,18.8,19.2,18.45,18.7,18.65,38284489.0,7196.79
2017-11-16,18.5,19.05,18.2,18.55,18.7,61557326.0,11494.68
2017-11-15,20.05,20.65,17.8,18.4,18.4,92869324.0,17941.44
2017-11-14,20.8,20.8,18.2,19.8,19.75,144646220.0,28358.8
2017-11-13,19.45,21.55,19.15,21.2,21.3,252856064.0,52726.93
2017-11-10,17.15,18.55,16.85,18.4,18.3,118064472.0,21282.42
2017-11-09,17.05,17.35,16.35,17.25,17.15,66763228.0,11290.0
2017-11-08,17.6,17.95,16.75,16.95,16.9,67671204.0,11723.39
2017-11-07,18.0,18.3,17.4,17.6,17.55,60859455.0,10823.2
2017-11-06,18.25,18.3,17.8,18.0,17.9,48355860.0,8720.76
2017-11-03,18.0,18.5,17.1,18.25,18.3,83836055.0,15086.67
2017-11-02,18.45,18.6,17.6,17.9,17.85,57695392.0,10394.69
2017-11-01,18.55,18.8,18.25,18.4,18.3,34793791.0,6443.65
2017-10-31,18.5,18.8,18.1,18.5,18.5,46565497.0,8569.84
2017-10-30,18.5,18.95,18.35,18.55,18.5,46914002.0,8743.99
2017-10-27,18.5,18.8,18.2,18.4,18.3,62207867.0,11482.18
2017-10-26,18.6,18.9,17.25,18.2,18.2,129643621.0,23794.02
2017-10-25,19.0,20.4,18.6,20.2,20.2,107044223.0,21046.21
2017-10-24,19.4,19.6,18.6,18.85,18.8,56502326.0,10791.32
2017-10-23,18.8,19.1,18.55,18.9,18.8,42650983.0,8045.25
2017-10-19,19.0,19.2,18.45,18.6,18.8,14516160.0,2744.34
2017-10-18,19.4,19.4,18.8,19.0,18.9,44099851.0,8418.36
2017-10-17,19.4,19.85,19.25,19.3,19.35,59577555.0,11610.53
2017-10-16,19.5,19.85,19.05,19.1,19.2,78536841.0,15235.55
2017-10-13,19.15,20.25,18.8,19.75,19.75,140193419.0,27596.01
2017-10-12,18.95,19.4,18.4,19.15,19.2,85930821.0,16232.77
2017-10-11,19.35,19.5,18.25,18.6,18.55,75671661.0,14301.78
2017-10-10,18.8,19.45,18.3,19.2,19.25,91898646.0,17345.66
2017-10-09,20.3,20.65,18.2,18.65,18.6,193921425.0,37396.97
2017-10-06,19.25,20.1,19.05,19.9,19.9,98247467.0,19375.96
2017-10-05,19.15,19.55,18.85,19.15,19.1,97968179.0,18789.65
2017-10-04,18.45,19.3,17.65,19.25,18.9,114892815.0,21051.59
2017-10-03,18.65,19.0,17.95,18.2,18.2,81692925.0,15036.55
2017-09-29,17.05,18.45,16.95,18.15,17.95,144106746.0,25582.4
2017-09-28,15.65,16.9,15.2,16.9,16.6,150058977.0,24200.16
2017-09-27,16.45,17.0,15.4,15.65,15.55,103184796.0,16679.69
2017-09-26,17.2,17.7,16.25,16.3,16.45,132119212.0,22371.02
2017-09-25,18.4,18.55,16.65,17.2,17.05,125847244.0,21821.13
2017-09-22,19.05,19.1,17.9,18.2,18.15,87730460.0,16290.94
2017-09-21,18.5,19.5,18.1,19.4,19.3,114981942.0,21695.36
2017-09-20,18.1,18.8,17.7,18.5,18.55,106581526.0,19627.46
2017-09-19,18.45,18.75,15.9,18.0,17.65,261455885.0,45639.85
2017-09-18,20.35,20.75,18.2,18.45,18.55,109213595.0,20971.53
2017-09-15,21.0,21.0,20.1,20.1,20.3,77375837.0,15868.36
2017-09-14,21.65,21.95,21.1,21.25,21.25,54426378.0,11683.36
2017-09-13,21.4,22.5,21.25,21.5,21.5,93662569.0,20387.4
2017-09-12,21.65,22.15,20.4,21.6,21.9,123355020.0,26280.78
2017-09-11,23.7,23.85,21.05,21.95,21.85,119696252.0,26663.32
2017-09-08,23.6,24.15,23.15,23.3,23.35,61604905.0,14503.6
2017-09-07,24.0,24.3,23.45,23.5,23.85,69885012.0,16704.14
2017-09-06,23.5,23.9,23.25,23.75,23.65,63139155.0,14916.94
2017-09-05,24.0,24.4,23.4,23.95,24.0,88457104.0,21162.05
2017-09-04,24.35,24.4,22.8,23.8,23.85,127045004.0,29963.84
2017-09-01,23.9,24.95,23.9,24.55,24.6,114025346.0,28024.16
2017-08-31,24.0,24.2,23.0,23.8,23.9,107132291.0,25274.91
2017-08-30,21.85,24.1,21.85,23.9,23.9,189259365.0,43915.29
2017-08-29,23.1,23.3,20.55,21.45,21.25,121719305.0,26832.23
2017-08-28,23.65,24.4,23.2,23.4,23.5,71555196.0,17098.2
2017-08-24,21.85,23.6,21.6,23.45,23.35,116202079.0,26428.75
2017-08-23,21.4,22.05,20.45,21.85,21.5,71932896.0,15144.85
2017-08-22,22.0,22.5,20.8,21.1,21.0,90314893.0,19518.78
2017-08-21,22.95,23.35,21.55,21.8,21.85,66434486.0,15015.32
2017-08-18,22.8,23.7,22.4,22.75,22.8,64390904.0,14850.61
2017-08-17,24.0,24.4,23.3,23.45,23.5,79255653.0,18956.02
2017-08-16,23.4,24.4,22.45,23.95,23.9,134175944.0,31693.71
2017-08-14,21.0,23.7,21.0,23.0,22.95,132906262.0,30133.92
2017-08-11,21.0,22.2,19.0,21.55,21.25,216123157.0,45349.46
2017-08-10,25.4,25.85,22.4,23.9,23.3,124038759.0,30440.48
2017-08-09,25.7,26.1,23.7,25.55,25.6,142549932.0,35803.22
2017-08-08,29.1,29.4,25.85,26.3,26.2,160897238.0,43415.49
2017-08-07,27.5,30.15,27.0,28.85,28.95,155900716.0,45076.42
2017-08-04,24.95,25.9,24.3,25.25,25.35,109200230.0,27683.17
2017-08-03,25.8,26.25,24.15,24.85,25.0,204551255.0,51485.68
2017-08-02,28.1,28.4,25.45,25.75,25.95,177235350.0,47477.87
2017-08-01,29.8,29.8,28.25,28.3,28.45,93706856.0,27050.12
2017-07-31,29.7,30.2,29.1,29.35,29.4,83972263.0,24829.72
2017-07-28,28.9,30.45,28.2,29.5,29.55,159401755.0,47225.43
2017-07-27,29.25,29.8,27.7,28.9,28.75,149388988.0,42655.9
2017-07-26,27.3,29.85,27.3,29.05,28.95,334236860.0,96890.39
