Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,6.2,7.25,6.05,6.8,6.8,22411735.0,1556.71
2018-03-12,5.2,6.15,5.15,6.15,6.15,13445481.0,800.58
2018-03-09,5.25,5.25,5.05,5.25,5.15,2273457.0,117.09
2018-03-08,5.2,5.25,4.9,5.25,5.2,2883456.0,147.52
2018-03-07,5.65,5.65,4.75,5.1,5.05,6457557.0,334.69
2018-03-06,5.95,5.95,5.5,5.6,5.6,2217570.0,127.58
2018-03-05,6.1,6.1,5.8,5.85,5.85,1715517.0,101.5
2018-03-01,6.05,6.2,6.0,6.05,6.05,783153.0,47.54
2018-02-28,6.1,6.15,6.0,6.05,6.05,1345965.0,81.61
2018-02-27,6.25,6.3,6.05,6.15,6.1,1419952.0,87.35
2018-02-26,6.45,6.5,6.15,6.2,6.2,2748971.0,173.45
2018-02-23,6.0,6.4,5.95,6.4,6.3,6530292.0,407.23
2018-02-22,5.95,6.0,5.85,5.85,5.9,934258.0,55.3
2018-02-21,6.1,6.1,5.9,5.95,5.95,1245023.0,74.23
2018-02-20,6.0,6.05,5.85,6.0,6.0,1081161.0,64.38
2018-02-19,6.15,6.2,5.9,5.95,5.95,1774583.0,106.61
2018-02-16,6.25,6.3,6.1,6.2,6.15,1702434.0,105.01
2018-02-15,6.55,6.55,6.15,6.25,6.2,3020228.0,189.74
2018-02-14,6.5,6.6,6.4,6.4,6.45,1653399.0,107.63
2018-02-12,6.5,6.6,6.45,6.5,6.5,1838187.0,119.58
2018-02-09,6.4,6.5,6.2,6.45,6.45,1853790.0,118.12
2018-02-08,6.5,6.55,6.4,6.4,6.45,2684526.0,173.84
2018-02-07,6.3,6.5,6.3,6.35,6.35,2766301.0,176.66
2018-02-06,6.15,6.35,5.9,6.15,6.15,3911210.0,238.54
2018-02-05,6.25,6.6,5.25,6.6,6.5,4222954.0,263.04
2018-02-02,6.9,6.9,6.15,6.45,6.4,5335369.0,348.75
2018-02-01,7.0,7.15,6.8,6.95,6.9,2942935.0,205.11
2018-01-31,7.15,7.15,6.95,7.05,7.0,1698388.0,119.65
2018-01-30,7.05,7.15,6.85,7.1,7.05,3388406.0,237.47
2018-01-29,7.15,7.2,7.05,7.1,7.05,1918911.0,136.56
2018-01-25,7.25,7.25,7.0,7.1,7.1,3922113.0,279.59
2018-01-24,7.4,7.45,7.15,7.25,7.15,4167869.0,302.29
2018-01-23,7.55,7.6,7.4,7.45,7.45,2659374.0,199.06
2018-01-22,7.6,7.8,7.4,7.4,7.45,3720307.0,282.3
2018-01-19,7.55,7.7,7.35,7.5,7.45,3317244.0,249.08
2018-01-18,7.95,8.05,7.5,7.55,7.55,5966676.0,462.56
2018-01-17,7.75,8.05,7.5,7.95,7.9,7135593.0,554.98
2018-01-16,8.05,8.05,7.6,7.85,7.75,5556120.0,431.67
2018-01-15,8.1,8.15,7.85,8.05,7.95,7870794.0,630.69
2018-01-12,7.8,7.9,7.65,7.8,7.75,5729283.0,444.99
2018-01-11,8.05,8.1,7.7,7.75,7.75,8211071.0,639.78
2018-01-10,8.2,8.35,7.95,8.05,8.05,9833679.0,798.93
2018-01-09,8.3,8.3,8.0,8.15,8.15,9769171.0,796.29
2018-01-08,8.45,8.7,8.35,8.45,8.4,10524397.0,898.2
2018-01-05,8.2,8.45,8.1,8.3,8.25,9119559.0,752.5
2018-01-04,8.65,8.8,8.05,8.25,8.15,11506197.0,964.04
2018-01-03,8.6,8.9,8.4,8.6,8.5,14414955.0,1247.14
2018-01-02,9.4,9.5,8.3,8.5,8.5,27508862.0,2418.04
2018-01-01,9.9,10.2,8.55,9.3,9.2,62722618.0,5933.53
2017-12-29,8.45,9.45,8.3,9.45,9.45,60854068.0,5569.97
2017-12-28,7.4,8.25,7.3,7.95,7.9,30739646.0,2404.08
2017-12-27,7.2,7.55,7.1,7.3,7.25,15043858.0,1102.95
2017-12-26,7.0,7.4,6.95,7.25,7.15,13344646.0,953.53
2017-12-22,7.15,7.25,6.9,6.95,6.95,4820003.0,338.54
2017-12-21,6.9,7.35,6.9,7.15,7.15,6150617.0,439.29
2017-12-20,6.95,7.0,6.85,6.95,6.95,2376208.0,164.7
2017-12-19,6.85,7.05,6.85,6.9,6.9,2123785.0,147.02
2017-12-18,6.7,7.1,6.5,6.85,6.85,5757992.0,396.34
2017-12-15,6.75,7.1,6.6,6.65,6.7,6139349.0,419.86
2017-12-14,6.95,7.0,6.6,6.7,6.7,5049217.0,340.65
2017-12-13,7.2,7.3,6.9,7.0,6.95,3079019.0,218.2
2017-12-12,7.3,7.4,7.1,7.15,7.25,5547025.0,400.51
2017-12-11,7.5,7.6,7.1,7.25,7.3,4674246.0,341.57
2017-12-08,6.8,7.4,6.8,7.15,7.2,4358033.0,312.83
2017-12-07,6.85,6.9,6.75,6.85,6.85,1712388.0,116.39
2017-12-06,6.8,6.9,6.75,6.8,6.8,1568908.0,106.74
2017-12-05,6.7,6.9,6.45,6.9,6.85,2767659.0,185.56
2017-12-04,6.95,6.95,6.55,6.7,6.7,2471471.0,167.28
2017-12-01,7.1,7.1,6.75,6.95,6.85,2732682.0,189.18
2017-11-30,7.05,7.1,6.95,7.0,7.0,1646641.0,115.47
2017-11-29,7.1,7.25,6.9,7.1,7.0,4004526.0,281.77
2017-11-28,7.1,7.15,6.95,7.1,7.05,3188617.0,224.56
2017-11-27,7.1,7.2,6.95,7.0,7.05,3897248.0,276.88
2017-11-24,7.15,7.25,7.1,7.15,7.15,1106821.0,79.04
2017-11-23,7.35,7.35,7.1,7.15,7.15,3142374.0,226.17
2017-11-22,7.15,7.4,7.1,7.35,7.25,6333493.0,459.3
2017-11-21,7.3,7.3,7.1,7.1,7.1,1816461.0,130.06
2017-11-20,7.3,7.3,7.05,7.25,7.2,1798265.0,128.96
2017-11-17,7.4,7.4,7.15,7.25,7.2,2133062.0,154.77
2017-11-16,7.3,7.45,7.1,7.4,7.25,3695485.0,268.52
