Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,84.5,89.75,83.0,87.3,87.65,516148.0,451.51
2018-03-12,86.7,87.7,83.1,85.1,85.3,232163.0,198.09
2018-03-09,88.7,89.55,84.65,85.0,85.55,263125.0,228.34
2018-03-08,90.0,91.5,85.15,88.3,88.45,588970.0,522.93
2018-03-07,94.55,94.55,88.15,88.95,89.35,582471.0,527.28
2018-03-06,97.2,99.6,94.15,94.6,94.75,293422.0,281.93
2018-03-05,100.5,100.5,95.1,95.7,96.1,452725.0,438.05
2018-03-01,101.95,103.0,99.6,100.5,100.2,368056.0,370.77
2018-02-28,102.5,103.5,100.5,101.6,101.1,440990.0,448.13
2018-02-27,105.8,106.55,102.5,102.95,103.0,518056.0,539.59
2018-02-26,105.0,106.4,104.0,105.6,105.25,422225.0,444.34
2018-02-23,100.9,104.4,100.45,101.9,101.95,791718.0,805.05
2018-02-22,100.65,101.25,97.95,100.0,100.4,469458.0,471.03
2018-02-21,103.65,104.45,100.65,101.0,100.95,384131.0,392.12
2018-02-20,103.8,105.0,101.35,102.5,102.75,446830.0,462.6
2018-02-19,109.0,109.75,102.6,103.0,104.0,548299.0,577.12
2018-02-16,114.85,117.85,106.5,109.25,108.55,537089.0,600.53
2018-02-15,123.9,124.8,112.5,114.1,114.15,807785.0,957.24
2018-02-14,116.8,124.0,116.75,121.0,122.4,2326687.0,2800.6
2018-02-12,105.8,119.5,105.0,114.1,114.2,1124819.0,1273.27
2018-02-09,103.25,105.0,100.2,105.0,103.9,481822.0,497.4
2018-02-08,101.0,105.5,100.0,104.75,104.6,477869.0,491.31
2018-02-07,101.2,105.0,99.7,99.95,100.35,274313.0,280.12
2018-02-06,97.3,105.7,91.0,100.0,100.0,459216.0,457.83
2018-02-05,99.7,102.8,95.2,100.8,101.3,697119.0,699.17
2018-02-02,109.8,109.8,100.05,101.7,102.2,404319.0,418.44
2018-02-01,112.15,112.95,107.5,109.9,109.35,201391.0,221.33
2018-01-31,112.05,114.8,110.5,111.8,112.1,179174.0,201.86
2018-01-30,113.0,114.7,109.7,112.05,112.05,323428.0,364.0
2018-01-29,116.5,116.65,113.8,114.15,114.25,128182.0,147.39
2018-01-25,119.05,119.9,114.35,115.5,115.2,306499.0,357.89
2018-01-24,121.5,121.9,116.1,118.75,118.6,365754.0,435.81
2018-01-23,116.5,122.3,115.9,121.2,120.95,666049.0,793.92
2018-01-22,115.2,119.9,114.05,115.95,115.9,426911.0,496.84
2018-01-19,115.15,117.45,113.15,114.0,114.0,325495.0,374.04
2018-01-18,117.8,123.3,112.7,114.75,114.1,689322.0,814.55
2018-01-17,114.65,118.8,112.0,118.8,116.6,500662.0,575.88
2018-01-16,123.0,123.3,113.15,118.0,116.8,713015.0,839.77
2018-01-15,122.2,125.9,121.05,121.8,122.05,369302.0,457.23
2018-01-12,126.2,127.75,121.25,122.25,122.25,384930.0,476.53
2018-01-11,124.0,128.8,123.0,124.7,125.15,634765.0,799.93
2018-01-10,124.0,126.25,122.1,123.6,123.5,423368.0,524.78
2018-01-09,127.2,128.45,122.15,123.25,123.55,616707.0,771.92
2018-01-08,122.5,132.75,121.6,126.4,126.05,2047974.0,2618.28
2018-01-05,124.15,126.75,119.25,121.5,121.55,1323438.0,1631.8
2018-01-04,107.7,124.9,107.5,123.7,123.0,3537849.0,4211.26
2018-01-03,107.85,109.9,106.65,107.0,107.0,370428.0,399.95
2018-01-02,106.0,109.0,105.0,107.0,106.95,322736.0,345.9
2018-01-01,104.5,109.0,104.5,105.75,105.75,241789.0,258.39
2017-12-29,105.8,107.1,103.5,104.0,104.3,278743.0,293.37
2017-12-28,109.0,110.25,105.0,105.5,105.5,377304.0,401.7
2017-12-27,111.0,112.05,107.35,108.0,108.3,172874.0,189.41
2017-12-26,109.45,111.5,108.85,110.0,109.65,271812.0,298.53
2017-12-22,106.95,115.8,106.9,108.1,108.0,812322.0,898.98
2017-12-21,103.75,108.0,102.9,105.8,105.9,860738.0,912.09
2017-12-20,102.0,104.4,101.0,103.6,103.65,175683.0,180.54
