Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,169.5,183.9,168.1,183.9,181.65,612414.0,1091.81
2018-03-12,164.8,173.45,164.05,171.0,171.5,733335.0,1236.58
2018-03-09,169.0,171.5,161.1,161.6,162.4,591238.0,983.22
2018-03-08,170.9,177.4,165.15,169.0,168.9,1490475.0,2547.82
2018-03-07,179.7,179.7,168.15,169.0,169.15,502340.0,870.51
2018-03-06,186.2,186.9,179.0,180.0,180.25,264959.0,484.72
2018-03-05,192.5,192.5,181.25,182.65,182.9,451486.0,835.18
2018-03-01,185.95,196.2,185.9,193.85,194.25,556061.0,1074.1
2018-02-28,188.95,188.95,184.35,185.95,185.85,162733.0,303.41
2018-02-27,193.2,195.0,187.0,190.5,189.1,262643.0,500.0
2018-02-26,185.05,196.4,185.05,193.0,193.15,703287.0,1355.36
2018-02-23,179.95,186.7,177.4,183.2,183.05,756059.0,1364.44
2018-02-22,182.7,182.7,177.0,179.0,178.95,569859.0,1023.25
2018-02-21,192.1,192.35,183.6,184.0,184.5,316456.0,590.03
2018-02-20,194.9,195.5,185.5,190.0,190.65,417212.0,796.73
2018-02-19,204.25,204.25,192.1,194.0,194.0,524642.0,1029.97
2018-02-16,209.0,213.25,198.6,203.5,201.55,390778.0,802.4
2018-02-15,218.25,218.25,205.85,206.0,207.05,322048.0,679.54
2018-02-14,214.7,225.0,213.1,214.5,215.85,1043134.0,2272.23
2018-02-12,198.0,212.4,198.0,210.0,210.0,1294188.0,2694.79
2018-02-09,184.15,198.9,184.15,196.3,195.3,523334.0,1011.82
2018-02-08,183.55,193.75,183.55,190.0,191.5,618415.0,1174.65
2018-02-07,183.5,192.0,181.35,181.7,182.7,475548.0,886.31
2018-02-06,175.0,184.85,174.8,179.4,181.45,556453.0,1002.04
2018-02-05,175.5,190.0,171.95,190.0,187.15,574880.0,1053.85
2018-02-02,189.0,189.8,177.2,177.6,179.4,861300.0,1576.96
2018-02-01,199.9,202.0,190.65,194.2,193.0,257994.0,502.93
2018-01-31,201.85,203.95,195.6,198.5,198.35,377469.0,754.82
2018-01-30,197.5,205.0,195.0,201.85,201.8,387169.0,781.7
2018-01-29,205.3,206.3,198.1,198.6,198.8,215632.0,434.18
2018-01-25,204.65,208.8,198.0,204.0,203.5,541076.0,1098.46
2018-01-24,204.8,209.8,203.6,204.5,204.35,774931.0,1595.45
2018-01-23,204.65,208.1,202.1,204.5,204.4,1130992.0,2312.4
2018-01-22,209.7,210.45,202.2,203.0,202.95,561108.0,1148.69
2018-01-19,206.5,210.55,201.55,210.0,208.6,384484.0,797.29
2018-01-18,213.05,217.65,204.0,205.65,205.4,368111.0,778.38
2018-01-17,214.2,217.0,205.2,212.7,211.65,459190.0,968.32
2018-01-16,225.85,225.95,214.55,215.0,215.55,428185.0,937.62
2018-01-15,230.5,231.65,224.1,224.35,224.75,401359.0,911.81
