Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,426.0,447.7,425.0,439.4,439.65,2444900.0,10738.76
2018-03-12,426.5,431.8,421.0,428.25,428.55,1246822.0,5311.29
2018-03-09,441.8,442.0,417.1,421.0,421.95,1764723.0,7582.23
2018-03-08,429.85,440.5,417.3,435.25,436.9,1677117.0,7203.63
2018-03-07,440.0,444.0,418.8,424.9,425.15,1937056.0,8277.79
2018-03-06,439.7,451.35,435.7,440.0,439.05,1327433.0,5895.09
2018-03-05,444.55,447.95,426.85,436.35,435.35,1476092.0,6428.61
2018-03-01,451.0,456.5,445.15,448.0,448.6,1405596.0,6333.66
2018-02-28,446.95,458.6,439.0,450.9,451.9,1496086.0,6724.25
2018-02-27,465.4,467.45,446.2,449.0,449.25,1887012.0,8548.1
2018-02-26,466.0,472.95,458.25,461.4,461.95,1549603.0,7213.92
2018-02-23,457.0,468.0,453.1,462.15,464.2,2280251.0,10528.25
2018-02-22,433.0,454.0,433.0,452.0,451.9,2622084.0,11710.27
2018-02-21,442.0,447.0,435.05,441.3,441.3,1586254.0,6987.28
2018-02-20,451.0,452.35,428.25,438.85,439.1,3317017.0,14522.72
2018-02-19,467.0,469.75,448.0,451.0,450.75,1890642.0,8615.43
2018-02-16,477.0,479.45,455.55,465.0,464.9,2465281.0,11483.46
2018-02-15,473.8,481.75,460.6,470.35,470.05,2918970.0,13757.6
2018-02-14,476.0,482.85,461.1,464.9,464.9,3157741.0,14983.98
2018-02-12,456.65,479.15,456.0,471.6,474.1,3889244.0,18286.99
2018-02-09,440.0,454.55,432.85,449.1,449.05,3463897.0,15452.89
2018-02-08,440.6,468.4,433.8,455.7,455.7,6158742.0,27958.14
2018-02-07,433.95,452.95,425.3,433.75,432.05,3935408.0,17111.68
2018-02-06,405.0,439.35,405.0,421.95,421.9,5256229.0,22143.44
2018-02-05,427.6,455.0,413.25,450.05,449.4,5679175.0,24899.78
2018-02-02,496.0,503.9,358.55,448.95,449.15,13147723.0,58813.01
2018-02-01,516.5,532.05,497.45,512.0,512.15,3125221.0,16122.75
2018-01-31,511.0,528.9,507.05,516.5,516.1,5898670.0,30518.23
2018-01-30,557.0,561.55,514.4,517.25,518.7,4988049.0,26481.61
