Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,461.7,464.45,459.8,463.0,462.7,40642.0,188.04
2018-03-12,467.7,472.95,456.6,461.0,459.85,43461.0,201.78
2018-03-09,467.1,478.0,461.75,465.9,465.7,111973.0,526.3
2018-03-08,461.2,469.25,451.05,463.15,463.15,235758.0,1091.9
2018-03-07,469.0,476.5,455.75,462.95,459.5,45613.0,212.56
2018-03-06,480.6,486.0,467.1,469.0,471.45,58155.0,277.42
2018-03-05,493.0,494.0,474.1,475.55,475.85,56542.0,271.6
2018-03-01,505.9,512.35,490.0,491.0,492.75,104192.0,520.79
2018-02-28,481.65,505.0,472.85,504.25,501.3,142162.0,701.76
2018-02-27,483.0,489.95,475.05,481.95,481.65,46551.0,224.47
2018-02-26,464.25,485.0,460.75,483.0,477.65,90641.0,425.9
2018-02-23,453.55,464.9,452.05,462.5,460.65,65498.0,301.58
2018-02-22,454.8,462.55,449.5,452.75,453.55,46935.0,214.6
2018-02-21,452.9,459.9,449.25,455.25,455.15,38063.0,173.17
2018-02-20,461.0,464.95,448.0,452.85,452.9,50985.0,231.49
2018-02-19,470.8,474.95,454.0,456.45,458.3,94291.0,438.22
2018-02-16,482.3,488.0,465.35,469.9,469.65,128536.0,611.15
2018-02-15,483.0,494.0,470.05,474.0,473.65,158551.0,767.76
2018-02-14,478.15,483.65,473.35,474.0,477.2,68869.0,329.66
2018-02-12,476.85,488.45,462.7,475.0,475.0,177616.0,851.22
2018-02-09,460.0,474.95,445.05,474.75,472.6,85697.0,397.46
2018-02-08,453.0,475.0,451.05,461.75,462.7,194010.0,894.71
2018-02-07,436.3,456.0,436.3,447.0,449.55,115629.0,519.76
2018-02-06,411.0,435.0,400.85,435.0,427.75,145267.0,603.62
2018-02-05,425.0,440.0,405.4,435.0,432.0,182767.0,774.46
2018-02-02,459.1,459.1,430.3,430.3,434.0,91321.0,403.63
2018-02-01,449.8,467.7,449.0,459.1,461.5,153272.0,702.83
2018-01-31,466.0,466.0,434.85,449.0,443.9,229469.0,1033.32
2018-01-30,463.7,472.8,455.05,462.95,465.6,139359.0,650.69
2018-01-29,480.0,482.5,458.25,464.0,462.0,113615.0,533.64
2018-01-25,490.0,499.0,468.05,472.7,471.7,179212.0,865.77
2018-01-24,508.7,508.7,480.2,490.0,489.35,229997.0,1130.45
2018-01-23,534.0,534.0,502.4,510.0,506.35,1274688.0,6602.15
2018-01-22,470.0,483.5,468.05,481.0,480.3,83497.0,399.84
