Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,390.95,397.95,388.4,396.05,394.7,484716.0,1908.95
2018-03-12,405.7,408.45,387.0,388.85,389.0,399726.0,1581.03
2018-03-09,414.5,415.45,398.0,403.0,401.65,463736.0,1884.7
2018-03-08,414.75,418.0,405.3,413.5,410.65,793294.0,3256.5
2018-03-07,405.0,414.45,400.1,406.5,405.4,652046.0,2648.86
2018-03-06,422.0,425.4,403.0,405.0,406.3,508036.0,2111.31
2018-03-05,409.0,422.5,407.35,417.55,418.25,795182.0,3323.71
2018-03-01,410.65,422.0,406.0,411.5,410.35,409860.0,1700.03
2018-02-28,403.0,420.0,400.1,415.15,415.25,844213.0,3498.13
2018-02-27,428.05,429.95,407.9,409.5,411.85,782582.0,3255.68
2018-02-26,405.9,437.85,387.0,427.7,427.6,2988836.0,12560.51
2018-02-23,398.75,406.55,395.15,402.0,401.25,1744260.0,7012.46
2018-02-22,390.65,404.0,388.0,399.8,398.85,1574833.0,6265.66
2018-02-21,388.0,394.9,378.75,392.5,392.65,885375.0,3451.58
2018-02-20,380.0,386.35,375.0,383.4,382.15,444314.0,1694.43
2018-02-19,394.0,398.3,372.15,375.0,377.45,822695.0,3144.15
2018-02-16,395.45,414.0,388.3,391.5,391.4,2347007.0,9448.33
2018-02-15,392.3,408.0,381.35,393.0,391.9,1460828.0,5819.22
2018-02-14,367.5,393.35,367.5,388.0,389.4,1682753.0,6495.58
2018-02-12,363.0,364.65,356.2,362.1,363.0,438826.0,1582.2
2018-02-09,346.1,362.75,346.1,357.0,357.55,851669.0,3044.09
2018-02-08,368.9,368.9,352.0,355.0,355.0,897613.0,3219.98
2018-02-07,368.0,376.25,360.0,363.0,363.05,2007247.0,7335.07
2018-02-06,331.1,358.7,330.45,344.4,347.6,841188.0,2900.13
2018-02-05,324.0,355.0,319.55,352.1,352.25,370275.0,1251.0
2018-02-02,336.0,349.8,327.45,339.45,340.2,430687.0,1467.47
2018-02-01,355.0,362.5,342.0,353.9,349.9,384317.0,1358.81
2018-01-31,350.0,357.9,343.9,351.55,351.55,254189.0,894.65
2018-01-30,350.0,352.35,341.1,350.5,351.25,299010.0,1040.52
2018-01-29,362.0,364.55,345.55,353.0,352.55,437314.0,1543.59
2018-01-25,370.95,379.9,362.75,366.4,364.3,169488.0,621.86
2018-01-24,369.95,372.0,359.0,370.95,369.0,269173.0,982.41
2018-01-23,360.0,371.45,358.1,367.9,367.85,370929.0,1347.32
2018-01-22,361.0,364.45,355.35,356.9,357.5,205069.0,737.73
2018-01-19,364.0,370.7,356.55,359.6,359.8,415606.0,1507.55
2018-01-18,370.05,373.0,357.5,362.9,362.05,499337.0,1826.18
2018-01-17,372.4,372.4,362.0,367.0,366.45,240556.0,881.34
2018-01-16,387.35,387.35,371.0,372.55,373.5,424385.0,1601.14
2018-01-15,379.9,388.0,373.35,384.0,384.75,756441.0,2893.72
2018-01-12,380.0,386.8,372.05,375.5,376.7,627223.0,2375.79
2018-01-11,381.2,382.0,375.8,376.85,377.35,209338.0,791.81
2018-01-10,391.0,392.0,378.35,381.0,380.8,467712.0,1791.27
2018-01-09,379.9,391.8,376.5,390.7,387.1,1731873.0,6711.32
2018-01-08,376.1,382.0,371.05,378.35,379.05,377249.0,1422.94
2018-01-05,375.0,383.8,372.1,372.7,373.5,382564.0,1440.15
2018-01-04,375.0,377.0,370.5,373.75,372.75,362476.0,1350.94
2018-01-03,385.1,386.8,367.5,374.1,372.8,499822.0,1877.3
2018-01-02,386.1,386.5,373.5,384.7,381.4,366514.0,1387.89
2018-01-01,384.8,389.45,380.05,385.4,383.15,364834.0,1406.58
2017-12-29,372.35,391.35,368.25,384.0,383.4,1182204.0,4528.46
2017-12-28,366.4,372.9,361.4,372.25,369.35,360976.0,1322.42
2017-12-27,370.0,374.45,361.9,365.0,364.0,332868.0,1225.74
2017-12-26,377.0,379.25,367.0,368.85,368.4,407635.0,1509.01
2017-12-22,384.95,391.45,373.0,375.9,377.3,1010057.0,3860.41
2017-12-21,370.0,384.9,367.0,382.5,382.35,783407.0,2956.25
2017-12-20,372.65,383.6,363.7,368.55,369.05,1369515.0,5141.06
2017-12-19,348.95,378.95,348.65,370.0,369.35,3040219.0,11036.15
2017-12-18,337.4,347.5,321.05,346.9,344.95,498588.0,1699.24
2017-12-15,327.15,347.4,327.15,345.0,344.1,1087276.0,3694.58
2017-12-14,330.1,334.9,322.0,323.45,323.4,664738.0,2165.84
2017-12-13,335.0,339.9,326.95,332.95,332.6,433403.0,1447.64
2017-12-12,344.8,352.0,330.0,333.0,333.75,780300.0,2674.19
2017-12-11,340.4,353.75,336.7,345.4,343.85,1382512.0,4790.82
2017-12-08,347.2,352.6,335.1,337.95,337.35,1538955.0,5314.31
2017-12-07,314.4,346.8,312.35,343.25,343.9,3001267.0,10149.72
2017-12-06,308.9,317.0,308.9,314.55,313.4,138317.0,434.13
2017-12-05,314.9,325.0,309.0,314.5,314.15,177642.0,557.67
2017-12-04,317.5,320.55,308.5,311.05,315.8,432741.0,1359.4
2017-12-01,324.0,326.8,312.0,314.55,314.55,200743.0,642.19
2017-11-30,320.0,326.0,314.0,324.0,322.2,284857.0,906.27
2017-11-29,325.0,326.5,321.0,322.65,322.85,176415.0,569.64
2017-11-28,328.05,330.75,321.65,324.2,325.5,298190.0,970.3
2017-11-27,327.0,334.75,325.0,330.0,331.25,975609.0,3223.97
2017-11-24,309.0,327.8,308.85,326.2,325.25,1148454.0,3685.81
2017-11-23,306.6,310.65,305.0,308.4,308.15,300341.0,925.41
2017-11-22,307.65,307.65,301.25,303.2,304.35,293341.0,895.54
2017-11-21,296.8,310.85,295.5,301.0,301.65,681965.0,2071.39
2017-11-20,291.4,297.8,291.0,297.0,296.8,194315.0,574.71
2017-11-17,300.0,302.4,289.0,291.4,291.25,458534.0,1348.44
2017-11-16,298.0,300.0,294.0,297.0,297.15,197048.0,585.7
2017-11-15,300.0,300.8,293.0,296.9,294.4,305929.0,908.42
2017-11-14,291.05,302.85,289.9,300.7,299.95,383317.0,1139.26
2017-11-13,304.0,305.0,287.7,291.0,290.2,336640.0,996.27
2017-11-10,309.8,309.8,302.0,303.15,303.5,337760.0,1028.82
2017-11-09,321.4,323.05,307.1,309.35,309.8,642313.0,2012.62
2017-11-08,314.0,317.6,310.0,313.0,313.85,567847.0,1783.14
2017-11-07,323.0,324.8,307.5,311.0,310.1,1212299.0,3830.61
2017-11-06,313.95,324.0,308.05,315.25,316.15,877244.0,2792.67
2017-11-03,312.2,316.8,310.5,314.0,313.75,682511.0,2140.93
2017-11-02,306.1,308.45,301.55,306.8,306.3,1331958.0,4064.75
2017-11-01,293.8,310.0,293.5,303.7,303.7,1026899.0,3120.54
2017-10-31,296.45,297.05,292.0,292.2,292.8,186268.0,547.08
2017-10-30,298.35,301.4,295.2,295.75,296.95,243651.0,728.95
2017-10-27,296.0,301.8,295.0,298.25,298.35,295569.0,882.96
2017-10-26,287.9,301.0,284.6,292.7,293.3,988950.0,2902.08
2017-10-25,296.9,298.05,285.7,286.55,287.05,538025.0,1553.7
2017-10-24,300.7,303.0,294.05,294.7,294.8,378341.0,1123.37
2017-10-23,303.0,303.0,296.75,298.0,297.3,191998.0,571.94
2017-10-19,298.1,302.55,298.0,299.15,299.95,43505.0,130.77
2017-10-18,299.1,300.25,296.1,297.45,297.2,172326.0,512.23
2017-10-17,303.0,303.8,299.0,300.0,299.85,199251.0,599.25
2017-10-16,304.0,305.75,298.0,298.55,298.5,183082.0,549.15
2017-10-13,305.7,305.7,300.1,302.15,302.0,135234.0,409.2
