Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,115.45,120.65,114.8,118.05,117.75,388108.0,458.34
2018-03-12,116.45,119.0,114.3,115.5,115.2,430436.0,498.62
2018-03-09,118.0,119.35,114.5,116.3,115.3,242136.0,282.67
2018-03-08,117.2,118.55,112.6,117.85,116.9,373910.0,430.74
2018-03-07,120.95,120.95,116.0,117.0,116.6,448374.0,528.13
2018-03-06,122.7,124.95,120.5,120.65,121.5,546454.0,672.57
2018-03-05,126.5,127.7,121.1,121.1,121.8,504390.0,620.37
2018-03-01,126.9,128.75,126.65,127.4,127.2,132941.0,169.43
2018-02-28,126.8,128.5,126.0,127.0,127.3,236144.0,300.37
2018-02-27,132.65,133.55,128.0,128.4,128.65,169821.0,221.61
2018-02-26,134.0,135.05,132.15,132.55,132.65,149390.0,199.52
2018-02-23,129.5,133.95,129.1,132.5,132.95,293627.0,385.72
2018-02-22,127.8,132.25,127.55,128.65,128.85,149478.0,193.43
2018-02-21,129.4,130.5,127.45,128.7,128.65,120259.0,154.77
2018-02-20,128.2,130.45,127.15,129.0,128.25,223853.0,288.83
2018-02-19,129.3,131.5,127.35,128.05,128.1,243759.0,314.71
2018-02-16,134.7,135.5,128.7,130.85,130.7,364609.0,479.34
2018-02-15,137.35,138.75,133.5,134.2,134.3,248043.0,337.71
2018-02-14,139.55,140.25,136.1,137.0,136.5,415756.0,571.13
2018-02-12,140.55,145.0,138.0,138.0,138.55,395427.0,558.33
2018-02-09,138.0,143.85,136.5,142.0,141.2,478959.0,676.8
2018-02-08,134.1,144.5,134.1,144.1,143.2,692742.0,970.21
2018-02-07,131.0,138.2,131.0,134.95,134.9,851579.0,1145.81
2018-02-06,122.0,129.8,122.0,129.8,128.25,1009207.0,1262.98
2018-02-05,127.55,131.5,122.6,129.7,129.4,747686.0,959.39
2018-02-02,137.2,139.95,129.8,131.75,130.55,756272.0,1016.49
2018-02-01,138.9,145.5,132.0,141.0,140.95,730973.0,1025.95
2018-01-31,137.0,140.4,135.95,140.0,138.8,391804.0,541.43
2018-01-30,138.5,139.7,135.65,136.75,136.75,372291.0,511.39
