Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,253.5,254.2,247.5,250.85,251.55,52556.0,132.26
2018-03-12,249.95,255.5,249.8,251.1,251.65,49020.0,123.32
2018-03-09,244.8,251.15,244.2,247.6,246.7,52201.0,129.48
2018-03-08,246.25,253.0,242.0,244.0,244.8,77147.0,189.79
2018-03-07,256.5,256.5,238.5,245.0,242.5,54631.0,135.63
2018-03-06,261.85,266.2,252.85,258.0,256.45,48109.0,124.97
2018-03-05,268.8,268.8,256.6,258.5,258.2,62423.0,163.56
2018-03-01,265.75,274.55,264.7,269.0,269.15,196727.0,533.68
2018-02-28,266.0,271.3,255.0,265.5,264.6,170265.0,454.61
2018-02-27,262.1,268.25,256.7,268.0,264.8,238108.0,625.93
2018-02-26,251.05,264.75,245.55,261.0,259.95,444339.0,1141.6
2018-02-23,223.6,250.0,223.6,249.95,246.4,330599.0,782.72
2018-02-22,225.0,226.1,222.0,223.0,223.6,69677.0,156.26
2018-02-21,227.85,228.9,223.0,225.0,224.55,53198.0,119.49
2018-02-20,225.1,230.75,222.4,224.0,224.05,103744.0,235.4
2018-02-19,234.9,235.0,222.0,225.1,225.65,107606.0,243.49
2018-02-16,243.0,243.0,229.85,232.0,232.75,137279.0,320.22
2018-02-15,247.0,250.0,235.6,237.0,237.9,152473.0,370.65
2018-02-14,252.0,255.4,243.1,246.0,246.8,293166.0,726.63
2018-02-12,267.0,273.65,244.7,249.7,249.65,1218001.0,3088.72
2018-02-09,281.15,295.0,281.0,290.0,290.65,77237.0,224.37
2018-02-08,283.95,291.75,281.05,288.05,287.45,75999.0,218.76
2018-02-07,274.5,283.4,274.5,278.55,279.0,71980.0,201.05
2018-02-06,266.0,273.45,257.55,269.85,270.85,104012.0,277.34
2018-02-05,264.9,277.15,250.0,273.2,272.1,119278.0,319.17
2018-02-02,282.0,286.15,260.7,264.0,267.25,118991.0,326.62
2018-02-01,286.0,292.0,283.0,286.0,286.9,56272.0,161.59
2018-01-31,294.5,294.7,288.0,288.15,289.3,39344.0,114.47
2018-01-30,295.4,297.05,292.5,295.0,294.65,49916.0,147.15
2018-01-29,298.4,302.95,292.1,293.4,294.5,44877.0,133.26
2018-01-25,301.8,301.8,294.35,299.0,298.4,60086.0,179.14
2018-01-24,293.0,300.3,293.0,299.0,299.1,44245.0,132.0
2018-01-23,297.1,300.7,295.55,299.05,297.8,46760.0,139.05
2018-01-22,296.1,302.9,293.95,296.2,298.05,52948.0,158.21
2018-01-19,298.7,303.0,294.5,298.5,298.2,35987.0,107.49
2018-01-18,306.0,309.0,293.1,298.7,298.5,74082.0,223.37
2018-01-17,302.1,313.65,298.25,304.0,304.45,104117.0,318.48
2018-01-16,313.65,313.9,301.0,301.0,301.6,78638.0,240.11
2018-01-15,316.25,320.0,309.15,310.9,311.15,72544.0,228.51
2018-01-12,318.6,325.2,308.0,313.15,315.1,73751.0,234.4
2018-01-11,325.0,325.35,320.15,321.5,321.1,62714.0,202.11
2018-01-10,325.0,330.0,318.8,322.0,322.3,163277.0,531.38
2018-01-09,320.0,327.9,313.1,324.0,324.25,303078.0,976.47
2018-01-08,316.35,322.0,314.5,317.55,318.5,264059.0,842.68
2018-01-05,306.5,315.5,306.2,312.7,312.95,222025.0,693.98
