Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,324.0,333.4,320.0,327.15,327.75,141725.0,465.03
2018-03-12,323.0,327.75,320.05,323.5,324.35,122874.0,397.59
2018-03-09,326.5,331.75,319.1,319.3,320.65,130474.0,424.15
2018-03-08,320.1,327.9,317.5,324.0,324.45,153833.0,497.21
2018-03-07,326.0,330.95,318.0,319.0,319.55,148629.0,480.15
2018-03-06,337.75,341.85,325.0,325.95,328.7,205266.0,690.27
2018-03-05,336.0,338.7,325.1,330.9,330.6,110570.0,366.89
2018-03-01,349.4,352.2,335.2,337.9,337.4,90824.0,312.87
2018-02-28,342.1,353.0,339.05,347.65,349.0,143384.0,496.86
2018-02-27,366.65,366.7,344.65,347.8,348.3,240200.0,851.97
2018-02-26,338.5,368.8,338.5,362.5,363.75,465946.0,1669.51
2018-02-23,335.75,343.75,331.65,338.95,337.55,131109.0,442.37
2018-02-22,333.2,338.85,328.0,329.0,330.75,63629.0,212.1
2018-02-21,340.0,343.5,336.0,336.0,338.85,69827.0,237.29
2018-02-20,336.0,346.45,331.55,337.4,338.65,128579.0,436.61
2018-02-19,345.1,347.7,331.0,333.55,333.15,115264.0,388.15
2018-02-16,357.0,362.0,342.2,342.2,344.6,169699.0,597.36
2018-02-15,370.9,375.7,351.3,357.0,356.4,242849.0,890.98
2018-02-14,350.65,380.5,350.6,367.5,367.35,669058.0,2473.23
2018-02-12,327.55,349.0,327.55,348.0,345.6,219376.0,749.72
2018-02-09,318.0,334.0,316.0,326.0,326.55,229438.0,748.13
2018-02-08,328.7,332.9,323.9,328.5,328.7,227370.0,747.56
2018-02-07,328.15,329.0,322.0,325.0,324.55,233111.0,757.23
2018-02-06,303.0,331.95,288.05,316.45,318.4,787980.0,2440.49
2018-02-05,319.85,322.15,303.05,316.35,315.45,276966.0,869.34
2018-02-02,365.1,365.1,310.6,331.0,329.35,376564.0,1273.78
2018-02-01,369.85,379.2,355.0,367.1,368.8,344458.0,1279.12
2018-01-31,358.0,369.85,357.95,366.9,365.45,206865.0,751.84
2018-01-30,370.1,371.8,355.0,358.15,359.35,114890.0,419.11
2018-01-29,374.0,380.8,368.0,368.9,369.05,230124.0,860.14
2018-01-25,374.95,378.0,366.15,371.0,372.95,243490.0,905.81
2018-01-24,373.75,376.7,367.0,368.2,369.6,157776.0,587.28
2018-01-23,380.8,388.0,370.0,371.4,372.5,282765.0,1075.62
2018-01-22,372.75,382.0,368.1,377.5,378.25,245944.0,923.23
