Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,215.3,221.8,215.0,219.45,219.9,1544206.0,3387.53
2018-03-12,213.0,218.4,210.75,218.25,217.5,2378499.0,5120.63
2018-03-09,212.0,213.2,208.35,210.8,210.15,1629574.0,3442.23
2018-03-08,213.25,213.25,205.7,212.7,210.3,1727164.0,3622.61
2018-03-07,213.9,216.5,200.0,211.2,210.65,3289517.0,7004.17
2018-03-06,223.75,223.75,214.45,214.75,215.65,2640224.0,5752.17
2018-03-05,214.95,220.4,214.1,219.2,219.45,3381502.0,7368.63
2018-03-01,215.9,218.5,214.1,216.1,214.75,1979678.0,4275.9
2018-02-28,212.5,217.8,210.1,216.0,216.1,3616429.0,7805.67
2018-02-27,209.0,215.5,208.15,213.0,213.3,4710969.0,10047.11
2018-02-26,208.4,210.0,205.45,208.7,208.2,2672082.0,5556.7
2018-02-23,202.0,207.65,201.3,206.95,206.75,2797712.0,5745.27
2018-02-22,200.9,205.35,200.0,201.0,201.25,2373186.0,4813.54
2018-02-21,201.95,204.8,198.2,200.95,200.45,2410295.0,4868.31
2018-02-20,202.0,203.7,197.5,198.8,198.85,2390444.0,4810.93
2018-02-19,208.8,208.8,194.15,202.15,198.55,4209437.0,8346.61
2018-02-16,210.0,213.35,204.8,205.95,205.9,2659057.0,5548.74
2018-02-15,219.1,219.75,205.55,208.9,208.2,3334438.0,7104.31
2018-02-14,217.05,221.7,215.55,216.6,218.0,2105867.0,4615.23
2018-02-12,216.9,223.0,214.05,215.35,215.45,2621514.0,5698.17
2018-02-09,217.0,220.25,213.1,215.0,215.25,3531882.0,7681.98
2018-02-08,213.1,227.15,212.5,221.5,221.15,6630043.0,14638.85
2018-02-07,211.9,216.3,208.95,210.5,211.85,3849162.0,8190.01
2018-02-06,198.0,209.85,193.35,206.0,206.3,3919459.0,7947.07
2018-02-05,192.0,208.35,189.35,207.8,207.1,3747554.0,7578.84
2018-02-02,203.5,209.55,192.95,197.2,197.35,3305291.0,6704.17
2018-02-01,212.0,214.35,204.35,208.1,208.7,2541778.0,5318.79
2018-01-31,216.0,220.65,209.0,211.5,211.6,4002772.0,8569.29
2018-01-30,201.0,223.4,200.25,218.25,219.35,15315040.0,33139.09
2018-01-29,214.0,215.85,207.0,207.5,208.4,3085616.0,6536.14
2018-01-25,208.3,214.65,205.7,213.1,211.45,4097673.0,8645.18
2018-01-24,203.3,213.55,201.0,207.75,210.25,7340098.0,15385.69
2018-01-23,201.0,204.9,196.3,203.2,203.45,2432704.0,4873.28
2018-01-22,196.5,202.7,195.75,199.65,199.95,1776217.0,3537.77
2018-01-19,191.65,197.5,191.05,197.25,196.65,1383995.0,2688.26
2018-01-18,210.0,210.0,186.45,190.3,192.3,3190786.0,6353.45
2018-01-17,201.5,206.15,197.25,201.3,201.35,2371745.0,4786.58
2018-01-16,201.25,206.75,199.15,202.25,201.65,2410213.0,4907.93
2018-01-15,204.45,205.8,199.55,201.6,201.15,1241687.0,2517.59
2018-01-12,209.3,210.5,201.15,202.55,202.95,3009764.0,6164.84
2018-01-11,207.0,211.8,206.5,207.45,208.2,4332188.0,9077.56
2018-01-10,202.55,207.2,198.15,206.0,206.25,3010994.0,6122.53
2018-01-09,199.1,203.8,196.6,201.8,202.25,2230318.0,4490.0
2018-01-08,200.05,203.0,197.45,199.5,199.1,2269171.0,4536.01
2018-01-05,202.15,203.9,200.15,201.55,202.25,2096910.0,4241.09
2018-01-04,199.1,205.2,195.4,203.85,203.8,3636391.0,7284.29
2018-01-03,191.2,199.4,190.55,199.2,198.6,4054972.0,7929.47
2018-01-02,188.0,191.6,182.5,190.5,190.15,4224042.0,7960.28
2018-01-01,181.7,186.95,180.6,185.6,184.75,2692705.0,4954.45
2017-12-29,174.95,181.7,172.0,179.8,180.75,4016523.0,7182.41
2017-12-28,172.45,178.35,170.65,174.5,173.45,2756731.0,4807.95
2017-12-27,172.6,174.9,170.4,171.75,172.05,1058278.0,1829.91
2017-12-26,171.3,173.3,169.85,170.95,170.9,984203.0,1680.95
2017-12-22,174.3,174.95,171.2,172.75,172.9,748592.0,1297.99
2017-12-21,173.0,175.0,168.1,173.55,174.2,1203473.0,2064.29
2017-12-20,177.45,177.45,171.0,172.3,171.9,1013799.0,1753.13
2017-12-19,169.5,177.6,169.5,176.6,176.65,2784395.0,4905.23
2017-12-18,167.5,171.5,161.55,169.35,169.5,811871.0,1366.8
2017-12-15,170.15,171.5,165.35,167.1,167.55,1153263.0,1935.32
2017-12-14,170.2,172.4,165.95,169.5,169.45,1152309.0,1959.37
2017-12-13,170.0,173.7,168.35,169.65,170.1,1431468.0,2451.98
2017-12-12,172.4,172.55,169.35,169.7,169.75,780024.0,1332.71
2017-12-11,166.65,173.25,166.5,172.3,172.4,1584339.0,2714.29
2017-12-08,166.85,168.8,165.3,166.65,166.75,1147275.0,1915.2
2017-12-07,161.95,168.9,161.65,168.1,167.5,1767152.0,2903.92
2017-12-06,155.75,162.6,152.5,162.25,161.7,4243672.0,6778.95
2017-12-05,157.45,157.75,151.65,154.7,154.65,3124833.0,4851.1
2017-12-04,162.0,162.85,156.75,157.75,157.85,1844210.0,2926.96
2017-12-01,171.5,172.85,159.5,161.8,160.55,3106821.0,5107.52
2017-11-30,172.0,172.7,168.45,172.3,170.65,2074406.0,3540.92
2017-11-29,178.8,179.3,171.35,172.2,172.55,1338073.0,2335.5
2017-11-28,177.0,181.7,176.2,178.4,178.25,1359636.0,2434.95
2017-11-27,174.9,178.1,173.2,177.0,176.9,1328145.0,2336.48
2017-11-24,178.9,178.9,174.45,175.3,175.7,1225538.0,2161.08
2017-11-23,170.8,179.5,170.8,178.25,178.4,2973099.0,5270.04
2017-11-22,173.0,174.15,168.45,173.5,171.85,1393788.0,2392.23
2017-11-21,167.2,173.75,167.1,173.0,172.5,1969007.0,3365.8
2017-11-20,166.35,169.15,164.6,167.5,167.55,1538126.0,2573.05
2017-11-17,170.45,170.45,164.75,166.05,166.35,1619549.0,2698.86
2017-11-16,163.75,169.45,160.95,168.9,168.55,2535621.0,4200.1
2017-11-15,162.0,162.8,156.05,160.6,160.75,1924835.0,3079.94
2017-11-14,161.15,168.95,161.0,162.8,162.95,3838515.0,6356.06
2017-11-13,160.8,162.8,160.1,160.2,161.4,833308.0,1347.18
2017-11-10,160.0,163.25,158.9,161.2,160.85,1216051.0,1959.74
2017-11-09,159.55,161.85,156.9,160.4,159.3,1700202.0,2715.37
2017-11-08,159.25,165.9,156.15,159.4,158.45,3184251.0,5152.07
2017-11-07,155.05,164.0,149.25,158.5,157.8,3842081.0,6099.12
2017-11-06,151.0,157.7,149.8,156.3,156.5,2597950.0,4037.43
2017-11-03,148.6,154.4,146.0,152.0,152.4,2850833.0,4302.73
2017-11-02,147.35,149.9,145.05,148.0,148.65,2402715.0,3545.81
2017-11-01,150.0,151.6,145.0,145.2,145.95,4976748.0,7367.11
2017-10-31,140.0,149.6,137.4,146.7,148.25,5081328.0,7337.71
2017-10-30,137.0,142.0,136.55,140.1,139.75,2162477.0,3020.05
2017-10-27,138.0,139.2,134.2,135.0,135.35,1128982.0,1548.53
2017-10-26,134.9,138.3,133.5,137.7,137.4,1447943.0,1973.31
2017-10-25,132.8,136.8,127.1,135.15,135.2,1861903.0,2483.21
2017-10-24,127.0,132.8,126.8,131.2,131.45,1861729.0,2443.08
2017-10-23,127.8,128.5,126.2,126.8,127.0,647164.0,822.24
2017-10-19,127.0,128.85,125.3,126.3,126.45,170796.0,216.69
2017-10-18,128.15,129.65,127.5,127.6,127.9,397054.0,508.13
2017-10-17,129.0,130.0,126.85,128.6,129.25,501424.0,644.89
2017-10-16,128.4,130.0,126.75,128.0,128.65,442000.0,566.95
2017-10-13,131.0,131.5,127.8,128.0,128.25,849490.0,1099.85
2017-10-12,128.0,130.95,126.85,130.0,130.45,1331514.0,1728.0
2017-10-11,131.65,133.6,124.5,126.7,127.5,2057884.0,2683.74
2017-10-10,132.5,132.9,130.15,132.05,131.65,1160750.0,1527.11
2017-10-09,128.0,133.4,128.0,131.55,131.85,2436455.0,3210.55
2017-10-06,128.0,130.0,126.6,128.75,128.0,1279031.0,1640.57
2017-10-05,123.1,130.6,123.1,129.7,128.95,3381335.0,4324.79
2017-10-04,122.35,124.5,122.3,122.9,123.15,530217.0,654.12
2017-10-03,122.05,123.5,121.3,122.35,122.85,419525.0,513.43
2017-09-29,121.6,123.05,120.35,121.5,120.95,553455.0,674.94
2017-09-28,119.2,122.2,118.35,121.05,120.9,941414.0,1135.01
2017-09-27,121.55,122.25,118.1,119.3,119.05,821205.0,988.16
2017-09-26,115.0,120.9,115.0,119.3,120.1,666310.0,791.53
2017-09-25,118.5,118.55,114.15,116.3,116.3,757569.0,878.85
2017-09-22,122.75,122.9,118.0,118.1,118.55,618283.0,745.16
2017-09-21,123.95,124.7,120.1,123.1,123.1,753731.0,922.84
2017-09-20,122.6,126.3,121.7,123.15,123.75,1639111.0,2039.22
2017-09-19,123.45,124.2,120.8,121.6,121.5,502019.0,612.3
2017-09-18,120.75,124.2,120.75,122.8,122.9,702732.0,864.47
2017-09-15,120.95,122.9,119.5,120.5,119.85,708405.0,853.92
2017-09-14,121.5,123.5,120.0,121.4,121.3,653735.0,795.37
2017-09-13,122.0,127.2,121.35,122.25,122.05,3603046.0,4480.66
2017-09-12,114.5,122.85,114.0,121.85,121.85,3056500.0,3664.35
2017-09-11,113.8,114.9,113.1,114.1,114.1,488760.0,557.49
2017-09-08,115.75,116.45,112.05,113.0,112.65,1070543.0,1216.96
2017-09-07,116.4,117.4,115.5,115.95,115.75,456178.0,529.51
2017-09-06,117.5,117.5,115.2,116.1,115.85,459832.0,532.9
2017-09-05,118.0,119.15,115.8,117.1,116.8,487908.0,571.13
2017-09-04,119.05,120.5,115.45,117.45,117.25,503833.0,591.02
2017-09-01,116.5,120.3,116.3,119.1,119.4,697544.0,831.64
2017-08-31,117.9,118.8,115.75,116.45,116.55,888221.0,1043.76
2017-08-30,117.0,118.5,116.55,117.5,117.45,514255.0,604.44
2017-08-29,117.0,118.9,115.5,115.75,116.15,908673.0,1063.47
2017-08-28,114.9,118.6,114.15,118.0,118.1,766106.0,893.38
2017-08-24,114.1,115.5,112.05,115.15,114.9,545883.0,622.62
2017-08-23,111.95,114.35,110.3,113.5,113.7,623487.0,705.75
2017-08-22,112.0,113.0,109.1,110.25,110.0,458569.0,509.39
