Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,691.15,697.95,684.05,685.0,685.95,21285.0,146.49
2018-03-12,689.0,693.7,681.05,691.9,690.55,19981.0,137.45
2018-03-09,703.0,703.75,685.9,686.9,692.75,23966.0,166.15
2018-03-08,703.95,720.85,688.55,693.65,692.85,15065.0,105.07
2018-03-07,714.0,714.0,690.0,692.4,696.5,27270.0,190.82
2018-03-06,709.55,709.55,695.05,706.0,703.35,45277.0,318.54
2018-03-05,730.0,732.6,726.15,726.25,727.65,50263.0,365.98
2018-03-01,737.85,737.85,725.55,735.0,732.2,25907.0,189.35
2018-02-28,718.7,728.4,712.8,728.35,725.15,34702.0,249.12
2018-02-27,719.9,721.9,714.8,720.05,719.0,21570.0,154.71
2018-02-26,719.9,725.4,710.0,715.95,714.75,43254.0,310.03
2018-02-23,734.0,734.0,710.0,713.1,713.3,30833.0,221.79
2018-02-22,695.85,725.0,690.0,720.8,721.4,261963.0,1880.11
2018-02-21,699.9,705.85,690.0,695.0,694.45,21929.0,152.6
2018-02-20,698.0,715.0,687.45,696.0,696.3,51244.0,356.39
2018-02-19,701.0,729.7,691.05,696.0,694.75,312862.0,2212.89
2018-02-16,701.0,708.2,666.35,671.0,675.9,20354.0,139.5
2018-02-15,706.1,715.0,697.0,701.0,700.25,12297.0,86.67
2018-02-14,705.15,725.0,700.25,703.0,706.95,64303.0,461.57
2018-02-12,705.75,724.0,705.75,711.5,710.65,7512.0,53.68
2018-02-09,710.0,727.65,705.2,711.0,712.2,10444.0,74.46
2018-02-08,715.0,724.0,710.0,723.0,720.85,9457.0,67.84
2018-02-07,712.0,715.15,702.0,702.0,705.8,39722.0,281.71
2018-02-06,684.0,718.0,675.0,696.0,700.5,24071.0,168.87
2018-02-05,718.25,725.0,681.1,715.5,714.1,25740.0,181.96
2018-02-02,744.0,745.45,715.6,715.65,718.25,26585.0,192.54
2018-02-01,755.0,766.0,738.2,748.0,744.25,33992.0,255.15
2018-01-31,753.0,765.95,716.1,735.0,732.5,39249.0,288.67
2018-01-30,772.5,777.7,745.5,750.0,751.85,32570.0,246.81
2018-01-29,788.3,800.0,765.0,769.9,771.8,18018.0,141.02
2018-01-25,795.3,803.2,786.0,791.4,795.95,8246.0,65.6
2018-01-24,802.0,814.5,777.0,810.0,805.5,17858.0,142.2
2018-01-23,812.15,816.85,801.0,808.0,806.05,7318.0,59.1
2018-01-22,812.35,819.9,803.0,810.95,812.15,26762.0,217.12
2018-01-19,799.0,819.5,795.0,814.75,811.35,33216.0,269.07
2018-01-18,815.5,824.2,784.15,790.0,791.35,13398.0,107.45
2018-01-17,815.0,824.7,804.05,823.5,815.4,9659.0,78.46
2018-01-16,823.0,831.65,802.75,816.0,817.65,13514.0,111.06
2018-01-15,850.0,850.0,824.05,827.0,829.1,8552.0,71.38
2018-01-12,831.0,845.0,815.0,842.0,839.25,15765.0,130.78
2018-01-11,840.0,840.0,820.0,830.15,831.75,14165.0,117.56
2018-01-10,812.95,838.2,802.0,835.0,830.3,120327.0,991.91
2018-01-09,818.0,820.0,796.55,801.0,803.25,12130.0,97.69
2018-01-08,819.95,819.95,804.0,810.0,809.35,20111.0,162.71
2018-01-05,825.3,833.2,800.5,801.05,804.45,37857.0,307.34
2018-01-04,819.65,830.0,810.1,824.9,825.2,16664.0,137.13
2018-01-03,807.5,817.9,807.5,817.0,815.95,7489.0,60.85
2018-01-02,813.0,815.0,802.05,805.0,809.5,37772.0,305.76
2018-01-01,804.0,815.0,793.6,799.0,801.75,13493.0,108.43
2017-12-29,789.95,814.8,778.0,805.0,802.35,23488.0,187.07
2017-12-28,789.65,792.0,764.05,792.0,783.25,518570.0,4008.02
2017-12-27,789.9,795.35,779.3,781.25,784.85,18320.0,143.87
2017-12-26,786.0,788.2,771.85,775.1,780.4,17632.0,137.93
2017-12-22,780.0,784.85,762.0,776.05,780.35,23328.0,181.37
2017-12-21,760.0,778.8,756.05,775.0,775.1,23862.0,183.73
2017-12-20,750.0,769.0,747.0,755.2,766.05,41540.0,313.53
2017-12-19,752.0,764.2,740.0,760.0,760.4,57472.0,429.55
2017-12-18,744.95,753.0,710.05,750.0,746.85,24241.0,179.36
2017-12-15,730.0,748.45,730.0,744.7,740.15,14693.0,108.8
2017-12-14,713.0,742.0,708.05,738.0,731.5,15044.0,108.67
2017-12-13,729.7,732.8,709.0,715.0,710.55,19611.0,140.35
2017-12-12,730.0,739.4,720.0,722.0,725.85,10753.0,78.26
2017-12-11,745.0,756.3,729.4,734.0,735.0,9645.0,71.14
2017-12-08,741.0,750.0,731.25,741.0,745.8,16937.0,126.05
2017-12-07,726.95,750.0,726.0,735.0,740.15,17484.0,129.25
2017-12-06,719.0,731.1,711.1,730.0,727.65,19303.0,139.65
2017-12-05,707.0,722.0,707.0,722.0,718.35,18263.0,130.02
2017-12-04,710.0,722.0,701.05,720.0,715.75,20500.0,145.56
2017-12-01,721.0,721.0,708.35,714.0,713.55,11051.0,78.7
2017-11-30,717.45,721.0,703.55,720.0,717.0,17987.0,128.23
2017-11-29,710.0,719.8,709.85,710.0,712.5,20317.0,144.46
2017-11-28,726.0,734.45,717.1,722.0,720.2,42922.0,309.2
2017-11-27,715.0,730.0,702.0,725.0,721.85,67128.0,481.66
2017-11-24,720.0,720.0,700.0,701.95,702.05,12595.0,89.18
2017-11-23,708.65,724.0,702.3,706.05,709.65,21364.0,151.95
2017-11-22,725.0,725.0,704.95,711.0,708.65,22714.0,161.6
2017-11-21,730.0,732.0,714.1,716.9,717.85,17146.0,123.67
2017-11-20,721.1,732.55,685.0,720.0,720.25,22987.0,163.65
2017-11-17,735.0,735.0,712.4,715.0,717.55,11681.0,84.78
2017-11-16,735.8,735.8,717.0,724.5,723.15,13165.0,95.72
2017-11-15,734.8,736.75,724.25,729.0,726.4,12758.0,92.87
2017-11-14,724.0,732.2,720.0,721.05,721.35,29097.0,210.68
2017-11-13,724.9,737.95,722.0,729.95,729.55,51594.0,377.79
2017-11-10,725.9,738.0,722.0,726.0,724.9,32163.0,235.54
2017-11-09,744.0,746.85,724.55,725.0,725.2,38392.0,282.11
2017-11-08,752.0,752.0,726.8,731.0,731.15,13479.0,99.49
2017-11-07,758.0,758.0,742.05,748.0,748.65,26610.0,199.17
2017-11-06,765.0,769.9,745.0,751.5,753.4,20982.0,158.96
2017-11-03,760.5,770.0,753.0,765.0,765.6,16686.0,127.18
2017-11-02,759.65,783.8,759.65,762.0,765.3,16361.0,125.78
2017-11-01,794.1,800.0,762.2,762.5,769.6,23667.0,185.57
