Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,483.9,492.0,481.1,487.55,486.35,392718.0,1911.95
2018-03-12,485.15,487.6,479.5,482.35,482.45,451660.0,2184.1
2018-03-09,473.7,486.4,464.05,482.0,480.15,688478.0,3280.62
2018-03-08,460.4,481.0,459.7,472.7,473.8,1207398.0,5657.45
2018-03-07,471.5,473.0,447.95,459.7,460.2,1379242.0,6348.43
2018-03-06,490.0,499.0,474.25,475.0,477.2,446697.0,2157.71
2018-03-05,492.5,493.0,482.25,490.0,489.75,210000.0,1025.4
2018-03-01,499.5,504.85,491.75,493.8,493.3,258476.0,1289.52
2018-02-28,497.0,508.8,497.0,499.5,500.3,379064.0,1904.52
2018-02-27,502.9,512.85,497.3,504.85,506.6,881339.0,4467.66
2018-02-26,497.0,506.8,490.25,502.5,503.0,1278306.0,6390.53
2018-02-23,460.8,499.0,456.95,493.85,493.2,1127127.0,5433.86
2018-02-22,463.0,470.3,455.95,456.0,458.1,518182.0,2390.09
2018-02-21,477.5,478.9,465.1,466.95,469.05,354736.0,1673.07
2018-02-20,464.5,476.45,458.0,473.0,472.95,309219.0,1448.44
2018-02-19,462.7,464.5,452.05,464.5,461.0,284270.0,1299.9
2018-02-16,469.95,477.3,456.95,457.75,459.5,227306.0,1056.95
2018-02-15,473.0,479.0,463.6,470.0,472.1,311866.0,1473.1
2018-02-14,487.95,487.95,469.05,469.85,472.95,427261.0,2039.13
2018-02-12,480.1,488.75,475.3,482.0,479.3,361893.0,1742.64
2018-02-09,460.0,481.95,456.1,481.4,478.55,425647.0,2018.45
2018-02-08,472.0,478.0,463.6,474.5,472.4,530736.0,2506.96
2018-02-07,463.95,484.0,458.0,463.05,468.55,1592938.0,7447.69
2018-02-06,460.0,462.4,431.2,453.9,456.05,810088.0,3659.6
2018-02-05,490.1,491.05,469.85,480.25,479.05,591163.0,2850.95
2018-02-02,509.95,509.95,478.5,489.1,494.2,1013960.0,5030.67
2018-02-01,517.5,532.9,503.05,509.05,507.2,2203265.0,11442.99
2018-01-31,486.3,518.65,480.45,517.5,515.5,1146592.0,5759.8
2018-01-30,503.65,504.0,475.1,487.75,487.05,1313081.0,6422.13
2018-01-29,519.0,519.0,501.5,502.7,504.35,422261.0,2147.8
2018-01-25,518.0,526.0,507.85,515.25,511.5,591590.0,3054.14
2018-01-24,520.0,524.7,510.0,512.95,514.65,483478.0,2503.52
2018-01-23,525.0,529.25,519.0,520.3,522.55,388095.0,2038.37
2018-01-22,510.75,525.95,509.55,523.5,522.95,539322.0,2793.53
2018-01-19,510.3,516.6,504.0,509.55,510.6,247074.0,1262.34
2018-01-18,521.0,525.55,506.0,511.7,510.5,374187.0,1930.95
2018-01-17,509.55,522.0,502.3,518.0,519.85,473542.0,2437.59
2018-01-16,519.0,523.9,510.0,512.45,514.25,385972.0,1992.91
2018-01-15,529.5,529.5,514.0,517.0,518.75,413080.0,2156.18
2018-01-12,528.0,531.0,518.45,523.1,525.4,353202.0,1854.56
2018-01-11,529.45,535.0,524.0,526.0,526.75,399795.0,2117.4
2018-01-10,533.3,535.95,525.15,526.6,526.5,372489.0,1971.2
2018-01-09,535.0,540.0,531.35,531.55,532.55,417951.0,2233.42
2018-01-08,540.0,548.0,537.2,537.85,538.05,831328.0,4497.17
2018-01-05,534.0,543.35,530.7,538.5,538.8,377986.0,2038.67
2018-01-04,537.0,541.5,530.5,534.0,534.4,306098.0,1639.55
2018-01-03,543.5,547.55,535.0,536.0,536.75,670407.0,3631.26
2018-01-02,549.95,550.8,535.3,544.2,539.45,490355.0,2663.74
2018-01-01,548.9,555.3,545.0,545.0,547.35,320298.0,1761.02
2017-12-29,549.6,550.1,538.75,549.0,547.65,549550.0,2992.09
2017-12-28,556.1,561.55,542.0,543.0,545.5,322471.0,1783.13
2017-12-27,570.95,572.75,555.7,559.3,559.15,457204.0,2583.14
