Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,115.35,123.7,114.95,120.2,120.25,5073901.0,6114.97
2018-03-12,116.65,117.9,108.0,116.7,115.9,7702902.0,8667.14
2018-03-09,118.5,118.9,114.7,115.95,115.55,3055027.0,3544.11
2018-03-08,118.6,119.9,110.4,116.5,117.7,7139113.0,8193.57
2018-03-07,126.1,127.5,115.8,117.7,117.65,9997426.0,11907.43
2018-03-06,131.2,132.35,127.2,127.8,127.9,1055111.0,1369.9
2018-03-05,131.95,132.95,129.9,130.45,130.2,1212481.0,1586.84
2018-03-01,134.7,135.95,132.2,132.75,132.7,1348076.0,1802.15
2018-02-28,132.4,135.65,131.8,134.7,135.15,1418092.0,1901.49
2018-02-27,136.5,137.0,133.6,134.65,134.4,1110804.0,1496.56
2018-02-26,134.5,137.1,133.95,135.6,135.9,1795070.0,2437.23
2018-02-23,128.75,133.9,128.75,133.7,133.45,2151261.0,2839.08
2018-02-22,131.5,132.3,127.75,128.35,128.7,3490580.0,4523.06
2018-02-21,134.5,134.95,131.45,132.05,132.15,1076875.0,1429.99
2018-02-20,132.6,134.9,131.75,133.25,133.25,1681826.0,2249.8
2018-02-19,133.95,134.75,128.6,132.45,132.75,1891397.0,2495.4
2018-02-16,135.45,136.9,133.05,134.3,133.85,1482475.0,1989.8
2018-02-15,137.3,139.6,134.0,135.3,135.05,2366605.0,3240.99
2018-02-14,140.0,141.15,136.2,136.8,136.75,1806132.0,2494.7
2018-02-12,136.5,141.3,136.5,139.45,139.4,2476669.0,3455.69
2018-02-09,133.05,137.25,132.2,135.9,135.95,1662834.0,2244.96
2018-02-08,133.5,137.8,133.5,136.9,136.35,2920934.0,3959.93
2018-02-07,135.95,135.95,132.05,132.6,133.15,2194320.0,2952.87
2018-02-06,130.0,134.85,129.0,133.0,132.65,4399966.0,5788.34
2018-02-05,136.85,139.7,134.0,138.85,137.9,2516188.0,3450.67
2018-02-02,142.0,143.15,136.9,138.75,138.85,3464788.0,4870.16
2018-02-01,147.7,148.9,142.55,144.75,144.6,2821177.0,4113.32
2018-01-31,147.8,149.65,145.65,147.55,147.5,2413820.0,3563.65
2018-01-30,149.3,149.95,147.7,148.2,148.4,1792651.0,2664.18
2018-01-29,154.0,154.7,148.6,149.6,149.55,2180696.0,3301.86
2018-01-25,156.85,156.9,153.05,153.5,153.5,2305456.0,3567.5
2018-01-24,158.9,159.55,155.5,155.85,156.3,3215539.0,5044.76
