Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,89.75,97.0,88.75,96.2,95.55,3938599.0,3671.29
2018-03-12,88.0,90.25,87.05,90.0,89.75,2148449.0,1908.22
2018-03-09,86.05,87.65,85.25,87.0,86.5,2460678.0,2127.81
2018-03-08,84.25,88.0,83.0,85.45,85.55,3521728.0,3003.68
2018-03-07,84.15,84.75,83.5,83.9,83.9,1974041.0,1657.89
2018-03-06,84.6,87.55,83.6,83.85,84.45,2342261.0,2009.37
2018-03-05,84.9,85.8,83.6,83.7,84.0,1687822.0,1426.0
2018-03-01,84.15,86.4,83.8,85.0,84.6,2390009.0,2034.36
2018-02-28,84.7,85.35,83.2,84.15,84.2,813656.0,686.1
2018-02-27,88.6,88.85,84.0,84.9,84.7,2076819.0,1790.67
2018-02-26,87.05,89.7,87.05,87.85,88.15,1606240.0,1424.66
2018-02-23,87.5,89.9,85.85,87.0,86.75,2199011.0,1937.26
2018-02-22,82.8,90.9,82.8,86.35,87.1,4089433.0,3601.79
2018-02-21,86.8,87.5,82.75,83.4,83.3,729360.0,617.65
2018-02-20,88.9,89.5,85.55,85.85,86.2,1223094.0,1069.76
2018-02-19,87.05,90.4,84.15,88.65,88.65,2401260.0,2108.97
2018-02-16,88.9,89.05,82.35,87.5,85.35,2238466.0,1907.01
2018-02-15,90.55,91.0,88.1,88.3,88.4,1017762.0,906.24
2018-02-14,92.1,92.25,90.0,90.2,90.15,891003.0,809.06
2018-02-12,90.4,93.7,90.2,91.4,91.4,2296393.0,2118.45
2018-02-09,89.0,91.6,88.5,89.8,89.45,1117825.0,1010.78
2018-02-08,90.2,92.25,90.05,91.2,90.95,1310834.0,1197.82
2018-02-07,91.55,93.45,89.2,89.3,89.75,1021756.0,928.52
2018-02-06,90.0,93.0,89.0,90.25,90.2,1243920.0,1136.5
2018-02-05,91.7,98.6,88.05,98.0,94.7,1629507.0,1501.53
2018-02-02,97.7,98.95,88.7,92.75,92.7,1725745.0,1622.7
2018-02-01,100.3,104.45,98.05,98.5,98.85,2060475.0,2089.38
2018-01-31,97.5,100.95,97.35,100.5,100.0,596866.0,590.65
2018-01-30,99.7,99.95,97.2,98.15,97.95,655733.0,646.3
2018-01-29,102.5,102.7,99.1,99.7,99.95,1138329.0,1148.34
2018-01-25,103.35,104.0,101.3,101.6,101.6,621080.0,635.37
2018-01-24,101.9,103.6,101.0,102.9,102.55,521344.0,532.48
2018-01-23,103.2,104.0,101.5,101.8,101.9,463015.0,475.85
2018-01-22,101.0,103.65,101.0,102.8,102.5,642742.0,657.57
2018-01-19,103.85,104.25,99.6,101.3,100.95,1370251.0,1383.55
2018-01-18,105.05,108.0,102.0,103.0,102.7,1057100.0,1111.94
2018-01-17,104.0,104.95,100.0,104.3,104.05,874914.0,904.69
2018-01-16,109.6,110.2,103.05,103.85,103.95,1425330.0,1516.12
2018-01-15,112.5,113.5,108.1,109.6,109.55,722148.0,801.28
2018-01-12,112.9,114.8,110.8,111.85,111.8,1009758.0,1136.68
2018-01-11,111.9,113.5,110.6,111.9,112.1,676811.0,759.88
2018-01-10,114.5,114.95,110.75,111.8,111.9,771419.0,870.6
2018-01-09,115.0,116.0,113.5,114.35,114.4,835517.0,957.76
2018-01-08,118.75,119.45,114.85,115.3,115.25,1585392.0,1853.26
2018-01-05,113.6,117.8,113.1,117.45,116.8,2393829.0,2769.81
2018-01-04,112.35,115.15,112.05,113.05,112.95,1366365.0,1550.82
2018-01-03,112.2,114.0,110.45,111.8,111.55,979946.0,1097.67
2018-01-02,113.0,114.2,110.2,111.0,111.3,1010852.0,1132.49
2018-01-01,113.1,116.5,111.7,112.0,112.5,1231169.0,1404.27
2017-12-29,113.35,116.5,110.55,112.5,112.55,1929809.0,2195.04
2017-12-28,113.6,114.85,110.85,113.4,113.0,1113562.0,1257.73
2017-12-27,111.9,114.9,110.55,113.1,112.95,3234294.0,3661.42
2017-12-26,106.2,111.4,105.3,111.0,111.05,2411552.0,2626.13
2017-12-22,107.45,107.95,105.2,105.5,105.65,936139.0,999.18
2017-12-21,105.95,108.6,105.5,106.9,106.7,1403323.0,1503.13
2017-12-20,106.0,107.95,104.5,105.3,105.45,873499.0,929.32
