Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,101.6,107.05,100.25,102.7,102.6,1045839.0,1073.91
2018-03-12,100.5,102.25,98.8,102.05,101.0,443127.0,444.07
2018-03-09,101.1,101.25,97.45,99.95,99.5,596972.0,590.45
2018-03-08,96.75,102.5,94.05,101.2,101.1,953625.0,944.72
2018-03-07,99.7,99.7,95.1,96.75,96.75,1075051.0,1048.59
2018-03-06,101.5,101.5,99.35,100.0,99.8,706880.0,708.76
2018-03-05,104.55,105.2,100.1,100.5,100.25,425965.0,431.63
2018-03-01,104.4,106.0,104.0,104.65,104.55,501351.0,525.44
2018-02-28,110.0,112.0,103.6,104.2,104.4,2678501.0,2868.17
2018-02-27,114.35,114.8,110.1,112.0,112.2,327316.0,367.19
2018-02-26,115.05,115.95,114.05,114.45,114.75,264201.0,302.93
2018-02-23,114.9,116.7,114.05,115.05,115.0,228809.0,264.01
2018-02-22,114.65,115.45,113.9,114.9,114.9,310620.0,356.54
2018-02-21,118.65,119.3,114.05,114.15,114.65,445241.0,516.22
2018-02-20,119.0,119.0,117.85,118.7,118.4,319194.0,377.45
2018-02-19,122.0,122.15,117.75,119.0,119.0,395176.0,472.31
2018-02-16,122.65,123.55,120.9,121.45,121.6,699159.0,852.56
2018-02-15,124.65,125.75,121.6,122.65,122.6,400506.0,493.93
2018-02-14,126.4,126.55,124.5,124.6,124.65,369960.0,463.2
2018-02-12,124.75,126.9,124.55,125.5,125.6,422185.0,530.79
2018-02-09,125.0,126.3,124.0,124.2,124.5,599571.0,749.88
2018-02-08,126.25,128.25,125.0,125.85,126.4,723883.0,914.75
2018-02-07,130.5,130.5,126.0,126.1,126.25,398144.0,503.3
2018-02-06,126.95,128.8,125.8,126.35,126.3,613092.0,775.4
2018-02-05,125.65,131.25,125.3,130.8,129.5,532384.0,684.1
2018-02-02,130.0,130.3,128.0,128.2,128.4,937881.0,1207.84
2018-02-01,128.55,133.9,127.0,130.8,131.15,545540.0,713.51
2018-01-31,129.0,131.5,126.7,128.0,127.9,3311323.0,4255.72
2018-01-30,131.9,134.35,128.5,131.0,131.75,897753.0,1181.55
2018-01-29,136.1,137.15,131.0,132.05,132.0,504407.0,675.37
2018-01-25,135.5,137.3,134.5,136.3,136.05,370057.0,501.91
2018-01-24,137.5,138.35,134.65,135.4,135.5,458222.0,623.79
2018-01-23,140.3,140.3,136.45,137.0,137.4,509186.0,706.1
2018-01-22,140.95,141.85,139.15,139.8,140.3,406579.0,569.34
2018-01-19,141.65,143.35,138.5,139.95,141.65,487574.0,686.93
2018-01-18,146.0,147.0,138.6,141.7,141.05,685766.0,979.98
2018-01-17,137.2,142.5,137.2,140.95,141.6,1685016.0,2340.07
2018-01-16,141.0,142.05,136.5,136.7,137.15,483344.0,675.75
2018-01-15,143.45,143.85,140.15,141.0,141.55,602363.0,856.14
2018-01-12,143.4,144.2,141.8,142.65,142.6,460188.0,657.01
2018-01-11,143.9,144.5,142.0,143.25,143.35,419143.0,599.96
2018-01-10,145.3,146.7,142.7,143.3,143.4,582332.0,840.6
2018-01-09,148.0,148.0,144.6,145.25,145.3,536141.0,780.74
2018-01-08,149.7,149.7,146.9,147.5,147.6,491329.0,726.5
2018-01-05,148.5,149.5,147.4,148.5,148.6,593215.0,878.76
2018-01-04,151.4,151.5,147.4,148.0,148.2,929027.0,1384.65
2018-01-03,150.0,150.0,148.0,149.0,148.55,522995.0,776.68
2018-01-02,149.45,150.5,147.7,148.9,149.85,328753.0,489.19
2018-01-01,149.9,151.0,148.45,149.4,149.45,432830.0,647.7
2017-12-29,151.0,151.0,147.05,148.0,148.05,488999.0,724.3
2017-12-28,150.3,151.4,148.5,149.4,150.55,1029045.0,1546.05
2017-12-27,145.75,150.7,145.75,150.6,148.85,1823187.0,2707.48
