Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,520.15,547.65,519.5,543.1,544.3,101536.0,547.7
2018-03-12,520.25,524.45,518.05,521.45,521.4,55848.0,291.12
2018-03-09,521.5,526.1,517.0,518.5,519.4,57163.0,299.04
2018-03-08,521.1,527.0,512.0,521.0,521.3,98577.0,514.6
2018-03-07,526.05,536.15,515.1,524.05,520.15,66624.0,349.11
2018-03-06,533.0,545.0,530.0,534.95,536.15,157030.0,847.62
2018-03-05,545.0,545.0,527.1,528.2,530.7,107659.0,577.31
2018-03-01,543.55,543.95,528.15,528.2,531.75,26186.0,140.22
2018-02-28,525.5,548.0,525.0,542.2,543.55,76894.0,415.56
2018-02-27,521.05,538.8,520.05,537.0,537.4,85249.0,454.37
2018-02-26,515.7,524.6,515.25,519.1,520.8,44831.0,233.18
2018-02-23,514.9,521.0,514.05,516.2,515.7,35272.0,182.62
2018-02-22,511.55,520.0,511.0,514.0,514.6,118341.0,609.47
2018-02-21,511.5,521.9,511.5,516.0,516.95,31273.0,161.63
2018-02-20,527.0,527.0,513.95,521.6,519.0,28925.0,149.83
2018-02-19,520.3,532.0,513.2,518.0,518.95,27581.0,142.93
2018-02-16,527.25,535.4,517.05,525.0,525.3,34039.0,178.71
2018-02-15,535.35,541.9,525.1,527.0,527.25,155547.0,837.07
2018-02-14,520.0,549.9,519.15,535.0,535.7,123864.0,669.98
2018-02-12,520.0,524.0,515.85,518.0,518.4,30911.0,160.38
2018-02-09,500.2,517.0,500.0,515.0,514.65,57973.0,296.03
2018-02-08,503.55,514.45,502.35,509.95,508.7,164323.0,836.6
2018-02-07,503.6,510.0,498.0,500.0,502.2,84772.0,425.84
2018-02-06,499.9,508.0,491.2,503.6,503.3,61153.0,305.64
2018-02-05,505.0,509.0,500.0,507.1,506.05,78065.0,393.82
2018-02-02,512.0,517.5,505.0,510.0,510.0,83552.0,426.71
2018-02-01,517.05,521.35,511.0,516.0,517.8,60231.0,310.32
2018-01-31,520.0,520.05,511.2,516.2,516.6,79404.0,409.42
2018-01-30,516.0,525.0,508.0,518.0,517.35,226161.0,1164.3
2018-01-29,546.0,553.95,536.05,537.0,539.15,62835.0,342.7
2018-01-25,547.1,556.4,539.05,544.0,545.1,33396.0,182.82
2018-01-24,550.5,559.5,546.0,552.0,553.45,64801.0,357.53
2018-01-23,549.0,560.0,548.95,558.0,556.3,128370.0,714.14
2018-01-22,548.2,550.8,539.0,549.0,549.7,81175.0,443.37
2018-01-19,540.8,546.0,535.0,544.9,543.65,60431.0,326.62
2018-01-18,553.95,554.0,535.0,536.9,537.15,150920.0,822.01
2018-01-17,548.3,558.95,542.05,546.75,548.0,301526.0,1653.56
2018-01-16,545.0,550.0,530.3,532.7,533.1,79794.0,429.66
2018-01-15,549.0,551.4,542.1,544.2,544.9,72706.0,397.37
2018-01-12,552.25,553.0,542.1,544.0,546.15,44552.0,244.38
2018-01-11,541.0,553.4,541.0,549.0,550.25,44390.0,243.96
2018-01-10,553.0,556.75,540.0,544.0,543.2,70076.0,382.59
2018-01-09,564.0,564.0,550.0,552.1,553.5,48690.0,270.49
2018-01-08,556.4,565.0,555.3,561.0,561.0,129540.0,727.24
2018-01-05,547.0,554.4,546.25,552.8,551.45,117859.0,649.48
2018-01-04,538.0,545.0,535.0,544.0,544.15,105207.0,569.01
