Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,488.45,495.0,480.35,494.0,493.25,9077.0,44.52
2018-03-12,477.3,488.8,476.0,476.0,480.3,11503.0,55.58
2018-03-09,484.5,488.8,472.9,474.2,475.65,9972.0,48.25
2018-03-08,489.15,494.45,475.2,483.0,484.45,15475.0,74.79
2018-03-07,494.4,494.4,484.6,490.0,490.0,13474.0,65.97
2018-03-06,496.9,504.4,489.1,495.0,494.35,16781.0,83.4
2018-03-05,504.9,504.9,485.75,488.0,491.2,19946.0,99.04
2018-03-01,492.0,508.0,492.0,501.0,501.1,13107.0,65.83
2018-02-28,499.05,504.0,494.5,496.0,498.65,8670.0,43.3
2018-02-27,511.55,512.75,494.05,506.0,505.1,47285.0,238.28
2018-02-26,480.5,528.0,480.5,504.95,510.45,46880.0,238.63
2018-02-23,482.0,495.0,482.0,486.5,487.3,8958.0,43.9
2018-02-22,489.95,494.8,481.15,482.0,486.35,7733.0,37.89
2018-02-21,502.05,502.05,485.1,485.1,485.5,6186.0,30.36
2018-02-20,487.85,499.8,487.85,495.0,492.3,12043.0,59.46
2018-02-19,496.2,503.7,482.05,485.0,486.3,9948.0,48.46
2018-02-16,514.8,514.8,492.1,498.25,498.75,13344.0,66.53
2018-02-15,511.0,520.05,500.05,501.5,507.85,16076.0,81.57
2018-02-14,526.0,526.0,489.1,511.0,510.4,39993.0,204.64
2018-02-12,520.0,533.0,518.95,529.0,529.6,18921.0,99.7
2018-02-09,505.1,519.75,500.0,519.75,517.1,14834.0,75.86
2018-02-08,500.0,524.4,500.0,517.4,515.8,21649.0,111.65
2018-02-07,487.65,502.8,487.65,500.0,499.4,17834.0,88.92
2018-02-06,475.1,496.95,470.0,479.0,478.4,307760.0,1476.44
2018-02-05,497.1,510.0,489.1,509.95,505.65,33143.0,167.2
2018-02-02,520.45,524.0,466.0,502.5,508.15,60152.0,303.01
2018-02-01,530.5,537.0,520.1,522.1,524.2,110006.0,579.99
2018-01-31,522.0,547.05,516.25,534.0,537.15,128239.0,678.86
2018-01-30,519.3,541.0,511.1,525.1,528.6,52381.0,276.67
2018-01-29,535.75,539.0,513.1,515.0,515.05,51747.0,271.67
2018-01-25,534.0,534.9,526.0,529.95,529.1,12521.0,66.35
2018-01-24,545.0,545.05,530.5,531.0,534.55,72744.0,393.17
2018-01-23,538.0,548.0,538.0,546.0,545.3,19720.0,107.08
2018-01-22,540.0,547.9,538.05,543.0,540.9,85508.0,464.37
2018-01-19,540.55,548.65,532.0,535.25,536.35,44426.0,240.41
2018-01-18,560.9,560.9,538.05,547.0,541.35,112663.0,620.35
2018-01-17,556.25,559.6,539.0,553.0,552.5,17975.0,98.8
2018-01-16,583.0,583.0,553.95,554.2,556.25,27015.0,152.04
2018-01-15,578.9,597.8,569.1,582.5,580.9,86737.0,507.53
2018-01-12,541.4,599.0,532.05,574.8,576.7,191998.0,1109.72
2018-01-11,540.3,548.45,536.5,545.0,544.4,19421.0,105.56
2018-01-10,542.0,548.45,535.4,539.7,541.75,37013.0,200.14
2018-01-09,557.95,557.95,540.05,542.7,544.6,67353.0,367.5
2018-01-08,560.0,564.9,547.0,560.9,558.1,36814.0,205.53
2018-01-05,555.0,560.0,552.1,555.05,555.05,68816.0,382.46
2018-01-04,534.75,555.0,530.55,551.1,551.35,105704.0,578.66
2018-01-03,522.8,548.9,521.0,529.05,528.25,55005.0,291.98
2018-01-02,536.05,539.9,514.05,520.9,520.05,22228.0,116.28
2018-01-01,541.8,541.8,525.0,534.0,534.0,46730.0,249.12
2017-12-29,519.4,558.8,519.4,537.3,536.15,273912.0,1484.0
2017-12-28,519.25,522.0,511.0,516.0,516.4,9403.0,48.52
2017-12-27,527.0,527.0,517.9,517.9,521.05,15403.0,80.36
2017-12-26,530.2,538.0,525.0,527.0,527.05,19275.0,102.12
2017-12-22,528.8,535.0,511.0,530.0,530.15,47848.0,252.2
2017-12-21,494.2,528.7,494.2,520.65,522.1,87769.0,453.62
2017-12-20,472.15,503.05,472.15,500.0,495.55,101642.0,502.51
2017-12-19,480.2,480.2,470.0,472.45,472.6,18730.0,89.08
2017-12-18,481.1,484.0,465.0,476.15,475.9,35392.0,169.55
2017-12-15,488.9,492.75,485.0,485.0,485.55,13437.0,65.63
2017-12-14,490.0,490.95,476.05,485.05,485.7,12299.0,59.37
2017-12-13,491.0,496.95,484.0,485.05,485.9,15950.0,78.31
2017-12-12,486.0,501.0,486.0,492.0,491.95,34845.0,172.6
2017-12-11,494.0,494.0,486.4,492.0,490.15,155090.0,760.72
2017-12-08,484.05,493.9,484.0,488.15,488.95,20201.0,98.95
2017-12-07,493.4,495.4,478.05,483.5,483.2,34933.0,170.35
2017-12-06,498.85,504.9,488.0,491.45,490.35,31084.0,154.77
2017-12-05,510.0,510.0,483.3,495.05,496.15,16794.0,82.65
2017-12-04,526.5,527.9,499.05,507.0,502.9,32205.0,165.28
2017-12-01,519.0,544.8,517.0,517.0,518.1,33419.0,176.32
2017-11-30,526.05,526.05,517.5,521.9,518.8,22506.0,116.87
2017-11-29,527.5,531.9,518.25,523.0,527.85,53301.0,281.34
2017-11-28,522.5,531.0,521.0,526.0,527.35,51583.0,271.38
2017-11-27,526.5,536.9,516.0,518.5,518.3,37505.0,196.45
2017-11-24,518.9,537.25,515.0,520.05,521.85,63636.0,336.03
2017-11-23,516.0,528.9,511.0,513.5,513.55,26369.0,136.8
2017-11-22,527.0,527.0,511.0,512.2,514.05,40658.0,210.41
2017-11-21,531.9,540.0,520.1,523.95,524.4,72567.0,384.73
2017-11-20,511.0,555.0,511.0,525.0,526.65,290102.0,1546.13
2017-11-17,475.45,521.0,471.0,507.1,509.1,358038.0,1821.65
2017-11-16,471.0,482.0,467.0,480.0,472.85,34374.0,162.83
2017-11-15,466.5,483.65,457.1,474.0,472.9,64380.0,305.43
2017-11-14,464.35,467.45,458.75,465.0,464.75,20861.0,96.62
2017-11-13,465.0,469.0,461.1,464.0,464.35,17206.0,79.89
2017-11-10,460.0,468.75,460.0,468.0,463.45,24914.0,115.57
2017-11-09,467.95,479.3,460.0,460.05,464.55,53199.0,249.97
2017-11-08,458.0,467.0,451.55,464.0,462.7,83158.0,383.81
2017-11-07,456.0,470.4,450.0,455.0,455.4,102714.0,474.76
2017-11-06,429.9,460.85,425.0,460.0,456.6,216269.0,972.63
2017-11-03,426.5,430.05,423.25,425.0,425.6,23240.0,99.24
2017-11-02,427.0,431.25,422.7,422.7,426.05,34313.0,146.76
2017-11-01,438.0,438.0,426.0,426.0,429.15,25726.0,111.15
2017-10-31,431.9,438.0,424.15,434.9,431.45,95105.0,408.28
2017-10-30,433.0,443.0,420.0,430.0,424.1,236480.0,1015.33
2017-10-27,423.1,423.1,411.3,413.0,415.35,25945.0,108.31
2017-10-26,410.0,422.8,403.2,417.0,419.7,54513.0,225.37
2017-10-25,411.0,415.0,400.0,411.15,409.9,33331.0,136.22
2017-10-24,401.0,415.85,397.1,403.7,403.55,54528.0,222.68
2017-10-23,395.15,408.05,391.95,402.0,401.1,29982.0,119.92
2017-10-19,394.0,400.9,394.0,395.0,396.75,13490.0,53.59
2017-10-18,372.2,408.7,372.2,394.8,391.1,285429.0,1092.63
2017-10-17,379.9,380.45,375.1,375.1,376.35,30682.0,115.79
2017-10-16,385.8,385.8,377.05,378.3,378.05,22380.0,84.75
2017-10-13,384.5,384.5,377.0,381.0,380.0,68804.0,261.64
2017-10-12,384.0,385.0,377.0,378.0,379.05,16986.0,64.56
2017-10-11,385.0,385.9,379.5,381.65,380.9,18635.0,71.52
2017-10-10,385.0,385.6,382.0,384.0,384.05,11190.0,43.0
2017-10-09,387.45,387.45,383.7,384.1,384.95,28575.0,110.02
2017-10-06,387.95,389.45,381.2,381.8,383.9,18979.0,72.87
2017-10-05,378.05,390.0,378.05,384.9,384.9,13978.0,53.8
2017-10-04,376.8,386.7,376.5,385.0,384.65,77064.0,296.42
2017-10-03,383.2,383.4,372.1,375.0,376.8,11011.0,41.56
2017-09-29,384.2,384.2,373.1,375.55,376.05,21735.0,81.82
2017-09-28,376.9,380.0,372.0,375.0,378.85,34156.0,128.77
2017-09-27,392.0,395.0,368.0,371.95,373.75,35067.0,132.35
2017-09-26,384.5,391.0,380.2,390.0,387.95,5571.0,21.48
2017-09-25,391.0,397.7,375.55,375.55,380.0,13647.0,52.16
2017-09-22,397.0,400.9,389.0,390.8,389.9,14900.0,58.92
2017-09-21,398.95,407.4,391.0,392.1,393.2,21762.0,86.61
2017-09-20,405.0,405.0,387.0,395.0,391.75,66571.0,263.6
2017-09-19,406.3,409.0,403.65,404.15,405.0,14105.0,57.31
2017-09-18,409.0,410.0,403.25,405.85,405.45,22147.0,89.96
2017-09-15,412.0,430.0,402.1,409.0,409.5,24570.0,100.68
2017-09-14,416.0,416.0,401.55,406.0,404.6,9332.0,38.04
2017-09-13,408.0,418.85,404.0,416.0,414.4,23458.0,97.25
2017-09-12,399.0,412.0,394.4,412.0,408.3,39369.0,157.79
2017-09-11,401.55,407.15,392.15,399.0,396.35,17281.0,69.07
2017-09-08,405.0,406.95,400.1,403.2,402.45,30025.0,121.49
2017-09-07,405.25,407.15,400.05,401.35,400.95,16667.0,67.46
2017-09-06,402.0,409.0,401.1,405.0,404.0,26481.0,107.82
2017-09-05,412.95,412.95,407.0,408.0,407.8,25376.0,103.94
2017-09-04,405.0,415.0,403.0,410.5,409.75,14934.0,60.8
2017-09-01,409.0,412.9,406.0,410.0,409.55,13316.0,54.5
2017-08-31,411.25,419.0,406.05,409.0,410.7,21508.0,88.57
2017-08-30,411.15,414.0,410.0,414.0,411.25,6955.0,28.64
2017-08-29,402.15,412.0,401.0,410.45,409.2,5230.0,21.3
2017-08-28,406.45,408.75,401.25,402.0,403.5,5671.0,22.91
2017-08-24,409.0,409.25,402.0,404.55,406.45,7810.0,31.73
2017-08-23,411.15,412.7,404.0,408.9,408.85,11265.0,46.1
2017-08-22,414.0,414.0,402.1,410.9,410.5,14057.0,57.62
2017-08-21,422.0,422.0,405.95,405.95,407.35,7117.0,29.21
2017-08-18,420.0,420.0,410.2,410.55,412.0,6802.0,28.21
2017-08-17,419.7,425.0,416.1,422.0,422.75,5893.0,24.86
2017-08-16,429.75,429.75,415.0,417.25,417.85,5543.0,23.17
2017-08-14,410.0,425.9,405.1,425.0,423.4,14199.0,59.59
2017-08-11,405.0,414.0,400.1,410.0,411.75,33433.0,136.31
2017-08-10,410.0,419.95,401.5,417.5,414.95,50327.0,207.49
2017-08-09,414.9,420.75,411.1,415.6,418.3,52761.0,220.98
2017-08-08,431.25,431.3,410.55,414.9,414.9,19329.0,80.93
2017-08-07,424.1,430.35,421.0,422.15,426.3,12845.0,54.76
2017-08-04,426.9,428.0,419.0,422.0,423.85,29117.0,123.17
2017-08-03,439.95,439.95,425.0,426.5,428.85,55610.0,239.04
