Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-12,768.0,773.7,761.2,772.0,769.8,1174238.0,9024.16
2018-03-09,775.0,781.0,762.0,764.05,764.5,813679.0,6290.53
2018-03-08,765.0,774.4,750.15,770.9,771.15,1345222.0,10266.91
2018-03-07,772.0,773.4,756.0,762.7,761.75,1288034.0,9828.45
2018-03-06,792.0,795.0,768.4,770.55,773.4,2526715.0,19726.83
2018-03-05,804.0,806.0,789.0,790.0,790.15,1944252.0,15413.31
2018-03-01,820.0,824.25,802.3,804.0,803.9,1311644.0,10621.46
2018-02-28,823.9,828.9,815.1,822.0,819.95,882036.0,7244.28
2018-02-27,824.7,831.45,819.15,826.0,826.3,976292.0,8065.85
2018-02-26,813.0,824.5,810.15,822.0,821.3,1034951.0,8463.14
2018-02-23,803.1,814.8,803.1,809.35,807.5,1754473.0,14201.4
2018-02-22,813.0,815.5,796.25,801.1,800.05,1669008.0,13480.58
2018-02-21,816.8,827.95,811.5,814.0,813.95,1184810.0,9676.58
2018-02-20,812.0,822.4,810.0,815.85,815.8,740252.0,6051.46
2018-02-19,825.9,835.0,807.0,813.3,814.4,1260233.0,10339.95
2018-02-16,823.5,829.8,821.2,827.0,825.1,589728.0,4871.35
2018-02-15,830.0,832.3,819.0,822.2,822.3,872676.0,7184.45
2018-02-14,847.65,847.65,825.0,826.0,827.6,1135323.0,9455.07
2018-02-12,828.8,847.0,825.5,841.0,840.45,1781070.0,14936.4
2018-02-09,804.0,829.3,799.0,821.5,822.15,2767071.0,22694.96
2018-02-08,809.9,816.0,800.0,814.0,812.45,2057573.0,16675.54
2018-02-07,796.0,813.5,781.8,804.4,806.05,5037897.0,40266.97
2018-02-06,824.0,834.9,789.4,790.05,800.9,4675402.0,38009.14
2018-02-05,843.0,857.5,834.0,851.0,849.1,1407031.0,11923.13
2018-02-02,860.8,878.5,845.0,846.0,847.0,2532888.0,21804.22
2018-02-01,883.95,886.25,852.2,860.8,860.4,1834018.0,15889.27
2018-01-31,900.0,901.7,876.0,882.8,883.75,1590192.0,14081.02
2018-01-30,911.4,913.55,897.65,903.0,902.75,941196.0,8516.56
2018-01-29,949.65,954.0,908.0,909.7,912.2,1520775.0,14079.08
2018-01-25,966.0,970.0,945.15,950.1,949.65,2611485.0,24947.57
2018-01-24,937.0,962.0,933.35,961.0,959.05,1976531.0,18802.26
2018-01-23,930.1,941.4,926.1,937.0,937.35,1507345.0,14097.03
2018-01-22,925.0,933.0,918.55,930.0,930.05,1132432.0,10517.42
2018-01-19,925.0,926.0,906.4,923.0,924.1,1343268.0,12344.69
2018-01-18,923.85,927.0,915.35,921.0,921.05,2318124.0,21383.79
2018-01-17,908.0,920.5,894.45,918.15,919.35,1479797.0,13495.41
2018-01-16,920.0,924.1,905.0,908.0,906.75,963028.0,8797.82
2018-01-15,919.9,924.7,914.0,914.95,916.55,614597.0,5649.72
2018-01-12,931.0,937.0,908.25,916.4,919.1,1291426.0,11921.75
2018-01-11,929.65,934.95,925.65,928.7,929.2,915764.0,8517.14
2018-01-10,923.25,933.0,915.05,926.8,925.8,1583387.0,14641.87
2018-01-09,924.45,932.5,915.15,922.0,923.25,1729594.0,15999.33
2018-01-08,906.4,927.0,905.0,922.5,923.3,3798830.0,34985.12
2018-01-05,880.0,904.4,876.0,900.8,900.15,2694063.0,24042.8
2018-01-04,880.25,882.7,870.05,878.7,878.15,1924978.0,16874.44
2018-01-03,878.7,884.85,872.85,878.7,878.95,3960088.0,34837.42
2018-01-02,887.9,888.0,871.25,875.0,875.15,1199522.0,10528.88
2018-01-01,889.5,892.0,880.2,885.5,883.25,1032734.0,9160.37
2017-12-29,895.0,899.9,881.55,887.05,885.1,2616172.0,23274.84
2017-12-28,877.9,889.0,875.15,884.65,880.55,2380146.0,21014.9
