Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,157.5,164.0,155.0,163.7,162.1,48977.0,78.26
2018-03-12,152.0,159.2,151.0,158.7,157.65,64967.0,100.59
2018-03-09,154.75,155.0,149.3,151.1,150.85,45032.0,68.58
2018-03-08,150.5,154.95,148.0,151.75,152.9,57713.0,87.43
2018-03-07,157.0,158.95,149.0,152.3,150.6,47784.0,73.75
2018-03-06,161.75,162.7,156.0,156.25,158.0,30122.0,48.15
2018-03-05,174.0,174.0,158.0,160.0,159.45,187885.0,308.1
2018-03-01,159.0,163.25,159.0,162.1,162.45,46736.0,75.48
2018-02-28,161.0,162.8,159.25,160.7,160.35,23482.0,37.75
2018-02-27,165.1,165.6,159.5,160.6,161.8,45907.0,74.03
2018-02-26,162.65,167.0,160.25,165.05,165.0,34341.0,56.25
2018-02-23,160.2,163.1,160.15,162.05,161.9,24290.0,39.2
2018-02-22,160.5,161.6,159.5,161.45,160.3,47920.0,76.69
2018-02-21,161.6,163.8,158.0,160.0,160.5,648294.0,1037.23
2018-02-20,156.75,168.45,156.0,163.0,161.45,41415.0,65.87
2018-02-19,167.0,167.0,155.2,156.0,157.25,222102.0,357.41
2018-02-16,168.0,168.0,165.0,167.0,166.85,29027.0,48.4
2018-02-15,169.95,174.45,166.45,168.0,168.75,138393.0,234.14
2018-02-14,169.6,170.0,159.1,166.45,167.45,146769.0,244.23
2018-02-12,160.2,168.0,159.95,166.6,167.15,45783.0,75.18
2018-02-09,156.0,161.8,153.0,161.8,160.2,47735.0,75.08
2018-02-08,147.95,161.8,147.95,161.0,159.15,169240.0,258.81
2018-02-07,152.8,152.8,145.1,147.05,147.25,102440.0,152.18
2018-02-06,152.85,154.0,145.05,147.6,147.85,148115.0,220.72
2018-02-05,154.85,159.4,135.95,156.0,155.9,176442.0,274.06
2018-02-02,160.55,161.0,155.75,159.95,159.35,119835.0,189.53
2018-02-01,158.6,165.0,154.8,160.0,163.8,192740.0,312.15
2018-01-31,163.6,165.0,157.65,158.0,158.5,68460.0,110.0
2018-01-30,165.1,168.85,161.35,161.6,161.95,76235.0,124.63
2018-01-29,171.0,171.0,165.1,165.15,166.1,39992.0,67.3
2018-01-25,164.15,173.9,164.15,168.95,169.65,113612.0,194.51
2018-01-24,173.5,173.5,160.05,167.8,166.9,148531.0,244.4
2018-01-23,171.55,173.9,168.05,169.6,169.45,71265.0,122.13
2018-01-22,176.5,176.5,170.15,170.4,171.6,64919.0,111.95
2018-01-19,181.0,181.0,172.0,172.0,174.7,928846.0,1622.05
2018-01-18,180.0,181.3,173.45,174.6,174.85,299496.0,533.5
2018-01-17,175.0,175.0,168.7,173.9,173.4,63843.0,109.42
2018-01-16,180.7,180.7,171.1,175.3,175.0,84285.0,146.96
2018-01-15,181.55,182.0,175.2,178.85,178.35,107820.0,193.43
2018-01-12,176.0,183.8,174.8,177.95,179.45,382956.0,690.05
2018-01-11,172.5,175.3,171.0,174.35,174.15,132409.0,229.8
2018-01-10,169.7,174.0,168.05,171.8,171.6,393155.0,672.29
2018-01-09,168.7,171.0,166.35,167.2,168.05,328068.0,551.87
2018-01-08,174.35,174.35,166.0,166.8,167.2,122676.0,206.74
2018-01-05,172.75,174.4,170.0,170.0,172.25,57540.0,99.23
2018-01-04,166.6,172.4,164.25,170.0,170.45,56445.0,95.62
2018-01-03,165.95,168.85,164.0,167.05,167.6,66997.0,111.68
2018-01-02,159.1,166.75,158.25,165.9,163.55,151949.0,245.52
2018-01-01,161.85,161.9,158.25,160.5,160.45,64032.0,102.65
2017-12-29,159.9,161.8,158.15,160.0,160.55,86204.0,138.09
2017-12-28,163.5,163.5,157.7,160.0,159.9,185536.0,297.43
2017-12-27,165.45,165.45,162.2,162.2,163.4,49067.0,80.56
2017-12-26,165.75,167.5,163.0,165.0,165.05,55761.0,91.83
2017-12-22,167.65,172.5,162.65,165.0,165.3,354619.0,596.97
2017-12-21,160.05,167.7,159.85,167.7,166.1,86484.0,141.42
2017-12-20,163.7,164.05,159.1,159.85,159.95,66874.0,107.49
2017-12-19,159.8,162.5,158.2,162.0,161.95,52714.0,84.57
2017-12-18,163.0,163.0,156.75,158.0,160.6,34533.0,55.72
2017-12-15,160.85,162.8,157.65,162.0,162.1,56058.0,90.14
2017-12-14,162.7,163.95,157.55,158.5,159.1,75922.0,121.24
2017-12-13,159.95,162.7,156.95,161.5,161.75,49046.0,78.41
2017-12-12,163.85,163.9,159.0,159.0,159.55,88574.0,142.14
2017-12-11,166.9,166.9,162.8,163.0,163.6,42311.0,69.56
2017-12-08,168.75,168.75,162.55,167.0,165.9,74364.0,123.38
2017-12-07,168.85,168.9,166.0,166.1,166.4,71879.0,119.88
2017-12-06,166.3,169.85,166.1,168.0,169.05,25819.0,43.33
2017-12-05,166.15,168.7,166.0,168.0,167.9,12564.0,21.02
2017-12-04,170.0,171.95,166.4,168.0,167.8,32117.0,54.0
2017-12-01,173.5,174.75,168.2,168.2,169.9,35756.0,61.11
2017-11-30,171.8,176.0,168.0,172.05,173.2,27012.0,46.16
2017-11-29,174.9,177.3,168.55,170.6,171.2,432920.0,747.92
2017-11-28,166.8,173.8,166.8,172.85,173.25,141703.0,242.99
2017-11-27,170.9,170.9,166.2,166.7,167.45,26258.0,44.05
2017-11-24,169.0,172.45,166.2,167.8,168.5,83455.0,140.83
2017-11-23,170.05,170.05,165.0,165.5,165.95,54686.0,91.33
2017-11-22,171.0,173.0,167.05,169.2,169.65,45079.0,76.6
2017-11-21,178.5,178.5,169.0,170.0,170.45,201482.0,349.41
2017-11-20,175.15,176.25,174.1,176.25,175.9,66785.0,116.98
2017-11-17,174.7,177.0,174.0,174.0,175.15,53748.0,94.14
2017-11-16,175.0,180.4,171.85,172.15,173.25,237111.0,418.75
2017-11-15,173.0,175.3,171.85,173.0,173.4,127736.0,220.09
2017-11-14,174.0,175.6,172.0,172.0,172.8,37244.0,64.43
2017-11-13,174.0,178.0,171.4,172.7,174.2,190090.0,329.09
2017-11-10,169.9,179.0,165.8,172.8,174.9,167797.0,287.19
2017-11-09,169.0,173.0,163.35,167.0,168.6,163925.0,274.91
2017-11-08,166.9,173.0,166.8,168.95,168.55,91940.0,154.7
2017-11-07,177.5,178.7,164.25,167.8,165.3,254034.0,438.5
2017-11-06,180.25,182.95,175.95,176.6,177.0,61392.0,110.09
2017-11-03,179.5,183.0,178.55,179.9,180.45,256629.0,462.57
2017-11-02,175.0,181.8,174.95,181.0,179.4,54797.0,96.98
2017-11-01,176.2,177.4,174.95,175.2,175.15,36507.0,64.04
2017-10-31,177.2,177.95,174.9,176.5,175.7,53050.0,93.2
2017-10-30,175.95,177.75,175.0,175.2,176.4,45084.0,79.19
2017-10-27,174.95,178.6,174.55,175.0,175.4,76219.0,133.93
2017-10-26,168.0,175.4,167.55,175.05,174.2,154429.0,267.38
2017-10-25,171.5,171.95,164.25,168.0,168.3,102811.0,171.48
2017-10-24,172.2,173.1,169.85,171.0,170.65,52701.0,90.25
2017-10-23,177.45,177.45,170.75,172.4,172.55,77064.0,133.5
2017-10-19,176.25,178.25,174.15,174.95,175.9,17924.0,31.61
2017-10-18,182.2,185.9,174.5,177.5,176.5,233981.0,421.72
