Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,383.0,390.0,381.0,384.0,385.75,181124.0,697.69
2018-03-12,382.5,383.65,379.0,379.6,380.1,160725.0,611.76
2018-03-09,381.0,384.4,372.7,374.0,374.3,64701.0,244.92
2018-03-08,383.5,389.4,376.95,378.0,378.95,84174.0,320.71
2018-03-07,384.15,389.0,377.35,382.05,383.1,95746.0,367.93
2018-03-06,405.4,407.55,378.1,381.5,384.15,340497.0,1349.07
2018-03-05,389.8,404.0,384.4,400.0,399.05,254970.0,1012.33
2018-03-01,378.5,405.0,375.0,389.0,390.4,407366.0,1605.02
2018-02-28,376.8,383.0,369.3,380.2,379.9,83911.0,315.67
2018-02-27,384.4,387.45,372.0,376.5,377.25,268596.0,1014.44
2018-02-26,394.8,402.8,381.6,382.9,383.85,146050.0,569.26
2018-02-23,384.0,391.6,379.55,388.9,387.9,79556.0,305.78
2018-02-22,382.2,397.45,378.0,378.15,378.8,81953.0,314.27
2018-02-21,390.0,391.9,385.25,386.55,389.4,220886.0,861.02
2018-02-20,397.5,402.9,381.0,384.0,385.0,109106.0,428.05
2018-02-19,399.9,405.0,385.6,399.0,394.85,62658.0,245.08
2018-02-16,400.0,405.5,392.7,398.0,395.5,47119.0,188.88
2018-02-15,418.0,423.1,396.1,400.1,399.4,206503.0,838.28
2018-02-14,425.0,434.8,410.0,412.0,415.3,87819.0,372.89
2018-02-12,402.0,424.0,401.95,420.0,420.5,444454.0,1838.75
2018-02-09,398.0,403.9,391.0,401.5,399.95,93123.0,369.08
2018-02-08,391.0,408.0,383.95,406.0,406.2,150140.0,601.06
2018-02-07,384.0,390.45,377.2,388.0,387.65,96224.0,370.77
2018-02-06,372.0,379.0,358.0,373.4,374.5,132628.0,490.15
2018-02-05,365.0,385.0,360.4,382.0,381.95,161489.0,602.97
2018-02-02,386.0,387.0,357.95,378.0,376.35,260035.0,975.68
2018-02-01,381.0,399.0,376.2,386.6,386.55,423949.0,1644.48
2018-01-31,383.0,392.0,369.0,381.0,377.5,252264.0,955.52
2018-01-30,399.4,412.0,373.65,380.0,381.2,460289.0,1815.39
2018-01-29,400.0,403.55,390.0,392.45,391.5,119676.0,473.99
2018-01-25,403.0,406.75,395.0,397.0,396.9,123554.0,493.12
2018-01-24,416.0,424.45,397.6,400.0,399.45,179697.0,734.26
2018-01-23,406.65,418.35,399.0,413.5,414.3,253918.0,1036.98
2018-01-22,426.5,427.1,401.0,403.0,406.65,159460.0,658.63
2018-01-19,437.85,440.0,424.55,429.0,427.95,71396.0,307.2
2018-01-18,449.5,454.95,427.2,429.0,430.35,48469.0,214.27
2018-01-17,455.0,470.0,443.7,445.8,447.8,96961.0,439.27
2018-01-16,463.4,476.85,451.9,459.0,460.8,235291.0,1095.56
2018-01-15,482.75,486.0,460.5,462.0,462.2,79817.0,374.77
2018-01-12,488.95,489.65,470.3,480.0,479.2,63900.0,305.13
2018-01-11,483.0,491.0,475.6,484.0,483.2,80658.0,389.75
2018-01-10,474.15,495.0,472.55,480.5,482.8,190120.0,924.42
2018-01-09,486.0,489.4,471.0,478.55,475.55,75316.0,360.17
2018-01-08,487.6,498.0,478.1,486.0,484.0,76374.0,372.46
2018-01-05,480.0,498.9,473.85,486.0,485.75,243669.0,1184.55
2018-01-04,474.0,480.0,464.05,478.0,475.05,312584.0,1476.06
2018-01-03,466.0,479.7,465.0,474.45,473.8,247998.0,1172.23
2018-01-02,441.95,474.95,431.35,462.0,462.05,711448.0,3268.26
2018-01-01,438.0,443.0,433.7,439.05,440.65,59612.0,261.24
2017-12-29,441.0,446.0,436.0,439.7,437.95,89427.0,395.01
2017-12-28,436.9,443.8,434.0,440.6,440.5,63692.0,278.79
2017-12-27,436.0,447.6,432.5,436.0,436.9,106786.0,471.58
2017-12-26,440.0,440.0,431.0,431.6,432.35,37888.0,164.44
2017-12-22,450.0,455.0,436.1,437.55,437.35,99650.0,445.36
2017-12-21,443.0,450.5,439.2,449.8,447.15,189083.0,839.66
2017-12-20,437.65,445.0,435.0,443.0,441.3,240880.0,1063.34
2017-12-19,424.95,447.5,420.2,433.05,436.6,521178.0,2269.14
2017-12-18,399.0,424.0,348.95,423.0,420.65,477526.0,1973.92
2017-12-15,407.95,413.95,400.0,402.0,403.25,314349.0,1278.94
2017-12-14,389.5,409.0,388.0,399.0,403.5,2300541.0,9221.08
2017-12-13,362.75,375.0,362.25,371.45,371.95,149117.0,551.15
2017-12-12,368.8,376.8,358.6,361.3,361.3,108859.0,399.35
2017-12-11,379.0,382.5,364.0,364.5,367.4,153498.0,570.54
2017-12-08,393.0,402.1,374.4,375.0,379.2,144419.0,555.72
2017-12-07,382.0,392.0,382.0,388.0,388.55,65175.0,251.79
2017-12-06,381.0,389.45,377.1,380.0,382.4,123284.0,472.68
2017-12-05,375.0,386.75,365.8,378.7,379.25,691155.0,2573.72
2017-12-04,391.0,395.95,370.0,373.0,374.2,118084.0,449.59
2017-12-01,398.0,409.6,390.0,391.15,392.6,151621.0,606.96
2017-11-30,397.0,414.5,390.0,395.0,393.15,134586.0,540.89
2017-11-29,394.0,398.0,390.0,393.55,393.1,59046.0,232.27
2017-11-28,399.0,400.0,393.0,394.5,394.8,55760.0,221.15
2017-11-27,402.45,402.7,396.0,399.8,398.1,62556.0,249.75
2017-11-24,408.95,408.95,398.05,400.05,400.25,90710.0,364.44
2017-11-23,409.95,410.7,402.2,405.0,403.8,37219.0,151.01
2017-11-22,410.05,414.0,403.0,403.8,404.85,69353.0,281.86
2017-11-21,406.95,419.75,400.05,412.0,413.05,83127.0,338.38
2017-11-20,407.85,413.3,399.0,401.9,402.65,64899.0,262.36
2017-11-17,411.0,415.85,399.65,404.9,403.75,60788.0,248.01
2017-11-16,422.0,428.65,405.5,406.45,407.9,72524.0,298.58
2017-11-15,433.0,433.15,404.0,420.0,420.75,109509.0,455.99
2017-11-14,439.8,447.0,425.0,428.3,428.7,127237.0,558.67
2017-11-13,436.0,452.0,434.15,434.9,435.7,60322.0,266.36
2017-11-10,427.0,448.0,425.0,436.0,436.45,118227.0,517.02
2017-11-09,433.95,433.95,424.6,428.0,427.05,21289.0,91.02
2017-11-08,433.45,433.45,425.1,429.0,429.9,37248.0,160.18
2017-11-07,430.0,433.15,424.0,431.7,429.0,37397.0,160.8
2017-11-06,431.0,437.95,420.0,430.0,429.65,81925.0,350.38
2017-11-03,429.0,444.0,426.15,431.0,430.5,80337.0,348.41
2017-11-02,438.0,441.0,423.55,424.0,424.55,74818.0,321.66
2017-11-01,442.9,443.0,436.25,437.0,438.0,25371.0,111.52
2017-10-31,437.5,448.0,432.0,437.95,438.4,120258.0,531.41
2017-10-30,448.4,448.4,433.15,434.0,436.7,64983.0,284.12
2017-10-27,449.95,458.0,440.6,440.85,441.45,47457.0,211.22
2017-10-26,447.5,460.0,433.8,444.0,444.5,125513.0,558.93
2017-10-25,435.9,448.0,430.0,439.0,443.55,60767.0,266.37
2017-10-24,440.0,442.5,431.05,432.9,432.4,75004.0,326.43
2017-10-23,453.1,456.0,431.2,436.5,435.9,78339.0,344.79
2017-10-19,445.0,460.0,444.9,452.6,451.1,88329.0,400.29
2017-10-18,450.0,450.05,437.0,438.0,439.0,74439.0,327.77
2017-10-17,455.9,457.85,444.0,445.0,445.9,79064.0,355.95
2017-10-16,450.0,458.45,447.0,447.5,449.85,80169.0,360.7
2017-10-13,451.3,469.0,444.45,444.45,446.3,203308.0,925.51
2017-10-12,451.0,462.0,445.0,449.0,450.05,80169.0,360.88
2017-10-11,469.85,470.0,443.95,444.0,448.2,99430.0,456.66
2017-10-10,470.25,475.0,457.35,462.0,465.0,36124.0,168.8
2017-10-09,470.0,480.0,461.85,468.0,466.75,77803.0,366.3
2017-10-06,476.35,495.0,466.05,467.1,468.4,53827.0,257.47
2017-10-05,480.0,480.95,470.0,479.0,476.35,64837.0,308.26
2017-10-04,466.0,485.0,464.85,471.2,478.9,159567.0,753.19
2017-10-03,475.4,480.0,462.4,469.95,467.75,241520.0,1135.47
2017-09-29,474.0,482.0,461.0,472.5,467.2,178226.0,835.68
2017-09-28,459.0,496.5,435.7,471.95,471.65,234943.0,1090.44
2017-09-27,475.0,483.95,449.7,459.0,458.65,121931.0,563.28
2017-09-26,968.9,973.35,943.0,946.0,952.15,44276.0,425.32
2017-09-25,976.4,987.95,937.05,972.0,967.95,161078.0,1544.2
2017-09-22,965.05,1005.95,948.0,975.0,976.4,502029.0,4847.36
2017-09-21,973.0,973.0,941.0,967.5,962.9,52412.0,501.03
2017-09-20,970.0,985.0,958.05,958.45,962.4,149982.0,1456.27
2017-09-19,971.95,971.95,950.0,964.0,964.35,97461.0,936.5
2017-09-18,979.9,1008.3,945.0,965.0,956.9,356924.0,3464.55
2017-09-15,904.0,1024.0,902.0,970.0,961.5,658623.0,6418.15
2017-09-14,896.0,913.55,880.0,900.25,905.65,321604.0,2900.49
2017-09-13,907.0,916.0,885.2,895.0,895.85,419625.0,3749.99
2017-09-12,860.75,905.0,853.0,905.0,898.2,406663.0,3569.07
2017-09-11,839.0,870.0,828.0,857.25,860.75,96617.0,825.67
2017-09-08,830.95,838.0,820.0,832.4,834.3,36541.0,303.97
2017-09-07,830.0,844.8,824.0,827.6,828.25,55666.0,464.66
2017-09-06,811.85,838.0,798.0,835.0,832.85,273255.0,2227.19
2017-09-05,802.0,828.7,802.0,808.05,811.85,75650.0,615.7
2017-09-04,814.45,814.45,790.9,791.5,793.8,66562.0,533.55
2017-09-01,796.95,814.4,791.0,807.8,805.1,72992.0,586.47
2017-08-31,820.0,820.0,782.5,791.95,787.0,116707.0,929.98
2017-08-30,820.05,828.7,806.3,809.0,809.25,27670.0,225.02
2017-08-29,823.3,835.0,813.2,818.9,817.15,25730.0,212.04
2017-08-28,832.6,844.0,811.65,815.0,816.15,50523.0,414.3
