Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,35.5,36.2,35.25,36.0,35.75,2312740.0,824.18
2018-03-12,36.25,36.45,34.7,35.2,35.25,2204861.0,783.94
2018-03-09,36.0,36.6,35.75,35.9,35.95,1606325.0,579.95
2018-03-08,37.0,37.0,35.0,35.7,35.8,2037131.0,730.01
2018-03-07,37.5,37.75,36.0,36.65,36.25,2204005.0,809.71
2018-03-06,38.5,39.0,37.65,37.8,37.85,2014118.0,769.6
2018-03-05,37.75,39.1,37.35,38.15,38.25,2830637.0,1081.09
2018-03-01,38.2,38.35,37.8,38.05,37.95,1258850.0,479.7
2018-02-28,38.4,38.85,38.0,38.2,38.15,1867811.0,716.61
2018-02-27,38.95,39.2,38.4,38.55,38.55,1399188.0,541.98
2018-02-26,39.1,39.25,38.5,38.6,38.65,1736259.0,674.55
2018-02-23,38.6,39.25,38.5,38.95,38.8,2279573.0,887.08
2018-02-22,36.9,38.6,36.85,38.5,38.2,2410531.0,911.2
2018-02-21,38.1,38.35,36.75,36.85,37.05,2300118.0,862.87
2018-02-20,37.85,38.55,37.5,37.65,37.75,1605450.0,610.0
2018-02-19,38.75,38.75,37.4,37.85,37.9,1883220.0,712.8
2018-02-16,39.85,40.35,37.55,38.7,38.15,3947424.0,1516.75
2018-02-15,41.5,41.5,38.8,39.9,39.75,2185805.0,876.18
2018-02-14,42.0,42.5,40.7,40.75,40.9,2373906.0,988.82
2018-02-12,40.8,42.8,40.15,41.6,41.35,6808116.0,2826.9
2018-02-09,37.55,40.45,37.55,40.2,39.9,3224427.0,1278.27
2018-02-08,38.0,39.9,37.85,39.6,39.5,3048309.0,1199.08
2018-02-07,38.2,38.95,37.5,37.6,37.8,2492863.0,950.89
2018-02-06,36.05,38.0,36.0,37.65,37.75,4190394.0,1561.31
2018-02-05,37.0,38.75,36.75,38.55,38.2,3896395.0,1469.72
2018-02-02,39.0,40.25,37.7,37.8,37.95,6292962.0,2440.14
2018-02-01,39.75,40.95,39.05,39.9,39.9,3384624.0,1355.4
2018-01-31,40.55,42.2,40.0,40.3,40.3,4327083.0,1769.39
2018-01-30,42.6,42.6,40.65,40.85,40.85,2705655.0,1118.02
2018-01-29,44.5,45.4,42.2,42.55,42.45,2558069.0,1117.09
2018-01-25,45.25,45.8,44.4,44.65,44.65,2558334.0,1147.74
2018-01-24,44.3,46.3,43.05,45.15,45.2,6119122.0,2748.78
2018-01-23,44.3,45.25,44.15,44.45,44.35,3578295.0,1596.89
2018-01-22,44.75,44.9,43.9,44.0,44.05,2272024.0,1005.54
2018-01-19,44.25,44.9,43.1,44.5,44.4,3574926.0,1572.14
2018-01-18,46.0,47.5,43.45,43.9,43.95,6148395.0,2794.31
2018-01-17,46.55,46.8,44.15,45.55,45.55,6125852.0,2781.21
2018-01-16,46.9,47.7,44.65,45.7,45.4,7221505.0,3317.88
2018-01-15,47.4,48.45,46.6,46.95,46.95,5216543.0,2473.05
2018-01-12,49.2,49.65,45.75,47.05,47.05,8419504.0,4011.33
2018-01-11,46.85,50.35,46.7,48.75,48.75,23057467.0,11203.87
2018-01-10,44.8,47.4,43.5,46.4,46.45,15317925.0,7037.7
2018-01-09,44.6,45.6,43.4,44.8,44.85,10554813.0,4727.32
2018-01-08,42.25,44.9,42.2,44.15,44.2,12625773.0,5497.62
2018-01-05,40.65,42.75,40.3,41.75,41.75,8634924.0,3595.4
2018-01-04,40.4,40.75,40.0,40.3,40.25,2800047.0,1128.85
2018-01-03,40.0,40.4,39.8,40.2,40.05,3121155.0,1250.73
2018-01-02,40.0,40.55,39.15,39.7,39.65,3192504.0,1273.97
2018-01-01,39.85,40.9,39.8,40.0,39.95,2709022.0,1090.18
2017-12-29,40.5,40.8,39.65,39.9,39.95,2641104.0,1062.88
2017-12-28,40.5,41.3,39.9,40.45,40.2,3799034.0,1541.75
2017-12-27,39.2,41.2,38.85,40.45,40.35,7517049.0,3032.54
2017-12-26,39.45,39.6,38.65,39.1,39.0,2708307.0,1058.29
2017-12-22,40.1,40.6,39.0,39.35,39.35,4495205.0,1788.9
2017-12-21,38.8,40.35,38.8,40.1,39.9,5159873.0,2055.4
2017-12-20,38.4,39.5,38.0,38.7,38.8,5072623.0,1966.84
2017-12-19,36.0,38.15,35.8,38.1,38.0,5690665.0,2121.08
2017-12-18,35.35,36.05,34.2,35.8,35.6,3579209.0,1266.34
2017-12-15,35.7,36.15,35.1,35.4,35.35,4466782.0,1584.61
2017-12-14,36.25,36.7,35.1,35.25,35.2,5729751.0,2043.8
2017-12-13,36.7,36.7,36.0,36.05,36.1,3502055.0,1267.23
2017-12-12,37.05,37.1,36.5,36.65,36.6,3448671.0,1266.14
2017-12-11,37.95,38.2,36.85,37.0,36.95,4087993.0,1525.11
