Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,91.6,95.0,90.2,91.65,92.1,417803.0,383.49
2018-03-12,93.65,94.05,88.8,92.5,92.6,903761.0,829.16
2018-03-09,94.85,94.85,92.95,93.1,93.65,563599.0,528.54
2018-03-08,94.55,94.8,93.75,94.0,93.95,336769.0,316.56
2018-03-07,96.0,96.0,94.05,94.25,94.6,181563.0,172.53
2018-03-06,96.8,96.95,95.05,95.7,95.7,513521.0,492.88
2018-03-05,96.0,96.8,95.5,95.5,95.95,261351.0,250.87
2018-03-01,95.15,96.65,95.15,96.0,95.9,611921.0,587.85
2018-02-28,95.95,96.8,95.6,95.95,96.0,457723.0,439.54
2018-02-27,97.55,98.2,95.5,95.9,95.95,260292.0,250.99
2018-02-26,96.6,97.7,95.55,96.4,96.6,390211.0,377.05
2018-02-23,95.9,96.85,95.25,95.55,95.7,459306.0,439.62
2018-02-22,97.2,97.3,95.6,96.0,95.9,706679.0,678.56
2018-02-21,97.9,100.9,97.0,97.0,97.7,926939.0,913.75
2018-02-20,97.55,97.8,95.8,96.5,96.6,410772.0,396.64
2018-02-19,99.6,99.6,96.8,97.4,97.75,315769.0,308.94
2018-02-16,105.0,108.7,97.0,98.9,98.75,1120853.0,1144.53
2018-02-15,113.15,113.15,103.35,105.0,104.75,262988.0,280.45
2018-02-14,111.45,113.3,111.0,111.15,112.1,392052.0,441.47
2018-02-12,109.7,112.0,107.85,110.0,110.35,237821.0,260.51
2018-02-09,110.0,113.05,108.0,108.8,109.6,397234.0,440.87
2018-02-08,113.4,114.0,110.9,112.0,111.65,46799.0,52.64
2018-02-07,109.65,114.4,109.55,113.9,112.95,366323.0,414.24
2018-02-06,109.85,110.55,108.05,108.3,108.65,179277.0,195.19
2018-02-05,114.9,115.05,111.2,113.7,113.9,239334.0,271.65
2018-02-02,116.95,117.5,114.0,114.9,114.9,584855.0,672.58
2018-02-01,114.0,118.0,113.3,117.0,117.0,198814.0,229.86
2018-01-31,114.95,115.2,113.5,113.8,114.0,338410.0,386.06
