Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,153.0,154.35,150.75,151.35,151.1,236239.0,360.34
2018-03-12,155.05,156.7,152.5,153.45,152.75,190757.0,292.42
2018-03-09,155.9,158.0,154.0,154.3,154.3,184756.0,287.68
2018-03-08,155.9,155.95,151.55,153.95,153.85,160994.0,247.58
2018-03-07,154.6,158.0,152.55,154.1,154.1,159612.0,248.36
2018-03-06,160.4,162.0,154.0,154.3,154.25,170518.0,267.37
2018-03-05,163.8,163.9,158.15,158.4,158.95,243211.0,388.05
2018-03-01,165.0,165.8,163.25,163.8,164.0,205364.0,336.76
2018-02-28,166.05,166.7,164.8,165.0,165.1,148307.0,245.57
2018-02-27,169.85,169.85,167.0,167.0,167.3,47936.0,80.56
2018-02-26,168.0,169.5,167.0,168.2,168.7,98391.0,165.27
2018-02-23,166.4,168.15,165.55,166.8,166.7,120743.0,201.22
2018-02-22,166.95,168.75,165.0,165.9,165.75,154315.0,257.0
2018-02-21,169.55,170.15,165.25,166.75,166.75,89596.0,149.93
2018-02-20,170.0,170.75,167.35,169.15,168.8,141244.0,238.57
2018-02-19,170.0,172.15,164.85,170.0,169.85,337741.0,569.21
2018-02-16,171.9,171.9,169.0,169.9,169.5,280825.0,476.51
2018-02-15,171.85,172.75,169.7,170.55,170.75,215404.0,368.39
2018-02-14,173.15,177.45,170.3,170.5,171.05,244743.0,425.14
2018-02-12,172.3,174.7,172.3,173.15,173.15,165699.0,287.38
2018-02-09,168.15,174.6,167.5,170.7,171.65,196393.0,337.62
2018-02-08,170.2,174.1,170.2,172.0,172.1,338044.0,583.39
2018-02-07,165.0,176.1,164.95,169.0,168.8,744773.0,1271.21
2018-02-06,165.0,167.85,161.0,162.1,162.05,428541.0,699.59
2018-02-05,164.0,171.0,161.5,171.0,169.65,247108.0,411.29
2018-02-02,170.15,170.95,163.55,165.0,165.95,202452.0,338.84
2018-02-01,171.9,175.0,170.0,171.15,172.4,168997.0,291.66
2018-01-31,174.95,175.75,170.0,170.7,170.4,246034.0,423.14
2018-01-30,176.0,177.0,171.5,175.15,174.85,189251.0,329.32
2018-01-29,179.0,179.9,175.1,175.1,175.75,125113.0,221.28
2018-01-25,180.15,181.25,176.65,177.3,177.7,191281.0,341.58
2018-01-24,183.0,183.5,179.25,180.0,180.05,151155.0,274.28
2018-01-23,181.9,185.5,180.2,181.95,182.5,204777.0,374.25
2018-01-22,180.75,183.95,180.4,180.45,181.25,235840.0,429.15
2018-01-19,184.5,186.45,178.1,180.9,180.65,411300.0,745.74
2018-01-18,184.8,189.95,182.0,182.35,183.2,413975.0,770.2
2018-01-17,186.0,188.0,181.0,183.45,183.4,247513.0,454.61
2018-01-16,195.8,195.95,186.6,187.25,187.2,299348.0,569.34
2018-01-15,197.4,198.8,193.35,194.3,194.45,239907.0,470.86
2018-01-12,197.95,199.75,195.2,195.55,195.85,231639.0,455.94
2018-01-11,201.2,203.0,195.0,197.45,196.95,501643.0,1001.39
2018-01-10,196.0,204.35,195.1,199.45,199.75,520598.0,1042.66
2018-01-09,198.05,199.9,193.65,197.3,196.4,455962.0,894.54
2018-01-08,193.0,202.0,192.1,196.2,197.2,668012.0,1318.23
2018-01-05,197.65,199.8,189.1,191.3,191.2,559269.0,1086.99
2018-01-04,200.2,200.2,195.0,196.5,195.95,293639.0,579.03
2018-01-03,199.9,200.85,198.0,199.4,198.7,191684.0,382.27
2018-01-02,203.5,205.75,195.4,198.7,198.95,308102.0,618.67
2018-01-01,206.0,206.9,202.0,203.2,203.2,185420.0,379.66
2017-12-29,208.5,209.35,204.55,205.0,205.1,221357.0,457.73
2017-12-28,207.0,209.7,206.35,207.5,208.25,330250.0,687.15
2017-12-27,209.9,213.0,204.7,204.9,205.85,665445.0,1396.33
2017-12-26,208.85,209.75,206.0,209.5,208.75,327636.0,682.74
2017-12-22,210.0,212.4,206.85,207.75,207.75,519297.0,1089.21
2017-12-21,205.6,209.8,205.0,208.7,208.65,433841.0,901.53
2017-12-20,203.6,211.15,202.45,204.05,204.65,846962.0,1753.33
2017-12-19,203.05,206.55,202.0,203.0,203.6,387410.0,790.43
2017-12-18,200.0,207.3,192.0,201.5,201.65,509284.0,1032.78
2017-12-15,201.4,204.0,201.25,201.6,201.75,264697.0,535.53
2017-12-14,202.7,202.85,197.0,199.5,199.9,496846.0,990.85
2017-12-13,206.3,209.8,200.1,200.2,201.35,540426.0,1108.95
2017-12-12,209.7,210.0,202.0,205.3,205.2,534030.0,1099.0
2017-12-11,212.55,214.7,208.05,208.5,208.55,724013.0,1525.16
2017-12-08,209.9,218.5,208.5,212.1,212.45,1486665.0,3184.39
2017-12-07,208.25,211.0,206.15,207.6,208.45,851526.0,1775.11
2017-12-06,210.95,216.4,205.6,206.65,206.85,1116796.0,2351.59
2017-12-05,210.0,214.85,207.0,210.55,211.6,1553453.0,3284.62
2017-12-04,220.0,220.0,205.3,210.75,209.2,3159420.0,6677.27
2017-12-01,238.3,244.7,213.5,219.0,219.15,4191519.0,9764.41
2017-11-30,216.0,248.7,207.1,234.0,234.9,14405951.0,33729.53
2017-11-29,226.0,226.0,212.4,219.0,218.7,1681394.0,3684.48
2017-11-28,214.9,230.75,212.0,224.8,225.8,5133307.0,11431.74
2017-11-27,199.3,214.9,199.3,211.35,211.15,1811534.0,3772.46
2017-11-24,195.8,203.1,195.5,198.3,198.3,761301.0,1520.22
2017-11-23,195.95,204.2,193.0,194.3,195.15,1307168.0,2603.06
2017-11-22,194.5,200.0,187.0,195.25,195.65,2089378.0,4065.89
2017-11-21,174.8,194.75,174.1,193.0,192.55,3774458.0,7049.9
2017-11-20,166.75,174.7,166.4,172.6,172.45,566492.0,968.87
2017-11-17,165.2,167.2,165.1,165.5,165.95,286843.0,476.36
2017-11-16,164.1,167.6,163.1,164.8,165.1,158188.0,261.89
2017-11-15,165.45,166.35,162.6,164.0,164.2,128272.0,211.75
2017-11-14,166.0,166.55,164.6,165.6,165.4,111439.0,184.35
2017-11-13,169.0,169.8,164.1,165.05,165.1,183896.0,305.92
2017-11-10,168.45,173.0,165.6,167.0,167.35,531689.0,897.41
2017-11-09,168.45,170.9,165.2,168.0,167.6,178086.0,299.5
2017-11-08,167.0,171.0,165.55,166.0,166.45,104306.0,174.99
2017-11-07,170.95,172.5,165.6,167.0,166.95,119036.0,201.7
2017-11-06,170.5,171.7,168.45,170.0,170.05,80457.0,137.05
2017-11-03,168.45,171.05,168.45,170.9,170.35,131297.0,223.18
2017-11-02,166.9,170.65,165.45,166.95,167.55,151900.0,255.88
2017-11-01,165.45,168.1,165.1,166.6,166.9,124128.0,206.66
2017-10-31,164.45,169.85,162.9,165.15,165.95,288047.0,480.35
2017-10-30,162.2,165.7,161.7,164.0,163.7,210562.0,344.89
2017-10-27,161.7,164.6,160.7,161.5,162.15,258078.0,420.32
2017-10-26,161.15,162.85,159.8,160.9,160.6,270312.0,435.35
2017-10-25,162.0,163.45,159.95,160.5,160.25,153112.0,246.44
2017-10-24,161.5,161.5,159.1,160.2,160.45,90841.0,145.76
2017-10-23,160.9,163.65,159.55,161.5,160.9,95121.0,153.56
2017-10-19,160.0,161.0,158.9,159.0,159.95,49214.0,78.8
2017-10-18,161.75,161.75,159.0,159.8,159.65,55151.0,88.17
2017-10-17,160.0,164.0,159.5,159.7,160.15,247335.0,397.38
2017-10-16,161.95,163.2,158.05,160.0,160.0,117350.0,187.8
2017-10-13,163.85,164.8,161.4,161.4,161.95,224210.0,364.85
2017-10-12,161.0,164.55,160.7,163.6,164.0,68919.0,111.83
2017-10-11,165.6,167.2,158.55,160.95,160.0,296462.0,485.02
2017-10-10,164.8,166.7,164.8,165.65,165.2,56310.0,93.25
2017-10-09,162.9,166.1,162.05,164.8,164.7,116076.0,190.94
2017-10-06,160.7,163.6,158.05,162.5,161.6,142088.0,229.55
2017-10-05,157.0,161.35,156.25,160.0,160.7,106127.0,169.31
2017-10-04,161.0,161.5,154.2,154.5,156.0,257880.0,405.14
2017-10-03,162.3,164.05,159.6,160.35,160.05,127959.0,205.84
2017-09-29,158.9,164.9,158.9,164.8,163.5,138131.0,223.63
2017-09-28,157.1,160.4,157.0,159.4,158.9,87678.0,139.28
2017-09-27,157.6,158.0,155.0,156.0,155.65,94480.0,147.34
2017-09-26,155.6,158.9,155.25,156.7,156.1,159382.0,248.88
2017-09-25,164.0,165.1,155.0,157.2,157.5,154340.0,242.96
2017-09-22,167.5,167.5,163.4,164.0,163.9,52793.0,87.1
2017-09-21,167.2,168.9,164.45,167.0,167.4,99855.0,166.45
2017-09-20,170.3,172.1,167.0,167.4,167.55,102264.0,173.02
2017-09-19,171.9,172.4,168.7,169.5,169.55,63256.0,108.04
2017-09-18,171.25,172.65,169.85,172.4,171.6,70335.0,120.6
2017-09-15,169.9,171.7,168.5,171.25,170.1,89621.0,152.42
2017-09-14,171.0,172.25,168.6,170.1,170.25,44618.0,76.03
2017-09-13,173.0,173.9,170.0,170.6,170.55,79843.0,137.22
2017-09-12,174.1,175.5,172.65,173.05,173.25,96982.0,168.86
2017-09-11,173.1,174.35,172.5,172.55,173.0,99463.0,172.21
2017-09-08,173.4,175.4,172.0,173.0,173.0,146844.0,254.34
2017-09-07,174.65,176.95,172.65,172.75,173.0,93041.0,162.22
2017-09-06,173.95,179.3,173.0,174.75,174.65,460598.0,809.68
