Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,1520.8,1532.45,1500.0,1501.0,1503.2,5246.0,79.57
2018-03-12,1523.0,1523.0,1490.05,1520.0,1516.45,10140.0,153.54
2018-03-09,1494.8,1526.0,1494.8,1500.0,1500.15,9723.0,146.64
2018-03-08,1473.0,1521.4,1472.0,1490.2,1494.8,20320.0,304.46
2018-03-07,1511.0,1513.0,1459.1,1469.95,1473.0,30802.0,460.06
2018-03-06,1523.0,1591.15,1488.0,1514.95,1499.5,26424.0,400.55
2018-03-05,1545.0,1545.0,1500.05,1517.0,1519.35,17306.0,262.59
2018-03-01,1600.0,1610.0,1525.1,1547.95,1546.5,27861.0,440.46
2018-02-28,1508.85,1608.9,1500.05,1568.3,1578.4,92786.0,1462.48
2018-02-27,1505.1,1514.75,1497.1,1508.15,1508.85,14620.0,219.6
2018-02-26,1480.05,1508.2,1480.05,1496.0,1498.35,11878.0,178.11
2018-02-23,1450.0,1520.0,1450.0,1485.05,1489.15,93056.0,1392.4
2018-02-22,1472.0,1498.8,1426.65,1436.0,1446.1,19266.0,282.92
2018-02-21,1460.05,1475.0,1441.6,1470.0,1466.0,6348.0,92.95
2018-02-20,1450.3,1474.2,1443.8,1450.0,1453.4,5076.0,74.16
2018-02-19,1446.0,1475.0,1413.0,1458.0,1453.6,18270.0,264.53
2018-02-16,1468.15,1510.1,1423.85,1453.0,1448.95,23824.0,347.69
2018-02-15,1501.0,1537.45,1470.0,1479.0,1482.2,12698.0,189.9
2018-02-14,1594.0,1594.0,1480.8,1492.0,1493.45,20888.0,320.25
2018-02-12,1500.0,1590.0,1500.0,1546.25,1550.9,23814.0,371.29
2018-02-09,1460.05,1519.0,1435.05,1500.0,1497.35,20538.0,305.52
2018-02-08,1435.0,1488.0,1435.0,1478.6,1477.0,11124.0,163.6
2018-02-07,1441.95,1480.0,1420.6,1435.0,1433.3,9999.0,144.25
2018-02-06,1360.0,1444.9,1350.05,1438.0,1427.75,25848.0,362.12
2018-02-05,1363.0,1425.0,1362.0,1419.9,1397.65,22784.0,319.73
2018-02-02,1436.0,1461.25,1392.55,1404.0,1429.35,31206.0,448.02
2018-02-01,1487.5,1487.5,1449.0,1450.0,1450.7,9965.0,145.26
2018-01-31,1475.05,1492.45,1441.2,1460.0,1451.45,17183.0,252.99
2018-01-30,1461.15,1520.0,1461.15,1487.6,1496.35,13187.0,197.28
2018-01-29,1523.3,1551.15,1470.0,1483.0,1479.95,22267.0,334.87
2018-01-25,1500.0,1539.95,1480.0,1522.05,1523.3,32349.0,490.35
2018-01-24,1445.0,1537.0,1429.9,1491.0,1489.85,55671.0,829.66
2018-01-23,1450.0,1475.8,1433.8,1441.2,1445.8,70082.0,1012.47
2018-01-22,1494.8,1495.0,1451.0,1451.3,1457.15,11277.0,165.22
2018-01-19,1470.0,1515.0,1463.3,1483.0,1487.4,46389.0,692.54
2018-01-18,1549.8,1549.8,1470.0,1482.7,1483.65,48323.0,730.08
2018-01-17,1519.0,1589.0,1505.1,1524.0,1534.55,77211.0,1183.32
2018-01-16,1612.0,1613.4,1511.0,1530.0,1523.75,139390.0,2184.51
2018-01-15,1440.05,1686.8,1440.0,1632.2,1649.05,512366.0,8100.21
2018-01-12,1354.3,1435.0,1336.25,1401.25,1405.7,93936.0,1308.36
2018-01-11,1344.9,1365.0,1330.0,1341.2,1340.95,9899.0,133.09
2018-01-10,1359.0,1359.0,1306.2,1344.9,1336.45,19606.0,259.87
2018-01-09,1359.0,1359.0,1321.3,1333.05,1335.6,13816.0,184.23
2018-01-08,1359.85,1370.0,1340.15,1345.0,1348.9,11265.0,151.92
2018-01-05,1374.55,1374.95,1337.0,1342.5,1346.45,51392.0,693.33
2018-01-04,1347.0,1387.9,1331.05,1365.0,1361.0,61783.0,841.85
2018-01-03,1332.0,1332.0,1303.3,1328.8,1320.25,39498.0,521.75
2018-01-02,1348.0,1348.0,1300.0,1308.0,1305.3,21591.0,283.85
2018-01-01,1306.0,1355.0,1305.8,1330.0,1321.15,41588.0,553.43
2017-12-29,1313.65,1324.75,1282.5,1294.0,1289.75,34850.0,457.11
2017-12-28,1300.05,1317.95,1296.5,1314.8,1303.55,45083.0,586.88
2017-12-27,1315.0,1345.1,1287.55,1300.0,1296.8,41320.0,546.53
2017-12-26,1319.9,1360.0,1299.95,1311.0,1315.1,73425.0,974.83
2017-12-22,1290.0,1317.0,1287.0,1300.0,1300.65,30346.0,395.3
2017-12-21,1284.75,1300.0,1268.0,1295.0,1286.35,41638.0,534.12
2017-12-20,1250.0,1275.0,1235.1,1274.0,1266.5,38417.0,483.13
2017-12-19,1224.0,1245.0,1211.05,1220.0,1224.95,34025.0,417.87
2017-12-18,1219.8,1233.75,1145.0,1202.1,1204.55,31348.0,378.8
2017-12-15,1178.75,1284.75,1165.8,1208.0,1208.4,214430.0,2673.34
2017-12-14,1151.4,1190.0,1130.0,1185.0,1184.0,38100.0,440.29
2017-12-13,1146.0,1174.0,1137.6,1140.1,1145.15,15909.0,184.04
2017-12-12,1137.9,1160.0,1130.0,1160.0,1143.5,33077.0,377.7
2017-12-11,1131.2,1151.0,1113.05,1134.95,1132.55,30147.0,340.3
2017-12-08,1102.0,1120.0,1094.4,1117.25,1117.1,17825.0,198.11
2017-12-07,1131.2,1131.2,1087.0,1098.1,1101.6,7613.0,83.74
2017-12-06,1090.0,1107.95,1081.05,1089.0,1087.05,7586.0,82.99
2017-12-05,1102.05,1110.85,1094.0,1096.0,1095.3,8707.0,95.63
2017-12-04,1112.8,1120.45,1105.0,1106.95,1105.55,10842.0,120.33
2017-12-01,1120.0,1131.9,1117.0,1129.95,1120.95,3424.0,38.4
2017-11-30,1137.0,1143.95,1115.05,1120.0,1120.7,10809.0,121.89
2017-11-29,1154.9,1161.95,1143.05,1148.0,1148.8,7300.0,84.14
2017-11-28,1149.8,1169.95,1140.0,1140.0,1143.5,13771.0,158.6
2017-11-27,1157.1,1158.0,1134.05,1141.65,1141.7,11270.0,129.07
2017-11-24,1161.0,1161.0,1140.1,1142.45,1147.35,3884.0,44.66
2017-11-23,1159.9,1179.9,1145.0,1145.3,1149.5,7916.0,91.47
2017-11-22,1160.05,1172.85,1135.05,1147.5,1161.15,26508.0,305.53
2017-11-21,1170.35,1180.0,1152.05,1160.0,1159.5,8387.0,97.87
2017-11-20,1159.1,1190.0,1140.0,1172.15,1168.45,13268.0,154.57
2017-11-17,1179.2,1208.9,1157.2,1161.9,1168.1,20114.0,238.12
2017-11-16,1152.0,1200.0,1152.0,1170.0,1177.25,26929.0,318.23
2017-11-15,1168.7,1209.9,1144.05,1149.0,1151.4,40684.0,476.72
2017-11-14,1144.95,1168.5,1136.8,1150.0,1152.25,30982.0,358.15
2017-11-13,1101.1,1174.7,1101.1,1140.1,1133.95,31077.0,352.55
2017-11-10,1113.0,1129.9,1105.0,1105.0,1109.5,16563.0,184.95
2017-11-09,1124.05,1144.9,1113.0,1113.85,1118.7,18489.0,208.19
2017-11-08,1110.25,1148.45,1110.25,1127.95,1124.35,9449.0,107.05
2017-11-07,1108.0,1124.95,1092.2,1119.4,1110.25,22343.0,247.06
2017-11-06,1108.0,1115.25,1105.0,1106.0,1105.45,5454.0,60.38
2017-11-03,1127.75,1128.0,1105.0,1115.0,1108.4,5332.0,59.32
2017-11-02,1115.95,1128.8,1109.05,1116.0,1118.15,6831.0,76.35
2017-11-01,1100.1,1120.0,1100.1,1111.0,1111.95,12368.0,137.42
2017-10-31,1122.35,1139.95,1105.0,1112.5,1112.1,7955.0,88.83
2017-10-30,1134.05,1134.05,1117.1,1118.3,1122.35,3622.0,40.68
2017-10-27,1130.05,1146.95,1122.0,1123.0,1125.25,4925.0,55.62
2017-10-26,1134.05,1136.0,1111.0,1128.1,1130.15,4044.0,45.48
2017-10-25,1157.2,1160.05,1122.0,1126.5,1126.0,7357.0,83.35
2017-10-24,1153.15,1166.25,1143.0,1155.95,1145.7,5278.0,60.74
2017-10-23,1160.0,1179.0,1125.05,1167.8,1159.6,18159.0,209.93
2017-10-19,1147.7,1180.0,1147.7,1165.0,1171.2,15711.0,184.17
2017-10-18,1055.0,1153.9,1055.0,1148.0,1147.7,55739.0,624.85
