Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,299.0,299.5,296.0,297.5,296.85,36552.0,108.77
2018-03-12,299.9,299.9,294.7,296.7,295.8,59852.0,177.86
2018-03-09,295.0,299.5,292.6,296.0,296.3,67143.0,198.72
2018-03-08,295.0,299.9,290.95,295.7,294.15,71032.0,209.17
2018-03-07,289.15,293.0,289.0,292.0,290.8,41467.0,120.42
2018-03-06,295.0,297.9,290.5,290.7,291.2,52087.0,152.62
2018-03-05,293.25,297.9,291.0,294.0,293.9,70607.0,207.06
2018-03-01,293.0,293.9,287.5,292.0,290.25,67653.0,196.48
2018-02-28,294.65,295.65,288.25,290.5,290.55,133790.0,388.01
2018-02-27,298.75,298.75,290.95,294.5,294.65,100837.0,296.9
2018-02-26,302.95,303.1,294.35,294.65,294.95,140591.0,418.47
2018-02-23,304.0,305.15,300.0,300.5,300.6,55777.0,168.04
2018-02-22,303.85,303.85,300.05,301.0,300.7,31908.0,96.11
2018-02-21,306.0,306.85,300.25,301.4,301.5,50374.0,152.04
2018-02-20,306.0,308.8,301.0,303.0,302.4,61770.0,187.62
2018-02-19,312.9,312.9,302.5,304.0,304.85,48966.0,149.56
2018-02-16,308.0,313.7,303.05,308.5,308.25,59506.0,183.18
2018-02-15,317.25,319.0,304.0,307.0,306.0,93332.0,289.3
2018-02-14,322.9,328.0,312.0,313.0,313.95,152934.0,489.24
2018-02-12,315.0,324.9,313.0,318.6,319.25,216631.0,695.05
2018-02-09,303.0,311.0,298.95,311.0,305.3,82662.0,249.47
2018-02-08,303.35,308.9,303.35,305.0,304.95,71342.0,217.77
2018-02-07,303.8,309.0,300.0,301.5,301.15,57407.0,174.44
2018-02-06,308.25,321.55,294.2,297.95,298.05,288392.0,868.31
2018-02-05,321.0,326.35,315.0,315.0,316.8,60768.0,194.4
2018-02-02,330.0,336.95,321.0,323.35,323.05,123270.0,407.23
2018-02-01,327.6,347.7,326.0,338.0,336.95,160776.0,534.38
2018-01-31,349.0,354.0,325.8,329.95,330.6,144484.0,482.86
2018-01-30,360.95,361.0,343.6,348.0,346.6,48243.0,168.87
2018-01-29,366.0,368.95,355.05,356.0,357.65,40226.0,145.25
2018-01-25,372.0,372.0,363.0,364.05,365.85,21542.0,79.38
2018-01-24,375.0,375.25,363.0,367.8,370.6,39598.0,145.93
2018-01-23,364.95,378.0,361.0,372.7,372.9,65891.0,243.63
2018-01-22,369.9,369.9,360.0,366.0,362.65,41994.0,152.58
2018-01-19,366.3,373.5,361.55,366.1,368.5,19131.0,70.39
2018-01-18,374.55,376.85,361.0,365.0,364.1,48169.0,177.66
2018-01-17,377.0,377.0,362.6,374.4,374.55,39528.0,146.37
2018-01-16,384.5,384.5,374.15,376.0,377.5,67995.0,257.36
2018-01-15,383.0,385.4,379.1,382.5,381.95,62415.0,237.7
2018-01-12,380.0,383.6,375.9,380.65,380.2,62880.0,238.88
2018-01-11,382.8,383.0,368.15,380.0,379.1,90894.0,341.35
2018-01-10,373.0,382.75,365.6,381.4,380.2,140668.0,530.06
2018-01-09,376.25,376.25,355.35,370.1,371.0,119479.0,436.88
2018-01-08,362.65,376.8,362.65,372.6,372.6,206868.0,763.73
2018-01-05,343.0,367.8,341.55,359.3,359.05,257798.0,917.69
2018-01-04,334.65,342.1,334.6,342.0,341.15,111426.0,377.02
2018-01-03,337.0,337.0,334.05,335.0,334.7,34654.0,116.19
2018-01-02,337.0,340.0,333.0,333.1,333.9,93680.0,313.81
2018-01-01,339.35,342.5,335.0,338.45,338.1,49054.0,166.41
2017-12-29,336.35,339.0,334.0,338.8,337.95,33738.0,113.55
2017-12-28,338.0,339.95,333.0,334.0,334.05,109775.0,367.63
2017-12-27,341.5,342.9,336.65,338.0,337.5,48816.0,166.32
2017-12-26,341.85,342.0,337.0,340.9,340.3,44417.0,151.26
2017-12-22,339.65,342.0,336.5,337.45,337.35,95593.0,323.86
2017-12-21,336.9,338.7,335.75,337.85,337.55,28403.0,95.85
2017-12-20,338.3,345.0,333.2,335.95,334.7,200899.0,677.47
2017-12-19,336.8,338.55,335.4,337.4,336.7,44826.0,151.33
2017-12-18,337.1,338.0,326.1,334.35,334.8,53070.0,177.14
2017-12-15,335.95,339.0,333.05,334.95,334.05,31623.0,106.29
2017-12-14,340.25,341.2,332.0,334.7,334.5,44500.0,149.01
2017-12-13,341.8,342.8,337.1,339.4,338.05,38160.0,129.86
2017-12-12,342.95,342.95,335.2,340.2,341.3,70097.0,238.4
2017-12-11,340.15,344.9,338.0,338.5,340.5,31083.0,106.19
2017-12-08,343.75,347.0,340.2,344.0,343.25,13620.0,46.8
2017-12-07,343.95,343.95,335.0,343.0,342.5,22574.0,76.87
2017-12-06,339.8,345.3,336.0,340.0,341.0,34955.0,118.91
2017-12-05,339.0,346.6,337.15,337.15,339.6,39032.0,132.83
2017-12-04,342.5,343.3,336.05,339.95,338.0,54899.0,186.08
2017-12-01,346.9,350.8,339.0,340.0,340.2,26685.0,91.74
2017-11-30,346.0,348.0,341.0,348.0,345.8,39667.0,136.68
2017-11-29,341.85,349.0,340.0,343.0,343.9,35571.0,122.72
2017-11-28,344.95,345.0,338.4,339.95,339.35,33988.0,115.95
2017-11-27,346.8,350.0,341.0,341.95,342.5,39896.0,137.62
2017-11-24,344.8,352.15,343.8,344.0,344.65,46564.0,161.37
2017-11-23,345.65,351.9,338.6,342.95,342.6,56672.0,195.63
2017-11-22,350.0,352.4,342.8,343.1,343.95,88654.0,307.09
2017-11-21,344.85,352.0,343.15,349.0,348.95,89607.0,310.64
2017-11-20,330.0,344.9,325.0,339.65,342.05,117544.0,396.73
2017-11-17,335.05,336.05,324.0,324.25,325.75,72918.0,240.88
2017-11-16,327.75,332.95,324.85,329.0,328.85,83096.0,273.01
2017-11-15,338.0,338.0,323.45,329.4,327.75,61519.0,203.07
2017-11-14,341.95,341.95,332.2,334.0,334.1,74115.0,248.57
2017-11-13,341.0,346.0,338.0,338.0,339.9,122128.0,417.11
2017-11-10,342.0,349.65,340.0,341.0,340.8,50245.0,172.68
2017-11-09,344.3,347.8,339.7,343.15,340.75,124525.0,424.53
2017-11-08,354.95,354.95,340.25,342.0,341.95,59958.0,206.42
2017-11-07,357.15,360.0,349.05,351.1,351.3,56223.0,198.75
2017-11-06,360.3,363.8,355.4,356.05,356.75,63328.0,227.42
2017-11-03,357.25,365.0,355.5,358.45,358.55,73085.0,263.75
2017-11-02,372.3,372.3,353.0,357.0,356.45,150741.0,548.54
2017-11-01,382.0,383.5,375.05,376.0,376.25,55046.0,209.3
2017-10-31,379.0,381.9,374.0,376.1,377.85,54533.0,206.16
2017-10-30,368.0,378.9,366.15,377.0,376.6,39682.0,148.88
2017-10-27,370.95,373.9,362.3,367.7,365.7,38606.0,141.31
2017-10-26,371.1,375.5,366.65,368.2,368.4,33244.0,122.87
2017-10-25,376.05,381.0,372.05,372.5,373.55,35444.0,133.14
2017-10-24,376.1,380.0,373.0,375.9,376.4,35147.0,132.44
2017-10-23,386.0,386.0,375.1,375.2,376.75,49310.0,186.66
2017-10-19,374.0,390.0,374.0,386.95,386.45,47076.0,181.07
2017-10-18,384.0,384.0,371.0,374.3,372.7,44054.0,165.47
2017-10-17,387.45,387.45,378.4,382.8,382.5,36279.0,138.82
2017-10-16,390.0,390.95,385.0,386.4,385.85,54160.0,209.77
2017-10-13,386.0,394.35,382.0,384.5,384.3,69175.0,267.77
2017-10-12,377.4,391.0,376.0,383.0,383.95,139489.0,537.84
2017-10-11,373.65,383.0,370.1,374.9,374.25,129703.0,489.69
2017-10-10,355.85,372.5,353.5,370.15,371.05,207849.0,762.31
2017-10-09,344.45,366.25,344.0,351.0,352.75,277562.0,993.56
2017-10-06,342.45,352.75,340.6,344.45,343.45,50091.0,173.01
2017-10-05,342.7,343.0,340.0,340.5,340.8,17272.0,58.92
2017-10-04,343.4,345.4,339.3,341.0,340.2,44457.0,151.67
2017-10-03,341.0,346.95,339.7,340.9,340.4,34102.0,116.31
2017-09-29,345.0,347.1,339.95,344.1,340.85,35126.0,120.55
2017-09-28,340.2,346.45,338.7,340.1,341.7,19462.0,66.63
2017-09-27,348.6,349.75,339.9,341.1,341.9,47413.0,163.0
2017-09-26,341.5,348.9,340.0,345.0,347.45,21372.0,73.58
2017-09-25,353.0,354.9,337.55,339.85,339.6,70273.0,241.44
2017-09-22,359.45,361.0,350.1,351.0,351.8,73502.0,260.97
2017-09-21,349.5,364.0,342.3,361.1,358.5,324115.0,1130.85
2017-09-20,345.2,352.3,344.0,348.95,347.35,99310.0,346.16
2017-09-19,350.0,350.9,343.7,345.15,347.45,38333.0,133.16
2017-09-18,347.75,359.1,345.15,347.5,348.35,76501.0,268.41
