Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,181.7,188.7,179.6,188.7,186.55,251211.0,464.77
2018-03-12,179.0,184.8,176.5,180.0,180.3,191067.0,344.88
2018-03-09,179.65,179.65,174.0,174.55,175.05,130152.0,229.46
2018-03-08,179.0,181.0,170.1,175.1,177.1,320835.0,563.7
2018-03-07,185.2,185.2,176.0,177.8,178.25,141965.0,255.91
2018-03-06,190.45,190.65,184.15,184.75,185.2,84649.0,159.1
2018-03-05,191.0,192.35,186.0,186.5,186.75,130986.0,246.78
2018-03-01,187.25,194.0,187.25,190.0,191.8,311491.0,597.07
2018-02-28,191.75,191.75,186.55,187.0,187.25,151988.0,287.26
2018-02-27,193.5,195.75,190.1,191.0,191.75,124068.0,239.47
2018-02-26,194.35,197.0,191.0,192.55,191.95,122493.0,237.72
2018-02-23,197.35,197.9,194.0,195.05,195.8,121786.0,239.07
2018-02-22,192.0,197.4,189.6,195.0,195.55,270779.0,526.11
2018-02-21,191.5,193.95,189.0,193.5,192.85,166217.0,317.85
2018-02-20,190.8,193.65,187.7,189.5,189.9,219410.0,417.11
2018-02-19,194.0,194.0,185.2,190.6,189.05,172861.0,327.07
2018-02-16,201.0,201.0,187.0,190.0,189.85,330310.0,635.3
2018-02-15,206.9,207.1,184.0,198.0,190.35,566036.0,1098.55
2018-02-14,210.9,213.4,202.2,203.0,203.35,367322.0,756.83
2018-02-12,200.0,215.75,200.0,210.9,212.3,707123.0,1496.25
2018-02-09,186.2,201.45,186.2,196.1,197.85,269781.0,529.24
2018-02-08,195.95,199.45,193.5,195.7,195.7,142838.0,280.95
2018-02-07,188.0,201.9,188.0,193.0,196.05,419735.0,817.57
2018-02-06,168.25,184.9,165.1,181.9,182.65,656488.0,1152.08
2018-02-05,178.2,190.6,178.1,186.7,186.7,396003.0,736.12
2018-02-02,197.3,201.0,190.0,190.9,192.55,444986.0,871.4
2018-02-01,201.0,204.95,197.0,203.25,202.75,217896.0,439.84
2018-01-31,200.3,205.0,198.0,199.3,199.6,184533.0,371.84
2018-01-30,207.75,207.75,196.7,201.0,201.05,197636.0,398.96
2018-01-29,210.75,211.8,205.9,206.5,206.3,135032.0,281.13
2018-01-25,209.1,213.9,208.3,210.75,210.9,199091.0,419.99
2018-01-24,211.0,214.9,207.0,208.3,209.1,241124.0,509.0
