Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,1140.0,1140.0,1106.6,1129.0,1128.75,106213.0,1199.57
2018-03-12,1145.0,1159.45,1118.0,1138.0,1132.0,126601.0,1428.4
2018-03-09,1142.0,1156.7,1131.0,1136.0,1136.9,57970.0,663.58
2018-03-08,1133.0,1160.0,1125.15,1149.5,1142.2,83700.0,958.5
2018-03-07,1159.0,1160.0,1025.55,1147.0,1142.4,222173.0,2472.11
2018-03-06,1189.0,1200.0,1161.2,1168.0,1166.55,73408.0,868.62
2018-03-05,1169.95,1187.0,1155.0,1186.0,1175.9,92393.0,1083.67
2018-03-01,1128.55,1180.0,1128.55,1160.0,1166.5,177995.0,2077.42
2018-02-28,1125.0,1142.0,1095.6,1132.0,1128.55,148656.0,1652.55
2018-02-27,1131.8,1145.35,1120.0,1122.6,1126.35,101010.0,1141.08
2018-02-26,1115.0,1129.7,1103.15,1122.0,1121.2,59575.0,666.57
2018-02-23,1094.0,1109.45,1076.05,1103.1,1104.3,63287.0,692.44
2018-02-22,1089.95,1094.85,1072.0,1080.0,1077.2,96629.0,1046.39
2018-02-21,1105.0,1113.5,1070.55,1096.0,1090.55,46842.0,510.82
2018-02-20,1089.9,1117.4,1080.0,1100.0,1090.65,90189.0,992.41
2018-02-19,1095.0,1105.65,1068.0,1091.0,1085.55,49455.0,535.91
2018-02-16,1130.0,1145.0,1087.95,1094.9,1098.0,73879.0,822.86
2018-02-15,1171.7,1181.05,1118.0,1118.0,1129.65,74308.0,856.27
2018-02-14,1210.0,1227.5,1148.3,1154.7,1171.4,149958.0,1790.05
2018-02-12,1115.45,1198.0,1110.05,1195.0,1182.2,120940.0,1385.95
2018-02-09,1060.55,1140.0,1057.5,1097.9,1106.3,112502.0,1250.38
2018-02-08,1119.0,1135.9,1101.0,1117.0,1117.55,123469.0,1382.38
2018-02-07,1099.0,1168.95,1090.2,1091.0,1097.7,422098.0,4681.66
2018-02-06,1089.95,1136.95,1001.0,1076.0,1061.2,387878.0,4084.86
2018-02-05,1199.9,1199.95,1123.0,1150.0,1150.4,179968.0,2074.97
2018-02-02,1260.0,1260.0,1200.0,1215.0,1212.9,139984.0,1704.16
2018-02-01,1235.0,1277.45,1214.05,1272.0,1269.05,78541.0,980.43
2018-01-31,1225.05,1249.45,1205.05,1239.1,1233.4,96380.0,1179.97
2018-01-30,1292.25,1292.25,1223.4,1227.9,1230.0,93790.0,1169.17
2018-01-29,1334.15,1334.15,1277.1,1290.0,1285.55,86275.0,1117.22
2018-01-25,1315.0,1358.0,1310.0,1322.85,1323.4,163773.0,2193.68
2018-01-24,1289.6,1338.0,1286.1,1338.0,1331.1,108671.0,1428.76
2018-01-23,1295.0,1305.95,1274.1,1287.0,1289.6,84536.0,1093.44
2018-01-22,1301.0,1301.65,1283.0,1298.0,1295.75,32801.0,424.77
2018-01-19,1309.8,1314.15,1270.55,1298.1,1291.15,89937.0,1171.73
2018-01-18,1260.0,1344.0,1250.15,1301.3,1294.65,255225.0,3345.47
2018-01-17,1235.0,1260.05,1186.0,1260.0,1249.6,52177.0,638.66
2018-01-16,1244.9,1244.9,1215.0,1232.5,1230.2,40800.0,500.32
2018-01-15,1242.3,1261.95,1227.0,1231.6,1238.2,79051.0,981.71
2018-01-12,1269.9,1283.0,1225.05,1239.0,1239.6,77949.0,976.15
2018-01-11,1277.45,1277.45,1255.05,1266.0,1269.1,58752.0,743.29
2018-01-10,1250.0,1286.0,1235.0,1270.7,1277.45,75585.0,955.38
2018-01-09,1274.95,1278.7,1241.0,1246.0,1248.55,109336.0,1376.1
2018-01-08,1277.6,1309.95,1264.0,1270.6,1268.65,80507.0,1032.6
