Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-25,756.5,762,748.35,762,757.8,2878048,21764.98
2018-01-24,769.05,771,752.4,756.5,755.4,2080315,15776.55
2018-01-23,761.95,773,761.4,769.75,769.05,2775928,21312.63
2018-01-22,762.1,769,756,759.05,759.6,934811,7109.55
2018-01-19,760,768.3,748.3,765.65,765.4,2005133,15179.91
2018-01-18,750,765,745,759.3,759.25,2810014,21335.05
2018-01-17,747.05,754,738.85,741.65,745.35,1940533,14476.45
2018-01-16,759,762.55,741,748.35,746.7,1611817,12085.17
2018-01-15,770,775.65,755.65,758.35,759.2,2127778,16304.72
2018-01-12,767.1,769.5,761.75,766.85,767.5,1363265,10435.77
2018-01-11,760.3,768.95,755.5,764.35,766.65,2291617,17499.29
2018-01-10,762.05,765,754.2,760.3,759.85,1275821,9691.59
2018-01-09,760,766,757.2,761.85,762.45,1947163,14835.69
2018-01-08,757.05,760,756.55,760,759.9,2309604,17523.82
2018-01-05,756,758.5,753.6,755.6,756.35,1255982,9505.5
2018-01-04,761,761,750.5,755.75,756,1663380,12562.34
2018-01-03,755.9,759,750,753.7,754.9,2256643,17063.8
2018-01-02,754,758,746.3,753,752.9,3020597,22746.88
2018-01-01,751,758.9,743,745.5,744.65,2476302,18591.4
2017-12-29,751,753,743.9,751.5,751.1,2055582,15379.92
2017-12-28,747,753.95,745.35,751.9,749.95,5643656,42313.38
2017-12-27,744.8,754.9,739.45,747,746.75,2523905,18867.75
2017-12-26,748,749.95,736.7,741.55,741.55,3887128,28771.09
2017-12-22,747,753.4,743,747.4,746.2,2338232,17483.03
2017-12-21,767,767,738.95,742.85,742.2,6803736,50786.83
2017-12-20,1560,1571.4,1533.1,1534.2,1541.75,4830014,75207.46
2017-12-19,1535,1560.95,1522,1550.4,1556.3,5673987,87372.15
2017-12-18,1484,1539,1455,1521.8,1521.45,4265351,64753.93
2017-12-15,1442.5,1490,1441,1483,1483.4,3552757,52295
2017-12-14,1417,1436,1413,1432,1431.6,2752965,39337.87
2017-12-13,1421.8,1432,1410,1411,1412.5,1893574,26910.37
2017-12-12,1419.8,1428.5,1411.1,1420,1419.15,1406120,19961.57
2017-12-11,1395.85,1427.85,1392.5,1417.85,1418.25,1323321,18727.32
2017-12-08,1386.7,1393.65,1379.4,1387,1388.15,1199696,16642.6
