Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,48.1,52.3,48.0,51.7,51.6,2461587.0,1256.49
2018-03-12,46.25,48.95,46.15,48.6,48.15,1537478.0,733.98
2018-03-09,46.65,46.65,45.7,45.75,45.85,678369.0,313.11
2018-03-08,47.0,47.15,45.5,46.1,46.2,873603.0,404.76
2018-03-07,49.2,49.2,46.1,46.5,46.55,1106942.0,524.01
2018-03-06,51.0,51.7,48.45,49.1,49.35,845102.0,426.73
2018-03-05,51.65,51.7,50.0,50.45,50.55,676310.0,342.99
2018-03-01,52.1,52.6,51.3,51.35,51.5,485819.0,252.23
2018-02-28,51.4,53.35,51.4,52.15,52.05,817057.0,427.26
2018-02-27,53.0,53.4,51.9,52.4,52.15,737811.0,387.57
2018-02-26,52.7,53.25,52.45,52.8,52.65,760386.0,401.73
2018-02-23,52.25,52.65,52.05,52.25,52.25,850244.0,444.99
2018-02-22,51.5,52.7,51.25,51.95,52.05,732443.0,381.68
2018-02-21,53.2,53.45,51.9,52.1,52.05,566438.0,297.07
2018-02-20,52.95,53.75,52.35,52.8,53.0,604389.0,321.15
2018-02-19,55.2,55.4,52.55,52.95,53.05,739029.0,394.28
2018-02-16,56.5,56.8,54.45,54.9,54.95,618242.0,341.55
2018-02-15,58.5,58.95,55.5,56.15,56.0,1406216.0,804.61
2018-02-14,57.75,58.4,56.75,56.85,57.05,1463711.0,841.92
2018-02-12,57.5,59.5,57.25,58.4,58.6,1274780.0,746.08
2018-02-09,54.0,57.4,53.35,57.1,56.75,1844345.0,1034.22
2018-02-08,54.0,56.25,53.8,55.95,55.95,1901636.0,1050.52
2018-02-07,53.7,54.65,53.15,53.7,53.65,1163087.0,626.1
2018-02-06,50.7,52.9,49.9,52.6,52.45,1527928.0,794.56
2018-02-05,55.0,55.8,52.55,54.85,54.6,1745868.0,952.38
2018-02-02,58.7,59.3,55.25,56.05,56.1,1541768.0,880.64
2018-02-01,61.5,62.45,59.55,60.15,59.95,1227956.0,747.52
2018-01-31,60.5,61.95,60.25,61.45,61.35,2075608.0,1270.78
2018-01-30,60.95,61.65,60.0,60.65,60.6,1275963.0,775.6
2018-01-29,62.9,63.3,61.15,61.25,61.3,827588.0,512.68
2018-01-25,63.0,63.75,62.45,62.7,62.65,1089770.0,686.58
2018-01-24,64.85,64.85,62.6,62.95,62.85,1296198.0,822.92
2018-01-23,65.15,66.4,64.3,64.95,64.85,1981944.0,1295.26
2018-01-22,64.85,66.2,64.3,65.0,64.8,2612083.0,1698.79
2018-01-19,64.85,65.15,63.6,64.15,64.2,1017824.0,654.66
2018-01-18,66.75,67.6,64.1,64.8,64.75,1644131.0,1087.35
2018-01-17,66.0,67.45,64.35,66.3,66.4,1697650.0,1117.33
2018-01-16,68.3,68.65,65.7,66.0,66.05,1364761.0,910.98
2018-01-15,68.35,68.85,67.85,68.1,67.95,1116952.0,762.94
2018-01-12,68.9,69.45,67.25,67.95,67.9,1499980.0,1027.16
2018-01-11,68.4,69.45,68.1,68.5,68.45,1666718.0,1145.4
2018-01-10,69.5,70.3,68.0,68.15,68.25,2509828.0,1730.64
2018-01-09,70.75,71.4,69.05,69.25,69.3,2488369.0,1743.97
2018-01-08,71.1,71.9,70.25,70.35,70.55,2151961.0,1527.87
2018-01-05,71.55,72.5,70.45,70.75,70.85,2201857.0,1573.06
2018-01-04,72.0,73.15,70.9,71.4,71.2,3074552.0,2209.85
2018-01-03,71.25,73.5,71.2,71.45,71.5,3309857.0,2387.19
2018-01-02,73.3,73.45,70.6,70.95,71.05,2339009.0,1676.53
2018-01-01,73.6,74.5,72.75,72.9,72.95,2515869.0,1849.45
2017-12-29,75.9,76.4,72.9,73.45,73.3,2910693.0,2166.64
2017-12-28,74.0,77.15,73.9,75.2,75.2,7068237.0,5359.22
2017-12-27,71.6,75.95,71.6,73.4,73.4,8081730.0,5992.52
2017-12-26,72.1,72.45,71.3,71.35,71.4,961057.0,689.3
2017-12-22,72.05,73.8,71.55,71.9,71.95,2641994.0,1917.86
2017-12-21,72.05,72.6,71.6,71.9,71.8,1195582.0,861.19
2017-12-20,72.0,74.25,71.5,72.0,71.85,3761657.0,2742.54
2017-12-19,71.5,72.0,71.25,71.65,71.65,1046109.0,748.96
