Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,205.0,207.0,203.5,203.9,204.3,324615.0,666.16
2018-03-12,206.1,209.7,204.05,205.1,205.3,337447.0,694.51
2018-03-09,208.0,209.0,202.0,203.5,203.45,266065.0,542.22
2018-03-08,202.1,206.0,195.45,205.5,205.3,460898.0,930.32
2018-03-07,212.7,212.7,199.0,201.3,201.35,744297.0,1511.26
2018-03-06,218.0,220.0,211.0,211.25,211.7,344506.0,738.43
2018-03-05,222.5,222.5,215.3,216.0,216.0,299880.0,652.99
2018-03-01,229.0,229.0,222.85,223.2,224.25,1080134.0,2443.54
2018-02-28,213.1,227.0,210.8,225.7,221.35,457622.0,998.84
2018-02-27,212.0,214.9,211.0,214.3,213.55,415510.0,885.15
2018-02-26,216.0,217.4,210.1,211.15,211.15,486820.0,1034.61
2018-02-23,213.5,217.45,211.05,215.25,215.45,262568.0,564.08
2018-02-22,215.15,215.2,209.0,209.0,210.0,508424.0,1072.3
2018-02-21,220.0,221.1,215.0,215.0,215.35,252291.0,545.99
2018-02-20,218.0,224.7,216.95,219.0,219.25,312813.0,688.67
2018-02-19,224.2,225.4,217.1,219.1,218.8,248201.0,545.95
2018-02-16,229.2,230.4,223.0,224.8,224.1,318522.0,718.24
2018-02-15,232.5,236.35,230.25,232.0,230.9,544641.0,1270.32
2018-02-14,232.1,233.8,229.7,230.3,230.5,391275.0,902.76
2018-02-12,231.95,233.95,229.8,230.55,230.5,353843.0,817.92
2018-02-09,233.5,239.0,231.5,233.5,234.5,442127.0,1042.21
2018-02-08,229.2,239.0,229.1,234.0,234.6,494904.0,1155.8
2018-02-07,231.95,234.9,228.5,229.4,229.35,245697.0,567.69
2018-02-06,219.0,231.15,212.5,230.25,229.25,1040364.0,2317.11
2018-02-05,227.6,231.35,224.0,230.5,230.45,500878.0,1143.25
2018-02-02,241.0,242.45,224.6,234.9,235.15,663081.0,1562.28
2018-02-01,242.8,246.5,239.0,244.15,244.3,536841.0,1304.06
2018-01-31,244.0,246.05,238.0,242.55,242.45,396500.0,958.46
2018-01-30,244.75,249.7,242.25,243.7,244.2,1139956.0,2792.6
2018-01-29,239.9,243.25,235.35,238.65,238.85,376406.0,905.33
2018-01-25,242.0,247.45,235.5,237.9,238.55,371290.0,897.01
2018-01-24,247.0,247.0,242.0,243.5,244.85,290246.0,711.02
2018-01-23,245.55,249.9,244.55,249.05,248.5,440090.0,1088.41
2018-01-22,240.0,247.45,239.45,245.7,245.15,432681.0,1054.84
2018-01-19,241.0,244.65,237.2,240.45,239.4,442103.0,1062.96
2018-01-18,253.4,253.9,239.1,242.0,241.25,797672.0,1947.82
2018-01-17,245.9,253.15,241.35,252.4,252.6,592301.0,1475.38
2018-01-16,257.2,257.2,245.0,246.7,246.25,534525.0,1331.75
2018-01-15,255.9,258.45,252.55,256.75,256.55,544152.0,1390.7
2018-01-12,255.5,258.8,251.0,254.25,254.9,694276.0,1772.85
2018-01-11,251.9,261.5,249.1,253.7,253.35,1247694.0,3196.22
2018-01-10,256.8,257.0,251.8,253.0,252.9,513024.0,1303.13
2018-01-09,257.9,261.15,253.0,256.5,257.0,1047587.0,2686.18
2018-01-08,247.0,258.4,247.0,255.3,256.1,1451698.0,3672.83
2018-01-05,243.2,247.9,243.2,245.95,245.4,970113.0,2384.53
2018-01-04,240.4,245.8,240.05,242.1,242.35,715673.0,1739.12
2018-01-03,238.35,242.0,237.0,240.0,239.45,458091.0,1097.38
2018-01-02,241.2,245.1,236.5,236.95,236.9,697462.0,1666.54
2018-01-01,249.0,250.75,240.7,244.25,243.05,917759.0,2267.1
2017-12-29,238.0,243.9,238.0,242.55,242.5,730932.0,1763.8
2017-12-28,236.0,241.9,236.0,238.3,237.9,642583.0,1536.33
2017-12-27,240.5,241.85,233.5,234.25,234.1,718815.0,1699.5
2017-12-26,238.95,242.75,236.05,241.0,240.1,377527.0,903.09
2017-12-22,242.7,242.9,237.0,237.5,238.1,319024.0,765.06
2017-12-21,241.2,243.5,240.0,241.2,241.55,348792.0,842.16
2017-12-20,244.35,244.7,239.0,240.0,239.75,339094.0,820.29
2017-12-19,242.0,246.75,241.0,243.4,243.4,624975.0,1522.3
2017-12-18,232.8,242.9,224.55,242.5,240.9,1023530.0,2442.6
2017-12-15,230.0,238.6,230.0,235.0,235.75,890031.0,2088.52
2017-12-14,226.0,228.5,223.05,227.3,227.25,390025.0,881.37
2017-12-13,228.9,230.5,223.05,225.6,224.75,398886.0,905.83
2017-12-12,232.6,232.6,228.0,229.5,229.0,427239.0,983.05
2017-12-11,227.4,234.65,227.4,233.1,232.75,1103986.0,2555.75
2017-12-08,220.8,238.7,220.8,225.6,225.75,4015906.0,9189.37
2017-12-07,216.8,220.8,215.55,216.0,217.45,724161.0,1581.45
2017-12-06,222.85,223.5,214.6,215.1,216.8,765775.0,1685.5
2017-12-05,228.9,229.6,223.65,223.95,224.55,578017.0,1306.6
2017-12-04,235.0,236.35,225.2,228.4,228.4,711172.0,1633.45
2017-12-01,247.1,250.0,232.5,234.0,233.85,993267.0,2384.94
2017-11-30,248.0,248.65,245.2,246.9,246.1,438717.0,1083.98
2017-11-29,251.0,253.5,248.5,249.7,249.05,497320.0,1246.36
2017-11-28,248.85,253.85,248.0,248.95,248.6,800113.0,2008.26
2017-11-27,252.0,252.0,246.3,247.9,247.9,468903.0,1166.25
2017-11-24,253.8,254.3,251.45,252.2,252.25,442596.0,1118.65
2017-11-23,252.9,257.0,252.05,252.45,252.85,704665.0,1790.02
2017-11-22,254.0,255.75,251.0,252.2,252.05,716307.0,1810.73
2017-11-21,246.8,254.8,246.05,251.9,251.15,1326987.0,3343.29
2017-11-20,246.4,248.1,244.2,245.95,245.9,342585.0,842.79
2017-11-17,247.4,252.75,244.05,246.0,245.6,676464.0,1680.45
2017-11-16,250.85,252.5,245.0,245.5,245.4,606564.0,1498.39
2017-11-15,264.4,266.0,248.0,248.8,249.3,2248379.0,5735.3
2017-11-14,246.0,250.9,246.0,248.0,247.9,532055.0,1318.68
2017-11-13,250.95,252.05,243.9,245.2,244.95,590110.0,1454.42
2017-11-10,252.2,256.6,248.35,250.2,250.1,483924.0,1220.29
2017-11-09,252.2,256.45,247.1,253.0,253.2,558671.0,1407.8
2017-11-08,259.3,261.95,249.0,252.0,251.75,633658.0,1619.8
2017-11-07,263.05,273.1,256.5,260.4,260.3,1304068.0,3450.57
2017-11-06,267.8,268.4,260.9,261.0,261.5,893608.0,2360.94
2017-11-03,273.9,276.55,267.25,268.0,268.6,802200.0,2176.94
2017-11-02,264.95,284.0,264.1,273.3,272.15,2519269.0,6936.96
2017-11-01,265.95,268.8,261.6,263.1,263.75,607505.0,1608.51
2017-10-31,271.9,272.4,263.1,263.95,264.4,701374.0,1873.87
2017-10-30,270.0,276.45,268.5,271.15,271.15,1096256.0,2983.26
2017-10-27,265.8,273.4,260.2,269.25,269.05,2035184.0,5476.14
2017-10-26,259.5,268.5,253.25,264.2,264.3,1586141.0,4178.4
2017-10-25,265.5,268.0,247.35,260.55,258.35,1690014.0,4333.28
2017-10-24,274.55,285.85,260.8,262.9,262.9,4731859.0,12974.68
2017-10-23,253.0,284.0,253.0,272.0,271.5,8368127.0,22489.06
2017-10-19,233.5,250.75,233.5,244.5,246.95,2573015.0,6292.7
2017-10-18,205.9,238.0,204.0,229.75,231.15,3598529.0,8211.14
2017-10-17,208.5,209.2,204.55,205.7,205.85,266817.0,552.56
2017-10-16,208.1,212.0,205.1,207.65,207.3,491648.0,1026.05
2017-10-13,205.7,213.0,204.0,207.9,207.45,1727147.0,3614.26
2017-10-12,197.95,204.4,196.5,204.2,202.3,424842.0,851.93
2017-10-11,205.4,205.9,194.0,196.0,195.35,551975.0,1097.35
2017-10-10,205.7,209.35,203.0,203.5,204.0,531605.0,1093.65
2017-10-09,198.65,205.7,193.5,203.0,203.85,606317.0,1215.89
2017-10-06,198.75,198.75,191.85,197.5,197.5,178378.0,352.45
2017-10-05,196.9,199.4,194.2,198.0,197.6,196540.0,387.0
2017-10-04,198.1,202.0,194.5,197.5,195.85,372051.0,734.59
2017-10-03,198.8,198.9,194.75,197.0,196.3,362961.0,713.59
2017-09-29,183.85,192.0,181.0,191.6,190.8,483263.0,915.52
2017-09-28,182.8,185.85,180.0,182.9,181.55,243844.0,445.27
2017-09-27,198.45,198.45,179.7,183.0,181.55,635320.0,1190.37
2017-09-26,391.0,403.9,389.1,390.0,390.4,546425.0,2155.73
2017-09-25,403.0,405.05,382.6,386.7,385.85,363121.0,1416.29
