Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,2539.4,2600.0,2522.0,2590.0,2589.95,9993.0,256.38
2018-03-12,2562.95,2604.0,2520.0,2598.0,2591.25,5640.0,144.86
2018-03-09,2597.9,2601.95,2545.05,2551.3,2559.7,7088.0,181.37
2018-03-08,2599.0,2619.0,2530.05,2612.95,2597.5,5131.0,132.76
2018-03-07,2541.05,2589.0,2540.0,2580.0,2580.35,4483.0,115.09
2018-03-06,2610.95,2619.0,2538.0,2583.95,2571.95,9034.0,232.32
2018-03-05,2569.0,2600.0,2545.6,2589.9,2585.1,18817.0,482.4
2018-03-01,2510.0,2570.0,2510.0,2549.0,2541.5,10833.0,276.06
2018-02-28,2505.3,2531.05,2502.4,2510.0,2510.95,3278.0,82.35
2018-02-27,2542.25,2542.25,2500.05,2514.5,2518.9,1432.0,36.11
2018-02-26,2500.7,2587.95,2495.0,2530.1,2542.25,15751.0,401.21
2018-02-23,2490.05,2505.0,2490.0,2500.7,2504.3,5857.0,146.66
2018-02-22,2473.0,2500.0,2473.0,2492.0,2493.75,2133.0,53.07
2018-02-21,2491.0,2493.95,2473.0,2482.25,2484.05,16349.0,405.84
2018-02-20,2489.0,2510.0,2480.0,2500.0,2485.95,7843.0,195.06
2018-02-19,2489.95,2513.45,2475.2,2490.0,2488.6,4067.0,100.97
2018-02-16,2517.9,2523.95,2482.2,2490.6,2488.6,26063.0,651.24
2018-02-15,2511.95,2549.0,2491.0,2491.0,2501.75,12519.0,316.21
2018-02-14,2500.0,2533.45,2495.0,2524.85,2508.75,14505.0,362.98
2018-02-12,2550.0,2550.0,2480.0,2480.0,2497.4,6889.0,173.26
2018-02-09,2464.05,2543.0,2463.05,2502.7,2503.0,33058.0,827.41
2018-02-08,2460.0,2528.0,2460.0,2500.1,2500.0,18547.0,463.78
2018-02-07,2539.95,2539.95,2480.1,2482.0,2485.25,7462.0,186.4
2018-02-06,2405.0,2498.9,2405.0,2471.0,2471.7,11355.0,279.97
2018-02-05,2522.75,2590.0,2481.0,2528.4,2532.1,5398.0,136.75
2018-02-02,2639.95,2652.0,2502.0,2511.0,2522.75,13825.0,353.58
2018-02-01,2572.7,2697.0,2572.7,2615.0,2612.15,61088.0,1621.4
2018-01-31,2574.0,2594.35,2544.05,2562.0,2568.55,9953.0,255.19
2018-01-30,2600.0,2600.0,2551.0,2575.1,2573.0,8157.0,209.23
2018-01-29,2619.95,2665.0,2556.0,2574.0,2564.8,20429.0,528.41
2018-01-25,2560.0,2610.4,2540.0,2555.0,2555.6,18156.0,465.69
2018-01-24,2561.0,2570.45,2551.0,2560.0,2565.05,3822.0,97.87
2018-01-23,2620.0,2650.0,2559.8,2560.0,2561.15,4261.0,109.76
2018-01-22,2585.95,2666.75,2560.0,2607.35,2620.75,5888.0,154.13
2018-01-19,2577.1,2610.0,2550.0,2609.0,2594.45,5583.0,144.18
2018-01-18,2581.5,2592.0,2512.55,2554.95,2540.45,10633.0,272.17
2018-01-17,2570.0,2604.05,2542.0,2565.0,2569.75,4069.0,104.56
2018-01-16,2567.05,2629.0,2560.0,2571.0,2578.3,5599.0,144.72
2018-01-15,2580.15,2640.0,2550.05,2610.0,2621.5,7462.0,194.42
2018-01-12,2629.25,2629.95,2576.0,2593.0,2593.35,3723.0,96.71
2018-01-11,2600.05,2637.0,2599.1,2600.15,2603.3,4576.0,119.38
2018-01-10,2650.0,2670.0,2610.0,2622.0,2628.85,9593.0,252.92
2018-01-09,2595.0,2710.0,2595.0,2638.0,2625.7,26043.0,686.36
2018-01-08,2524.75,2622.55,2500.6,2594.0,2589.15,38864.0,1000.36
2018-01-05,2518.45,2525.0,2490.0,2495.0,2499.85,4611.0,115.36
2018-01-04,2510.35,2520.05,2466.1,2484.55,2493.55,3514.0,87.56
2018-01-03,2512.95,2550.0,2469.6,2506.95,2485.55,8570.0,214.68
2018-01-02,2500.05,2510.0,2460.1,2510.0,2492.75,4832.0,119.51
2018-01-01,2550.0,2550.0,2460.05,2473.1,2475.3,5794.0,144.9
2017-12-29,2455.0,2579.0,2455.0,2527.9,2535.1,26743.0,678.84
2017-12-28,2458.2,2469.8,2454.05,2458.45,2456.1,5429.0,133.32
2017-12-27,2455.0,2483.95,2455.0,2456.95,2459.05,3634.0,89.41
2017-12-26,2480.0,2490.0,2455.0,2460.0,2459.15,6452.0,159.47
2017-12-22,2462.1,2477.0,2455.1,2455.15,2461.35,7417.0,182.45
2017-12-21,2469.9,2499.0,2455.1,2460.0,2457.85,3019.0,74.54
2017-12-20,2484.3,2484.3,2452.0,2452.0,2453.6,3531.0,86.9
2017-12-19,2468.3,2477.95,2448.2,2455.0,2457.35,11155.0,273.65
2017-12-18,2450.5,2475.05,2436.05,2453.0,2456.6,2191.0,53.89
2017-12-15,2493.45,2493.45,2456.1,2456.1,2458.85,2728.0,67.18
2017-12-14,2485.2,2494.0,2452.0,2461.1,2459.2,4504.0,110.81
2017-12-13,2512.4,2512.65,2452.05,2455.1,2460.65,3669.0,90.74
2017-12-12,2471.9,2520.0,2460.1,2498.3,2506.3,20237.0,507.25
2017-12-11,2464.0,2474.85,2450.0,2474.0,2463.35,2407.0,59.24
2017-12-08,2480.0,2493.95,2460.25,2461.0,2464.3,7877.0,194.13
2017-12-07,2458.15,2479.9,2456.0,2459.4,2470.95,3618.0,89.0
2017-12-06,2440.1,2467.0,2440.1,2457.0,2457.15,6724.0,165.21
2017-12-05,2489.1,2489.1,2457.0,2458.0,2460.0,6974.0,171.6
2017-12-04,2489.8,2490.0,2475.0,2485.0,2480.55,7288.0,180.8
2017-12-01,2480.0,2490.0,2465.1,2466.0,2466.95,5061.0,125.09
2017-11-30,2484.75,2490.0,2480.0,2480.25,2483.65,5026.0,124.73
2017-11-29,2537.0,2537.0,2480.1,2480.2,2489.5,2611.0,64.9
2017-11-28,2466.05,2520.0,2466.05,2514.9,2512.2,3982.0,99.56
2017-11-27,2467.1,2475.0,2466.0,2470.15,2472.85,2049.0,50.63
2017-11-24,2460.0,2500.0,2445.0,2471.0,2473.4,8045.0,198.62
2017-11-23,2510.0,2540.0,2475.1,2503.05,2493.1,21950.0,548.2
2017-11-22,2513.95,2520.0,2480.0,2500.1,2509.9,2087.0,52.23
2017-11-21,2519.95,2520.8,2480.0,2500.0,2491.25,8831.0,221.22
2017-11-20,2491.0,2510.0,2470.0,2509.9,2500.85,1766.0,43.92
2017-11-17,2487.55,2545.0,2480.1,2489.5,2489.6,7528.0,189.24
2017-11-16,2469.9,2484.0,2460.2,2475.1,2480.6,1352.0,33.46
2017-11-15,2481.0,2481.0,2440.05,2450.0,2447.5,4434.0,108.95
2017-11-14,2508.05,2534.9,2450.1,2500.05,2484.95,7420.0,184.53
2017-11-13,2472.05,2540.0,2472.05,2520.0,2528.5,2723.0,68.42
2017-11-10,2440.05,2545.0,2440.0,2525.75,2533.6,8226.0,207.53
2017-11-09,2466.0,2468.0,2432.0,2450.0,2455.5,1672.0,40.97
2017-11-08,2453.7,2475.8,2440.25,2440.25,2447.45,1412.0,34.64
2017-11-07,2482.15,2525.0,2440.0,2453.0,2455.1,2362.0,58.48
2017-11-06,2500.0,2529.3,2482.05,2504.1,2505.4,4187.0,105.0
2017-11-03,2510.0,2522.0,2496.05,2520.0,2517.7,3562.0,89.71
2017-11-02,2452.1,2523.0,2452.1,2509.0,2506.6,95470.0,2389.8
2017-11-01,2475.0,2524.95,2475.0,2520.0,2519.2,13761.0,344.86
2017-10-31,2463.05,2480.0,2454.0,2480.0,2473.45,4185.0,103.26
2017-10-30,2473.0,2479.9,2435.0,2470.0,2468.1,6607.0,163.06
2017-10-27,2450.05,2478.95,2436.05,2459.0,2455.7,3303.0,81.46
2017-10-26,2500.0,2510.0,2464.1,2464.1,2470.65,8897.0,220.61
2017-10-25,2429.95,2488.0,2401.0,2480.0,2478.8,5021.0,122.88
2017-10-24,2424.0,2429.9,2400.0,2405.0,2410.6,4440.0,107.04
2017-10-23,2425.0,2453.0,2401.0,2401.0,2410.65,2367.0,57.23
2017-10-19,2450.0,2469.5,2425.0,2455.0,2445.6,739.0,18.09
2017-10-18,2424.95,2458.95,2380.15,2432.65,2444.25,6222.0,150.79
2017-10-17,2465.0,2479.95,2445.15,2469.0,2453.35,1767.0,43.45
2017-10-16,2489.0,2510.0,2453.15,2462.7,2466.35,2642.0,65.54
