Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,19.95,20.4,19.75,20.15,20.05,1679494.0,337.77
2018-03-12,20.55,20.55,19.8,20.0,19.95,1336374.0,268.46
2018-03-09,20.75,21.05,20.2,20.35,20.3,946379.0,194.84
2018-03-08,21.6,21.6,20.1,20.75,20.75,1472211.0,305.76
2018-03-07,21.2,22.15,20.8,20.85,21.0,2119834.0,455.56
2018-03-06,22.0,22.25,21.05,21.15,21.15,728121.0,157.04
2018-03-05,22.15,22.45,21.6,21.75,21.75,585270.0,128.52
2018-03-01,22.45,22.8,22.0,22.15,22.1,898151.0,201.21
2018-02-28,22.3,22.95,22.2,22.55,22.5,656182.0,148.03
2018-02-27,22.95,23.15,22.5,22.5,22.6,1079856.0,246.1
2018-02-26,23.85,23.85,22.65,22.75,22.75,1819407.0,418.03
2018-02-23,24.2,24.2,23.55,23.65,23.7,1581435.0,375.75
2018-02-22,22.6,25.8,22.55,24.3,24.25,11847261.0,2898.29
2018-02-21,23.1,23.1,22.4,22.5,22.5,560489.0,126.84
2018-02-20,23.0,23.65,22.45,22.9,22.7,1483858.0,340.36
2018-02-19,22.4,23.25,21.6,22.8,22.85,2034889.0,460.13
2018-02-16,22.65,23.1,22.1,22.2,22.25,1141174.0,256.66
2018-02-15,23.3,23.45,22.1,22.6,22.6,975602.0,223.21
2018-02-14,23.75,24.4,23.0,23.1,23.15,1280607.0,303.04
2018-02-12,23.3,23.75,22.95,23.3,23.35,1676467.0,390.69
2018-02-09,22.2,22.95,22.0,22.5,22.4,1272942.0,285.99
2018-02-08,22.5,23.45,22.0,22.9,22.85,1759808.0,403.38
2018-02-07,21.0,23.3,20.7,22.5,22.45,7050673.0,1579.73
2018-02-06,19.3,20.45,19.05,20.3,20.15,1573094.0,315.57
2018-02-05,21.0,21.7,20.0,21.15,20.95,2583376.0,538.75
2018-02-02,23.9,23.9,21.6,21.7,21.75,2804186.0,628.89
2018-02-01,25.8,25.95,24.15,24.4,24.4,2246910.0,561.16
2018-01-31,25.5,25.85,24.75,25.25,25.2,1393281.0,352.22
2018-01-30,25.7,26.45,25.2,25.7,25.8,1979454.0,513.24
2018-01-29,26.2,26.4,25.6,26.0,25.9,1556741.0,404.9
2018-01-25,25.3,26.05,24.75,25.45,25.5,1776071.0,453.91
2018-01-24,26.1,26.15,25.0,25.3,25.3,1510711.0,384.83
2018-01-23,26.1,27.35,25.9,26.35,26.3,1950634.0,516.72
