Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,788.9,798.8,775.25,792.0,788.45,34070.0,267.78
2018-03-12,800.1,810.05,784.7,785.65,789.05,38234.0,304.02
2018-03-09,819.95,820.0,795.0,797.4,801.25,257726.0,2094.53
2018-03-08,811.55,820.0,800.3,810.0,810.55,2004096.0,16330.53
2018-03-07,827.85,827.85,798.35,799.05,805.1,44449.0,363.25
2018-03-06,814.0,838.0,801.8,816.0,820.3,75909.0,620.97
2018-03-05,808.0,812.8,802.0,810.0,809.15,21192.0,171.24
2018-03-01,815.0,818.7,805.05,808.0,808.2,55997.0,453.54
2018-02-28,807.7,818.0,801.05,810.0,810.1,81776.0,662.95
2018-02-27,809.9,840.0,808.0,810.0,811.45,97367.0,797.6
2018-02-26,769.65,824.0,766.8,800.0,805.5,182029.0,1419.04
2018-02-23,748.0,783.0,748.0,763.0,760.75,304256.0,2314.15
2018-02-22,736.0,761.95,729.0,740.05,745.2,32930.0,245.4
2018-02-21,765.0,768.9,740.0,740.05,743.85,32579.0,243.86
2018-02-20,769.0,773.0,760.0,760.0,763.85,11617.0,89.11
2018-02-19,776.85,790.5,758.0,764.05,764.9,10992.0,84.42
2018-02-16,793.8,807.5,775.0,775.25,776.8,17936.0,140.6
2018-02-15,800.0,809.9,790.0,793.7,793.8,13081.0,104.65
2018-02-14,830.0,830.0,800.0,803.8,802.8,26627.0,216.07
2018-02-12,825.0,843.95,813.1,817.0,825.7,59148.0,491.11
2018-02-09,781.1,812.9,781.1,810.0,810.0,40205.0,325.36
2018-02-08,806.45,814.0,803.0,810.0,809.1,37766.0,305.84
2018-02-07,790.05,814.5,781.5,800.0,802.55,40159.0,320.61
2018-02-06,766.85,790.0,711.0,785.0,784.95,87443.0,671.31
2018-02-05,763.25,793.05,742.55,785.65,790.55,52457.0,402.0
2018-02-02,789.25,790.0,749.05,784.0,782.75,72890.0,564.41
2018-02-01,794.5,816.0,784.0,796.0,794.25,49147.0,391.63
2018-01-31,819.9,820.0,786.0,795.4,794.85,33783.0,269.51
2018-01-30,803.0,837.0,770.2,802.05,809.5,78571.0,632.96
2018-01-29,825.0,838.8,806.8,819.0,813.9,22303.0,184.06
2018-01-25,828.1,834.7,819.45,828.5,826.65,11785.0,97.51
2018-01-24,826.0,831.5,816.05,826.05,828.1,21257.0,175.06
2018-01-23,801.0,838.0,791.0,830.0,831.1,56677.0,467.51
2018-01-22,792.0,800.45,786.2,789.05,795.0,9422.0,74.96
2018-01-19,799.95,805.0,783.7,794.65,790.55,26502.0,210.64
2018-01-18,830.0,830.0,775.0,799.95,788.15,35467.0,285.44
2018-01-17,827.0,828.2,805.0,813.0,813.85,19527.0,159.08
2018-01-16,833.0,841.0,815.0,820.0,821.45,36410.0,300.64
2018-01-15,848.0,854.7,830.0,834.35,833.7,27689.0,233.1
2018-01-12,825.5,860.0,816.85,842.0,842.65,37722.0,316.91
2018-01-11,822.0,829.9,814.5,827.0,821.5,13238.0,108.76
2018-01-10,838.0,840.35,801.85,816.5,821.35,18568.0,152.53
2018-01-09,845.0,847.1,812.35,835.0,833.7,15235.0,126.25
2018-01-08,832.0,847.1,830.0,833.0,839.6,34156.0,287.07
2018-01-05,830.0,830.0,815.25,822.0,823.1,17273.0,142.29
2018-01-04,821.15,839.9,813.6,822.0,824.5,31039.0,256.71
2018-01-03,810.05,824.95,807.45,811.15,813.8,17596.0,143.48
2018-01-02,832.0,832.0,800.5,812.0,810.0,44097.0,356.03
2018-01-01,834.8,847.1,820.0,829.0,827.0,29950.0,250.57
2017-12-29,821.05,832.05,818.0,830.75,830.45,65381.0,539.69
2017-12-28,827.5,841.45,819.15,822.0,821.85,37248.0,308.96
2017-12-27,868.0,869.45,820.0,827.05,825.95,76999.0,649.59
2017-12-26,818.2,880.0,814.95,873.0,869.45,275585.0,2376.59
2017-12-22,800.0,825.0,781.6,814.0,814.3,177821.0,1433.21
