Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,159.0,160.75,158.0,159.0,158.7,145072.0,231.01
2018-03-12,158.95,161.65,158.0,159.2,158.75,120416.0,192.19
2018-03-09,158.0,160.3,155.5,156.5,156.85,112388.0,176.94
2018-03-08,162.7,163.35,157.0,157.8,157.6,161333.0,255.59
2018-03-07,169.9,170.0,159.45,161.0,160.4,470723.0,757.12
2018-03-06,177.0,177.0,168.0,168.5,168.9,92500.0,158.6
2018-03-05,170.9,172.0,167.75,169.25,169.35,192947.0,327.54
2018-03-01,169.9,175.7,168.0,170.5,170.9,881058.0,1507.48
2018-02-28,169.55,170.9,166.0,170.0,169.9,153856.0,260.68
2018-02-27,172.0,173.5,169.0,169.85,169.55,182267.0,311.67
2018-02-26,175.4,175.4,166.1,169.0,169.75,224796.0,382.53
2018-02-23,165.0,166.85,163.5,164.0,164.1,147534.0,242.97
2018-02-22,167.0,167.0,163.5,163.95,164.15,152248.0,251.02
2018-02-21,166.7,167.75,164.5,166.3,166.15,95509.0,158.2
2018-02-20,167.0,169.95,165.5,166.6,166.45,76517.0,127.78
2018-02-19,172.5,173.05,167.3,168.0,167.95,177235.0,300.3
2018-02-16,176.7,179.0,170.0,172.4,170.85,149303.0,257.93
2018-02-15,178.8,184.0,174.45,176.45,175.85,236078.0,426.94
2018-02-14,176.9,179.7,175.2,176.5,176.85,140410.0,249.36
2018-02-12,171.5,177.6,171.5,174.2,174.75,109935.0,192.02
2018-02-09,169.35,174.0,167.25,171.55,171.15,120577.0,206.92
2018-02-08,174.0,176.5,170.5,171.65,171.35,383795.0,665.63
2018-02-07,173.8,174.0,170.5,174.0,172.2,140564.0,241.9
2018-02-06,170.0,170.0,164.0,168.95,167.9,275128.0,461.45
2018-02-05,170.0,176.0,165.0,175.4,173.65,238856.0,409.08
2018-02-02,181.0,182.95,172.1,174.45,173.9,293687.0,519.12
2018-02-01,183.0,189.05,180.1,184.95,185.2,517045.0,956.17
2018-01-31,184.6,185.5,176.6,179.15,178.85,428044.0,771.82
2018-01-30,190.0,190.0,183.0,185.6,184.2,181908.0,337.79
2018-01-29,194.8,194.8,188.75,189.75,189.95,118245.0,226.45
2018-01-25,196.0,196.45,190.0,191.0,190.85,262847.0,506.58
2018-01-24,195.9,199.2,190.3,194.3,195.4,370540.0,722.03
2018-01-23,201.5,202.5,193.6,195.5,194.9,426109.0,839.48
2018-01-22,201.6,206.9,199.3,201.65,201.4,588245.0,1190.38
2018-01-19,199.0,201.75,195.3,200.7,199.8,237222.0,472.06
2018-01-18,206.95,207.85,193.0,195.9,195.5,742506.0,1498.93
2018-01-17,205.4,205.7,197.0,201.65,201.15,528818.0,1071.15
2018-01-16,211.5,213.9,201.9,204.5,203.55,748675.0,1557.88
2018-01-15,216.0,217.85,207.5,208.6,208.8,502033.0,1061.05
2018-01-12,211.0,218.3,209.25,214.5,216.2,1487524.0,3193.94
2018-01-11,206.0,215.4,204.8,210.0,209.1,771339.0,1626.49
2018-01-10,210.5,211.35,203.65,205.5,204.75,641354.0,1319.88
2018-01-09,214.95,216.8,207.0,209.35,208.9,880178.0,1854.81
2018-01-08,207.8,214.8,203.5,213.5,213.6,1302612.0,2745.86
2018-01-05,208.0,210.75,202.05,205.5,205.35,1146015.0,2367.7
2018-01-04,208.4,211.7,203.1,206.0,205.95,4522558.0,9389.4
2018-01-03,190.0,205.9,185.85,204.8,203.05,8385044.0,16509.95
2018-01-02,191.0,191.95,188.0,189.1,188.95,41085.0,77.84
2018-01-01,187.95,195.9,186.3,191.4,190.7,98784.0,190.1
2017-12-29,190.85,190.85,187.3,187.95,187.75,80681.0,151.92
2017-12-28,192.0,192.0,189.25,190.0,189.75,75376.0,143.18
2017-12-27,189.9,192.0,188.25,190.0,189.9,60066.0,114.1
2017-12-26,192.15,192.95,189.0,191.0,189.55,144711.0,275.5
2017-12-22,191.0,192.4,189.0,189.5,189.55,222749.0,424.36
2017-12-21,188.35,191.5,188.0,189.0,188.9,38340.0,72.53
2017-12-20,191.2,192.95,188.45,190.45,190.6,53842.0,102.89
2017-12-19,190.95,193.0,189.0,189.9,189.3,45356.0,86.49
2017-12-18,193.95,194.0,187.0,188.0,188.3,76126.0,144.71
2017-12-15,191.0,192.45,189.15,191.0,191.9,57488.0,109.9
2017-12-14,191.9,192.0,186.4,188.25,187.35,87763.0,165.28
2017-12-13,193.5,194.4,189.0,191.75,191.7,81367.0,156.12
2017-12-12,186.75,196.75,186.6,192.9,192.0,324733.0,627.49
2017-12-11,189.0,190.0,186.2,186.2,186.7,50366.0,95.0
2017-12-08,184.0,188.95,184.0,187.15,187.05,48488.0,90.6
2017-12-07,182.85,184.8,181.05,183.5,183.7,32570.0,59.69
2017-12-06,181.8,184.3,180.5,180.5,181.3,26761.0,48.67
2017-12-05,184.35,184.7,182.15,182.85,182.95,22593.0,41.38
2017-12-04,184.45,185.5,182.1,183.4,183.3,22411.0,41.22
2017-12-01,188.0,188.95,184.0,185.7,184.45,43379.0,80.59
