Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,138.05,144.0,138.05,140.5,140.4,101435.0,142.34
2018-03-12,142.0,142.0,136.3,138.95,138.65,26786.0,37.17
2018-03-09,143.0,143.0,137.55,140.7,140.0,97470.0,137.55
2018-03-08,140.2,144.8,136.1,142.5,141.8,132378.0,186.41
2018-03-07,139.0,142.0,134.8,139.9,139.9,119251.0,165.29
2018-03-06,135.0,144.5,132.5,138.55,139.3,163002.0,226.21
2018-03-05,132.15,136.3,131.75,133.4,133.35,69517.0,92.36
2018-03-01,137.0,137.0,134.0,134.05,134.35,39239.0,53.0
2018-02-28,137.95,137.95,135.0,135.0,136.1,63140.0,86.03
2018-02-27,141.7,144.0,137.0,137.25,137.85,115443.0,159.9
2018-02-26,133.9,147.9,133.9,140.1,141.6,196882.0,280.79
2018-02-23,128.15,135.35,128.15,135.35,132.55,102995.0,135.17
2018-02-22,133.95,133.95,127.9,127.9,128.15,110472.0,142.81
2018-02-21,136.75,136.75,131.25,132.0,132.0,79827.0,105.62
2018-02-20,135.05,138.5,134.25,134.8,134.8,58262.0,78.77
2018-02-19,142.8,142.8,136.75,137.0,137.05,35546.0,48.96
2018-02-16,144.05,144.9,140.55,140.55,141.15,29436.0,41.7
2018-02-15,142.45,146.55,141.0,142.4,141.95,33757.0,48.52
2018-02-14,150.0,150.55,142.15,142.4,142.45,72395.0,105.05
2018-02-12,144.5,149.25,143.0,147.6,148.4,37855.0,55.64
2018-02-09,138.0,143.25,135.95,143.0,142.1,57329.0,80.33
2018-02-08,139.0,141.25,136.55,138.95,138.7,31541.0,43.95
2018-02-07,137.2,144.65,137.1,139.0,138.7,30486.0,42.68
2018-02-06,136.9,140.8,135.0,135.55,136.4,60083.0,82.04
2018-02-05,142.45,144.4,135.2,140.45,140.8,117491.0,163.6
2018-02-02,147.9,147.9,138.85,145.0,144.75,63774.0,90.98
2018-02-01,148.65,153.2,143.0,148.0,146.5,219164.0,327.24
2018-01-31,138.0,148.0,138.0,146.5,146.75,67785.0,98.1
2018-01-30,144.6,144.6,138.7,142.05,141.7,147611.0,207.32
2018-01-29,149.95,149.95,142.5,145.0,144.6,88423.0,128.34
2018-01-25,150.75,153.7,141.7,147.9,147.75,239829.0,353.52
2018-01-24,149.45,151.95,148.3,150.0,150.0,1078725.0,1618.4
2018-01-23,155.95,155.95,150.5,151.0,151.0,90001.0,136.81
2018-01-22,158.0,158.0,154.8,155.55,155.25,24396.0,37.88
2018-01-19,155.15,158.0,155.05,157.1,156.8,27562.0,43.14
2018-01-18,159.1,160.0,155.25,156.0,156.65,112316.0,178.46
2018-01-17,160.45,160.45,156.15,157.15,157.15,655182.0,1031.72
2018-01-16,161.0,161.0,158.0,159.45,159.1,107821.0,171.49
2018-01-15,160.1,161.95,158.6,159.55,159.75,60508.0,96.96
2018-01-12,161.85,161.85,158.0,159.5,159.6,31124.0,49.73
2018-01-11,163.95,163.95,159.5,160.0,160.05,37146.0,59.72
2018-01-10,160.3,163.55,159.0,162.5,162.3,89365.0,143.98
2018-01-09,158.95,164.9,157.5,159.5,159.15,406869.0,655.19
2018-01-08,157.15,159.35,155.9,158.0,157.85,95365.0,150.03
2018-01-05,157.0,158.45,155.15,157.0,157.05,82660.0,129.71
2018-01-04,158.9,159.95,156.1,157.8,157.5,40498.0,63.93
2018-01-03,162.25,162.25,157.7,158.0,158.15,436265.0,696.6
2018-01-02,164.0,164.0,158.6,160.35,159.9,32977.0,52.78
2018-01-01,166.0,166.0,161.0,162.0,162.05,21278.0,34.56
2017-12-29,164.0,164.75,162.15,164.0,164.0,36418.0,59.68
2017-12-28,165.0,168.65,160.0,164.4,162.15,91511.0,148.19
2017-12-27,164.45,170.0,162.0,164.65,164.75,185639.0,308.92
2017-12-26,161.45,161.45,158.2,158.7,159.0,18393.0,29.28
2017-12-22,161.25,161.25,158.75,159.0,159.15,22371.0,35.61
2017-12-21,159.0,160.75,158.0,160.0,158.95,14709.0,23.36
2017-12-20,159.45,161.05,158.4,159.0,159.05,22782.0,36.32
2017-12-19,159.7,162.5,158.6,159.1,159.7,26454.0,42.43
2017-12-18,159.15,162.85,152.95,159.0,159.15,29533.0,46.79
2017-12-15,165.0,165.0,157.45,160.0,159.15,20496.0,32.62
2017-12-14,158.3,161.05,157.7,158.75,158.9,12286.0,19.52
2017-12-13,159.9,161.9,158.15,160.25,159.45,30346.0,48.55
2017-12-12,160.25,161.0,156.5,160.15,159.45,35760.0,56.99
2017-12-11,160.0,162.0,156.05,158.55,158.55,55767.0,88.05
2017-12-08,164.5,164.5,157.7,158.1,159.5,68125.0,109.05
2017-12-07,160.8,160.8,158.4,159.15,159.8,29759.0,47.6
2017-12-06,162.3,162.3,156.1,159.0,158.85,23969.0,38.09
2017-12-05,164.9,164.9,158.75,159.7,159.95,23918.0,38.57
2017-12-04,170.25,170.25,162.0,162.05,162.65,33554.0,55.05
2017-12-01,174.45,174.5,166.1,168.0,167.8,35620.0,60.47
2017-11-30,173.65,173.9,168.0,173.5,172.35,56082.0,96.24
2017-11-29,173.8,174.35,170.1,171.5,171.75,27961.0,48.0
2017-11-28,171.95,174.9,168.85,172.0,172.3,72285.0,125.29
2017-11-27,173.25,174.65,166.0,170.1,170.65,83238.0,141.44
2017-11-24,166.8,176.8,166.8,172.5,172.75,396334.0,688.57
2017-11-23,169.0,169.0,163.25,166.55,166.75,137651.0,229.09
2017-11-22,156.85,172.95,155.0,172.75,168.9,259702.0,432.82
2017-11-21,158.0,158.4,154.0,155.3,155.85,31949.0,49.68
2017-11-20,158.8,158.8,154.9,155.15,155.25,30854.0,47.95
2017-11-17,156.5,161.8,156.5,158.9,158.25,40136.0,63.81
2017-11-16,153.25,156.25,153.0,155.2,155.2,26040.0,40.29
2017-11-15,160.0,160.9,154.6,155.0,155.35,34897.0,54.35
2017-11-14,158.1,160.0,157.9,158.8,158.75,141254.0,223.93
2017-11-13,166.0,166.0,159.0,160.0,160.15,133695.0,215.02
2017-11-10,165.05,166.4,160.7,162.2,161.9,32243.0,52.88
2017-11-09,167.1,168.55,164.1,165.0,165.25,182383.0,301.24
2017-11-08,170.0,172.5,168.0,171.9,171.35,36657.0,62.64
2017-11-07,173.0,175.1,167.35,169.0,169.5,75099.0,128.02
2017-11-06,175.45,177.0,172.05,172.6,172.9,47261.0,82.64
2017-11-03,167.5,178.9,166.65,174.1,174.35,211691.0,370.14
2017-11-02,166.45,169.15,165.0,168.05,168.0,26699.0,44.48
2017-11-01,165.85,167.0,164.75,165.0,165.05,17821.0,29.47
2017-10-31,164.0,167.0,164.0,166.6,166.45,20540.0,34.04
2017-10-30,165.45,166.85,163.0,166.2,166.0,91174.0,150.62
2017-10-27,165.65,165.65,162.0,163.1,164.05,27895.0,45.59
2017-10-26,167.0,167.0,163.0,165.6,164.85,10894.0,17.9
2017-10-25,171.45,171.75,159.0,162.85,161.25,116145.0,191.69
2017-10-24,172.3,172.3,168.5,169.25,170.1,37881.0,64.5
2017-10-23,167.0,171.0,167.0,171.0,170.3,26845.0,45.59
2017-10-19,170.0,170.35,163.2,167.25,168.3,10033.0,16.86
2017-10-18,170.85,170.85,169.0,170.5,169.95,24641.0,41.87
2017-10-17,169.0,170.4,169.0,170.25,170.0,22352.0,37.98
2017-10-16,172.5,172.5,168.45,170.1,170.2,26243.0,44.67
2017-10-13,169.9,170.25,165.2,170.0,169.95,42148.0,71.19
2017-10-12,168.95,169.9,166.25,168.0,168.55,19015.0,31.98
2017-10-11,171.5,174.05,164.55,168.0,167.7,41492.0,70.65
2017-10-10,163.95,171.85,163.95,170.1,170.0,298105.0,506.36
2017-10-09,167.0,170.0,163.0,165.5,165.5,32789.0,54.59
2017-10-06,166.0,166.0,162.5,164.0,163.8,27290.0,44.69
2017-10-05,164.5,164.5,162.45,163.65,163.15,29638.0,48.4
2017-10-04,161.6,164.05,161.25,162.45,163.3,26801.0,43.68
2017-10-03,165.65,165.8,161.0,161.6,161.9,21202.0,34.47
2017-09-29,166.0,167.6,164.9,166.0,165.75,25880.0,42.91
2017-09-28,165.05,166.95,162.7,165.4,165.25,23048.0,37.9
2017-09-27,166.35,168.0,164.1,165.2,165.6,47924.0,79.45
2017-09-26,167.05,167.5,162.7,166.2,166.9,99631.0,164.85
2017-09-25,171.7,171.7,164.0,167.5,167.9,25596.0,42.56
2017-09-22,174.85,174.85,168.0,168.0,169.2,87762.0,150.9
2017-09-21,172.7,175.2,172.7,175.0,175.0,49738.0,86.73
2017-09-20,174.95,177.0,173.1,175.0,175.05,42401.0,74.14
2017-09-19,176.0,178.45,173.7,175.8,175.4,66106.0,115.78
2017-09-18,173.9,179.9,172.0,175.0,174.85,153850.0,271.53
2017-09-15,170.0,174.95,165.0,171.55,172.25,68042.0,116.87
2017-09-14,170.0,171.3,167.7,171.0,170.95,46590.0,79.22
2017-09-13,165.05,170.4,164.6,169.25,169.15,56417.0,94.6
2017-09-12,162.65,166.0,160.6,165.05,164.9,42701.0,70.19
2017-09-11,161.35,164.9,161.0,161.0,161.55,31947.0,51.74
2017-09-08,163.45,164.4,160.1,162.0,161.95,23883.0,38.79
2017-09-07,163.25,164.05,159.8,162.0,162.1,36810.0,59.61
2017-09-06,165.95,166.85,162.1,163.0,163.1,19510.0,32.12
2017-09-05,165.95,167.5,163.0,165.35,165.25,31818.0,52.64
2017-09-04,164.4,168.65,160.1,163.5,164.1,54602.0,90.44
2017-09-01,165.0,166.75,163.0,163.9,164.4,49075.0,80.65
2017-08-31,163.0,169.75,158.3,168.0,164.3,100586.0,162.56
2017-08-30,163.7,163.75,157.5,163.0,161.8,58520.0,93.85
2017-08-29,163.45,167.0,161.0,161.4,161.7,95358.0,156.21
2017-08-28,156.1,167.0,150.8,158.1,158.6,83111.0,131.68
2017-08-24,157.4,157.55,155.1,157.0,156.2,24728.0,38.63
2017-08-23,159.0,159.0,154.8,156.0,156.65,26086.0,40.61
2017-08-22,157.0,157.2,149.25,155.5,155.3,78653.0,121.18
2017-08-21,157.15,158.9,155.0,157.75,156.4,21779.0,34.13
2017-08-18,158.0,158.0,154.5,157.25,157.1,183150.0,285.88
2017-08-17,160.0,160.25,155.4,158.5,158.15,28185.0,44.44
2017-08-16,155.0,160.0,155.0,157.1,157.45,40033.0,63.29
2017-08-14,158.0,158.0,154.0,154.75,154.6,23124.0,35.95
2017-08-11,155.0,155.0,149.1,151.75,150.95,59371.0,90.04
2017-08-10,158.1,158.9,152.9,154.75,154.15,68262.0,105.43
2017-08-09,161.85,161.85,158.05,159.95,159.65,33933.0,54.15
2017-08-08,162.6,163.6,159.0,161.95,161.6,26548.0,42.7
2017-08-07,157.35,164.95,157.35,162.4,159.6,143656.0,230.27
2017-08-04,162.4,164.95,158.0,159.25,158.55,168040.0,268.25
2017-08-03,162.5,168.25,162.1,162.65,162.85,53228.0,87.34
2017-08-02,167.0,167.75,163.8,165.25,164.9,27727.0,45.68
2017-08-01,163.5,168.4,162.1,167.7,166.9,54722.0,90.93
2017-07-31,168.1,168.1,163.45,164.15,164.5,62652.0,103.28
2017-07-28,166.0,172.0,166.0,170.05,169.9,40752.0,68.7
2017-07-27,169.7,170.0,166.05,168.25,167.65,80943.0,135.74
2017-07-26,169.9,171.35,167.3,169.2,169.65,58019.0,97.71
2017-07-25,168.4,169.85,166.55,168.0,168.1,42449.0,71.41
2017-07-24,174.0,175.4,167.55,169.25,168.15,114684.0,194.47
2017-07-21,174.5,175.95,171.0,171.35,172.05,48350.0,83.89
2017-07-20,176.05,178.4,174.25,174.25,175.0,916289.0,1614.91
2017-07-19,175.8,178.0,175.8,177.0,177.0,34717.0,61.46
2017-07-18,175.75,180.55,172.0,177.2,178.2,48628.0,85.41
2017-07-17,177.05,180.0,173.5,176.0,176.1,37338.0,65.56
2017-07-14,177.3,177.8,175.0,177.0,177.05,37481.0,66.1
2017-07-13,174.15,179.0,174.0,178.0,177.95,58460.0,103.38
2017-07-12,178.8,182.0,174.5,175.15,175.95,125669.0,220.63
2017-07-11,179.95,180.0,176.95,178.55,178.8,34758.0,61.98
2017-07-10,180.0,180.0,175.1,178.55,177.45,7779.0,13.82
2017-07-07,176.65,179.0,176.0,177.0,177.6,24105.0,42.74
2017-07-06,180.0,180.0,176.0,177.4,176.9,22559.0,40.04
2017-07-05,177.55,178.0,176.05,177.0,176.7,16641.0,29.47
2017-07-04,182.85,183.0,176.5,176.5,177.5,26445.0,47.32
2017-07-03,180.05,185.8,176.6,180.2,182.6,55979.0,101.2
2017-06-30,175.2,180.4,169.45,180.4,179.25,307158.0,545.8
2017-06-29,170.9,176.0,170.45,173.7,173.55,66551.0,115.45
2017-06-28,167.1,169.9,167.0,168.6,168.45,93723.0,158.01
2017-06-27,175.8,175.8,169.55,169.9,170.45,35523.0,61.26
2017-06-23,183.1,184.75,177.0,177.1,177.4,60737.0,108.69
2017-06-22,184.95,186.0,182.9,183.0,183.5,43980.0,80.92
2017-06-21,181.0,186.4,181.0,183.6,185.2,44129.0,81.63
2017-06-20,183.95,188.95,180.1,182.0,182.95,43463.0,79.53
2017-06-19,189.1,189.1,184.45,186.0,186.65,54099.0,100.85
2017-06-16,184.95,187.0,182.2,186.9,186.1,40296.0,74.85
2017-06-15,182.0,186.9,180.5,184.35,182.5,48084.0,88.19
2017-06-14,188.0,188.5,183.4,184.9,184.1,70664.0,130.81
2017-06-13,190.0,190.0,187.0,189.0,188.15,42054.0,79.16
2017-06-12,193.0,193.5,185.8,188.2,190.0,124078.0,235.59
2017-06-09,187.0,192.0,182.1,189.15,190.05,129785.0,244.22
2017-06-08,188.0,188.95,186.0,186.0,186.5,52932.0,99.08
2017-06-07,181.7,189.0,181.7,188.0,187.85,212219.0,394.96
2017-06-06,186.0,186.0,180.9,181.75,181.6,92741.0,169.63
2017-06-05,178.8,190.0,177.05,185.3,185.1,228890.0,418.22
2017-06-02,182.4,183.1,180.0,180.0,180.4,68218.0,123.74
2017-06-01,184.9,187.85,180.2,181.1,180.75,147015.0,268.53
2017-05-31,173.15,188.85,171.05,186.0,183.65,469481.0,857.12
2017-05-30,176.95,176.95,169.45,173.4,173.15,97306.0,168.15
2017-05-29,170.95,182.6,170.95,176.5,176.15,815258.0,1443.35
2017-05-26,162.95,170.4,160.75,167.0,168.05,142211.0,238.99
2017-05-25,159.2,162.4,156.2,162.0,161.1,55442.0,88.45
2017-05-24,160.0,161.55,155.1,160.0,159.2,98659.0,156.67
2017-05-23,160.7,160.7,151.1,155.8,155.45,85690.0,132.77
2017-05-22,162.8,167.0,159.7,160.85,160.75,48815.0,79.19
2017-05-19,162.15,164.75,155.0,162.05,162.85,88332.0,143.19
2017-05-18,165.9,166.0,162.0,162.8,162.45,64019.0,104.7
2017-05-17,168.0,169.0,163.25,168.95,166.0,87607.0,144.61
2017-05-16,165.05,168.0,165.05,166.5,166.4,97535.0,162.78
2017-05-15,167.4,167.4,163.5,165.55,164.6,39754.0,65.45
2017-05-12,164.95,167.9,164.75,166.0,166.6,179041.0,298.33
2017-05-11,166.95,166.95,162.85,162.85,163.95,42879.0,70.64
2017-05-10,168.95,169.5,162.3,163.0,164.75,75184.0,125.02
2017-05-09,171.0,173.2,165.45,167.5,167.4,236592.0,400.69
2017-05-08,168.05,172.0,165.2,170.8,170.25,101830.0,172.87
2017-05-05,168.05,168.4,163.0,167.6,167.35,65766.0,109.86
2017-05-04,169.65,171.0,167.7,168.4,169.0,75802.0,128.47
2017-05-03,167.5,169.65,165.0,168.65,168.85,65580.0,110.02
2017-05-02,169.65,169.65,165.3,166.9,166.55,75995.0,126.81
2017-04-28,172.55,172.55,168.2,168.4,168.5,74684.0,126.27
2017-04-27,170.5,173.5,168.05,170.6,170.9,129391.0,220.91
2017-04-26,171.7,175.0,170.0,170.25,170.65,328428.0,564.31
2017-04-25,170.0,171.0,167.3,169.0,168.75,137920.0,234.27
2017-04-24,170.7,172.9,165.25,166.5,166.9,102366.0,172.26
2017-04-21,172.0,172.8,169.5,169.85,169.85,106333.0,181.35
2017-04-20,168.1,172.9,168.1,171.0,170.75,308072.0,526.41
2017-04-19,168.7,169.9,165.0,166.55,167.15,377114.0,631.13
2017-04-18,165.4,169.2,163.1,167.0,167.6,185587.0,308.11
2017-04-17,166.8,166.8,161.3,163.7,163.9,82679.0,135.8
2017-04-13,162.95,165.5,160.1,164.25,164.25,135759.0,221.43
2017-04-12,162.0,162.65,158.0,162.0,162.05,133675.0,214.42
2017-04-11,162.4,163.0,158.65,161.15,160.25,202997.0,325.42
2017-04-10,160.15,164.35,160.15,161.3,162.0,412171.0,671.38
2017-04-07,165.1,167.5,161.85,162.0,162.35,122460.0,201.41
2017-04-06,167.8,168.9,164.75,165.9,166.65,123078.0,205.52
2017-04-05,168.1,170.8,163.95,168.0,167.55,315614.0,534.22
2017-04-03,163.0,168.0,161.0,166.7,166.85,383891.0,635.35
2017-03-31,162.95,166.1,161.2,163.0,162.45,678557.0,1105.94
2017-03-30,165.0,174.9,163.0,167.0,168.75,2754977.0,4683.44
2017-03-29,152.5,155.2,148.1,154.0,153.7,237186.0,361.4
2017-03-28,139.65,155.65,137.2,151.7,151.55,734039.0,1086.34
2017-03-27,138.5,139.0,136.1,138.0,137.5,47267.0,64.97
2017-03-24,141.8,141.85,138.5,138.8,139.05,55531.0,77.38
2017-03-23,139.8,143.5,138.55,139.8,140.35,78135.0,110.01
2017-03-22,138.65,141.0,138.5,140.0,140.05,97716.0,136.77
2017-03-21,141.9,142.2,139.4,140.0,140.1,37195.0,52.12
2017-03-20,141.05,144.1,141.0,141.6,141.9,25638.0,36.38
2017-03-17,145.0,145.05,142.0,143.0,142.9,70828.0,101.64
2017-03-16,147.6,147.6,144.05,144.55,144.4,22672.0,32.81
2017-03-15,144.65,148.0,143.95,144.5,144.25,26373.0,38.38
2017-03-14,148.45,148.45,144.0,144.6,144.5,29355.0,42.58
2017-03-10,145.15,149.2,142.1,144.0,144.75,60343.0,88.31
2017-03-09,144.0,146.95,144.0,145.3,145.15,184776.0,267.94
2017-03-08,148.8,148.8,145.55,147.45,146.3,23792.0,34.83
2017-03-07,146.95,149.4,143.5,148.0,148.4,66418.0,97.75
2017-03-06,143.1,146.55,143.1,145.5,145.35,34712.0,50.27
2017-03-03,145.1,147.7,143.65,144.65,144.25,31216.0,45.25
2017-03-02,149.5,153.0,147.1,147.9,147.5,86401.0,129.99
2017-03-01,147.4,150.45,144.5,150.2,149.5,79911.0,118.36
2017-02-28,143.35,146.55,142.05,144.0,144.2,51296.0,74.1
2017-02-27,144.9,145.0,140.15,143.95,143.45,51379.0,73.07
2017-02-23,140.25,143.95,139.1,143.9,142.55,1160416.0,1635.33
2017-02-22,143.4,143.4,141.0,142.6,142.5,69476.0,98.79
2017-02-21,140.6,143.5,137.6,143.5,141.15,77716.0,108.92
2017-02-20,145.0,145.0,138.8,140.45,140.6,40157.0,56.82
2017-02-17,145.9,145.9,142.6,144.0,143.55,41102.0,59.0
2017-02-16,142.6,144.5,140.4,144.0,143.9,69321.0,99.5
2017-02-15,146.0,146.0,141.2,142.55,143.0,48340.0,68.94
2017-02-14,146.1,148.4,143.65,144.75,144.6,51781.0,75.42
2017-02-13,149.0,149.8,143.65,148.2,147.95,92838.0,136.56
2017-02-10,143.65,152.5,140.25,149.1,148.5,441868.0,656.8
2017-02-09,134.9,144.0,134.0,143.6,142.25,495424.0,693.97
2017-02-08,132.4,136.8,128.0,134.7,133.8,159884.0,213.05
2017-02-07,133.4,133.4,130.5,130.5,130.75,40721.0,53.39
2017-02-06,133.05,134.7,129.7,130.55,132.15,94325.0,124.88
2017-02-03,131.4,135.0,129.0,132.7,133.05,130776.0,173.43
2017-02-02,126.8,135.0,126.0,130.5,130.5,197645.0,258.47
2017-02-01,123.7,127.4,123.1,126.9,126.65,136520.0,171.82
2017-01-31,124.3,125.9,123.2,124.4,124.05,63534.0,79.3
2017-01-30,123.4,126.05,123.4,125.0,124.95,113095.0,141.66
2017-01-27,124.85,126.1,124.1,125.5,125.3,113367.0,142.25
2017-01-25,127.45,127.45,124.5,124.95,124.75,72713.0,91.33
2017-01-24,124.9,127.35,123.2,126.85,126.85,415857.0,523.5
2017-01-23,124.8,125.75,123.2,124.15,123.95,167905.0,209.41
2017-01-20,116.9,126.5,116.0,123.55,123.95,405718.0,501.28
2017-01-19,116.3,117.7,115.1,116.0,116.4,41302.0,48.13
2017-01-18,118.6,118.6,115.05,115.5,115.4,55641.0,64.87
2017-01-17,118.95,119.85,115.6,116.95,116.9,65136.0,76.23
2017-01-16,116.85,118.95,116.05,117.65,117.8,58005.0,68.4
2017-01-13,119.6,119.75,116.1,116.9,116.6,90875.0,106.74
2017-01-12,124.0,125.4,118.1,118.25,118.8,275878.0,336.38
2017-01-11,129.2,131.0,121.5,126.4,126.2,1776916.0,2241.46
2017-01-10,123.35,131.7,123.35,129.0,128.75,275498.0,352.35
2017-01-09,124.95,125.8,121.35,125.5,125.0,115602.0,143.4
2017-01-06,120.25,126.4,120.25,124.0,124.0,273343.0,338.46
2017-01-05,120.85,121.4,118.5,120.5,120.3,97385.0,116.94
2017-01-04,112.0,125.2,111.7,119.7,119.85,510721.0,613.95
2017-01-03,113.0,113.0,109.1,112.8,112.4,20576.0,23.04
2017-01-02,111.9,112.3,110.25,112.25,111.65,23100.0,25.77
2016-12-30,109.1,110.9,109.1,110.7,110.7,21431.0,23.69
2016-12-29,109.5,111.05,108.9,109.0,109.2,46919.0,51.37
2016-12-28,112.0,112.0,109.2,110.35,109.95,35662.0,39.51
2016-12-27,108.2,110.5,108.2,109.15,109.35,17958.0,19.65
2016-12-26,110.65,111.75,108.75,109.25,109.5,33294.0,36.51
2016-12-23,110.0,112.0,109.15,110.95,110.65,49300.0,54.54
2016-12-22,110.5,110.55,109.5,110.0,109.8,29405.0,32.33
2016-12-21,111.55,111.8,110.1,110.4,110.6,19021.0,21.12
2016-12-20,108.4,111.75,108.4,110.05,110.6,98516.0,109.16
2016-12-19,109.3,109.65,108.75,109.0,109.0,24977.0,27.23
2016-12-16,109.0,109.8,108.15,109.0,109.3,39657.0,43.25
2016-12-15,109.95,109.95,108.15,108.7,108.6,13502.0,14.69
2016-12-14,109.3,109.85,108.05,108.9,108.5,11825.0,12.88
2016-12-13,108.65,110.8,108.0,109.1,109.3,88551.0,96.92
2016-12-12,109.15,109.5,108.0,108.65,108.7,13483.0,14.62
