Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,143.15,145.05,141.85,142.9,142.85,178331.0,256.21
2018-03-12,146.85,148.95,141.7,142.5,143.4,135388.0,195.17
2018-03-09,145.05,149.2,143.8,145.0,145.75,218679.0,321.24
2018-03-08,146.5,148.9,139.25,145.0,145.15,262155.0,377.73
2018-03-07,147.0,150.6,141.05,146.5,146.3,357794.0,522.48
2018-03-06,149.35,152.4,146.0,147.5,147.4,124157.0,186.33
2018-03-05,152.0,152.35,147.6,150.3,150.05,133918.0,200.13
2018-03-01,155.9,158.0,152.05,152.6,152.4,94303.0,145.85
2018-02-28,152.05,157.05,150.9,155.9,156.3,263044.0,407.4
2018-02-27,154.0,155.7,150.0,154.5,154.75,315477.0,482.34
2018-02-26,153.0,154.4,151.0,152.0,151.95,91214.0,139.08
2018-02-23,146.75,153.2,145.6,153.0,151.4,196771.0,293.34
2018-02-22,146.0,147.0,143.15,144.55,144.85,207912.0,300.8
2018-02-21,148.7,150.4,147.25,147.65,147.9,70311.0,104.57
2018-02-20,146.7,149.5,145.35,148.6,148.55,87338.0,129.06
2018-02-19,147.6,149.0,140.1,145.5,145.9,337616.0,484.9
2018-02-16,153.1,153.9,145.0,146.65,146.0,160676.0,239.11
2018-02-15,149.5,156.9,149.5,152.0,151.95,466303.0,719.3
2018-02-14,149.25,152.05,147.95,150.45,150.8,233743.0,350.26
2018-02-12,148.7,152.0,146.9,147.8,147.95,191868.0,287.07
2018-02-09,143.2,150.9,143.0,147.65,147.55,380198.0,560.8
2018-02-08,145.9,150.0,145.85,147.2,147.2,272653.0,405.48
2018-02-07,147.95,150.0,142.6,143.7,145.45,334597.0,495.4
2018-02-06,142.0,147.0,139.0,145.0,145.8,664957.0,955.77
2018-02-05,143.0,152.75,140.0,150.5,150.5,421753.0,626.51
2018-02-02,151.65,155.45,139.25,147.1,148.8,623053.0,930.91
2018-02-01,158.5,160.9,150.7,156.5,157.15,676997.0,1056.48
2018-01-31,162.4,162.4,155.3,157.35,157.45,359537.0,568.31
2018-01-30,160.15,162.8,150.0,162.0,162.2,937047.0,1478.59
2018-01-29,164.9,167.9,158.0,158.3,160.0,483263.0,789.02
2018-01-25,165.85,168.4,161.0,162.5,162.1,259817.0,426.91
2018-01-24,167.2,171.2,164.25,164.5,165.2,321928.0,537.76
2018-01-23,166.0,171.0,164.6,167.9,167.15,514204.0,860.82
2018-01-22,168.0,168.0,164.05,164.5,164.9,258303.0,427.22
2018-01-19,165.0,171.3,162.0,164.7,164.7,411117.0,679.73
2018-01-18,172.8,174.55,164.2,168.2,167.65,697474.0,1179.96
2018-01-17,169.8,174.7,164.5,171.5,171.1,931205.0,1576.74
2018-01-16,182.9,183.1,170.0,171.5,171.05,1110751.0,1944.93
2018-01-15,172.1,184.4,171.45,180.5,181.45,2011004.0,3607.9
2018-01-12,173.5,174.6,170.2,171.4,171.5,630787.0,1085.75
2018-01-11,171.1,175.6,170.2,172.95,173.15,478351.0,827.06
2018-01-10,173.3,175.95,170.55,172.0,172.1,645449.0,1113.16
2018-01-09,174.0,176.25,170.0,176.05,173.85,973232.0,1677.18
