Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,124.0,126.05,123.3,125.0,125.1,5778600.0,7207.92
2018-03-12,119.9,124.0,118.6,123.8,123.15,6509117.0,7892.29
2018-03-09,120.95,121.75,117.55,117.75,118.1,4022449.0,4814.1
2018-03-08,120.0,121.15,116.8,119.95,120.3,5719649.0,6819.29
2018-03-07,121.75,122.4,116.35,118.8,118.85,7390070.0,8860.56
2018-03-06,127.8,128.65,120.8,121.15,122.4,3540126.0,4436.0
2018-03-05,130.0,130.5,124.6,126.65,126.9,5457368.0,6922.61
2018-03-01,131.7,133.35,130.1,130.4,130.65,6066623.0,8002.97
2018-02-28,130.4,133.3,129.05,131.6,131.7,9352932.0,12335.75
2018-02-27,127.2,131.2,126.65,130.85,130.35,11885722.0,15410.82
2018-02-26,126.8,127.2,125.25,126.15,126.05,2758131.0,3484.25
2018-02-23,123.8,126.7,122.85,125.75,125.3,5497936.0,6891.06
2018-02-22,123.0,124.35,122.35,123.6,122.8,2904321.0,3579.86
2018-02-21,124.5,125.8,122.9,123.6,123.7,3562040.0,4418.51
2018-02-20,125.35,126.15,123.0,124.2,123.85,3775130.0,4703.65
2018-02-19,125.1,127.9,121.5,124.65,124.5,8359798.0,10426.89
2018-02-16,124.5,127.95,123.2,125.6,125.1,9234393.0,11587.6
2018-02-15,128.35,129.6,121.9,124.0,123.4,11603911.0,14658.0
2018-02-14,119.75,130.4,117.15,124.95,126.15,28655556.0,36166.09
2018-02-12,115.85,120.0,114.15,119.0,118.55,4742526.0,5565.58
2018-02-09,110.0,115.3,108.45,114.4,114.25,3899571.0,4417.55
2018-02-08,111.0,115.4,110.5,113.65,113.9,5699172.0,6466.4
2018-02-07,113.0,115.5,108.75,109.5,110.3,4187308.0,4696.19
2018-02-06,104.5,113.5,101.5,110.55,110.5,9827590.0,10570.36
2018-02-05,111.7,114.5,108.5,113.1,112.5,6588853.0,7359.49
2018-02-02,123.35,123.35,113.2,115.2,114.95,6334433.0,7470.16
2018-02-01,123.85,128.3,118.7,125.2,124.9,6628514.0,8261.23
2018-01-31,125.9,126.85,120.9,122.6,122.5,4443696.0,5491.69
2018-01-30,124.4,127.0,124.4,124.95,125.15,2474708.0,3112.03
2018-01-29,128.1,129.65,126.1,126.9,127.05,3217280.0,4106.27
2018-01-25,126.8,132.45,126.15,127.6,127.9,12286533.0,16029.41
2018-01-24,127.65,129.2,124.2,125.65,126.2,4804939.0,6073.82
2018-01-23,126.6,128.75,126.1,126.75,126.7,3116095.0,3969.78
2018-01-22,126.2,128.95,124.0,126.7,126.9,4155141.0,5251.49
2018-01-19,123.25,127.4,121.2,127.1,126.7,6478859.0,8069.64
2018-01-18,130.4,130.8,121.1,122.95,123.25,6826395.0,8597.24
2018-01-17,126.95,130.3,121.3,129.2,129.75,5419049.0,6829.28
2018-01-16,133.95,134.85,125.1,127.1,126.95,7242526.0,9363.76
2018-01-15,136.75,137.75,132.9,133.75,133.75,3403406.0,4600.54
2018-01-12,137.25,140.0,133.5,136.7,136.75,4763723.0,6545.37
2018-01-11,137.5,137.85,135.6,137.15,136.7,3557070.0,4867.9
