Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,53.75,56.25,53.1,55.5,55.15,2497661.0,1377.92
2018-03-12,50.3,54.25,49.85,54.0,53.8,2924088.0,1548.24
2018-03-09,51.3,51.85,49.55,49.8,49.8,744130.0,377.89
2018-03-08,49.55,51.75,49.5,51.2,51.3,1266414.0,642.8
2018-03-07,48.1,49.75,47.55,49.4,49.3,1047645.0,511.68
2018-03-06,48.4,50.4,47.75,47.8,48.1,5533085.0,2677.08
2018-03-05,49.8,50.05,47.6,48.15,47.9,1451227.0,701.44
2018-03-01,51.0,51.7,50.4,50.45,50.5,451739.0,230.56
2018-02-28,49.85,52.5,49.1,51.2,50.65,1753072.0,899.86
2018-02-27,51.0,51.7,49.65,49.9,49.9,868040.0,438.86
2018-02-26,50.0,51.55,50.0,50.75,50.95,477743.0,243.32
2018-02-23,48.9,50.4,48.9,50.0,49.9,504486.0,250.3
2018-02-22,48.15,49.05,47.75,48.5,48.6,315305.0,152.72
2018-02-21,48.8,49.9,48.05,48.25,48.25,255187.0,123.66
2018-02-20,48.3,49.05,48.0,48.35,48.4,255497.0,123.82
2018-02-19,49.65,49.75,47.75,48.1,48.15,686793.0,332.47
2018-02-16,50.25,50.7,49.1,49.95,49.5,621309.0,309.61
2018-02-15,51.7,52.2,49.25,49.95,49.9,810325.0,411.72
2018-02-14,52.55,53.45,51.4,51.65,51.7,799678.0,420.57
2018-02-12,51.5,52.6,51.5,51.95,52.1,471958.0,246.64
2018-02-09,49.3,51.7,49.3,51.5,51.6,478160.0,243.21
2018-02-08,50.45,51.6,49.05,50.85,50.8,927512.0,470.52
2018-02-07,50.35,51.75,49.3,49.6,49.6,551683.0,277.3
2018-02-06,49.9,50.45,48.0,49.8,49.8,1383511.0,680.69
2018-02-05,48.2,51.85,48.2,51.85,51.3,990430.0,496.93
2018-02-02,54.0,54.0,50.3,50.9,50.75,1360121.0,706.65
2018-02-01,55.85,56.45,54.1,55.0,55.1,1244652.0,691.96
2018-01-31,53.9,57.2,53.15,55.95,55.85,2618297.0,1464.24
2018-01-30,52.5,54.4,51.4,54.15,53.75,1013941.0,532.57
2018-01-29,53.3,54.0,52.15,53.0,52.5,761595.0,402.35
2018-01-25,54.65,55.15,52.75,52.8,52.85,1083310.0,580.69
2018-01-24,55.8,56.1,54.7,54.9,54.9,593085.0,326.81
2018-01-23,55.6,56.65,54.55,55.9,55.6,1257046.0,702.37
2018-01-22,54.65,56.0,54.25,55.7,55.4,1193580.0,657.83
2018-01-19,54.8,55.45,53.8,54.6,54.6,891222.0,485.67
2018-01-18,57.95,58.5,54.25,54.85,54.55,1835627.0,1025.41
2018-01-17,57.5,58.9,55.5,57.6,57.5,1923392.0,1102.54
2018-01-16,61.45,61.75,55.75,56.6,56.85,9645731.0,5593.85
2018-01-15,62.55,64.1,60.5,61.05,60.85,3648070.0,2277.46
2018-01-12,60.5,62.85,59.35,62.45,62.35,4821079.0,2979.07
2018-01-11,59.0,61.65,59.0,60.0,60.35,1658469.0,1003.39
2018-01-10,60.1,60.95,58.75,58.95,59.1,1192390.0,710.43
2018-01-09,61.05,62.0,59.55,60.3,60.2,1982746.0,1209.45
2018-01-08,61.15,62.15,60.2,61.0,61.0,2009593.0,1232.85
2018-01-05,62.0,62.75,58.95,60.55,60.6,5203993.0,3161.0
2018-01-04,59.65,61.5,58.9,60.3,60.25,1578197.0,949.6
2018-01-03,59.05,60.8,58.6,58.8,58.85,1132059.0,675.4
2018-01-02,60.0,60.55,58.5,58.8,58.95,1684073.0,998.42
2018-01-01,61.2,62.65,59.1,59.5,59.85,2012239.0,1233.81
2017-12-29,60.95,62.65,59.55,60.95,60.95,1885720.0,1155.91
