Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,56.0,56.9,55.4,55.75,55.75,430754.0,241.18
2018-03-12,56.9,57.0,54.9,55.5,55.45,444737.0,247.32
2018-03-09,56.95,57.15,55.5,55.55,55.8,266962.0,150.67
2018-03-08,56.8,57.0,54.55,56.65,56.35,669913.0,374.44
2018-03-07,58.5,58.55,56.0,56.45,56.25,464622.0,266.03
2018-03-06,60.2,60.7,58.05,58.3,58.25,366799.0,216.76
2018-03-05,61.0,61.45,59.25,59.8,59.5,302885.0,181.44
2018-03-01,61.3,61.65,60.2,60.65,60.5,229737.0,139.96
2018-02-28,61.5,61.7,60.8,61.0,61.0,194325.0,118.84
2018-02-27,62.35,62.4,61.5,61.65,61.7,317337.0,196.52
2018-02-26,61.7,62.4,61.3,62.15,61.95,425615.0,263.02
2018-02-23,60.5,61.7,60.35,61.25,61.25,349799.0,213.33
2018-02-22,61.2,61.25,59.7,60.4,60.1,491473.0,296.64
2018-02-21,62.0,62.05,61.0,61.35,61.4,315419.0,193.75
2018-02-20,61.2,62.4,60.7,61.5,61.5,570058.0,351.28
2018-02-19,63.4,63.4,60.5,61.05,61.2,539286.0,331.21
2018-02-16,65.5,65.7,62.6,63.35,63.35,532864.0,339.51
2018-02-15,66.65,68.65,64.75,65.45,65.15,425636.0,282.1
2018-02-14,68.0,68.5,66.05,66.9,66.45,717772.0,482.51
2018-02-12,65.75,68.85,65.65,68.0,67.5,1070792.0,720.05
2018-02-09,62.5,65.9,62.5,65.0,65.2,869032.0,560.01
2018-02-08,64.0,65.8,63.55,65.1,65.3,957239.0,622.68
2018-02-07,60.7,63.65,60.15,63.4,63.35,1445119.0,897.23
2018-02-06,56.0,60.0,55.1,58.55,59.3,1836711.0,1050.43
2018-02-05,60.0,60.75,58.05,59.65,59.4,1351742.0,803.05
2018-02-02,69.0,69.0,58.05,60.8,61.2,2463952.0,1569.45
2018-02-01,73.6,74.7,67.8,69.8,69.8,4255567.0,3074.09
2018-01-31,69.8,73.9,69.05,73.65,72.95,1297199.0,933.39
2018-01-30,71.0,71.1,69.4,69.6,69.8,564187.0,394.56
2018-01-29,71.2,71.9,70.75,71.25,70.95,545486.0,388.93
2018-01-25,69.75,71.5,69.5,70.75,70.65,729371.0,515.01
2018-01-24,70.75,70.8,69.5,69.75,69.7,532595.0,372.81
2018-01-23,71.55,71.8,70.3,70.75,70.7,801845.0,570.98
2018-01-22,70.3,71.6,69.2,71.2,71.05,810227.0,570.27
2018-01-19,69.5,71.0,69.0,69.5,69.7,900320.0,628.52
2018-01-18,72.65,73.45,68.1,69.0,68.95,1252232.0,887.2
2018-01-17,71.4,72.65,69.05,72.25,72.4,1175804.0,838.96
2018-01-16,74.55,74.8,70.75,71.6,71.45,1522450.0,1102.45
2018-01-15,73.3,75.4,73.1,74.3,74.7,2317279.0,1718.08
2018-01-12,75.0,75.6,72.0,73.05,72.8,1825262.0,1342.5
2018-01-11,75.25,75.9,74.0,74.55,74.4,1728458.0,1297.35
2018-01-10,76.05,76.9,74.75,75.1,75.25,1056854.0,798.84
2018-01-09,77.75,78.1,74.05,75.65,75.75,2123149.0,1619.57
2018-01-08,77.35,78.85,76.75,77.6,77.45,3468627.0,2689.1
2018-01-05,78.6,79.3,76.3,77.35,77.35,2968167.0,2308.41
2018-01-04,77.85,79.75,77.3,78.3,78.15,5472287.0,4306.2
2018-01-03,75.5,79.7,74.1,77.05,77.15,12960524.0,9968.02
2018-01-02,73.8,74.9,71.55,74.45,74.1,3449729.0,2535.79
2018-01-01,74.35,76.45,73.0,73.25,73.35,3439413.0,2572.61
2017-12-29,69.75,74.5,69.5,74.1,73.55,6961969.0,5076.71
2017-12-28,68.75,71.35,67.75,69.35,69.25,4418888.0,3085.25
2017-12-27,70.4,70.95,67.6,68.7,68.25,2275120.0,1584.75
2017-12-26,67.5,70.7,67.25,69.8,69.85,2989819.0,2074.81
2017-12-22,66.35,68.4,66.35,67.1,67.2,1271090.0,855.54
2017-12-21,66.55,67.4,65.7,65.85,65.9,1263481.0,842.99
2017-12-20,65.0,68.65,64.65,66.5,66.4,2900657.0,1940.81
2017-12-19,64.7,65.8,64.5,64.95,64.95,1613782.0,1052.06
2017-12-18,64.0,67.4,61.95,63.95,63.95,3631129.0,2378.27
2017-12-15,64.6,65.4,63.9,64.0,64.3,536444.0,347.41
2017-12-14,63.5,64.6,63.0,63.85,64.0,525578.0,334.66
2017-12-13,65.1,66.1,62.05,62.85,62.95,592760.0,381.38
2017-12-12,65.8,67.25,64.6,65.65,65.2,1040516.0,686.16
2017-12-11,66.0,66.9,64.65,65.35,65.55,2737902.0,1802.58
2017-12-08,63.0,64.85,62.55,64.2,64.4,1195792.0,764.19
2017-12-07,61.1,62.8,61.1,62.2,62.2,375121.0,233.11
2017-12-06,61.9,62.85,61.0,61.2,61.3,498265.0,308.08
2017-12-05,61.85,61.85,60.65,60.95,60.9,239524.0,146.17
2017-12-04,62.75,63.2,61.3,61.5,61.45,548210.0,341.76
2017-12-01,63.5,63.9,62.1,62.65,62.45,486625.0,307.1
2017-11-30,62.0,63.7,61.6,62.7,62.7,800755.0,504.08
2017-11-29,61.5,64.1,61.5,62.2,62.2,1102496.0,695.38
2017-11-28,60.85,62.4,60.85,61.65,61.55,749589.0,462.33
2017-11-27,61.25,61.8,60.3,60.5,60.7,2171937.0,1324.33
2017-11-24,61.1,61.95,60.65,60.8,60.85,319461.0,195.51
2017-11-23,61.25,61.9,60.7,60.9,60.95,635603.0,389.07
2017-11-22,62.1,62.65,60.6,60.9,60.85,502110.0,309.02
2017-11-21,61.9,63.0,61.65,62.05,62.1,453509.0,283.45
2017-11-20,62.7,62.7,61.35,61.6,61.7,298922.0,184.82
2017-11-17,62.3,63.4,62.0,62.1,62.15,276869.0,173.37
2017-11-16,60.8,62.8,60.35,62.0,61.85,415243.0,254.15
2017-11-15,61.5,62.0,60.25,60.45,60.4,248391.0,151.56
2017-11-14,62.5,62.5,61.0,61.2,61.2,307029.0,189.3
2017-11-13,63.5,63.9,61.7,62.15,61.95,455193.0,285.2
2017-11-10,62.5,63.65,61.55,62.0,61.85,257095.0,160.13
2017-11-09,63.0,63.5,62.0,62.5,62.4,242367.0,151.62
2017-11-08,63.9,64.95,62.6,62.9,62.9,459568.0,292.75
2017-11-07,65.9,66.5,63.3,63.6,63.6,928768.0,600.88
2017-11-06,64.5,65.95,61.85,64.25,64.6,1158801.0,744.29
2017-11-03,65.8,66.2,64.5,65.2,65.35,1184365.0,771.65
2017-11-02,64.25,67.0,63.9,65.4,65.0,1820762.0,1194.24
2017-11-01,62.95,67.3,62.35,64.1,63.9,5940621.0,3840.71
2017-10-31,63.1,63.55,62.25,62.5,62.4,262444.0,164.51
2017-10-30,63.7,64.8,61.8,63.0,62.95,417679.0,265.44
2017-10-27,64.8,65.15,62.8,63.2,63.1,442594.0,282.43
2017-10-26,65.0,67.05,64.05,64.85,64.55,1135549.0,744.76
2017-10-25,62.1,65.0,61.5,64.4,64.45,868872.0,549.42
2017-10-24,61.1,63.9,60.85,61.7,61.85,894544.0,558.26
2017-10-23,61.4,62.2,60.3,60.9,60.9,337120.0,206.65
2017-10-19,61.65,61.85,61.0,61.0,61.4,138587.0,85.19
2017-10-18,62.3,62.7,61.35,61.45,61.65,1094996.0,679.07
2017-10-17,61.9,62.8,61.6,61.85,61.9,296519.0,183.84
2017-10-16,62.3,62.9,61.55,61.85,61.9,632027.0,393.1
2017-10-13,63.2,64.4,62.1,62.5,62.45,331292.0,209.39
2017-10-12,63.4,63.8,62.25,63.4,63.3,429769.0,271.95
2017-10-11,64.45,66.0,60.05,62.25,62.55,1584666.0,1007.23
2017-10-10,65.1,65.95,63.15,64.0,64.0,698482.0,452.37
2017-10-09,64.6,65.85,62.7,65.0,65.05,1142805.0,739.58
2017-10-06,59.4,65.0,59.25,64.1,64.35,1982380.0,1254.54
2017-10-05,59.55,60.0,58.65,59.05,59.05,344200.0,203.88
2017-10-04,60.1,60.85,58.75,59.3,59.15,480516.0,287.72
2017-10-03,60.6,60.6,59.2,59.4,59.35,389781.0,233.64
2017-09-29,60.65,60.75,59.0,59.55,59.55,236584.0,142.16
2017-09-28,60.0,60.9,59.15,59.7,59.75,413550.0,247.45
2017-09-27,63.95,63.95,58.9,59.95,59.5,654272.0,400.56
2017-09-26,60.85,62.2,60.1,61.35,61.65,643918.0,395.37
2017-09-25,62.5,62.5,60.25,60.5,60.85,519025.0,315.89
2017-09-22,63.55,64.2,62.0,62.3,63.15,1169355.0,738.75
2017-09-21,65.2,65.75,63.5,63.65,63.75,384170.0,246.63
2017-09-20,66.2,66.65,64.75,65.05,65.2,395465.0,260.26
2017-09-19,66.4,66.7,65.45,65.9,65.65,496286.0,327.98
2017-09-18,66.7,67.3,66.55,66.6,66.7,267995.0,179.2
2017-09-15,66.9,68.0,66.2,66.4,66.65,874331.0,586.5
2017-09-14,67.65,67.75,66.8,66.9,66.95,353704.0,237.9
2017-09-13,68.0,68.25,66.7,66.9,67.0,440770.0,297.96
2017-09-12,68.6,68.6,67.6,67.8,67.8,679611.0,462.04
2017-09-11,67.9,68.45,67.7,68.25,68.0,422574.0,287.83
2017-09-08,68.0,68.45,67.05,67.15,67.25,312275.0,211.46
2017-09-07,68.4,69.25,67.5,67.7,67.75,978019.0,666.59
2017-09-06,68.0,69.8,67.7,67.8,67.85,1583266.0,1091.2
2017-09-05,68.4,69.3,67.55,67.8,67.9,1339536.0,915.98
2017-09-04,69.35,69.35,67.4,67.6,67.7,449505.0,305.69
2017-09-01,69.3,69.45,68.45,68.7,68.9,365417.0,252.01
2017-08-31,69.3,69.45,68.4,68.6,68.9,770519.0,531.24
2017-08-30,69.0,70.55,68.8,69.2,69.3,919239.0,640.02
2017-08-29,68.0,69.25,67.5,68.5,68.75,1035861.0,712.05
2017-08-28,68.2,69.35,67.35,67.45,67.65,1546117.0,1055.58
2017-08-24,67.6,68.7,67.2,67.7,68.2,755875.0,515.08
2017-08-23,66.95,68.2,66.7,67.1,67.0,522296.0,351.93
2017-08-22,69.0,69.55,66.5,67.0,66.75,306895.0,207.73
2017-08-21,68.35,69.85,67.55,68.6,68.95,1842600.0,1269.82
2017-08-18,64.0,69.4,63.45,68.1,68.3,4473032.0,3031.76
2017-08-17,64.2,66.4,64.05,64.6,64.6,1241572.0,809.16
2017-08-16,63.8,65.8,63.0,64.0,63.95,1284235.0,826.4
2017-08-14,62.95,64.45,62.95,63.65,63.7,687025.0,437.67
2017-08-11,63.5,64.5,62.1,62.4,62.5,907635.0,571.9
2017-08-10,66.55,67.25,64.1,64.7,64.7,1046692.0,688.14
2017-08-09,68.7,69.0,66.5,66.55,66.85,832700.0,563.76
2017-08-08,70.0,70.5,68.05,68.7,68.5,797041.0,550.08
2017-08-07,70.5,70.9,69.5,70.0,70.05,1536304.0,1081.61
2017-08-04,67.85,70.45,66.2,70.25,70.05,4377041.0,3023.36
2017-08-03,69.8,70.2,67.4,67.5,67.85,1368360.0,946.01
2017-08-02,69.6,71.15,69.3,69.4,69.5,7923226.0,5578.67
2017-08-01,69.4,69.75,69.05,69.05,69.25,746948.0,517.63
2017-07-31,69.9,70.35,69.1,69.2,69.4,1633135.0,1140.85
2017-07-28,69.7,70.1,69.25,69.4,69.45,4746203.0,3306.06
2017-07-27,73.4,73.8,70.75,71.0,71.15,2966266.0,2136.39
2017-07-26,73.95,74.35,73.1,73.1,73.2,3715024.0,2735.36
2017-07-25,79.85,79.85,78.25,78.45,78.7,281457.0,222.11
2017-07-24,79.55,81.2,78.4,78.9,79.25,3452376.0,2743.15
2017-07-21,79.0,80.2,78.35,78.75,79.05,232040.0,183.86
2017-07-20,80.9,82.0,79.0,79.5,79.6,338650.0,272.57
2017-07-19,78.5,80.9,77.3,80.15,80.2,595158.0,474.48
2017-07-18,82.2,82.2,75.8,78.2,77.6,726645.0,576.86
2017-07-17,81.1,83.0,79.9,81.0,81.4,1656596.0,1345.09
2017-07-14,80.5,80.85,77.75,80.05,80.35,354860.0,282.44
2017-07-13,79.3,81.5,79.3,80.35,80.35,812926.0,654.63
2017-07-12,79.6,82.0,77.0,80.05,79.55,879085.0,703.01
2017-07-11,76.1,79.95,76.1,79.0,79.0,1077374.0,847.99
2017-07-10,75.0,77.5,75.0,75.8,76.0,76265.0,58.01
2017-07-07,78.4,78.4,74.75,75.25,75.05,607864.0,463.78
2017-07-06,73.15,81.2,73.15,78.1,78.05,2585407.0,2008.03
2017-07-05,72.2,74.1,71.5,72.8,72.8,558363.0,406.3
2017-07-04,73.65,74.1,71.5,71.5,71.85,522080.0,381.06
2017-07-03,73.0,76.5,72.2,73.3,73.15,1121694.0,825.81
2017-06-30,72.2,73.15,70.2,70.45,70.65,220104.0,157.09
2017-06-29,74.65,75.3,72.2,72.6,72.45,210459.0,154.57
2017-06-28,72.0,75.0,71.15,74.7,74.65,313446.0,231.42
2017-06-27,71.55,73.6,71.35,72.4,72.4,219505.0,159.07
2017-06-23,74.6,74.95,71.1,72.4,72.5,401465.0,294.64
2017-06-22,77.95,78.25,74.75,74.95,75.1,352738.0,269.44
2017-06-21,77.15,78.6,77.15,77.65,77.5,184974.0,143.91
2017-06-20,79.5,79.8,77.25,77.6,77.7,138822.0,108.78
2017-06-19,79.75,79.75,78.8,78.95,79.1,95818.0,75.93
