Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,916.1,926.9,900.0,904.1,903.55,1223149.0,11184.91
2018-03-12,887.0,915.0,881.0,913.0,910.6,1576384.0,14260.57
2018-03-09,878.0,887.0,872.0,884.85,879.25,415572.0,3658.99
2018-03-08,889.2,889.2,868.1,878.2,879.05,752454.0,6604.21
2018-03-07,858.0,888.5,853.9,882.5,878.7,1512502.0,13228.49
2018-03-06,880.0,886.0,856.0,859.0,859.35,561544.0,4900.36
2018-03-05,871.8,884.8,862.3,883.0,879.95,1785929.0,15645.41
2018-03-01,835.9,874.9,833.8,868.05,871.4,2025848.0,17364.79
2018-02-28,830.05,846.7,823.0,834.55,834.5,1181472.0,9903.86
2018-02-27,830.9,846.4,825.0,832.35,832.8,914441.0,7659.04
2018-02-26,835.35,848.65,821.0,829.85,830.3,791733.0,6567.53
2018-02-23,832.8,836.2,813.1,835.5,831.25,1198297.0,9882.27
2018-02-22,802.0,827.35,798.0,827.1,822.55,2918528.0,23716.53
2018-02-21,768.0,800.0,760.0,798.0,795.35,2022052.0,15947.92
2018-02-20,761.0,772.45,735.1,757.0,758.2,1382534.0,10488.14
2018-02-19,826.0,826.45,748.85,760.85,761.3,1203953.0,9339.36
2018-02-16,834.0,844.2,815.25,817.0,820.3,1264192.0,10470.41
2018-02-15,831.0,847.0,812.5,826.0,825.6,824481.0,6857.22
2018-02-14,829.05,852.7,823.45,826.2,830.45,1047388.0,8823.04
2018-02-12,840.95,845.0,826.55,826.65,829.05,439173.0,3659.59
2018-02-09,803.0,835.95,803.0,830.0,829.95,515853.0,4266.92
2018-02-08,837.0,854.8,821.85,827.75,827.85,960541.0,8076.7
2018-02-07,821.0,852.2,821.0,834.0,838.05,1250383.0,10543.6
2018-02-06,787.0,834.75,775.0,832.0,830.7,1086438.0,8879.87
2018-02-05,788.0,833.05,764.35,829.25,826.75,1065954.0,8666.41
2018-02-02,835.0,853.8,751.6,793.9,790.0,1573258.0,12898.2
2018-02-01,846.2,862.7,831.65,836.15,835.1,734446.0,6207.57
2018-01-31,848.1,868.0,846.75,856.5,856.15,1069232.0,9157.28
2018-01-30,859.0,882.0,852.6,858.85,858.75,1614009.0,14062.62
2018-01-29,905.3,912.5,859.1,861.15,866.35,2826891.0,25216.59
2018-01-25,850.55,928.75,842.0,906.0,914.1,4662431.0,41744.33
2018-01-24,770.0,871.2,770.0,858.3,861.9,3864468.0,32495.3
2018-01-23,765.7,791.75,747.1,780.0,783.75,1132377.0,8787.08
2018-01-22,730.0,770.3,723.4,763.85,765.75,2368114.0,17765.05
2018-01-19,694.9,734.25,682.85,729.9,728.05,2243894.0,16068.12
2018-01-18,706.85,719.95,685.65,693.6,693.2,509696.0,3585.4
2018-01-17,704.7,715.7,700.1,709.0,706.05,759232.0,5360.01
2018-01-16,707.0,731.95,694.85,710.6,708.85,964464.0,6939.97
2018-01-15,704.0,711.55,697.65,706.15,700.85,232398.0,1633.72
2018-01-12,714.0,719.75,696.75,700.4,701.3,377909.0,2671.5
2018-01-11,724.95,735.0,714.4,716.5,717.65,1015367.0,7379.71
2018-01-10,690.9,723.5,679.05,719.5,719.15,1190113.0,8412.59
2018-01-09,710.0,710.15,687.0,690.5,689.9,360240.0,2503.7
2018-01-08,674.0,705.9,672.05,701.2,704.05,909477.0,6291.55
2018-01-05,655.0,672.0,651.85,668.5,669.5,424659.0,2823.81
2018-01-04,649.7,655.75,642.55,651.8,653.15,276774.0,1802.1
2018-01-03,642.0,658.35,641.15,643.85,645.95,310252.0,2014.65
2018-01-02,662.7,662.7,637.8,640.15,642.55,395374.0,2559.82
2018-01-01,646.0,663.0,638.2,657.0,653.8,213259.0,1389.89
2017-12-29,649.9,657.0,641.55,646.0,645.05,426993.0,2771.29
2017-12-28,639.8,661.0,638.05,646.2,649.55,539622.0,3514.13
2017-12-27,634.75,646.7,634.3,640.2,640.2,219847.0,1406.17
2017-12-26,645.05,648.2,629.5,634.0,635.7,208504.0,1327.44
2017-12-22,645.25,655.0,640.55,644.1,644.05,201042.0,1303.02
2017-12-21,646.5,652.9,639.35,648.0,650.25,316559.0,2049.24
2017-12-20,625.0,644.0,623.35,643.5,639.9,342907.0,2188.31
2017-12-19,615.2,630.0,615.2,622.0,622.3,428526.0,2675.36
2017-12-18,615.0,621.85,603.65,618.85,617.3,266562.0,1641.87
2017-12-15,621.0,627.65,611.75,614.25,613.9,161072.0,996.57
2017-12-14,620.8,624.25,608.55,615.85,618.1,423302.0,2611.31
2017-12-13,637.0,637.5,610.05,611.5,613.25,311832.0,1953.83
2017-12-12,645.0,652.0,628.0,628.55,631.1,481636.0,3090.61
2017-12-11,627.2,645.0,627.2,644.9,642.7,215827.0,1382.38
2017-12-08,634.0,639.45,626.35,630.0,630.5,186091.0,1180.9
2017-12-07,635.4,639.1,621.35,629.1,628.4,299403.0,1882.41
2017-12-06,637.5,650.85,631.2,633.1,634.35,508579.0,3253.59
2017-12-05,623.7,642.85,617.5,642.0,638.35,233583.0,1475.38
2017-12-04,630.0,643.8,608.55,625.5,623.7,338335.0,2089.85
2017-12-01,637.8,647.35,627.15,627.25,631.35,213895.0,1363.13
2017-11-30,640.0,644.8,632.1,637.8,639.0,655715.0,4187.99
2017-11-29,645.95,645.95,630.35,632.5,632.6,195735.0,1244.15
2017-11-28,640.0,648.25,632.95,639.0,639.05,318763.0,2036.22
2017-11-27,663.9,663.9,635.0,639.5,640.05,421324.0,2696.81
2017-11-24,663.0,668.0,654.0,654.0,658.95,355474.0,2352.13
2017-11-23,645.1,662.95,641.0,656.6,656.05,471020.0,3087.74
2017-11-22,639.05,648.3,629.1,644.5,639.8,261980.0,1668.24
2017-11-21,644.55,644.9,631.0,638.0,637.15,162814.0,1037.53
2017-11-20,644.0,649.4,638.65,640.45,641.9,178029.0,1145.22
2017-11-17,647.0,647.0,637.75,642.0,642.2,331845.0,2125.44
2017-11-16,635.0,643.05,633.0,638.0,637.7,224066.0,1427.65
2017-11-15,653.95,653.95,619.6,635.5,631.5,314568.0,1985.46
2017-11-14,645.0,657.0,639.95,650.0,650.55,757574.0,4902.89
2017-11-13,630.7,637.9,625.5,635.5,635.2,240138.0,1518.45
2017-11-10,660.9,660.9,621.25,625.0,625.2,373754.0,2377.53
2017-11-09,646.3,679.9,645.3,660.9,660.05,1106089.0,7308.76
2017-11-08,634.0,660.4,632.6,641.3,642.6,358243.0,2314.49
2017-11-07,640.0,655.45,627.2,637.0,639.25,451524.0,2897.12
2017-11-06,649.9,662.5,632.0,635.2,635.9,251796.0,1627.57
2017-11-03,648.0,657.95,644.0,653.0,648.85,241138.0,1572.56
2017-11-02,660.0,666.0,635.0,649.0,642.75,515707.0,3371.28
2017-11-01,661.0,675.85,652.15,655.0,654.1,517691.0,3420.71
2017-10-31,640.0,696.9,640.0,675.75,676.95,1869013.0,12682.9
2017-10-30,645.0,652.7,637.7,642.35,642.3,277061.0,1786.75
2017-10-27,614.0,647.45,605.2,643.55,641.2,706079.0,4479.94
2017-10-26,613.0,618.1,605.1,610.0,609.1,489910.0,2997.07
2017-10-25,608.3,622.0,608.3,614.0,612.8,441126.0,2721.44
2017-10-24,618.0,620.0,603.1,608.3,608.3,282450.0,1719.87
2017-10-23,612.85,622.0,608.15,615.4,612.35,489875.0,3015.92
2017-10-19,616.55,619.9,610.0,612.0,611.85,106899.0,656.54
2017-10-18,637.1,646.3,608.75,616.1,613.6,2324491.0,14599.18
2017-10-17,626.6,643.2,623.15,634.8,633.55,618425.0,3924.92
2017-10-16,626.0,631.85,619.2,626.0,625.8,613894.0,3837.91
2017-10-13,613.0,630.8,613.0,625.0,623.45,1685310.0,10524.64
2017-10-12,597.4,623.0,593.7,611.2,612.75,1064146.0,6549.35
