Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,1654.75,1718.95,1645.0,1675.0,1681.75,27512.0,463.31
2018-03-12,1652.0,1665.0,1625.0,1660.0,1655.65,64443.0,1062.62
2018-03-09,1661.0,1661.0,1640.0,1650.95,1647.8,6269.0,103.42
2018-03-08,1659.9,1675.0,1625.0,1651.5,1658.5,16354.0,270.77
2018-03-07,1667.7,1675.1,1638.0,1640.0,1642.9,16204.0,267.02
2018-03-06,1694.95,1705.0,1666.0,1679.0,1676.25,11965.0,201.68
2018-03-05,1665.0,1699.0,1646.0,1694.0,1686.35,17200.0,286.92
2018-03-01,1698.0,1700.0,1650.0,1665.0,1665.0,21548.0,362.07
2018-02-28,1704.9,1710.0,1681.55,1698.0,1691.5,11309.0,191.8
2018-02-27,1700.0,1705.0,1681.55,1695.0,1692.45,12693.0,215.42
2018-02-26,1718.6,1720.0,1690.0,1695.0,1694.5,13444.0,229.03
2018-02-23,1695.0,1726.45,1681.0,1693.0,1695.8,18185.0,308.64
2018-02-22,1680.0,1711.75,1671.25,1695.6,1695.5,14433.0,244.31
2018-02-21,1706.05,1715.15,1681.0,1698.0,1693.1,7276.0,123.42
2018-02-20,1705.1,1724.95,1690.0,1697.1,1698.2,9889.0,168.38
2018-02-19,1762.0,1776.0,1680.6,1696.0,1701.5,60330.0,1047.01
2018-02-16,1800.0,1819.95,1751.05,1754.75,1753.75,17158.0,304.98
2018-02-15,1818.0,1838.95,1775.0,1790.0,1784.3,25477.0,457.86
2018-02-14,1813.1,1847.0,1801.0,1810.1,1820.45,35863.0,654.15
2018-02-12,1780.0,1829.95,1773.3,1796.0,1800.5,29297.0,528.5
2018-02-09,1740.0,1767.8,1716.0,1756.05,1758.35,21267.0,371.86
2018-02-08,1710.0,1786.0,1709.95,1750.0,1748.7,41383.0,722.99
2018-02-07,1660.0,1707.95,1650.0,1685.0,1687.65,39125.0,656.9
2018-02-06,1600.0,1648.7,1580.0,1646.0,1643.25,34264.0,555.0
2018-02-05,1700.0,1710.45,1660.0,1685.0,1670.55,49948.0,836.82
2018-02-02,1770.0,1770.0,1710.55,1717.0,1719.05,54552.0,946.16
2018-02-01,1823.0,1827.95,1765.0,1784.0,1783.8,24975.0,447.54
2018-01-31,1820.05,1850.0,1790.0,1805.4,1809.05,18756.0,340.92
2018-01-30,1869.0,1869.0,1815.2,1819.0,1825.65,25584.0,469.52
2018-01-29,1920.3,1955.15,1862.25,1881.6,1875.9,46303.0,879.47
2018-01-25,1952.0,1980.0,1905.6,1940.1,1947.15,86620.0,1686.91
2018-01-24,1958.0,1999.75,1939.7,1950.0,1950.7,36977.0,727.08
2018-01-23,1940.0,1979.0,1935.1,1955.0,1958.8,30817.0,603.13
