Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,227.25,229.3,225.8,227.2,226.65,199050.0,452.54
2018-03-12,226.5,228.0,226.5,227.5,227.25,538410.0,1223.5
2018-03-09,226.7,228.0,225.5,226.45,226.4,523033.0,1186.84
2018-03-08,225.1,227.5,224.0,226.55,226.65,470203.0,1064.36
2018-03-07,225.2,225.9,223.95,224.65,224.8,128826.0,290.08
2018-03-06,225.3,228.15,223.8,224.8,225.0,624260.0,1413.21
2018-03-05,225.5,226.35,225.0,225.25,225.25,524807.0,1183.06
2018-03-01,226.3,227.1,224.2,225.7,225.8,260037.0,587.05
2018-02-28,225.35,228.1,225.35,226.65,226.4,621104.0,1408.88
2018-02-27,226.0,226.45,224.75,225.4,225.35,148443.0,334.63
2018-02-26,225.35,227.25,224.8,225.6,225.6,616122.0,1391.53
2018-02-23,227.15,227.7,224.75,225.25,225.25,129514.0,292.01
2018-02-22,227.6,228.95,226.4,226.6,226.85,145920.0,331.81
2018-02-21,228.3,229.15,225.8,226.8,227.85,211613.0,481.71
2018-02-20,228.0,230.65,227.45,227.9,227.9,468223.0,1070.28
2018-02-19,228.65,230.0,227.4,227.95,227.95,342497.0,783.58
2018-02-16,231.3,232.05,228.05,228.9,228.6,501220.0,1152.0
2018-02-15,230.75,233.0,227.8,231.2,230.8,871932.0,2016.84
2018-02-14,229.65,230.8,226.0,230.8,230.5,294267.0,675.46
2018-02-12,229.15,230.0,228.95,229.4,229.55,255882.0,587.38
2018-02-09,229.4,229.7,228.4,228.95,228.8,490230.0,1122.4
2018-02-08,229.35,232.0,228.7,229.45,229.1,520143.0,1197.62
2018-02-07,228.95,230.65,227.6,228.6,229.0,508451.0,1163.82
2018-02-06,227.5,229.5,226.0,229.0,228.6,224920.0,511.12
2018-02-05,228.25,229.3,227.3,228.7,228.65,629433.0,1437.77
2018-02-02,229.5,231.25,227.95,228.45,228.85,363553.0,832.71
2018-02-01,229.2,230.45,229.0,229.95,230.0,612436.0,1406.54
2018-01-31,228.3,230.25,227.1,228.6,228.95,178426.0,408.98
2018-01-30,228.5,229.9,226.65,228.5,228.0,563886.0,1288.44
2018-01-29,229.5,230.05,227.05,229.3,228.2,582467.0,1329.52
2018-01-25,230.25,231.75,226.65,229.6,229.5,260319.0,597.67
2018-01-24,227.2,230.75,223.9,229.95,230.0,604659.0,1368.7
2018-01-23,225.8,228.0,224.25,227.7,227.05,709906.0,1606.25
2018-01-22,227.15,228.45,224.7,226.25,225.45,361484.0,816.16
2018-01-19,228.85,229.6,227.25,228.6,228.35,201733.0,461.1
2018-01-18,230.25,233.45,227.65,229.0,228.85,511871.0,1175.91
2018-01-17,229.1,231.45,225.5,230.15,230.1,246989.0,567.06
2018-01-16,230.5,232.15,228.55,228.9,228.85,563004.0,1300.04
