Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,88.25,100.55,88.0,95.05,95.5,16185763.0,15509.19
2018-03-12,88.1,91.0,83.95,89.25,89.35,11345864.0,9893.47
2018-03-09,95.25,95.35,90.6,90.9,91.25,6383035.0,5886.61
2018-03-08,94.1,94.9,91.8,94.25,94.25,4518272.0,4223.34
2018-03-07,95.25,95.85,91.1,93.7,93.2,6960033.0,6488.23
2018-03-06,99.45,100.2,94.55,95.6,95.25,4322611.0,4222.66
2018-03-05,98.05,101.0,97.2,97.85,98.2,6305427.0,6254.32
2018-03-01,100.5,101.7,98.0,98.4,98.5,7970919.0,7943.35
2018-02-28,93.7,101.25,93.3,100.8,100.25,15606246.0,15175.6
2018-02-27,92.0,97.35,91.85,95.85,96.05,21354230.0,20060.59
2018-02-26,99.0,99.95,92.6,94.2,95.05,50128889.0,47841.53
2018-02-23,105.5,106.85,104.6,106.6,106.1,2121958.0,2247.23
2018-02-22,104.65,106.8,104.0,104.8,105.1,4295095.0,4531.66
2018-02-21,108.4,109.0,104.7,106.0,106.7,3635304.0,3867.94
2018-02-20,103.1,108.0,102.0,106.6,106.15,4737247.0,4994.41
2018-02-19,104.85,106.3,97.55,104.3,104.2,6633308.0,6791.14
2018-02-16,105.0,106.9,103.0,105.8,105.55,4529440.0,4755.59
2018-02-15,103.0,106.5,102.5,105.25,104.75,5177826.0,5414.99
2018-02-14,112.05,112.8,103.05,103.15,103.85,6502789.0,6946.36
2018-02-12,110.5,113.9,110.5,112.8,112.55,2491890.0,2796.91
2018-02-09,108.0,111.35,107.15,110.7,110.3,1956701.0,2149.29
2018-02-08,108.1,111.35,108.0,110.1,110.05,2407398.0,2645.01
2018-02-07,110.55,111.5,107.5,107.9,108.0,2469381.0,2698.77
2018-02-06,107.8,110.75,106.7,109.05,109.2,4020358.0,4367.01
2018-02-05,110.4,115.6,108.15,114.2,113.55,4103172.0,4582.54
2018-02-02,112.9,115.9,110.7,112.6,112.4,4127394.0,4671.13
2018-02-01,115.85,117.1,113.0,114.25,114.2,2614039.0,3021.35
2018-01-31,112.8,116.7,112.8,115.9,115.65,4623839.0,5310.19
2018-01-30,119.9,121.7,116.2,117.05,117.15,3384009.0,4022.47
2018-01-29,123.5,124.35,119.5,120.3,120.05,1718048.0,2087.78
2018-01-25,135.9,136.35,121.7,122.2,123.2,7070650.0,8956.5
2018-01-24,125.4,130.2,122.1,130.0,129.45,5025596.0,6370.57
2018-01-23,122.7,126.4,122.05,125.6,125.75,2959573.0,3689.98
2018-01-22,123.0,123.1,120.4,122.45,122.45,1506301.0,1835.54
2018-01-19,120.6,123.6,119.8,122.6,122.8,1519990.0,1852.95
2018-01-18,126.5,127.0,118.9,121.0,120.85,2645726.0,3239.44
2018-01-17,116.35,124.0,115.35,123.15,123.4,3545315.0,4244.74
2018-01-16,122.4,122.7,116.6,117.1,117.15,2605675.0,3089.35
2018-01-15,122.2,123.4,121.55,122.15,122.3,1474585.0,1807.92
2018-01-12,123.0,123.5,120.45,121.8,121.75,1547115.0,1888.31
2018-01-11,122.5,123.75,121.65,122.2,122.4,1322056.0,1622.9
2018-01-10,125.1,126.05,122.3,123.2,123.0,1711905.0,2114.86
2018-01-09,125.35,127.4,124.25,125.2,125.1,1593901.0,2001.18
2018-01-08,124.6,126.2,124.0,125.25,125.35,1596161.0,2004.17
2018-01-05,124.9,126.25,123.15,124.35,124.3,2225337.0,2772.54
2018-01-04,120.45,124.7,120.2,124.2,124.0,3452181.0,4241.28
2018-01-03,120.4,121.5,119.0,119.6,119.7,1315928.0,1582.65
2018-01-02,122.5,123.15,119.25,120.25,120.0,1436872.0,1732.78
2018-01-01,121.0,123.7,121.0,122.1,121.9,1441221.0,1763.91
2017-12-29,122.0,122.75,120.0,120.9,120.7,1458769.0,1770.65
2017-12-28,123.4,124.25,120.6,121.2,121.25,1978596.0,2416.58
2017-12-27,124.1,125.8,122.45,123.25,123.6,1207043.0,1499.44
2017-12-26,125.4,125.95,123.2,124.25,124.15,1227403.0,1526.09
2017-12-22,124.8,127.5,123.85,125.4,125.35,1602592.0,2015.35
2017-12-21,122.65,125.4,122.2,124.7,124.5,1680088.0,2084.96
2017-12-20,123.8,123.8,122.05,122.45,122.75,1127788.0,1386.57
2017-12-19,123.1,125.2,121.5,123.7,123.9,2510307.0,3092.86
2017-12-18,120.0,124.45,115.4,122.7,122.5,2587462.0,3153.75
2017-12-15,121.0,122.3,120.0,121.15,120.7,1837965.0,2222.41
2017-12-14,119.25,120.0,117.55,118.6,118.75,1745927.0,2071.8
2017-12-13,120.6,122.4,117.25,119.1,118.45,2185077.0,2626.21
2017-12-12,121.2,123.0,120.5,120.8,121.05,1464638.0,1781.88
2017-12-11,122.6,123.5,121.15,121.9,121.6,1637963.0,1997.94
2017-12-08,123.25,123.6,121.75,122.15,122.1,1194561.0,1465.16
2017-12-07,121.05,123.45,121.05,122.8,122.5,1828919.0,2240.93
2017-12-06,123.6,124.1,120.05,120.45,121.15,2120220.0,2599.48
2017-12-05,122.5,124.75,121.35,123.9,124.0,2139716.0,2635.81
2017-12-04,125.1,125.6,121.5,122.5,122.75,1962776.0,2426.53
