Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,147.9,147.9,144.85,145.45,145.6,44041.0,64.21
2018-03-12,147.1,148.45,144.5,144.8,145.6,65584.0,95.68
2018-03-09,149.55,151.5,146.35,146.6,148.45,586978.0,876.61
2018-03-08,150.05,152.8,144.55,151.5,150.5,242232.0,361.06
2018-03-07,154.75,156.9,149.25,150.0,150.95,67922.0,104.4
2018-03-06,160.1,160.15,152.2,155.7,154.55,157863.0,245.55
2018-03-05,160.2,160.45,155.45,160.0,160.0,480245.0,766.61
2018-03-01,159.35,160.85,156.5,159.95,159.8,47767.0,75.89
2018-02-28,159.5,160.95,155.0,159.95,159.9,168733.0,268.06
2018-02-27,163.9,165.85,156.2,159.0,159.0,337525.0,537.01
2018-02-26,147.0,164.0,147.0,164.0,162.25,878536.0,1403.49
2018-02-23,145.6,153.45,144.65,148.1,148.35,64025.0,95.46
2018-02-22,143.95,147.0,143.65,146.0,145.6,25587.0,37.19
2018-02-21,147.6,147.8,143.15,144.75,144.35,35447.0,51.46
2018-02-20,145.6,149.0,145.55,149.0,147.6,44534.0,65.35
2018-02-19,150.1,150.5,143.65,145.15,145.2,67139.0,98.35
2018-02-16,150.7,154.2,149.05,149.5,150.1,75581.0,114.35
2018-02-15,150.4,156.5,148.55,150.0,151.3,155044.0,238.65
2018-02-14,150.2,152.0,148.0,151.65,149.4,33445.0,50.23
2018-02-12,151.05,154.0,150.0,150.1,150.9,39923.0,60.59
2018-02-09,152.85,154.8,149.95,151.15,151.05,58751.0,89.49
2018-02-08,150.0,158.0,149.8,156.3,156.75,80716.0,123.4
2018-02-07,149.85,158.4,147.35,150.5,152.05,98250.0,148.2
2018-02-06,135.0,164.7,128.85,148.0,146.2,170146.0,237.18
2018-02-05,143.0,144.0,139.4,143.0,142.0,54432.0,77.2
2018-02-02,147.8,150.0,142.2,146.0,144.55,143553.0,208.82
2018-02-01,155.85,155.85,151.5,153.0,152.2,66080.0,100.81
2018-01-31,150.35,152.3,150.1,151.7,151.6,126786.0,192.05
2018-01-30,157.0,157.0,151.2,153.7,153.05,651174.0,996.65
2018-01-29,164.35,166.0,154.8,160.0,157.6,395732.0,626.22
2018-01-25,165.0,168.0,162.95,165.0,164.35,61053.0,100.46
2018-01-24,169.0,169.5,165.1,166.0,165.5,47312.0,79.02
2018-01-23,169.3,171.0,166.55,167.0,167.2,69421.0,117.08
2018-01-22,170.0,171.0,165.95,168.2,169.4,99364.0,167.79
2018-01-19,167.95,169.15,166.0,167.4,167.4,59538.0,99.7
2018-01-18,168.95,172.95,166.5,167.5,167.6,278807.0,470.56
2018-01-17,171.15,171.55,165.2,169.3,168.95,440586.0,744.96
2018-01-16,175.4,181.8,170.0,170.05,170.65,386227.0,683.42
2018-01-15,172.0,174.8,169.25,174.8,173.5,105427.0,181.88
2018-01-12,173.0,174.15,170.0,171.2,170.95,69742.0,119.91
2018-01-11,174.3,174.9,172.5,172.8,173.0,78462.0,136.07
2018-01-10,175.55,177.8,171.05,172.0,171.95,93625.0,162.21
2018-01-09,176.85,178.0,173.55,174.95,174.75,215132.0,378.35
2018-01-08,176.7,180.1,174.15,174.15,175.3,165072.0,290.73
2018-01-05,168.45,183.6,168.05,176.0,175.65,882669.0,1569.73
2018-01-04,169.5,171.3,168.0,168.65,168.8,133338.0,225.98
2018-01-03,167.0,171.25,167.0,169.5,169.45,112390.0,190.68
2018-01-02,168.65,170.35,164.45,167.0,166.6,49198.0,81.97
2018-01-01,170.4,171.4,167.05,168.0,167.7,100654.0,170.57
2017-12-29,171.0,174.2,168.35,169.0,170.95,324101.0,559.05
2017-12-28,168.0,169.3,167.0,168.95,168.0,187817.0,315.54
2017-12-27,169.95,169.95,167.0,167.5,168.1,85562.0,143.7
2017-12-26,164.25,170.0,164.25,168.75,168.9,103176.0,172.32
2017-12-22,165.0,170.15,165.0,165.1,165.5,215032.0,359.5
2017-12-21,167.9,170.9,165.0,165.5,165.7,78834.0,131.99
2017-12-20,163.0,168.0,162.3,168.0,166.35,151057.0,249.88
2017-12-19,160.5,164.8,159.65,164.5,163.95,59719.0,97.49
2017-12-18,159.75,162.25,157.0,158.9,159.5,87182.0,139.6
2017-12-15,162.8,163.9,157.5,159.6,159.05,68472.0,110.06
2017-12-14,164.0,164.0,158.6,161.5,160.75,56686.0,91.43
2017-12-13,165.2,165.45,161.0,162.2,162.1,1667140.0,2717.02
2017-12-12,166.0,167.15,164.0,165.5,165.2,34889.0,57.73
2017-12-11,166.45,169.8,165.2,166.0,166.0,266286.0,442.88
2017-12-08,167.35,174.9,165.35,167.0,168.4,262901.0,450.13
2017-12-07,165.0,165.6,164.2,165.0,165.05,183155.0,302.19
2017-12-06,162.5,165.8,162.5,165.0,164.9,237897.0,392.38
2017-12-05,165.7,165.7,163.15,163.15,164.8,264437.0,435.23
2017-12-04,160.7,165.9,157.2,164.05,163.75,330552.0,538.56
2017-12-01,162.05,165.0,161.45,161.5,162.95,275666.0,451.13
2017-11-30,163.45,164.7,161.2,162.8,162.8,82022.0,133.88
2017-11-29,162.5,165.25,162.5,164.3,163.45,71508.0,117.49
2017-11-28,165.15,165.5,162.9,163.0,164.1,170742.0,281.03
2017-11-27,163.5,165.2,162.8,163.95,163.9,64044.0,105.33
2017-11-24,164.9,167.45,161.35,163.0,162.7,79388.0,130.27
2017-11-23,164.05,165.5,162.0,163.1,163.1,62724.0,102.52
2017-11-22,166.55,166.55,162.1,163.0,163.25,64702.0,105.85
2017-11-21,163.4,167.05,161.6,166.25,166.55,145726.0,239.78
2017-11-20,165.9,166.8,162.5,164.25,164.45,1202289.0,1983.48
2017-11-17,163.9,166.05,162.1,165.0,165.1,134120.0,220.81
2017-11-16,156.1,162.85,154.0,161.0,161.6,182690.0,289.9
