Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,270.25,281.6,270.15,280.05,279.4,441442.0,1226.05
2018-03-12,266.25,274.9,266.25,270.0,270.25,388162.0,1051.47
2018-03-09,272.85,275.0,259.65,264.0,263.7,225145.0,605.04
2018-03-08,274.0,275.7,266.0,270.95,272.85,199966.0,544.1
2018-03-07,272.95,274.0,263.35,274.0,273.25,215471.0,580.0
2018-03-06,278.15,280.05,270.5,270.5,273.6,329082.0,912.27
2018-03-05,279.75,282.75,275.25,275.25,276.5,231766.0,644.32
2018-03-01,280.5,286.9,275.15,281.0,278.85,397783.0,1121.12
2018-02-28,282.1,283.75,278.05,280.0,279.5,224893.0,630.92
2018-02-27,290.65,292.0,282.15,283.85,284.05,272160.0,783.13
2018-02-26,292.45,296.7,288.15,289.8,289.75,426908.0,1251.93
2018-02-23,280.1,292.65,280.1,289.0,290.05,465636.0,1343.67
2018-02-22,286.0,287.0,278.65,279.1,279.35,262808.0,738.79
2018-02-21,289.0,293.0,285.2,286.0,286.65,239397.0,687.87
2018-02-20,279.6,287.9,276.7,287.5,286.65,253510.0,717.76
2018-02-19,288.1,288.1,275.55,278.0,278.05,201524.0,564.67
2018-02-16,296.75,298.0,285.0,285.0,286.0,253241.0,733.02
2018-02-15,296.0,301.45,293.0,293.8,295.25,329183.0,982.08
2018-02-14,294.95,299.0,294.25,295.1,295.7,399633.0,1184.01
2018-02-12,302.0,305.85,290.1,293.5,292.5,844576.0,2528.24
2018-02-09,284.0,305.95,282.85,296.15,297.75,1309572.0,3908.23
2018-02-08,279.4,292.5,278.0,291.25,291.4,481472.0,1388.03
2018-02-07,272.0,279.0,268.7,277.0,276.75,357335.0,977.95
2018-02-06,259.2,267.95,255.0,264.55,264.0,304099.0,799.32
2018-02-05,271.85,275.0,260.05,273.0,271.9,262387.0,705.48
2018-02-02,281.0,286.0,270.05,271.85,274.6,379771.0,1060.98
2018-02-01,285.9,293.8,274.9,284.45,282.6,713805.0,2036.4
2018-01-31,286.1,289.2,277.25,280.8,279.45,224472.0,636.56
2018-01-30,291.9,293.25,285.15,286.25,286.2,332692.0,959.61
2018-01-29,289.0,293.6,284.85,292.5,292.15,400342.0,1163.42
2018-01-25,296.9,298.4,285.85,286.5,287.4,425734.0,1240.34
2018-01-24,294.5,298.85,283.0,296.0,295.35,637537.0,1857.84
2018-01-23,292.1,298.7,287.2,295.05,294.8,653377.0,1924.04
2018-01-22,276.0,293.4,276.0,291.4,291.35,1014003.0,2896.03
2018-01-19,280.5,280.5,272.0,274.7,274.9,261766.0,719.59
2018-01-18,279.6,287.0,271.6,279.0,275.55,494865.0,1395.24
2018-01-17,274.4,284.95,267.05,278.5,277.6,528640.0,1462.91
2018-01-16,284.0,286.7,271.55,274.0,272.65,371587.0,1035.39
2018-01-15,290.4,293.55,284.0,284.8,284.95,398921.0,1144.23
2018-01-12,298.0,299.05,286.25,288.85,288.05,343627.0,1003.63
2018-01-11,294.6,299.45,292.65,296.1,296.15,443646.0,1314.36
2018-01-10,294.0,299.85,293.0,293.6,293.65,305528.0,902.49
2018-01-09,297.15,303.5,294.0,294.7,294.7,503983.0,1507.02
2018-01-08,301.3,308.0,298.0,298.65,298.8,885580.0,2655.06
2018-01-05,305.05,311.2,298.0,299.2,299.85,891303.0,2716.19
2018-01-04,309.9,318.4,304.0,304.0,305.4,1849085.0,5769.34
2018-01-03,298.95,309.9,294.25,309.8,303.85,1197720.0,3614.85
2018-01-02,299.0,300.65,290.7,298.5,297.45,440575.0,1303.56
2018-01-01,297.95,300.9,295.1,299.85,297.9,357237.0,1063.22
2017-12-29,293.0,301.45,289.6,298.0,298.15,971091.0,2887.95
2017-12-28,293.5,296.25,287.8,290.95,290.15,360537.0,1054.73
2017-12-27,295.6,302.05,291.2,293.0,292.75,678445.0,2016.08
2017-12-26,296.4,301.3,292.55,295.0,295.7,598106.0,1774.18
2017-12-22,299.6,300.35,293.1,295.0,294.15,406696.0,1205.03
2017-12-21,293.15,302.4,293.15,297.5,297.4,875253.0,2610.46
2017-12-20,302.5,302.5,290.1,292.65,293.15,793942.0,2340.8
2017-12-19,298.85,305.5,297.65,301.95,300.0,1084334.0,3268.34
2017-12-18,287.0,312.95,262.0,297.0,296.6,3746633.0,11223.68
2017-12-15,274.8,297.7,273.15,294.4,294.2,3666376.0,10526.4
2017-12-14,273.9,278.9,266.1,272.0,272.1,1135521.0,3087.77
2017-12-13,260.2,280.8,259.5,272.1,271.55,4237130.0,11606.67
2017-12-12,266.0,266.5,256.3,260.0,259.9,1451192.0,3783.3
2017-12-11,245.7,272.75,245.7,267.45,267.85,4796703.0,12654.78
2017-12-08,248.95,252.0,242.9,243.15,243.7,718459.0,1778.9
2017-12-07,246.65,249.7,245.05,247.5,247.6,336852.0,833.29
2017-12-06,245.75,251.7,244.0,245.55,244.85,506217.0,1247.29
2017-12-05,245.9,254.4,243.2,245.0,244.35,1307355.0,3250.17
2017-12-04,243.8,249.0,240.4,242.0,242.1,365241.0,892.37
2017-12-01,242.8,251.0,241.0,242.5,241.8,524587.0,1286.14
2017-11-30,238.25,245.0,234.7,241.3,240.65,500735.0,1207.99
2017-11-29,237.6,240.0,235.8,237.3,237.45,235989.0,560.68
2017-11-28,237.25,241.95,236.0,237.0,236.8,276965.0,661.46
2017-11-27,240.7,240.7,235.2,237.2,237.25,202889.0,482.8
2017-11-24,242.8,243.0,238.35,240.0,240.7,340412.0,817.23
2017-11-23,242.1,245.0,237.2,241.15,241.0,425140.0,1028.56
2017-11-22,237.0,246.0,237.0,241.45,240.55,865048.0,2093.62
2017-11-21,234.1,239.5,234.1,236.0,236.3,1233871.0,2931.68
2017-11-20,233.95,237.5,231.55,233.2,233.65,355497.0,831.97
2017-11-17,238.3,243.15,233.6,233.8,233.9,360886.0,853.64
2017-11-16,233.1,242.15,233.1,237.55,236.9,589307.0,1404.08
2017-11-15,243.8,243.8,230.85,232.5,232.9,348022.0,824.37
2017-11-14,243.55,249.9,239.95,240.55,241.4,312288.0,760.6
2017-11-13,249.1,253.8,242.1,244.7,243.55,286715.0,708.15
2017-11-10,253.0,253.2,248.2,250.5,250.1,299230.0,750.86
2017-11-09,260.75,262.95,250.8,255.0,254.65,380417.0,977.95
2017-11-08,264.9,266.0,256.55,258.4,258.45,570849.0,1484.41
2017-11-07,271.0,276.7,253.45,257.9,256.9,1197751.0,3188.9
2017-11-06,278.0,289.65,265.35,265.75,267.8,2763351.0,7719.88
2017-11-03,274.0,286.55,274.0,277.25,276.9,730484.0,2044.53
2017-11-02,270.0,273.8,268.95,270.9,271.4,184419.0,501.35
2017-11-01,271.3,271.3,266.3,270.0,269.15,205165.0,552.64
2017-10-31,270.0,274.0,269.25,270.85,270.85,159692.0,433.81
2017-10-30,269.15,277.9,265.8,270.0,270.25,435019.0,1190.33
2017-10-27,269.0,272.5,263.0,263.1,264.3,72123.0,192.7
2017-10-26,271.4,276.0,268.0,268.6,269.75,127306.0,344.39
2017-10-25,276.0,277.45,268.1,269.6,269.1,72353.0,196.36
2017-10-24,276.0,278.5,273.0,275.4,275.1,125583.0,346.97
2017-10-23,281.0,281.0,272.5,273.5,275.35,180383.0,497.95
2017-10-19,272.0,274.8,271.0,273.45,272.85,122525.0,334.77
2017-10-18,267.1,273.95,262.8,270.9,269.0,192943.0,518.99
2017-10-17,273.0,274.4,266.0,267.8,268.45,205239.0,555.68
2017-10-16,266.4,276.6,265.5,273.5,271.8,436355.0,1182.01
2017-10-13,268.1,271.95,262.0,262.8,262.8,178672.0,475.17
2017-10-12,257.0,274.0,257.0,268.9,268.55,872986.0,2332.27
2017-10-11,253.45,264.0,253.45,255.95,255.7,458257.0,1185.44
2017-10-10,257.95,258.7,251.0,253.2,253.6,339118.0,857.85
2017-10-09,259.0,263.5,254.1,256.1,256.75,131371.0,338.64
2017-10-06,262.0,265.0,257.15,262.0,261.9,286647.0,749.05
2017-10-05,265.0,267.75,259.1,262.75,261.5,964085.0,2532.43
2017-10-04,248.25,258.8,248.25,258.0,256.4,509598.0,1302.58
2017-10-03,246.1,248.65,239.9,245.55,247.15,100888.0,246.21
2017-09-29,234.85,249.9,234.85,247.5,245.9,397299.0,974.59
2017-09-28,235.1,237.75,230.0,231.1,232.85,57164.0,133.51
2017-09-27,240.1,247.0,231.5,235.0,235.65,106554.0,256.04
2017-09-26,232.0,239.0,229.8,238.95,237.65,252967.0,590.73
2017-09-25,238.0,238.0,226.05,233.5,230.5,133046.0,307.46
2017-09-22,250.9,251.5,235.6,237.05,238.85,163082.0,393.79
2017-09-21,243.8,249.9,242.0,243.95,243.75,86755.0,212.85
2017-09-20,249.4,249.4,243.0,244.0,243.8,64551.0,158.0
2017-09-19,248.85,249.9,246.0,247.9,247.3,75026.0,185.61
2017-09-18,248.2,251.4,246.1,247.2,248.3,75843.0,188.96
2017-09-15,249.0,251.3,244.0,248.5,246.8,122914.0,304.84
2017-09-14,249.0,255.85,247.05,249.0,249.7,131333.0,330.43
2017-09-13,252.0,256.4,245.8,247.0,247.9,173890.0,436.78
2017-09-12,247.9,260.0,247.9,249.0,250.4,360881.0,911.61
2017-09-11,247.0,249.0,245.9,246.05,247.15,83328.0,206.17
2017-09-08,247.0,248.95,244.0,245.55,246.25,95777.0,236.14
2017-09-07,248.0,249.0,245.0,245.5,246.15,48394.0,119.34
2017-09-06,246.0,248.15,245.7,246.0,246.6,72656.0,179.77
2017-09-05,250.75,250.75,246.0,249.5,249.4,289209.0,719.85
2017-09-04,254.25,256.4,242.5,250.0,248.45,142095.0,353.18
2017-09-01,256.0,260.85,251.6,251.75,253.1,214309.0,550.72
2017-08-31,246.5,262.1,243.1,254.5,254.6,228528.0,580.5
2017-08-30,245.15,247.25,244.0,246.3,246.25,39133.0,96.19
2017-08-29,253.0,253.0,242.6,242.9,243.05,77971.0,192.19
2017-08-28,238.15,250.5,238.15,248.9,245.55,128401.0,312.99
2017-08-24,237.5,244.9,237.5,242.0,241.15,93372.0,225.49
2017-08-23,238.0,239.95,236.3,238.0,238.2,64808.0,154.39
2017-08-22,238.5,240.4,235.0,236.15,237.5,52705.0,124.84
2017-08-21,236.0,239.8,235.65,236.1,237.2,61378.0,145.87
2017-08-18,234.5,238.5,232.05,235.0,235.75,59513.0,140.01
2017-08-17,239.7,240.4,234.8,235.7,235.85,87909.0,208.48
2017-08-16,238.05,240.4,234.6,238.5,238.25,85768.0,203.63
2017-08-14,235.35,241.65,235.35,239.75,237.65,93529.0,222.55
2017-08-11,225.0,239.45,225.0,234.5,236.1,188152.0,438.79
2017-08-10,238.1,239.05,219.95,228.75,224.35,230150.0,531.29
2017-08-09,246.0,248.35,238.0,242.0,240.9,216491.0,529.06
2017-08-08,251.0,254.0,245.4,246.6,248.25,158780.0,398.61
2017-08-07,253.95,256.4,250.0,250.55,250.8,119151.0,300.43
2017-08-04,254.1,255.55,251.0,253.6,253.5,105312.0,266.93
2017-08-03,252.8,259.15,251.6,254.0,252.85,157064.0,400.47
2017-08-02,249.4,262.0,247.0,253.85,253.9,344237.0,881.29
2017-08-01,247.8,252.4,247.0,248.25,249.2,135941.0,339.67
2017-07-31,248.75,249.45,245.5,246.0,247.1,111819.0,276.62
2017-07-28,246.9,253.45,245.5,247.0,247.3,120021.0,298.79
2017-07-27,255.0,258.4,246.5,247.8,248.05,220355.0,556.1
2017-07-26,256.5,265.0,250.1,253.0,253.45,599032.0,1546.28
2017-07-25,253.0,257.5,247.6,256.55,256.25,263306.0,665.02
2017-07-24,255.45,257.85,251.0,253.0,253.35,266320.0,678.62
2017-07-21,250.3,259.9,248.15,254.0,253.3,916778.0,2344.81
2017-07-20,245.7,255.0,245.7,247.7,249.3,772364.0,1940.15
2017-07-19,235.3,246.0,235.3,245.0,244.45,239814.0,579.52
2017-07-18,236.9,240.0,231.35,235.9,235.4,124605.0,295.18
2017-07-17,235.0,238.85,234.55,236.5,236.35,86954.0,205.91
2017-07-14,237.65,240.1,233.0,237.95,236.7,120556.0,285.44
2017-07-13,232.7,243.1,232.7,240.0,238.8,346521.0,830.76
2017-07-12,235.0,237.3,232.1,233.05,233.7,185058.0,433.94
2017-07-11,236.0,236.0,232.2,234.45,234.1,129804.0,304.26
2017-07-10,230.9,237.0,230.9,231.0,232.2,24119.0,56.18
2017-07-07,234.05,235.15,231.65,232.5,232.95,121206.0,282.75
2017-07-06,227.45,235.3,226.25,233.3,232.0,586640.0,1357.0
2017-07-05,217.0,227.0,216.2,226.0,225.35,323357.0,723.59
2017-07-04,217.5,218.65,215.0,218.0,217.0,121402.0,262.81
2017-07-03,216.0,219.9,216.0,218.2,218.3,96785.0,210.9
2017-06-30,218.0,219.4,215.05,215.9,216.1,111466.0,241.74
2017-06-29,219.6,221.0,216.9,218.2,218.25,184223.0,403.83
2017-06-28,208.0,219.25,206.1,219.0,217.5,651551.0,1374.05
2017-06-27,214.4,214.4,206.0,208.0,208.05,169271.0,353.25
2017-06-23,216.0,217.55,210.5,212.4,212.3,280685.0,596.75
2017-06-22,219.55,227.5,213.7,214.2,215.75,1705589.0,3792.35
2017-06-21,219.95,220.3,217.25,217.25,217.9,165866.0,362.93
2017-06-20,219.25,221.4,217.0,219.35,220.6,235623.0,518.23
2017-06-19,220.0,222.0,217.0,218.0,217.9,163544.0,359.18
2017-06-16,227.95,228.1,212.65,217.0,216.15,401025.0,877.4
2017-06-15,226.6,231.0,225.8,226.5,227.05,86544.0,197.64
2017-06-14,229.1,230.1,226.0,229.0,228.2,57940.0,132.1
2017-06-13,228.1,231.85,226.3,229.1,230.2,85054.0,194.56
2017-06-12,229.0,232.9,227.0,227.0,227.35,160016.0,367.13
2017-06-09,234.65,236.0,228.4,229.7,229.8,234696.0,545.41
2017-06-08,233.85,234.65,232.0,232.6,232.95,107211.0,250.58
2017-06-07,235.55,235.55,232.45,232.55,233.6,62055.0,145.1
2017-06-06,238.0,238.45,234.1,234.65,235.55,64517.0,152.28
2017-06-05,235.25,240.0,234.5,237.3,237.9,74917.0,177.73
2017-06-02,238.0,238.5,234.0,235.35,235.8,94513.0,223.21
2017-06-01,239.75,241.8,236.35,236.7,237.25,81684.0,195.05
2017-05-31,237.5,244.85,236.0,237.5,237.4,92148.0,221.39
2017-05-30,255.0,255.0,231.3,237.05,238.25,315445.0,752.44
2017-05-29,245.0,250.95,243.0,248.8,248.65,193830.0,481.62
2017-05-26,240.35,249.15,238.15,248.7,248.05,122080.0,300.43
2017-05-25,238.0,242.0,237.3,240.8,240.4,60933.0,146.27
2017-05-24,241.05,241.05,234.0,237.25,236.2,70588.0,167.84
2017-05-23,248.25,248.25,236.05,241.0,241.8,129676.0,311.36
2017-05-22,243.8,251.8,243.05,246.55,247.85,188587.0,468.64
2017-05-19,246.0,248.85,240.1,243.9,241.9,111855.0,272.37
2017-05-18,246.5,250.5,241.2,241.5,244.65,81207.0,201.27
2017-05-17,250.35,252.0,246.5,250.0,249.3,73279.0,182.65
2017-05-16,250.0,253.2,248.1,249.3,249.75,161831.0,405.57
2017-05-15,246.4,250.1,245.3,250.0,249.75,148158.0,367.89
2017-05-12,248.1,250.0,243.5,244.7,244.45,109674.0,270.26
2017-05-11,251.75,252.5,245.5,248.65,248.25,108580.0,269.78
2017-05-10,256.0,257.7,249.0,249.0,249.65,176240.0,445.78
2017-05-09,249.35,256.5,249.0,254.35,254.85,612517.0,1558.06
2017-05-08,241.0,254.95,239.05,248.5,249.35,344360.0,859.1
2017-05-05,237.35,241.35,235.0,240.0,240.2,161643.0,384.22
2017-05-04,238.45,239.8,235.1,237.0,236.9,87061.0,206.56
2017-05-03,241.0,243.2,236.8,237.1,237.85,65515.0,156.97
2017-05-02,245.4,245.7,235.75,240.0,238.75,131026.0,314.06
2017-04-28,252.0,252.2,240.5,243.5,243.45,356612.0,869.74
2017-04-27,249.05,252.25,247.65,249.4,250.5,172847.0,432.19
2017-04-26,245.65,252.0,243.0,246.95,246.6,620104.0,1538.55
2017-04-25,251.95,254.0,245.75,247.0,246.9,145636.0,361.94
2017-04-24,248.6,250.3,243.6,250.0,245.45,538782.0,1325.73
2017-04-21,247.5,251.4,247.0,248.0,247.8,336467.0,838.74
2017-04-20,253.3,254.9,247.5,247.5,248.6,227649.0,573.49
2017-04-19,244.45,254.8,243.0,250.0,250.55,482295.0,1208.96
2017-04-18,253.45,253.45,242.55,243.35,244.35,202346.0,498.81
2017-04-17,248.0,252.2,245.0,251.0,250.2,128083.0,317.52
2017-04-13,247.05,252.0,247.0,248.9,247.95,164865.0,411.53
2017-04-12,252.0,254.85,244.5,246.8,246.65,211059.0,522.66
2017-04-11,249.0,252.9,247.0,252.6,251.6,474320.0,1189.14
2017-04-10,244.95,250.9,242.75,249.6,249.6,345794.0,860.83
2017-04-07,241.8,254.7,238.5,244.5,243.9,509439.0,1255.4
