Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,825.0,867.0,820.5,849.9,849.95,508220.0,4309.14
2018-03-12,833.15,836.7,822.8,827.05,826.5,377461.0,3137.61
2018-03-09,836.05,841.55,817.0,823.95,820.35,80582.0,664.82
2018-03-08,841.65,848.6,820.2,836.05,833.8,70307.0,586.95
2018-03-07,829.0,851.0,822.7,840.0,836.15,155853.0,1305.97
2018-03-06,834.0,848.6,822.8,824.0,834.2,165157.0,1375.27
2018-03-05,831.0,834.0,814.95,823.0,821.05,133943.0,1104.29
2018-03-01,854.9,864.0,829.85,830.35,834.8,97931.0,832.98
2018-02-28,836.65,860.0,820.1,856.0,855.25,276190.0,2342.32
2018-02-27,866.0,878.0,835.55,839.85,847.3,607962.0,5269.13
2018-02-26,832.0,875.0,823.95,863.0,867.65,843558.0,7131.44
2018-02-23,783.1,827.8,783.1,822.95,821.8,818220.0,6651.79
2018-02-22,767.7,799.45,764.0,780.15,782.35,348034.0,2743.95
2018-02-21,751.25,778.8,747.05,754.25,759.05,76259.0,582.85
2018-02-20,754.95,755.6,742.0,749.05,749.55,66034.0,495.1
2018-02-19,763.05,768.6,741.0,747.55,749.45,60968.0,458.81
2018-02-16,782.0,783.9,760.0,764.0,764.35,48859.0,378.04
2018-02-15,799.0,799.9,770.1,780.0,775.4,58023.0,457.81
2018-02-14,786.45,800.0,785.55,791.2,793.75,67204.0,534.0
2018-02-12,798.9,800.0,780.0,785.0,783.3,78955.0,625.26
2018-02-09,779.0,800.9,770.0,798.0,796.3,130234.0,1032.39
2018-02-08,758.0,799.8,758.0,787.0,794.1,409554.0,3247.03
2018-02-07,784.6,790.0,750.2,764.0,758.85,53521.0,412.98
2018-02-06,758.7,790.95,730.0,775.0,784.6,258039.0,1984.29
2018-02-05,746.3,784.45,746.3,768.35,770.4,66014.0,512.45
2018-02-02,786.0,802.75,650.0,779.55,784.3,261413.0,2037.99
2018-02-01,787.85,792.5,770.0,790.7,784.15,274247.0,2149.65
2018-01-31,781.05,799.8,778.55,780.0,787.85,646927.0,5120.74
2018-01-30,789.0,795.95,774.0,782.0,780.55,205287.0,1616.87
2018-01-29,800.0,815.0,770.0,788.1,782.1,809556.0,6433.08
2018-01-25,783.0,795.5,777.1,790.0,790.65,336861.0,2666.82
2018-01-24,796.8,801.0,776.0,787.9,789.95,277289.0,2193.35
2018-01-23,796.85,817.6,790.0,792.5,793.75,238518.0,1920.26
2018-01-22,772.7,818.0,753.85,798.0,788.9,716817.0,5725.99
2018-01-19,747.0,774.9,747.0,770.0,769.1,143252.0,1090.79
2018-01-18,767.25,776.05,744.85,744.9,752.3,90333.0,687.41
2018-01-17,758.15,784.9,755.0,768.0,770.25,244373.0,1884.32
2018-01-16,750.0,770.0,745.9,766.0,754.15,300220.0,2269.7
2018-01-15,777.0,792.0,743.25,744.8,746.45,154430.0,1184.68
2018-01-12,754.95,784.1,750.9,769.0,779.6,441130.0,3402.5
2018-01-11,752.9,755.0,746.1,751.6,751.5,352401.0,2647.71
2018-01-10,746.9,750.0,736.0,745.0,743.85,419518.0,3118.51
2018-01-09,721.8,748.2,718.1,744.5,742.6,486024.0,3575.87
2018-01-08,722.0,730.0,710.2,716.0,718.6,252901.0,1828.04
2018-01-05,710.0,725.4,709.95,719.2,719.6,382387.0,2752.5
2018-01-04,697.05,714.5,694.1,708.0,708.5,246895.0,1743.41
2018-01-03,705.1,709.95,693.65,694.2,696.0,53701.0,376.58
2018-01-02,717.0,719.35,702.35,708.0,709.15,218408.0,1549.24
2018-01-01,720.0,726.0,705.05,714.0,711.8,101524.0,728.02
2017-12-29,706.0,723.05,699.8,716.45,718.0,210920.0,1503.68
2017-12-28,679.2,717.0,679.2,699.8,697.4,320056.0,2260.91
2017-12-27,688.25,705.0,676.25,680.0,680.9,307369.0,2143.22
2017-12-26,652.0,699.75,649.0,691.0,692.4,395920.0,2673.6
2017-12-22,650.0,651.5,648.0,649.05,649.9,62768.0,407.88
2017-12-21,647.05,653.4,647.05,650.0,649.5,75985.0,493.1
2017-12-20,656.0,657.0,646.0,648.7,647.15,37850.0,245.36
2017-12-19,647.0,656.4,647.0,651.0,654.4,60966.0,397.74
2017-12-18,640.0,650.0,638.0,646.7,648.15,14476.0,93.68
2017-12-15,641.55,650.35,641.55,646.35,648.65,46375.0,301.26
2017-12-14,640.3,650.8,640.0,649.1,649.55,30491.0,197.6
2017-12-13,646.05,653.35,640.0,642.0,641.7,55884.0,362.83
2017-12-12,647.05,650.5,645.7,646.85,645.85,121946.0,789.94
2017-12-11,648.0,651.0,645.0,649.0,649.05,34153.0,221.78
2017-12-08,647.2,650.0,642.0,646.0,646.3,54042.0,349.54
2017-12-07,652.0,655.95,638.0,647.1,647.2,92713.0,597.59
2017-12-06,646.0,650.0,643.5,647.05,649.0,35734.0,231.18
2017-12-05,657.5,657.5,646.0,649.0,648.2,30434.0,198.31
