Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,26.3,27.2,26.1,26.8,26.75,1306757.0,350.26
2018-03-12,27.0,27.25,25.7,26.45,26.2,1648514.0,431.43
2018-03-09,27.2,27.85,26.75,26.95,26.9,1216894.0,332.16
2018-03-08,28.5,28.75,26.1,27.15,27.05,3000809.0,816.91
2018-03-07,29.55,29.6,28.0,28.45,28.25,1469101.0,418.43
2018-03-06,29.9,30.2,29.3,29.4,29.5,552173.0,164.37
2018-03-05,29.85,30.05,29.6,29.85,29.7,1156915.0,344.35
2018-03-01,30.45,30.45,29.8,30.0,29.9,1070452.0,322.22
2018-02-28,30.4,30.5,30.05,30.2,30.15,1260653.0,381.39
2018-02-27,30.8,31.15,30.45,30.55,30.6,1017550.0,313.04
2018-02-26,31.3,31.8,30.55,30.7,30.75,1485240.0,462.69
2018-02-23,30.5,31.35,30.35,31.25,31.25,1056939.0,326.15
2018-02-22,30.15,30.9,30.05,30.5,30.4,1079097.0,328.33
2018-02-21,31.55,31.55,30.15,30.35,30.35,1523465.0,467.21
2018-02-20,31.35,31.7,31.05,31.25,31.25,679809.0,213.0
2018-02-19,31.35,31.85,31.15,31.4,31.35,1213062.0,381.85
2018-02-16,33.15,33.35,32.15,32.4,32.35,810865.0,264.41
2018-02-15,33.65,33.85,32.9,33.15,33.1,1053393.0,351.43
2018-02-14,34.5,34.5,33.25,33.3,33.4,1270986.0,428.37
2018-02-12,33.95,34.55,33.5,34.25,34.25,733023.0,250.23
2018-02-09,33.1,33.65,33.05,33.6,33.5,654585.0,218.47
2018-02-08,33.75,34.1,33.2,33.55,33.55,823582.0,277.22
2018-02-07,33.0,33.5,33.0,33.2,33.2,816765.0,271.3
2018-02-06,32.5,32.95,32.1,32.6,32.55,1369470.0,445.28
2018-02-05,32.75,34.9,32.45,33.85,33.75,1329817.0,444.95
2018-02-02,34.3,34.5,32.75,33.5,33.35,1647037.0,553.22
2018-02-01,34.8,35.25,34.5,34.6,34.7,914446.0,318.76
2018-01-31,35.05,35.4,34.8,34.95,34.9,919094.0,321.68
2018-01-30,35.55,35.7,35.05,35.1,35.15,855344.0,301.94
2018-01-29,36.05,36.65,35.4,35.5,35.55,1131056.0,406.83
2018-01-25,36.6,36.6,35.8,36.0,35.9,954093.0,344.53
2018-01-24,36.7,36.75,36.2,36.3,36.25,693025.0,251.91
2018-01-23,36.65,36.9,36.5,36.5,36.55,928679.0,340.78
2018-01-22,36.85,37.1,36.55,36.7,36.65,826834.0,303.84
2018-01-19,37.15,37.4,36.6,36.65,36.65,903921.0,332.58
2018-01-18,37.7,38.1,36.65,36.8,36.85,1453037.0,542.57
2018-01-17,37.15,37.65,36.5,37.35,37.4,1248293.0,464.88
2018-01-16,38.55,38.7,37.0,37.2,37.2,2551752.0,957.27
2018-01-15,37.8,38.85,37.5,38.4,38.4,2886825.0,1105.01
2018-01-12,38.0,38.4,36.9,37.55,37.5,2038712.0,768.97
2018-01-11,36.6,38.2,36.5,37.75,37.75,2766678.0,1039.96
2018-01-10,37.3,37.5,36.25,36.6,36.6,2203845.0,810.0
2018-01-09,37.95,38.0,36.95,37.25,37.35,2215760.0,829.28
2018-01-08,38.25,38.5,37.55,37.75,37.75,2098723.0,798.43
2018-01-05,37.95,38.8,37.95,38.25,38.15,2067622.0,790.78
2018-01-04,37.8,38.25,37.55,37.85,37.85,1935064.0,734.44
2018-01-03,37.6,38.1,37.35,37.55,37.5,1043621.0,393.37
2018-01-02,37.85,38.15,36.9,37.6,37.5,1521963.0,571.28
2018-01-01,37.9,38.4,37.6,37.8,37.85,2127885.0,809.75
2017-12-29,36.8,37.65,36.8,37.4,37.3,1702597.0,634.18
2017-12-28,37.0,37.15,36.5,36.8,36.75,802113.0,294.7
2017-12-27,36.8,37.45,36.65,36.85,36.8,1746423.0,648.67
2017-12-26,36.6,37.0,36.6,36.85,36.9,1065796.0,392.2
2017-12-22,36.55,37.2,36.4,36.55,36.55,1893899.0,695.6
2017-12-21,35.55,36.5,35.5,36.4,36.3,2250082.0,813.91
2017-12-20,35.45,35.8,35.3,35.4,35.4,1303372.0,463.27
2017-12-19,35.75,36.15,35.25,35.35,35.35,1471286.0,523.78
2017-12-18,35.0,35.6,34.7,35.45,35.3,987789.0,349.88
2017-12-15,35.7,36.1,35.25,35.45,35.4,883351.0,314.99
2017-12-14,34.9,35.8,34.65,35.6,35.55,1250997.0,440.97
2017-12-13,35.4,35.6,34.6,34.9,34.8,1367581.0,480.14
2017-12-12,36.1,36.35,35.25,35.4,35.35,1361985.0,484.43
2017-12-11,36.65,36.75,36.0,36.1,36.05,790446.0,287.51
2017-12-08,36.4,36.9,36.2,36.35,36.35,893313.0,326.51
2017-12-07,36.2,36.35,35.9,36.2,36.15,611562.0,221.11
2017-12-06,35.8,36.4,35.5,36.05,36.0,1044286.0,376.09
2017-12-05,35.8,35.9,35.3,35.5,35.45,1386264.0,493.05
2017-12-04,36.65,36.85,35.6,35.9,35.8,1658222.0,598.76
2017-12-01,37.0,37.25,36.55,36.65,36.65,1031991.0,380.46
2017-11-30,37.15,37.4,36.7,37.0,37.0,1850220.0,685.4
2017-11-29,36.9,37.45,36.9,37.25,37.15,1303330.0,484.2
2017-11-28,37.05,37.2,36.8,36.9,36.9,1037741.0,383.61
2017-11-27,36.95,37.2,36.75,37.1,37.0,1035332.0,383.26
2017-11-24,36.8,37.2,36.6,36.9,36.95,1557487.0,574.14
2017-11-23,37.1,37.2,36.6,36.8,36.65,1542819.0,567.66
2017-11-22,37.25,37.45,36.7,37.1,37.0,1186768.0,438.99
2017-11-21,36.95,37.4,36.85,37.25,37.15,2112749.0,785.27
2017-11-20,36.8,37.2,36.55,36.8,36.75,1770156.0,652.67
2017-11-17,37.35,37.45,36.65,36.8,36.8,1865655.0,691.2
2017-11-16,36.8,37.2,36.0,36.75,36.7,2565499.0,940.13
2017-11-15,36.7,37.45,36.25,36.75,36.7,2207236.0,813.94
2017-11-14,37.9,37.9,36.15,36.85,36.75,6647534.0,2457.66
2017-11-13,40.3,40.8,39.7,39.95,39.85,1447623.0,581.73
2017-11-10,40.85,41.25,40.1,40.4,40.3,1312642.0,533.21
