Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,160.0,165.25,156.85,157.4,158.1,233176.0,375.68
2018-03-12,156.2,162.0,152.6,160.0,160.0,384342.0,613.55
2018-03-09,158.1,160.75,153.0,154.55,155.15,92039.0,144.75
2018-03-08,155.1,160.9,153.5,158.1,158.05,103526.0,163.18
2018-03-07,160.3,160.75,147.4,154.75,154.8,254657.0,393.27
2018-03-06,165.45,165.45,160.5,160.5,161.75,105978.0,173.38
2018-03-05,162.25,166.0,161.15,162.75,163.0,60372.0,98.5
2018-03-01,164.8,168.0,163.4,163.9,163.8,74623.0,122.86
2018-02-28,166.0,167.7,162.3,164.5,164.85,200699.0,330.09
2018-02-27,167.0,168.3,163.0,166.3,167.25,297006.0,492.08
2018-02-26,169.9,170.0,163.3,165.0,164.5,160706.0,268.32
2018-02-23,165.0,169.4,164.2,166.05,166.6,115737.0,193.08
2018-02-22,166.5,166.95,162.5,164.2,163.8,158887.0,260.91
2018-02-21,168.1,168.15,165.2,167.4,167.0,79860.0,132.98
2018-02-20,166.95,168.65,163.55,166.1,167.9,143514.0,239.46
2018-02-19,168.1,169.4,161.65,168.0,165.0,161449.0,265.89
2018-02-16,176.0,176.75,166.0,169.0,168.35,133122.0,227.33
2018-02-15,179.7,182.85,171.1,172.5,172.8,324527.0,575.05
2018-02-14,175.9,180.0,174.15,178.5,177.9,93842.0,167.07
2018-02-12,177.9,177.9,171.55,174.7,174.15,112055.0,195.13
2018-02-09,164.0,174.5,163.1,171.6,172.6,94000.0,160.76
2018-02-08,170.9,171.9,168.35,169.0,169.0,107002.0,182.22
2018-02-07,166.8,171.0,165.0,166.0,166.7,152808.0,257.19
2018-02-06,160.0,163.5,155.0,161.15,161.45,532793.0,856.84
2018-02-05,170.0,178.75,161.0,168.85,167.85,263198.0,444.58
2018-02-02,180.0,180.75,164.1,176.05,175.3,173715.0,304.26
2018-02-01,182.0,188.0,180.3,184.95,185.0,185319.0,341.72
2018-01-31,184.3,188.0,179.0,180.0,180.8,123372.0,224.75
2018-01-30,185.95,192.4,183.45,184.0,184.3,171602.0,321.15
2018-01-29,194.6,194.6,182.55,184.0,184.3,202897.0,385.82
2018-01-25,197.0,197.0,188.8,191.3,191.2,89164.0,170.73
2018-01-24,193.0,195.0,189.2,194.0,194.05,93081.0,179.35
2018-01-23,190.25,199.0,190.25,193.5,192.85,316865.0,613.51
2018-01-22,191.1,196.75,190.2,191.15,192.3,98963.0,190.89
2018-01-19,192.8,193.45,189.2,192.5,191.0,104633.0,199.62
2018-01-18,195.9,195.9,190.25,191.2,192.5,271130.0,522.88
2018-01-17,186.0,196.8,181.0,192.1,193.6,323524.0,616.96
2018-01-16,195.7,196.9,185.3,188.35,187.8,491010.0,930.91
2018-01-15,199.5,206.0,191.15,195.0,193.55,412144.0,821.47
2018-01-12,198.95,203.55,197.25,197.4,197.55,302232.0,603.62
2018-01-11,200.9,204.0,196.0,197.15,198.0,1664602.0,3338.19
2018-01-10,201.85,202.5,197.0,198.0,198.1,171576.0,341.9
2018-01-09,202.5,206.0,199.6,201.0,200.85,195314.0,394.48
2018-01-08,205.0,207.35,200.3,200.5,201.15,155523.0,316.38
2018-01-05,207.0,212.95,204.25,205.0,205.55,311683.0,648.62
2018-01-04,207.45,207.8,203.05,206.1,206.05,1161704.0,2382.39
2018-01-03,211.65,211.75,205.0,205.75,205.5,217813.0,451.67
2018-01-02,212.45,213.7,203.1,208.6,209.65,415873.0,867.27
2018-01-01,202.5,215.45,202.0,209.3,211.5,471499.0,995.72
2017-12-29,208.7,210.6,202.15,202.95,203.6,251493.0,516.08
2017-12-28,213.65,214.2,207.0,208.9,208.7,203748.0,427.48
2017-12-27,217.8,220.6,207.1,212.0,212.15,269169.0,579.69
2017-12-26,213.75,228.3,210.05,216.95,217.2,1414552.0,3127.23
2017-12-22,197.0,216.8,196.95,213.0,213.25,1115669.0,2321.68
2017-12-21,196.0,200.0,193.1,196.9,195.3,251382.0,496.9
2017-12-20,189.0,198.95,187.0,196.3,196.0,550266.0,1066.68
2017-12-19,184.0,191.5,181.15,190.7,189.15,437183.0,816.3
