Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,77.7,79.9,77.0,79.05,78.35,795314.0,624.47
2018-03-12,79.5,79.9,76.45,77.9,77.55,737665.0,572.19
2018-03-09,81.1,82.15,77.9,77.95,78.2,663746.0,530.18
2018-03-08,82.65,83.2,78.55,79.8,80.75,882573.0,710.89
2018-03-07,84.1,84.65,82.0,82.15,82.3,733526.0,607.17
2018-03-06,89.25,89.85,83.65,84.4,84.85,467440.0,408.11
2018-03-05,90.3,90.8,88.0,88.3,88.45,408156.0,363.35
2018-03-01,91.15,92.25,90.1,90.65,90.8,447104.0,407.92
2018-02-28,91.7,91.7,89.7,90.85,90.75,423669.0,385.29
2018-02-27,92.5,94.35,92.3,92.55,92.75,1949437.0,1816.19
2018-02-26,91.8,91.9,90.0,90.1,90.2,435155.0,394.88
2018-02-23,89.9,91.5,89.9,90.9,90.95,486651.0,442.0
2018-02-22,88.4,91.6,87.1,89.7,89.65,973412.0,873.55
2018-02-21,91.0,91.15,88.25,88.4,88.75,405236.0,361.57
2018-02-20,89.4,91.6,88.5,90.15,90.1,616854.0,556.76
2018-02-19,92.5,92.65,89.0,89.0,89.55,595967.0,537.84
2018-02-16,93.85,94.8,91.55,92.75,92.3,745576.0,692.53
2018-02-15,97.25,99.35,92.55,93.25,93.25,1280789.0,1225.07
2018-02-14,98.5,102.9,95.7,96.0,96.8,1636773.0,1633.97
2018-02-12,95.7,99.7,95.65,97.6,97.75,1380031.0,1354.44
2018-02-09,94.1,95.85,93.65,94.85,94.95,891301.0,846.97
2018-02-08,95.5,98.15,94.4,97.8,97.35,1279025.0,1236.1
2018-02-07,94.5,98.0,93.6,94.5,94.8,2978261.0,2851.81
2018-02-06,90.2,94.5,87.5,90.7,91.7,2198136.0,2021.0
2018-02-05,94.55,98.45,94.0,96.25,96.2,1745094.0,1682.75
2018-02-02,102.7,102.7,93.6,100.0,100.2,2062627.0,2030.97
2018-02-01,107.0,109.25,102.8,103.85,103.95,1385294.0,1473.76
2018-01-31,104.3,107.95,104.3,106.55,106.65,894605.0,951.37
2018-01-30,110.0,110.45,105.55,106.0,105.9,964226.0,1033.26
2018-01-29,112.0,113.8,109.55,110.65,110.7,1141150.0,1274.74
