Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,116.6,120.5,116.3,118.1,117.85,721673.0,852.85
2018-03-12,116.55,119.2,115.0,115.8,116.5,637618.0,744.21
2018-03-09,120.0,120.85,115.3,115.85,115.75,313609.0,369.87
2018-03-08,117.0,120.5,114.5,120.0,120.0,456622.0,537.99
2018-03-07,123.0,123.0,115.4,115.95,115.9,573571.0,676.33
2018-03-06,125.0,129.5,121.35,123.0,122.3,644919.0,810.99
2018-03-05,125.0,126.9,121.8,124.6,123.95,408491.0,505.96
2018-03-01,126.0,129.3,125.2,127.35,126.65,505911.0,645.34
2018-02-28,122.4,127.8,119.25,126.0,126.35,753907.0,935.76
2018-02-27,128.1,128.45,120.95,122.6,122.85,436074.0,540.58
2018-02-26,126.9,128.5,126.05,127.6,127.7,724139.0,921.24
2018-02-23,124.5,126.15,123.5,126.0,125.85,595233.0,746.62
2018-02-22,125.0,126.0,123.25,124.3,124.4,333311.0,415.26
2018-02-21,123.55,127.15,122.05,125.1,125.05,890821.0,1107.75
2018-02-20,117.95,124.2,117.0,122.75,122.7,634811.0,771.46
2018-02-19,123.5,123.5,116.15,118.4,118.6,758722.0,902.61
2018-02-16,126.5,128.65,121.25,123.15,123.0,785561.0,983.38
2018-02-15,139.5,139.7,123.1,125.7,125.35,1526670.0,1975.69
2018-02-14,136.3,144.65,135.8,137.8,138.3,3530326.0,4985.39
2018-02-12,135.9,137.5,133.8,136.8,136.3,620844.0,844.67
2018-02-09,128.0,136.05,127.0,134.45,133.25,1071867.0,1429.92
2018-02-08,122.8,134.6,121.5,134.45,133.45,979927.0,1272.02
2018-02-07,123.15,126.8,121.0,121.9,121.85,305057.0,376.54
2018-02-06,115.1,124.0,115.1,122.5,121.85,1569827.0,1895.79
2018-02-05,124.0,132.45,123.55,126.5,126.85,706080.0,894.63
2018-02-02,129.15,134.35,123.7,130.0,126.9,883584.0,1135.64
2018-02-01,138.8,140.9,130.25,133.35,133.7,810552.0,1105.72
2018-01-31,139.1,142.7,135.1,138.0,138.35,1099340.0,1524.52
2018-01-30,128.85,140.3,127.1,140.0,138.15,1304524.0,1762.75
2018-01-29,135.25,137.35,128.8,129.85,130.25,548337.0,731.21
2018-01-25,138.5,138.5,133.5,135.3,134.55,499105.0,678.08
2018-01-24,140.7,141.7,136.2,137.25,137.45,985057.0,1363.43
2018-01-23,144.45,145.5,138.8,139.6,140.05,1463848.0,2079.65
2018-01-22,142.0,145.0,140.6,142.8,142.6,890601.0,1276.61
