Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,91.15,95.7,90.65,94.6,94.65,2065257.0,1936.65
2018-03-12,90.45,92.5,88.2,92.0,92.05,1778046.0,1602.78
2018-03-09,92.0,92.55,89.2,90.35,90.2,2163833.0,1961.33
2018-03-08,92.1,92.5,85.25,91.95,91.4,11975875.0,10642.87
2018-03-07,95.7,96.2,90.6,92.8,93.15,2701950.0,2521.9
2018-03-06,97.6,99.45,95.55,95.8,96.15,1500103.0,1460.39
2018-03-05,100.4,100.5,95.95,97.45,97.05,1769891.0,1724.97
2018-03-01,103.0,103.35,100.1,100.25,100.5,1304179.0,1319.24
2018-02-28,100.05,103.0,99.75,102.7,102.75,1174751.0,1199.05
2018-02-27,102.5,103.5,99.95,101.0,101.1,1788675.0,1809.02
2018-02-26,101.0,103.0,99.95,102.6,102.4,1242066.0,1264.16
2018-02-23,98.3,100.9,97.95,100.15,100.1,2301984.0,2286.37
2018-02-22,98.05,99.95,97.45,97.9,98.3,1830679.0,1802.98
2018-02-21,100.05,100.65,97.7,98.6,98.65,1253023.0,1235.39
2018-02-20,97.75,100.7,97.1,99.85,99.75,955429.0,946.75
2018-02-19,99.1,100.15,96.95,97.75,97.65,1324787.0,1300.94
2018-02-16,100.0,101.0,97.95,98.6,99.3,2507482.0,2491.86
2018-02-15,102.5,103.4,98.7,99.8,100.0,1077511.0,1086.66
2018-02-14,102.95,103.8,101.8,102.05,102.3,1720636.0,1769.65
2018-02-12,98.95,103.35,98.0,102.8,102.55,2216386.0,2234.0
2018-02-09,94.85,101.0,93.0,98.0,99.05,2185660.0,2156.91
2018-02-08,94.4,97.0,94.1,96.5,96.3,973919.0,933.23
2018-02-07,94.85,96.0,93.1,94.05,94.1,1306340.0,1234.35
2018-02-06,92.55,95.6,90.0,93.6,94.0,1508980.0,1405.93
2018-02-05,93.85,98.45,93.0,97.15,97.3,1632229.0,1565.03
2018-02-02,101.6,102.9,95.35,95.65,97.15,2414005.0,2404.76
2018-02-01,106.45,106.55,101.35,103.65,103.7,1646462.0,1722.26
2018-01-31,105.8,107.4,104.3,105.95,105.35,1031411.0,1091.12
2018-01-30,108.0,108.0,105.5,106.3,106.15,2241103.0,2392.42
2018-01-29,111.0,112.4,107.85,108.3,108.15,1536419.0,1687.09
2018-01-25,113.9,114.15,110.2,110.95,110.85,1853385.0,2074.05
2018-01-24,114.45,114.9,112.5,113.3,113.4,1017196.0,1153.94
2018-01-23,115.45,116.25,113.6,114.4,114.7,1599498.0,1835.35
