Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,333.0,338.4,330.25,335.0,334.75,1053258.0,3529.04
2018-03-12,326.05,335.6,325.2,333.95,332.9,1381091.0,4576.31
2018-03-09,321.3,329.5,314.2,322.2,321.4,1355183.0,4377.48
2018-03-08,311.8,323.6,301.5,321.0,319.7,1775879.0,5589.2
2018-03-07,319.0,319.0,298.05,307.05,305.15,1653299.0,5077.94
2018-03-06,340.3,346.35,316.75,318.0,319.8,1272591.0,4203.65
2018-03-05,345.0,349.05,338.55,340.0,340.95,583830.0,1996.24
2018-03-01,350.0,357.5,348.0,351.5,350.45,1021433.0,3611.16
2018-02-28,343.0,350.0,340.0,349.0,346.8,655869.0,2259.44
2018-02-27,354.8,356.65,345.15,347.0,348.5,1000188.0,3505.1
2018-02-26,356.3,358.9,350.25,354.3,352.85,905046.0,3206.27
2018-02-23,332.65,360.3,331.4,353.5,353.0,2842857.0,9915.28
2018-02-22,328.0,333.9,327.0,331.65,330.8,482236.0,1595.17
2018-02-21,330.5,336.0,326.1,331.5,331.9,1163058.0,3863.26
2018-02-20,338.0,343.2,322.0,325.8,326.95,1280870.0,4263.46
2018-02-19,350.8,350.9,330.0,336.65,336.65,1197769.0,4025.11
2018-02-16,361.7,363.65,342.0,350.0,347.85,1305940.0,4590.92
2018-02-15,363.7,370.0,349.0,359.0,357.45,1615508.0,5837.24
2018-02-14,356.75,370.85,355.1,360.2,360.65,2687794.0,9755.48
2018-02-12,338.65,358.9,338.45,353.6,353.55,2696978.0,9497.47
2018-02-09,329.5,347.35,326.55,335.5,335.45,1596719.0,5411.61
2018-02-08,333.25,345.1,331.9,339.05,338.5,1413582.0,4801.07
2018-02-07,339.9,347.9,327.9,329.0,331.9,1969743.0,6612.78
2018-02-06,330.0,343.2,316.8,334.55,333.5,2621910.0,8792.42
2018-02-05,314.1,366.0,303.1,353.2,354.2,3902802.0,13358.31
2018-02-02,347.95,358.4,320.8,323.0,324.8,3229590.0,10817.69
2018-02-01,362.8,370.0,347.0,351.65,351.6,1867164.0,6702.64
2018-01-31,363.0,381.4,358.15,358.6,361.5,2410426.0,8942.34
2018-01-30,365.0,372.2,351.05,366.0,364.0,2124227.0,7729.04
2018-01-29,376.3,383.0,361.1,364.8,365.8,2055812.0,7589.4
2018-01-25,379.8,395.5,367.7,373.95,372.15,3801316.0,14574.15
2018-01-24,399.25,410.4,372.3,377.5,380.4,8968272.0,35187.35
2018-01-23,390.7,418.0,375.5,411.4,412.7,6701704.0,26832.93
2018-01-22,363.5,404.4,363.5,389.0,389.6,6977855.0,27119.29
2018-01-19,341.0,369.85,337.45,367.7,365.55,4861617.0,17377.29
2018-01-18,344.65,361.7,332.25,340.9,341.5,4778364.0,16708.34
2018-01-17,313.9,347.0,310.0,341.9,341.85,6013437.0,20222.3
2018-01-16,328.7,329.5,314.35,316.0,316.15,1948029.0,6277.2
2018-01-15,316.8,329.05,313.65,325.25,326.15,2411801.0,7802.02
2018-01-12,319.4,321.0,306.7,315.4,316.1,976168.0,3079.9
2018-01-11,311.25,322.0,311.2,318.05,317.85,1299979.0,4130.26
2018-01-10,313.0,318.5,304.25,311.45,311.3,1338589.0,4164.15
2018-01-09,318.4,323.7,311.0,314.05,315.2,1102069.0,3492.77
2018-01-08,312.2,326.9,312.2,316.6,316.8,1959929.0,6250.47
2018-01-05,314.0,324.1,310.3,318.95,319.1,4396180.0,13990.41
2018-01-04,300.0,311.6,296.25,308.05,308.0,3229039.0,9871.43
2018-01-03,294.8,300.5,292.2,298.5,297.8,1477942.0,4389.6
2018-01-02,297.2,297.8,287.6,292.6,292.15,907948.0,2648.72
2018-01-01,293.5,302.3,288.5,296.0,294.85,1688847.0,5024.47
2017-12-29,291.6,295.5,287.0,293.45,293.9,1351117.0,3947.39
2017-12-28,286.3,292.35,284.5,288.7,288.35,1160844.0,3349.33
2017-12-27,290.7,297.5,278.2,284.0,284.2,2280498.0,6647.99
2017-12-26,280.25,293.25,276.65,288.7,290.5,2279256.0,6577.13
2017-12-22,283.95,285.7,276.6,279.65,279.85,679459.0,1911.81
2017-12-21,280.0,284.7,278.1,282.0,282.3,865458.0,2436.44
2017-12-20,281.45,286.5,276.6,279.1,279.3,1501528.0,4241.07
2017-12-19,272.7,281.45,270.85,279.2,279.35,1815620.0,5050.0
2017-12-18,265.0,274.5,255.45,271.3,269.95,915179.0,2469.68
2017-12-15,274.0,276.0,267.6,268.0,268.7,855851.0,2329.01
2017-12-14,271.9,274.0,265.5,270.8,270.75,801560.0,2165.66
2017-12-13,272.5,279.0,268.25,269.65,269.85,1839662.0,5034.8
2017-12-12,270.0,278.45,266.1,272.5,270.8,2003512.0,5467.85
2017-12-11,286.9,288.85,267.0,268.4,268.05,3085372.0,8477.58
2017-12-08,287.0,294.9,284.2,286.9,287.95,2122983.0,6149.37
2017-12-07,275.7,288.5,275.55,284.15,285.05,2205571.0,6258.79
2017-12-06,289.0,292.85,270.25,275.35,273.9,3161177.0,8928.96
2017-12-05,262.05,294.0,258.0,289.4,289.35,4524678.0,12697.39
