Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,394.6,399.0,382.5,394.7,394.65,3216525.0,12690.68
2018-03-12,395.0,397.0,380.0,393.35,393.3,3195175.0,12479.17
2018-03-09,386.5,393.7,383.6,389.0,389.45,3495210.0,13606.52
2018-03-08,374.6,384.4,366.2,382.95,382.6,4839878.0,18261.05
2018-03-07,363.8,372.0,361.5,368.5,367.9,3406687.0,12523.38
2018-03-06,373.8,381.95,363.6,364.1,368.3,3958362.0,14873.77
2018-03-05,360.95,371.95,331.05,368.85,369.25,4789651.0,17325.65
2018-03-01,382.0,382.9,360.0,361.05,362.35,5470534.0,20291.5
2018-02-28,394.5,408.0,375.75,378.0,380.9,10729175.0,42240.27
2018-02-27,398.5,408.75,395.0,399.75,399.35,5590404.0,22477.3
2018-02-26,386.4,397.65,386.05,394.8,395.05,3263405.0,12835.06
2018-02-23,375.5,386.5,374.05,381.75,382.5,2861134.0,10900.94
2018-02-22,379.0,384.9,370.95,372.0,372.05,2457972.0,9266.01
2018-02-21,380.0,389.0,372.15,382.7,383.9,3067432.0,11682.33
2018-02-20,397.0,399.0,371.6,376.9,376.25,4093263.0,15690.94
2018-02-19,367.7,396.3,354.5,396.0,392.1,5081039.0,19333.29
2018-02-16,381.0,384.1,360.5,364.5,364.7,2091013.0,7704.76
2018-02-15,384.5,389.5,366.0,377.5,376.55,2049009.0,7780.09
2018-02-14,398.0,402.65,381.65,382.7,383.6,2576375.0,10036.96
2018-02-12,398.8,408.85,389.1,393.0,392.5,3068434.0,12267.41
2018-02-09,360.0,396.65,359.0,392.5,392.25,5468991.0,21254.13
2018-02-08,366.25,393.0,364.25,383.5,383.7,5386798.0,20641.57
2018-02-07,350.0,363.7,345.0,361.5,362.05,4905398.0,17387.88
2018-02-06,306.0,340.95,303.8,329.85,330.65,4882060.0,15698.51
2018-02-05,312.25,347.0,305.3,339.5,337.55,5275615.0,17357.27
2018-02-02,353.9,360.0,326.8,336.5,332.4,6121337.0,20604.68
2018-02-01,381.7,386.0,358.0,362.75,363.1,3367130.0,12532.44
2018-01-31,394.8,404.75,370.2,380.15,380.55,3073275.0,11846.93
2018-01-30,403.0,407.85,385.25,397.25,395.9,2966624.0,11811.91
2018-01-29,422.8,426.6,401.0,401.85,402.95,2595728.0,10684.41
2018-01-25,411.85,430.85,411.05,418.4,418.0,2875652.0,12123.16
2018-01-24,425.8,426.0,410.0,411.0,411.1,1824097.0,7599.27
2018-01-23,430.0,435.8,424.05,424.5,425.8,1854531.0,7977.97
2018-01-22,431.0,440.0,426.2,430.35,431.9,2408695.0,10446.11
2018-01-19,418.8,438.0,410.0,431.95,432.35,3833360.0,16426.35
2018-01-18,445.0,454.4,409.1,419.25,418.8,3850553.0,16722.93
2018-01-17,420.6,447.95,398.05,441.5,441.3,6166140.0,26535.46
2018-01-16,440.0,441.65,417.25,420.0,419.45,2581510.0,10991.84
2018-01-15,449.5,450.0,437.05,440.0,439.05,1845616.0,8184.68
2018-01-12,452.5,454.55,438.5,445.1,447.95,1957761.0,8765.26
2018-01-11,449.05,459.35,445.3,448.25,448.5,2244863.0,10156.75
2018-01-10,460.0,463.1,443.1,448.5,449.05,3097984.0,14000.34
2018-01-09,464.0,475.0,450.0,458.85,459.85,6750829.0,31317.82
2018-01-08,450.0,463.2,436.3,461.8,461.2,8530278.0,38642.21
2018-01-05,431.0,437.75,418.0,420.0,421.1,3463199.0,14798.79
2018-01-04,443.0,456.05,428.1,429.95,432.75,11711438.0,51791.74
2018-01-03,415.0,439.2,412.3,439.2,438.3,14571898.0,62280.23
2018-01-02,374.2,408.9,365.0,408.9,399.3,9357782.0,36475.64
2018-01-01,370.25,381.4,370.0,371.9,371.75,2395828.0,9013.26
2017-12-29,364.0,378.8,362.5,369.85,370.35,3453550.0,12834.39
2017-12-28,365.65,367.0,361.35,362.0,362.65,1079397.0,3928.64
2017-12-27,363.9,368.9,359.0,363.75,363.7,1837833.0,6700.2
2017-12-26,362.0,366.5,357.3,361.45,361.8,1647223.0,5970.53
2017-12-22,358.8,367.8,356.5,360.2,361.2,1579194.0,5718.61
2017-12-21,361.3,364.65,354.45,356.65,356.65,1328527.0,4768.23
2017-12-20,367.5,370.6,357.0,360.4,359.65,1298237.0,4726.37
2017-12-19,367.5,373.65,365.7,367.3,367.35,1447649.0,5348.04
2017-12-18,370.0,376.0,342.0,364.05,365.0,4029763.0,14634.62
2017-12-15,375.0,380.65,366.15,370.0,371.2,3187679.0,11924.5
2017-12-14,357.9,369.25,351.6,365.55,366.45,2676340.0,9653.16
2017-12-13,368.0,370.55,351.1,354.85,354.5,2048073.0,7406.86
2017-12-12,368.3,378.0,365.3,368.45,369.3,2501530.0,9310.07
2017-12-11,381.4,384.35,366.6,367.9,369.65,2664873.0,9976.69
2017-12-08,380.4,392.0,375.05,377.35,378.35,5781632.0,22243.87
2017-12-07,354.7,382.9,353.6,376.75,378.45,6498722.0,23937.57
2017-12-06,349.0,360.0,345.25,351.0,351.7,2681506.0,9495.05
2017-12-05,346.7,357.5,337.5,348.7,349.3,3272719.0,11404.3
2017-12-04,348.7,358.0,342.0,347.9,347.85,2244383.0,7847.88
2017-12-01,364.0,366.7,341.8,343.1,345.25,2945827.0,10506.09
2017-11-30,340.0,357.55,332.0,357.5,354.65,4789061.0,16745.96
2017-11-29,351.0,355.0,337.55,342.0,340.55,2244129.0,7814.34
2017-11-28,347.05,355.8,343.7,346.0,346.65,3859902.0,13515.13
2017-11-27,328.0,343.85,324.05,343.85,343.6,4275447.0,14515.4
2017-11-24,337.0,345.0,322.5,326.8,327.5,4280440.0,14314.33
2017-11-23,327.0,335.25,323.85,335.25,334.1,7537367.0,25062.03
2017-11-22,307.0,319.3,295.3,319.3,319.3,9072933.0,28166.35
2017-11-21,323.85,327.6,302.8,302.8,304.1,4961427.0,15480.23
2017-11-20,320.0,339.4,313.6,318.0,318.7,11356096.0,36751.37
2017-11-17,346.55,362.0,330.1,330.1,330.1,8611560.0,29558.28
2017-11-16,347.45,347.45,347.45,347.45,347.45,392987.0,1365.43
2017-11-15,380.0,380.0,365.7,365.7,365.7,408923.0,1498.69
2017-11-14,398.0,398.45,380.1,383.0,384.9,6824798.0,26696.55
2017-11-13,388.0,402.65,378.3,396.85,396.4,8916663.0,35234.37
2017-11-10,381.0,393.75,363.2,384.0,387.5,15454483.0,58873.92
2017-11-09,365.0,374.25,350.0,374.25,373.75,15829452.0,57612.87
2017-11-08,325.0,350.0,291.25,349.0,340.25,19702384.0,64091.16
