Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,231.75,237.0,230.15,235.7,236.2,188920.0,443.66
2018-03-12,232.5,232.5,228.05,231.9,231.75,200609.0,462.06
2018-03-09,227.0,230.0,223.5,228.65,229.45,116582.0,264.99
2018-03-08,228.0,230.3,223.5,226.0,225.85,103804.0,233.88
2018-03-07,226.0,227.5,223.75,225.8,224.9,140135.0,315.94
2018-03-06,231.0,231.95,227.0,227.0,229.25,93794.0,215.66
2018-03-05,231.0,232.0,227.25,230.6,230.55,124560.0,287.32
2018-03-01,234.0,234.0,230.5,231.5,231.35,159278.0,370.43
2018-02-28,229.45,233.8,225.15,231.5,231.4,216058.0,493.23
2018-02-27,232.5,232.5,228.35,229.55,229.45,121393.0,278.92
2018-02-26,226.6,231.8,226.6,231.0,229.95,123017.0,282.86
2018-02-23,227.0,229.7,225.9,228.1,227.85,128160.0,292.0
2018-02-22,225.9,229.8,223.3,224.85,225.55,129074.0,293.02
2018-02-21,230.9,232.0,226.5,227.1,227.85,144549.0,329.9
2018-02-20,226.0,232.4,225.0,230.9,231.05,176577.0,404.03
2018-02-19,230.25,231.8,222.5,226.95,225.2,154427.0,349.3
2018-02-16,230.65,232.0,225.05,226.6,227.2,156535.0,356.89
2018-02-15,234.9,236.6,227.0,228.85,227.95,203590.0,471.58
2018-02-14,233.85,237.95,231.3,232.55,232.55,213726.0,500.84
2018-02-12,231.1,236.8,230.9,232.6,232.1,216186.0,505.37
2018-02-09,228.7,234.2,226.2,229.0,229.35,189396.0,434.42
2018-02-08,226.0,233.95,225.7,232.0,233.0,529827.0,1227.19
2018-02-07,230.0,233.65,222.45,224.0,224.3,206454.0,470.21
2018-02-06,220.0,227.9,210.0,225.2,226.2,502944.0,1122.14
2018-02-05,226.9,236.0,223.3,230.0,229.9,450750.0,1029.62
2018-02-02,242.0,245.0,234.85,235.55,236.1,614226.0,1474.36
2018-02-01,252.5,254.9,244.7,245.5,245.4,560434.0,1401.4
2018-01-31,245.2,252.6,243.3,250.45,250.25,397841.0,983.26
2018-01-30,251.6,251.7,246.0,247.5,246.95,292746.0,725.21
2018-01-29,250.5,253.0,247.0,249.9,248.7,394314.0,985.61
2018-01-25,250.1,253.0,247.0,252.0,250.2,362894.0,906.38
2018-01-24,252.5,255.5,248.0,249.0,249.55,777223.0,1946.08
2018-01-23,255.0,260.4,249.7,251.9,252.45,1757712.0,4489.26
2018-01-22,268.4,273.55,267.25,271.0,270.95,510309.0,1382.33
2018-01-19,265.95,269.4,262.05,266.8,266.8,415091.0,1103.8
2018-01-18,277.85,281.7,263.0,265.45,265.45,926751.0,2534.57
2018-01-17,272.5,277.0,265.1,275.6,275.85,920711.0,2510.64
2018-01-16,279.7,280.65,267.5,272.5,271.6,1291727.0,3529.78
2018-01-15,268.8,280.9,268.25,276.4,276.6,2152363.0,5964.04
2018-01-12,271.25,273.4,262.6,264.9,265.2,593159.0,1586.38
2018-01-11,269.0,272.0,266.3,269.0,269.8,1382865.0,3727.62
2018-01-10,271.85,272.15,264.55,266.8,267.1,468379.0,1254.16
2018-01-09,274.0,274.5,270.4,271.85,271.45,448465.0,1218.34
2018-01-08,274.7,276.75,271.2,272.0,272.5,508315.0,1390.37
2018-01-05,275.7,277.9,271.6,273.05,274.65,620881.0,1706.38
2018-01-04,272.4,276.0,268.85,273.3,274.55,1251516.0,3407.47
2018-01-03,268.0,275.0,267.5,269.95,269.55,814998.0,2211.94
2018-01-02,273.1,273.85,264.05,265.15,265.35,409258.0,1090.24
2018-01-01,267.05,276.7,263.2,272.45,270.85,632669.0,1714.31
2017-12-29,271.5,271.5,264.0,265.0,265.05,784196.0,2085.33
2017-12-28,273.45,274.75,269.0,270.0,269.95,963720.0,2617.01
2017-12-27,258.0,290.0,258.0,268.45,268.8,6043267.0,16682.51
2017-12-26,260.5,260.95,256.35,257.35,257.85,341389.0,883.91
2017-12-22,259.0,262.8,257.3,258.15,258.65,553038.0,1436.99
2017-12-21,254.2,267.65,252.55,256.55,257.25,2190469.0,5720.99
2017-12-20,245.75,254.3,244.8,251.4,251.05,2298576.0,5763.88
2017-12-19,240.55,247.55,239.65,244.0,243.9,787521.0,1912.17
2017-12-18,235.75,241.45,230.95,237.0,237.55,498171.0,1189.69
2017-12-15,238.2,242.0,234.9,235.35,236.45,651046.0,1559.76
2017-12-14,236.1,237.9,233.0,237.0,236.45,214118.0,504.78
2017-12-13,236.0,236.95,232.9,235.15,235.2,198265.0,466.56
2017-12-12,235.05,238.8,233.6,235.45,235.05,181760.0,429.07
2017-12-11,238.9,241.0,235.0,235.3,235.65,266476.0,633.64
2017-12-08,236.9,243.35,236.05,237.0,237.05,337564.0,808.89
2017-12-07,236.7,237.7,233.05,234.65,235.4,210430.0,496.09
2017-12-06,239.95,241.8,234.3,234.8,235.4,226819.0,539.85
