Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,425.0,428.0,413.65,416.9,417.2,23028.0,96.98
2018-03-12,422.8,433.05,411.7,429.8,423.95,25344.0,107.17
2018-03-09,426.05,429.5,420.0,421.0,421.45,17755.0,75.29
2018-03-08,431.0,438.0,420.0,425.0,425.65,14655.0,62.29
2018-03-07,440.0,444.45,424.0,426.95,426.2,21029.0,91.58
2018-03-06,459.0,461.0,440.7,440.85,446.2,13293.0,60.49
2018-03-05,442.05,454.8,439.15,452.15,452.4,13136.0,58.83
2018-03-01,464.45,464.45,445.05,445.55,447.1,11183.0,50.62
2018-02-28,450.55,463.9,450.55,463.9,460.2,11614.0,53.46
2018-02-27,464.85,465.0,456.05,462.95,460.95,7897.0,36.36
2018-02-26,462.95,465.9,455.3,458.0,460.8,14824.0,68.37
2018-02-23,441.2,460.7,441.2,457.5,456.1,25226.0,115.15
2018-02-22,436.95,449.55,434.05,448.0,447.4,28229.0,125.61
2018-02-21,446.0,450.0,432.85,436.5,437.75,13971.0,61.66
2018-02-20,452.15,456.0,440.05,443.5,443.45,16872.0,75.62
2018-02-19,464.0,465.3,444.55,449.0,448.55,20311.0,92.15
2018-02-16,474.9,483.0,453.1,460.0,459.65,60288.0,282.0
2018-02-15,458.95,480.0,455.0,470.0,470.2,78766.0,370.34
2018-02-14,458.85,473.55,450.05,451.0,454.0,46129.0,212.06
2018-02-12,455.1,471.1,450.0,450.5,452.8,29428.0,135.29
2018-02-09,450.0,465.0,442.05,457.2,458.2,20910.0,95.11
2018-02-08,455.0,478.65,445.0,462.0,460.8,49153.0,226.51
2018-02-07,450.0,469.95,450.0,460.0,459.15,25099.0,115.22
2018-02-06,449.85,456.45,435.5,447.95,446.95,20164.0,90.02
2018-02-05,465.05,468.7,444.0,463.0,461.5,28028.0,128.87
2018-02-02,482.05,493.4,450.0,483.0,478.8,37871.0,179.35
2018-02-01,500.6,500.6,480.0,481.2,484.4,21767.0,106.72
2018-01-31,505.0,509.5,491.0,496.25,498.4,20035.0,100.51
2018-01-30,504.25,516.0,501.0,503.0,503.0,22591.0,114.4
2018-01-29,505.0,529.0,495.0,501.4,501.95,44748.0,230.52
2018-01-25,529.0,537.75,502.0,511.45,507.95,70506.0,366.62
2018-01-24,497.0,550.8,496.6,527.25,529.9,178704.0,952.62
2018-01-23,514.0,516.95,491.1,500.0,499.4,31375.0,158.29
2018-01-22,502.0,524.0,502.0,512.35,510.35,27069.0,138.33
2018-01-19,520.0,522.2,502.55,508.0,511.05,22144.0,113.98
2018-01-18,533.25,548.95,512.1,514.0,517.3,37444.0,198.36
2018-01-17,541.85,544.45,525.0,536.0,538.15,24692.0,132.5
2018-01-16,553.95,557.1,532.05,537.5,537.15,51975.0,281.52
2018-01-15,549.95,556.0,543.05,554.0,552.4,28814.0,159.04
2018-01-12,555.0,560.0,545.0,549.8,548.45,35527.0,195.37
2018-01-11,552.0,572.4,543.2,545.9,549.8,196187.0,1101.4
2018-01-10,537.9,554.0,533.6,548.1,549.85,56288.0,309.08
2018-01-09,548.0,554.35,525.0,543.0,537.9,67601.0,366.72
2018-01-08,549.85,549.85,540.05,541.0,543.6,50625.0,275.77
2018-01-05,565.9,566.0,536.1,542.0,541.0,91046.0,502.28
2018-01-04,560.9,566.95,553.3,558.1,558.35,34779.0,194.34
2018-01-03,565.0,569.9,555.0,562.0,562.35,85591.0,480.38
2018-01-02,523.0,571.8,514.9,560.05,559.85,536417.0,2986.79
2018-01-01,531.0,531.85,521.95,523.0,525.85,31225.0,164.62
2017-12-29,534.0,535.0,522.0,528.75,526.7,31891.0,168.59
2017-12-28,526.0,538.9,526.0,534.0,527.15,52013.0,276.47
2017-12-27,537.35,538.0,522.0,525.0,525.25,36162.0,191.73
2017-12-26,535.5,543.7,530.0,535.0,533.7,58854.0,315.79
2017-12-22,509.0,543.0,503.0,533.0,531.1,181061.0,957.84
2017-12-21,515.15,521.6,503.55,504.0,505.95,56471.0,289.66
2017-12-20,505.0,520.95,500.95,508.0,511.0,105715.0,540.19
2017-12-19,492.0,511.7,492.0,502.8,503.85,86410.0,435.26
2017-12-18,485.0,499.8,415.0,486.95,487.75,42239.0,206.74
2017-12-15,492.7,499.95,487.0,487.0,489.6,23705.0,116.93
2017-12-14,495.0,502.35,481.8,487.0,489.2,41645.0,203.71
2017-12-13,516.35,523.0,487.55,495.65,493.7,148534.0,756.17
2017-12-12,498.9,530.9,495.2,513.0,513.25,620478.0,3219.5
2017-12-11,475.15,501.3,475.15,499.0,493.95,132650.0,648.97
2017-12-08,478.3,483.95,467.1,472.0,471.0,47671.0,227.0
2017-12-07,479.8,489.35,472.3,473.0,474.1,61556.0,295.75
2017-12-06,469.3,495.5,467.4,478.0,476.45,199576.0,968.9
2017-12-05,486.7,488.7,465.7,470.5,468.55,134993.0,639.3
2017-12-04,459.95,502.0,453.0,484.05,483.4,567609.0,2761.43
2017-12-01,439.05,464.95,437.4,451.0,451.55,138490.0,628.85
2017-11-30,442.15,444.0,431.1,435.0,433.05,36821.0,161.22
2017-11-29,425.2,457.35,425.1,441.6,442.15,129800.0,578.43
2017-11-28,427.9,434.7,421.0,424.95,423.3,25126.0,107.44
