Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,920.1,939.0,918.25,928.0,926.4,476174.0,4427.05
2018-03-12,908.9,927.6,902.0,922.5,923.45,331480.0,3036.84
2018-03-09,914.0,919.95,893.5,900.0,901.75,458369.0,4158.39
2018-03-08,899.95,910.0,878.1,908.0,906.55,439305.0,3949.14
2018-03-07,908.95,913.45,874.0,890.75,891.7,535497.0,4790.24
2018-03-06,928.9,940.0,901.8,906.9,909.25,334641.0,3098.65
2018-03-05,940.9,941.05,905.0,924.5,920.3,513251.0,4718.54
2018-03-01,948.0,963.7,931.15,935.6,936.9,523674.0,4970.35
2018-02-28,940.0,960.0,930.2,950.0,954.45,520072.0,4940.64
2018-02-27,963.4,963.45,941.6,947.0,946.6,254580.0,2419.88
2018-02-26,960.0,969.8,943.75,954.1,957.65,447446.0,4291.91
2018-02-23,929.0,955.0,926.2,950.95,950.95,382278.0,3603.31
2018-02-22,938.9,938.9,918.3,924.5,922.0,652272.0,6042.46
2018-02-21,960.0,965.0,937.65,940.0,943.9,233872.0,2215.44
2018-02-20,939.75,967.0,935.0,957.5,955.2,547263.0,5224.16
2018-02-19,938.5,947.0,919.0,946.9,940.0,464175.0,4321.02
2018-02-16,970.0,975.0,917.5,930.0,929.95,589261.0,5533.16
2018-02-15,980.0,988.0,948.05,964.0,962.65,333082.0,3221.77
2018-02-14,987.0,997.75,968.3,973.95,974.35,423674.0,4179.53
2018-02-12,970.0,993.0,966.7,980.0,979.1,554296.0,5442.6
2018-02-09,925.0,973.05,925.0,963.5,966.15,670273.0,6410.84
2018-02-08,915.95,975.2,915.9,969.75,966.25,760370.0,7230.89
2018-02-07,914.0,930.7,894.0,915.95,919.15,977045.0,8967.27
2018-02-06,861.0,910.0,851.0,890.95,885.9,1092806.0,9657.16
2018-02-05,922.25,946.95,867.0,941.55,931.9,757335.0,6944.04
2018-02-02,1009.0,1009.0,921.0,927.0,933.3,1054416.0,10124.63
2018-02-01,1045.25,1062.1,945.1,1017.6,1017.7,1030146.0,10430.11
2018-01-31,1080.0,1084.55,1043.35,1045.5,1049.7,577998.0,6108.93
2018-01-30,1111.0,1112.05,1076.0,1081.0,1078.95,357563.0,3887.66
2018-01-29,1088.4,1123.55,1075.55,1110.0,1109.55,553554.0,6102.7
2018-01-25,1137.0,1139.8,1071.05,1077.0,1074.75,652697.0,7115.15
2018-01-24,1126.0,1136.2,1110.55,1123.0,1124.35,423102.0,4767.16
2018-01-23,1109.0,1132.9,1093.2,1123.2,1123.8,609714.0,6820.27
2018-01-22,1089.9,1108.7,1079.0,1107.0,1102.45,261534.0,2862.73
2018-01-19,1075.0,1086.3,1056.6,1079.0,1081.9,373026.0,3997.99
2018-01-18,1107.0,1111.0,1047.15,1062.0,1062.0,323759.0,3496.05
