Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,73.4,75.8,73.25,75.3,74.9,2227706.0,1663.16
2018-03-12,75.85,76.35,73.0,73.4,73.25,2186261.0,1628.48
2018-03-09,77.0,78.4,75.15,75.4,75.4,1958962.0,1501.05
2018-03-08,77.3,77.75,75.15,76.35,76.45,1917716.0,1463.49
2018-03-07,80.5,81.15,76.3,76.8,76.7,2448248.0,1921.27
2018-03-06,82.9,83.8,79.8,79.9,80.6,1520000.0,1248.88
2018-03-05,82.8,83.3,81.2,82.15,82.35,2184821.0,1797.84
2018-03-01,82.5,83.35,81.65,82.0,81.85,1173567.0,966.58
2018-02-28,83.5,83.8,82.6,82.75,82.7,1753354.0,1457.33
2018-02-27,85.3,86.5,84.1,84.3,84.5,2319511.0,1977.59
2018-02-26,82.9,85.15,82.9,84.95,84.4,3019991.0,2531.68
2018-02-23,81.8,82.65,81.8,82.4,82.25,1330462.0,1094.68
2018-02-22,81.0,82.65,80.4,81.4,81.6,1431030.0,1167.15
2018-02-21,81.75,82.4,81.2,81.3,81.4,1265696.0,1034.35
2018-02-20,81.55,82.8,80.6,81.5,81.45,1635452.0,1337.46
2018-02-19,82.9,83.3,80.2,81.15,81.15,1870247.0,1524.78
2018-02-16,85.3,85.85,82.4,82.85,82.9,2298554.0,1922.67
2018-02-15,87.0,87.7,84.4,85.0,85.05,1664789.0,1434.82
2018-02-14,87.4,88.4,86.3,86.65,86.7,2278528.0,1988.76
2018-02-12,87.0,88.2,85.5,86.55,86.75,2734858.0,2386.81
2018-02-09,84.0,88.85,83.0,86.85,87.15,3449902.0,2989.34
2018-02-08,83.8,87.2,83.45,87.05,86.75,3436870.0,2948.32
2018-02-07,82.0,84.35,81.8,83.35,83.15,4410621.0,3664.15
2018-02-06,80.0,81.7,76.85,79.85,80.0,5184009.0,4153.66
2018-02-05,85.85,86.6,82.2,85.0,84.95,3985497.0,3374.61
2018-02-02,92.45,92.45,86.65,87.05,87.2,5654788.0,5026.4
2018-02-01,99.0,100.7,92.4,93.3,93.15,12394604.0,12018.64
2018-01-31,93.75,98.75,93.25,98.65,97.75,4938945.0,4742.34
