Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,142.0,143.0,141.35,142.65,142.9,201638.0,287.38
2018-03-12,137.8,144.0,136.75,141.9,141.95,523230.0,737.96
2018-03-09,139.95,142.0,135.5,135.7,136.65,267234.0,367.04
2018-03-08,132.55,139.6,132.55,139.05,138.25,405127.0,556.55
2018-03-07,137.05,139.85,128.7,134.0,131.4,328558.0,438.88
2018-03-06,141.45,142.95,139.15,139.7,139.85,308380.0,433.81
2018-03-05,141.0,142.8,138.65,140.0,139.7,933763.0,1308.08
2018-03-01,144.95,144.95,140.0,141.0,141.3,2489633.0,3492.4
2018-02-28,143.0,146.25,139.0,145.05,144.05,513062.0,724.97
2018-02-27,148.0,148.65,144.8,145.0,145.05,127055.0,185.02
2018-02-26,149.4,149.8,146.5,146.8,147.65,253952.0,375.3
2018-02-23,152.15,152.15,147.2,147.55,148.05,69013.0,102.66
2018-02-22,147.25,150.2,145.35,149.25,149.95,531855.0,794.31
2018-02-21,148.4,149.15,146.1,147.0,147.25,271240.0,399.38
2018-02-20,149.6,150.8,145.3,147.1,147.35,143607.0,212.69
2018-02-19,150.45,159.85,140.8,148.9,149.6,869233.0,1322.38
2018-02-16,150.25,152.5,146.35,146.65,147.45,143623.0,213.15
2018-02-15,154.2,155.1,150.35,150.5,151.05,440034.0,674.75
2018-02-14,153.0,155.0,151.05,153.0,152.7,398762.0,610.35
2018-02-12,141.75,155.5,141.75,152.35,152.2,440413.0,659.14
2018-02-09,143.0,144.1,138.1,141.2,141.9,149893.0,211.24
2018-02-08,141.8,145.9,140.95,144.0,143.9,206082.0,296.26
2018-02-07,148.55,149.0,138.65,140.0,139.9,463971.0,659.2
2018-02-06,144.0,148.4,138.5,145.0,146.85,1188950.0,1740.09
2018-02-05,155.0,155.5,146.25,150.0,149.45,712531.0,1090.53
2018-02-02,171.0,172.4,152.75,156.0,155.55,580409.0,923.05
2018-02-01,179.7,183.5,171.7,172.6,173.45,289110.0,518.81
2018-01-31,183.85,185.7,175.2,176.55,178.5,158369.0,286.31
2018-01-30,182.3,185.3,182.3,184.0,184.0,189366.0,348.45
2018-01-29,182.75,185.5,182.5,183.9,183.9,158231.0,290.71
2018-01-25,188.05,188.25,183.0,184.0,183.95,123611.0,228.92
2018-01-24,185.5,189.75,184.45,185.45,185.95,175543.0,327.82
2018-01-23,187.05,188.9,184.5,186.9,186.6,84068.0,157.07
2018-01-22,190.0,190.2,186.2,188.0,188.0,178479.0,336.45
2018-01-19,189.6,190.0,184.4,189.95,189.55,155587.0,293.36
2018-01-18,191.65,192.9,187.55,187.6,189.6,804237.0,1532.12
2018-01-17,188.15,190.75,185.45,188.6,188.85,348412.0,657.43
2018-01-16,188.55,195.65,188.35,189.15,189.95,584500.0,1118.72
2018-01-15,193.75,193.75,188.35,189.35,189.85,201570.0,385.3
2018-01-12,186.0,194.0,185.2,191.2,191.95,769097.0,1469.32
2018-01-11,181.6,187.9,180.75,185.0,185.0,1658175.0,3080.91
2018-01-10,182.15,186.0,180.5,180.85,181.5,828391.0,1526.94
2018-01-09,183.8,185.8,181.8,182.0,183.0,574874.0,1061.18
2018-01-08,182.1,184.65,182.1,183.0,182.95,298516.0,547.98
2018-01-05,184.7,186.0,182.65,183.0,183.0,225725.0,415.16
2018-01-04,185.85,185.95,182.6,182.95,183.0,721370.0,1333.31
2018-01-03,185.55,186.65,183.25,184.6,184.25,961236.0,1777.9
2018-01-02,179.9,187.3,175.7,184.4,185.5,667741.0,1217.83
2018-01-01,176.0,182.0,175.7,178.8,179.45,89956.0,160.62
2017-12-29,182.0,182.75,174.0,174.85,174.6,126635.0,225.06
2017-12-28,181.0,184.0,180.0,181.1,181.05,248301.0,450.28
2017-12-27,182.9,182.9,180.0,180.5,180.85,68356.0,123.82
2017-12-26,183.3,183.3,180.1,181.1,181.2,73778.0,133.79
2017-12-22,182.5,183.8,181.15,181.9,182.05,84776.0,154.47
2017-12-21,183.0,184.45,181.7,182.15,182.5,253070.0,464.12
2017-12-20,184.4,185.8,182.35,182.5,182.8,199844.0,367.53
2017-12-19,184.8,186.0,182.5,182.8,183.1,285292.0,526.2
2017-12-18,184.0,185.5,179.85,183.35,183.7,99304.0,182.28
2017-12-15,186.5,186.5,181.0,182.65,183.45,611142.0,1125.48
2017-12-14,184.9,185.35,181.85,184.6,184.85,658842.0,1217.05
2017-12-13,185.75,186.9,181.15,181.55,182.25,135773.0,249.61
2017-12-12,184.75,186.95,182.0,184.0,184.75,458475.0,847.2
2017-12-11,185.0,191.3,182.05,182.3,183.45,245379.0,454.2
2017-12-08,185.4,185.7,181.0,182.0,182.25,143645.0,263.28
2017-12-07,184.65,185.7,182.7,183.0,183.75,89016.0,163.81
2017-12-06,184.7,187.75,183.0,183.1,184.25,144371.0,267.22
2017-12-05,187.0,191.0,184.0,184.15,184.75,216017.0,405.54
2017-12-04,190.05,192.15,184.3,184.6,187.75,96962.0,182.86
2017-12-01,192.9,196.25,188.0,189.9,189.65,183387.0,354.37
2017-11-30,193.95,194.15,189.05,191.0,190.05,334105.0,637.77
2017-11-29,193.4,197.9,190.0,191.0,191.85,387360.0,750.21
2017-11-28,184.8,191.8,182.9,190.0,189.65,248377.0,464.78
2017-11-27,186.85,190.0,180.55,182.25,183.05,192085.0,353.15
2017-11-24,191.0,191.0,182.65,185.3,185.2,124719.0,232.66
2017-11-23,192.0,192.0,187.5,187.5,188.4,225706.0,425.83
2017-11-22,187.6,191.85,185.05,188.95,189.55,225720.0,427.56
2017-11-21,188.55,190.0,184.7,185.65,186.8,248546.0,463.46
2017-11-20,190.0,190.75,185.2,186.8,187.8,152063.0,284.78
2017-11-17,191.9,192.95,185.35,186.0,189.25,133714.0,254.7
2017-11-16,191.8,199.4,188.85,190.0,190.5,500131.0,959.23
2017-11-15,183.5,195.45,181.0,190.15,189.95,657551.0,1249.86
2017-11-14,194.0,197.4,183.85,184.7,185.6,431578.0,830.71
2017-11-13,205.0,205.0,191.0,192.25,192.3,833128.0,1631.54
2017-11-10,184.0,209.9,182.4,203.2,205.05,1022648.0,2033.6
2017-11-09,186.55,187.0,180.4,185.0,184.15,157358.0,289.39
2017-11-08,180.4,189.6,178.35,186.0,185.25,691025.0,1275.24
2017-11-07,179.7,182.95,176.5,180.1,180.4,540637.0,973.18
2017-11-06,173.0,180.95,172.95,178.45,178.4,348341.0,617.8
2017-11-03,172.45,175.5,167.8,173.0,173.25,658239.0,1139.57
2017-11-02,163.3,172.5,161.8,170.0,169.75,709290.0,1196.05
2017-11-01,158.3,166.3,158.3,162.85,163.15,956956.0,1549.89
2017-10-31,160.95,164.8,156.15,157.25,157.7,1113320.0,1786.22
2017-10-30,158.0,160.0,156.1,159.3,159.5,545151.0,863.35
2017-10-27,159.25,159.5,156.0,156.25,157.0,240249.0,377.75
2017-10-26,156.95,159.9,155.05,158.75,157.4,276767.0,434.45
2017-10-25,154.7,157.45,153.35,156.0,156.05,275096.0,429.47
2017-10-24,155.0,158.9,152.0,154.05,154.65,139479.0,218.07
2017-10-23,153.0,157.1,152.65,154.55,155.65,192976.0,297.64
2017-10-19,157.2,158.6,152.3,153.6,154.45,25047.0,38.98
2017-10-18,156.3,158.75,155.4,155.4,157.2,113168.0,178.08
2017-10-17,157.95,158.0,155.8,156.55,157.75,165242.0,259.9
2017-10-16,157.3,157.75,155.3,156.7,157.0,649423.0,1020.68
2017-10-13,157.0,158.35,155.3,156.45,156.45,219081.0,343.55
2017-10-12,159.25,159.25,155.05,155.55,156.25,215331.0,338.45
2017-10-11,154.3,157.3,152.8,156.7,156.95,400802.0,627.12
2017-10-10,153.3,156.0,153.05,153.45,154.25,77061.0,118.93
2017-10-09,154.0,162.3,152.3,154.8,154.5,752337.0,1176.34
2017-10-06,152.8,156.7,152.8,156.0,155.9,76449.0,118.44
2017-10-05,153.3,157.3,152.2,152.8,153.4,274350.0,426.23
2017-10-04,155.85,156.75,153.65,154.0,154.8,136935.0,213.44
2017-10-03,156.8,157.3,154.55,156.65,156.25,255062.0,398.69
2017-09-29,148.3,158.0,147.85,157.05,156.15,335687.0,515.57
2017-09-28,148.5,149.65,146.3,147.0,147.4,167549.0,247.86
2017-09-27,152.05,153.5,147.0,147.0,149.1,1167274.0,1768.28
2017-09-26,147.5,152.5,142.7,151.0,151.5,415429.0,618.04
2017-09-25,153.3,153.3,142.3,148.15,148.3,395185.0,583.09
2017-09-22,152.3,154.8,150.05,152.8,151.45,372964.0,569.25
2017-09-21,150.2,154.9,149.55,152.0,151.7,362907.0,551.11
2017-09-20,159.3,159.9,149.7,150.85,151.5,575076.0,888.89
2017-09-19,161.8,161.8,155.9,158.4,158.75,477876.0,759.36
2017-09-18,163.3,165.15,160.0,160.3,160.85,240470.0,391.91
2017-09-15,161.0,168.15,157.85,161.85,163.1,1145973.0,1882.84
2017-09-14,160.3,164.95,159.15,161.5,161.85,433560.0,704.99
2017-09-13,163.25,163.95,157.3,158.35,160.4,472870.0,760.78
2017-09-12,163.3,165.8,160.75,162.0,161.75,733863.0,1192.16
2017-09-11,160.0,162.75,156.65,159.6,159.05,274094.0,439.53
2017-09-08,161.15,164.9,156.5,159.0,159.9,465645.0,750.27
2017-09-07,151.3,164.9,151.3,160.0,159.7,1269585.0,2031.01
2017-09-06,148.85,154.95,147.55,151.0,150.15,756249.0,1146.54
2017-09-05,148.3,150.15,147.2,148.0,148.85,305057.0,455.62
2017-09-04,149.8,149.8,145.3,147.4,148.2,89425.0,132.0
2017-09-01,149.0,153.7,147.85,150.7,150.25,509440.0,770.13
2017-08-31,148.3,149.5,147.45,147.5,148.2,495616.0,734.67
2017-08-30,146.55,149.0,146.5,147.5,148.0,302111.0,446.9
2017-08-29,146.8,147.95,142.6,146.1,146.1,219582.0,319.75
2017-08-28,148.2,148.75,145.75,146.5,147.2,180593.0,266.23
2017-08-24,145.65,149.0,145.65,147.95,147.9,276492.0,409.58
2017-08-23,149.95,149.95,145.9,146.45,146.8,449638.0,665.9
2017-08-22,148.1,154.0,145.3,148.8,148.9,1130469.0,1694.84
2017-08-21,148.55,149.95,148.05,148.95,148.7,203507.0,303.5
2017-08-18,148.3,150.0,147.2,150.0,148.55,145100.0,215.15
2017-08-17,150.4,150.4,147.2,149.0,149.0,532437.0,791.48
