Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,618.35,630.0,610.85,620.05,623.75,16937.0,105.74
2018-03-12,613.0,622.0,609.7,622.0,618.35,7266.0,44.73
2018-03-09,618.15,620.0,606.0,606.0,611.3,4754.0,29.24
2018-03-08,612.0,618.9,605.0,618.25,615.35,7174.0,43.8
2018-03-07,605.05,619.95,605.0,607.0,606.1,8340.0,50.77
2018-03-06,614.0,617.85,608.0,614.0,611.95,21251.0,130.46
2018-03-05,602.0,614.95,602.0,605.0,608.75,66226.0,402.08
2018-03-01,612.85,618.0,608.0,614.0,615.1,7700.0,47.15
2018-02-28,607.0,616.7,605.0,614.4,610.3,10378.0,63.35
2018-02-27,621.95,621.95,607.0,611.0,614.5,13138.0,80.57
2018-02-26,617.7,624.95,604.0,611.05,613.3,15223.0,93.23
2018-02-23,609.0,650.0,601.0,615.0,609.45,19152.0,116.82
2018-02-22,589.05,607.45,586.2,606.0,603.45,8370.0,50.0
2018-02-21,598.95,604.0,589.0,589.05,590.2,4350.0,25.9
2018-02-20,597.25,605.35,591.0,604.0,602.55,6833.0,41.0
2018-02-19,606.0,606.0,588.65,603.0,601.75,7837.0,46.63
2018-02-16,601.05,601.05,590.5,599.95,597.75,7932.0,47.39
2018-02-15,606.0,606.0,586.25,594.1,592.2,15327.0,91.33
2018-02-14,602.1,609.85,596.2,596.5,598.95,33849.0,203.49
2018-02-12,625.0,626.95,596.3,596.3,601.35,34077.0,207.08
2018-02-09,600.0,617.5,597.9,613.0,612.75,57602.0,349.05
2018-02-08,602.1,622.0,601.9,605.0,608.75,47285.0,288.07
2018-02-07,605.0,674.0,592.9,594.0,602.1,38128.0,235.01
2018-02-06,580.0,605.0,564.0,605.0,598.15,281181.0,1645.49
2018-02-05,609.0,609.0,564.0,593.0,588.35,26854.0,158.19
2018-02-02,615.0,625.0,600.0,612.0,611.4,13473.0,82.71
2018-02-01,626.0,639.95,620.05,638.9,632.9,14034.0,88.49
2018-01-31,631.0,640.0,616.5,620.1,622.15,14868.0,93.29
2018-01-30,627.55,640.0,615.0,628.15,635.6,17320.0,107.97
2018-01-29,625.55,635.75,614.5,632.0,627.6,16745.0,104.14
2018-01-25,635.0,635.0,621.9,625.0,625.55,8335.0,52.2
2018-01-24,644.0,644.0,606.05,628.0,622.0,31346.0,196.31
2018-01-23,627.0,645.0,622.1,644.0,639.6,12465.0,79.3
2018-01-22,641.05,649.0,621.25,628.0,628.15,18392.0,115.56
2018-01-19,667.4,670.0,630.45,636.0,638.2,32148.0,205.49
2018-01-18,657.5,668.05,645.0,655.0,650.4,8257.0,54.1
2018-01-17,659.0,662.95,642.25,655.0,650.55,12506.0,81.14
2018-01-16,676.55,679.15,655.1,661.0,664.3,7855.0,52.41
2018-01-15,675.3,682.9,670.15,678.85,679.95,15102.0,102.25
2018-01-12,685.25,685.25,675.0,680.0,678.05,4683.0,31.75
2018-01-11,683.1,691.0,671.05,674.55,675.2,14530.0,98.99
2018-01-10,681.0,689.8,673.0,680.0,679.9,13380.0,91.43
2018-01-09,677.4,679.8,673.55,674.4,674.55,5673.0,38.37
2018-01-08,676.0,689.4,671.0,673.5,673.75,15155.0,102.36
2018-01-05,685.0,691.0,675.0,676.15,679.55,25489.0,174.16
2018-01-04,676.3,698.95,676.0,679.0,680.4,8331.0,57.21
2018-01-03,675.0,689.4,671.05,685.0,686.0,7709.0,52.51
2018-01-02,691.0,691.0,666.65,678.3,670.9,23268.0,158.14
2018-01-01,677.8,691.75,675.6,686.65,686.85,8615.0,58.92
2017-12-29,680.3,690.0,670.15,685.5,677.8,12011.0,81.64
2017-12-28,676.55,688.95,672.45,680.0,683.25,11021.0,75.02
2017-12-27,666.0,678.3,665.1,675.4,674.3,13489.0,90.41
2017-12-26,686.0,696.65,670.0,673.9,673.65,18391.0,124.35
2017-12-22,698.0,707.0,684.95,685.1,686.4,23953.0,165.9
2017-12-21,696.95,700.0,680.75,700.0,693.1,24532.0,169.52
2017-12-20,700.1,709.0,687.1,695.3,691.5,23679.0,165.68
2017-12-19,703.85,715.0,699.2,702.1,702.05,38436.0,272.24
2017-12-18,680.0,725.1,646.1,700.0,698.8,102753.0,726.01
2017-12-15,675.85,706.9,662.0,676.0,688.95,133395.0,910.26
2017-12-14,654.85,677.4,651.35,653.45,657.55,47067.0,313.45
2017-12-13,649.4,662.05,645.15,653.0,651.85,30533.0,199.97
2017-12-12,634.05,664.1,634.05,642.0,643.35,46748.0,304.84
2017-12-11,632.0,650.0,632.0,646.05,646.85,39001.0,251.69
2017-12-08,626.7,645.0,619.25,635.0,635.6,61510.0,389.98
