Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,56.8,57.8,55.45,56.9,56.95,1047178.0,594.23
2018-03-12,58.25,59.0,56.55,56.8,56.8,1071381.0,615.92
2018-03-09,55.0,57.4,55.0,56.85,56.6,3581407.0,2045.49
2018-03-08,53.9,55.5,52.5,54.5,54.7,1471942.0,798.38
2018-03-07,54.1,55.85,52.75,53.25,53.45,2437951.0,1327.33
2018-03-06,55.85,57.2,54.05,54.3,54.35,2425342.0,1350.49
2018-03-05,57.0,58.2,55.0,55.15,55.45,2432013.0,1371.4
2018-03-01,56.45,57.8,55.55,57.7,57.55,2770841.0,1581.01
2018-02-28,57.0,60.8,55.1,55.7,55.85,6768885.0,3842.74
2018-02-27,59.35,59.7,57.0,57.85,57.95,2673637.0,1559.11
2018-02-26,57.25,59.55,57.15,59.55,59.45,3103757.0,1824.81
2018-02-23,53.15,56.85,52.55,56.85,56.75,4394999.0,2438.35
2018-02-22,55.25,57.0,54.15,54.15,54.15,4199686.0,2323.47
2018-02-21,58.75,61.7,56.95,56.95,56.95,2819741.0,1648.93
2018-02-20,64.4,64.9,59.8,59.8,59.9,10609371.0,6505.9
2018-02-19,61.45,62.9,58.35,62.9,62.9,8788859.0,5463.39
2018-02-16,59.0,60.25,54.55,60.25,59.95,13007646.0,7417.48
2018-02-15,57.4,57.4,57.4,57.4,57.4,356301.0,204.52
2018-02-14,54.7,54.7,54.7,54.7,54.7,257577.0,140.89
2018-02-12,52.1,52.1,52.1,52.1,52.1,241774.0,125.96
2018-02-09,46.5,49.65,46.0,49.65,49.65,1541481.0,750.1
2018-02-08,47.3,47.3,47.3,47.3,47.3,193630.0,91.59
2018-02-07,45.05,45.05,45.05,45.05,45.05,128014.0,57.67
2018-02-06,38.95,42.95,38.95,42.95,42.95,5162591.0,2175.77
2018-02-05,37.05,40.95,37.05,40.95,40.95,5629434.0,2185.29
2018-02-02,39.2,40.3,39.0,39.0,39.0,3582761.0,1401.76
2018-02-01,43.7,43.9,41.05,41.05,41.05,3707753.0,1540.41
