Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,555.55,571.0,554.0,568.35,568.95,167853.0,944.79
2018-03-12,550.1,565.0,548.65,563.0,561.45,234703.0,1309.45
2018-03-09,549.5,554.95,542.65,548.0,547.6,177837.0,975.54
2018-03-08,544.0,563.3,533.25,547.05,549.35,376269.0,2069.58
2018-03-07,549.05,549.45,525.5,538.4,541.85,286508.0,1543.44
2018-03-06,567.0,572.85,545.0,549.5,553.7,443015.0,2485.93
2018-03-05,569.55,579.95,556.4,562.6,564.75,270640.0,1538.93
2018-03-01,560.05,581.3,560.05,573.0,573.15,327446.0,1873.21
2018-02-28,550.0,575.8,545.45,563.0,564.6,839315.0,4751.61
2018-02-27,564.75,574.75,550.85,555.95,555.1,473559.0,2653.56
2018-02-26,547.0,567.4,543.8,562.0,564.75,444795.0,2493.29
2018-02-23,546.95,552.8,531.0,547.0,546.6,372117.0,2017.68
2018-02-22,519.95,544.0,510.0,543.8,540.85,332565.0,1766.48
2018-02-21,534.0,534.75,517.0,521.5,522.9,361290.0,1895.95
2018-02-20,531.7,538.0,526.35,532.45,532.45,274897.0,1461.24
2018-02-19,557.05,560.45,534.0,534.6,537.1,307729.0,1672.43
2018-02-16,562.75,562.75,547.5,557.0,555.3,531581.0,2948.96
2018-02-15,590.2,590.25,548.9,557.8,553.85,1122033.0,6412.48
2018-02-14,600.0,616.0,588.0,598.2,600.0,801069.0,4810.47
2018-02-12,597.2,602.5,581.75,590.0,592.2,318859.0,1876.03
2018-02-09,583.0,595.05,576.9,594.95,588.15,124823.0,732.6
2018-02-08,600.0,603.45,586.2,591.0,590.55,411558.0,2440.6
2018-02-07,621.0,621.0,589.4,594.55,594.55,152101.0,915.03
2018-02-06,575.0,600.85,569.05,598.0,596.8,336609.0,1967.6
2018-02-05,590.0,606.95,568.95,597.6,592.1,443225.0,2643.83
2018-02-02,624.0,633.9,575.0,591.7,592.85,610309.0,3666.51
2018-02-01,622.0,637.9,618.6,625.0,625.95,536770.0,3382.47
2018-01-31,633.05,637.6,614.3,622.9,624.2,277137.0,1743.46
2018-01-30,661.2,674.3,640.1,641.9,643.2,152383.0,988.84
2018-01-29,661.8,671.85,659.9,663.35,663.1,107057.0,710.4
2018-01-25,670.0,677.1,656.7,660.0,663.85,292796.0,1948.04
2018-01-24,684.0,694.3,670.0,673.15,674.5,181400.0,1237.09
2018-01-23,694.9,708.95,683.55,691.0,688.1,428848.0,2984.9
2018-01-22,684.0,698.0,681.1,693.0,693.05,257164.0,1769.92
2018-01-19,670.65,690.95,667.95,689.2,683.85,279638.0,1913.02
2018-01-18,674.0,693.0,665.5,668.0,670.75,231748.0,1578.98
2018-01-17,660.0,675.0,660.0,673.4,672.75,100217.0,672.15
2018-01-16,673.3,681.7,651.1,669.7,665.5,220865.0,1465.4
2018-01-15,683.0,688.35,665.5,670.0,669.05,222991.0,1509.91
2018-01-12,695.2,706.05,672.8,679.0,676.7,318199.0,2181.09
2018-01-11,707.15,707.15,692.2,696.0,695.2,210266.0,1469.15
2018-01-10,712.0,718.5,691.0,703.3,707.15,225161.0,1587.8
2018-01-09,724.55,734.0,710.0,712.15,714.75,74755.0,536.52
2018-01-08,720.0,728.7,711.05,720.0,724.55,294843.0,2126.13
2018-01-05,689.5,721.3,689.5,714.55,715.2,288143.0,2058.12
2018-01-04,692.75,702.9,687.0,696.5,696.45,119464.0,830.39
2018-01-03,686.5,697.9,686.5,693.0,692.75,81858.0,567.64
2018-01-02,696.0,700.6,685.0,688.0,687.25,68639.0,473.98
2018-01-01,684.6,706.0,681.55,694.0,695.4,178978.0,1247.24
2017-12-29,680.0,697.05,673.2,683.4,685.25,232694.0,1600.32
2017-12-28,685.7,692.7,666.2,676.7,681.05,276953.0,1882.47
2017-12-27,678.0,691.9,678.0,687.5,685.7,253616.0,1739.83
2017-12-26,690.0,692.95,675.2,680.0,679.3,315020.0,2150.8
2017-12-22,685.0,693.0,682.2,685.0,685.6,198819.0,1370.27
2017-12-21,676.0,694.6,670.0,688.15,690.9,197487.0,1353.16
2017-12-20,670.0,687.9,670.0,675.05,677.45,384123.0,2617.85
2017-12-19,658.0,681.3,656.0,670.0,670.6,164416.0,1100.79
2017-12-18,654.0,666.15,635.0,657.7,656.5,176872.0,1161.4
2017-12-15,650.0,655.0,642.3,654.0,651.7,127997.0,830.39
2017-12-14,641.0,648.7,638.3,642.05,645.3,205232.0,1320.76
2017-12-13,640.1,648.9,631.85,639.35,640.25,104857.0,671.82
2017-12-12,649.7,652.0,633.75,640.85,638.95,153110.0,988.86
