Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,766.95,766.95,745.2,750.0,751.45,131551.0,992.11
2018-03-12,759.05,767.8,740.5,760.0,751.15,44331.0,334.1
2018-03-09,738.95,757.75,724.55,751.0,751.2,38320.0,287.05
2018-03-08,720.0,734.9,709.25,730.0,730.85,24252.0,175.53
2018-03-07,715.2,728.2,706.3,719.0,713.6,14182.0,101.76
2018-03-06,742.0,756.95,721.4,725.0,725.0,22965.0,170.18
2018-03-05,752.4,753.7,732.1,733.2,736.95,10870.0,80.69
2018-03-01,758.0,758.5,740.3,742.2,745.45,12127.0,91.06
2018-02-28,740.0,759.9,720.0,749.0,752.0,211909.0,1592.98
2018-02-27,749.95,751.1,740.3,742.0,743.75,5542.0,41.4
2018-02-26,755.15,755.15,739.0,741.6,744.8,32119.0,239.9
2018-02-23,730.45,749.7,714.1,744.95,745.15,82030.0,596.69
2018-02-22,751.0,757.4,725.55,731.9,730.45,38499.0,282.19
2018-02-21,780.0,784.3,747.05,752.45,751.0,21127.0,160.38
2018-02-20,764.9,779.95,764.0,777.0,774.75,16339.0,126.55
2018-02-19,783.05,783.1,742.0,752.5,764.4,24852.0,189.77
2018-02-16,792.0,808.0,762.9,795.5,770.85,32779.0,253.68
2018-02-15,800.0,817.0,786.1,791.0,792.7,14677.0,118.13
2018-02-14,795.1,824.85,795.1,811.0,813.95,31368.0,255.31
2018-02-12,803.95,814.0,786.05,800.0,800.6,93852.0,750.89
2018-02-09,788.0,824.0,769.9,794.1,797.65,37710.0,303.6
2018-02-08,779.8,804.0,766.9,798.0,795.9,18125.0,142.65
2018-02-07,773.6,773.95,752.65,763.75,765.7,54816.0,419.01
2018-02-06,740.0,772.95,720.0,747.45,752.1,77625.0,569.54
2018-02-05,772.0,779.0,730.1,765.0,764.7,34721.0,264.6
2018-02-02,790.0,808.0,766.0,780.0,772.35,91096.0,709.53
2018-02-01,790.0,814.0,757.0,791.0,790.4,72145.0,566.56
2018-01-31,794.0,805.0,762.05,804.1,778.9,55829.0,432.63
2018-01-30,808.0,808.0,788.0,792.0,795.45,106923.0,852.84
2018-01-29,861.0,864.0,800.1,803.1,827.05,447609.0,3742.47
2018-01-25,850.05,859.1,842.45,859.1,849.75,77179.0,655.69
2018-01-24,849.35,874.6,836.0,846.0,850.75,34981.0,297.72
2018-01-23,844.0,875.0,821.1,850.0,850.65,120173.0,1023.58
2018-01-22,829.0,846.0,814.0,834.9,840.05,12028.0,100.67
2018-01-19,801.1,834.9,801.1,825.0,825.2,14989.0,122.17
2018-01-18,833.5,838.5,780.1,800.0,801.15,12667.0,102.62
2018-01-17,840.0,840.0,810.0,822.0,825.25,7994.0,66.03
2018-01-16,848.4,848.4,806.4,835.0,832.1,36895.0,305.55
2018-01-15,848.5,855.1,834.0,838.0,838.35,15381.0,129.63
2018-01-12,857.8,863.0,830.55,845.1,841.9,13944.0,117.86
2018-01-11,871.4,871.4,844.05,846.2,849.7,7935.0,67.8
2018-01-10,864.0,865.1,852.25,857.0,858.7,28469.0,244.7
2018-01-09,873.0,874.9,859.55,864.95,863.65,17855.0,154.83
2018-01-08,872.0,878.0,858.65,864.0,867.8,17476.0,151.19
2018-01-05,881.15,890.9,855.0,859.5,864.35,62850.0,545.82
2018-01-04,868.0,868.0,853.65,856.0,859.85,9908.0,85.23
2018-01-03,866.15,868.85,855.2,863.0,859.55,17975.0,154.99
2018-01-02,859.0,876.0,830.1,867.05,866.15,30099.0,256.05
2018-01-01,884.0,884.0,837.9,840.0,856.65,32322.0,278.67
2017-12-29,848.9,868.95,830.1,858.0,860.3,34072.0,290.38
2017-12-28,843.75,845.0,830.0,840.5,839.1,31846.0,266.61
2017-12-27,824.0,854.3,824.0,835.0,831.2,19954.0,167.28
2017-12-26,849.7,849.7,815.0,824.5,823.8,52347.0,438.38
2017-12-22,860.0,860.0,827.45,839.0,843.3,69265.0,587.73
2017-12-21,850.0,850.0,830.2,838.0,839.4,13629.0,114.62
2017-12-20,835.0,860.0,834.9,845.0,842.25,65042.0,548.9
2017-12-19,805.0,884.6,762.0,835.0,835.4,67730.0,558.91
2017-12-18,772.0,803.05,737.0,799.0,789.8,31479.0,247.23
2017-12-15,784.0,787.4,762.6,763.0,771.4,13290.0,103.16
2017-12-14,768.0,777.95,762.05,772.0,772.6,38224.0,294.89
2017-12-13,773.0,784.9,765.8,772.95,770.35,45689.0,353.99
2017-12-12,794.95,799.0,765.65,774.0,775.75,23345.0,182.96
2017-12-11,807.0,810.65,781.8,794.0,788.7,38309.0,306.51
2017-12-08,755.0,823.4,755.0,795.0,802.6,212954.0,1700.14
2017-12-07,759.95,759.95,748.45,752.5,753.5,13402.0,100.75
2017-12-06,759.4,771.0,750.1,759.9,756.9,13376.0,101.72
2017-12-05,754.9,764.0,741.2,750.0,750.4,45397.0,341.68
2017-12-04,747.4,761.0,726.3,747.0,749.05,126667.0,950.32
2017-12-01,763.4,777.0,742.0,748.0,746.05,13723.0,103.92
2017-11-30,769.65,769.95,752.0,761.0,755.4,10425.0,79.15
2017-11-29,779.65,784.45,767.25,773.0,778.5,10508.0,81.69
2017-11-28,756.6,784.05,751.15,778.0,774.65,17403.0,135.01
2017-11-27,770.05,781.95,759.05,763.1,765.7,13197.0,101.67
2017-11-24,771.0,792.2,755.15,762.0,766.8,60491.0,472.02
2017-11-23,720.0,776.0,719.95,765.0,765.3,64572.0,492.6
2017-11-22,709.15,729.55,704.95,728.0,725.75,14461.0,104.11
2017-11-21,729.95,732.05,709.2,712.25,714.65,16472.0,119.05
2017-11-20,736.4,749.0,722.05,722.05,727.75,74273.0,541.65
2017-11-17,748.0,748.0,732.8,735.0,735.55,11646.0,85.75
2017-11-16,724.15,736.1,707.95,734.9,731.7,17452.0,125.88
2017-11-15,750.0,750.0,715.0,718.55,722.8,10040.0,73.8
2017-11-14,745.05,751.45,732.0,749.0,747.6,14946.0,110.57
2017-11-13,765.95,766.4,734.0,743.0,742.8,17578.0,130.32
2017-11-10,752.0,754.9,735.1,752.0,750.9,26384.0,197.66
2017-11-09,748.9,756.0,735.0,740.0,745.25,17088.0,126.99
2017-11-08,768.0,768.0,741.0,748.0,744.75,21744.0,163.24
2017-11-07,774.0,774.0,730.55,741.8,744.7,26070.0,194.85
2017-11-06,763.45,773.1,749.05,755.6,757.25,30804.0,233.99
2017-11-03,750.0,782.55,750.0,764.0,763.45,87456.0,671.98
2017-11-02,736.5,755.0,730.15,732.5,734.0,24585.0,181.3
2017-11-01,769.85,777.0,735.05,750.0,744.85,41117.0,310.98
2017-10-31,751.0,790.0,750.9,765.0,760.65,122553.0,943.82
2017-10-30,816.0,816.0,744.2,747.0,752.05,458382.0,3517.88
2017-10-27,671.1,714.5,671.1,709.9,709.15,56459.0,399.48
2017-10-26,679.95,687.5,665.0,687.5,680.0,169531.0,1151.38
2017-10-25,671.25,688.0,668.8,679.4,679.95,17420.0,118.09
