Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,5.6,5.95,5.55,5.75,5.8,4129914.0,238.88
2018-03-12,5.9,6.05,5.45,5.65,5.6,5415412.0,307.11
2018-03-09,5.5,6.25,5.5,5.8,5.75,12838062.0,761.61
2018-03-08,5.55,5.6,5.3,5.5,5.45,4777004.0,258.54
2018-03-07,5.7,5.7,5.4,5.5,5.45,4693267.0,259.73
2018-03-06,5.9,6.0,5.65,5.65,5.7,2784326.0,161.5
2018-03-05,5.9,5.95,5.7,5.85,5.8,2860755.0,167.21
2018-03-01,6.0,6.05,5.9,5.9,5.95,2252426.0,134.65
2018-02-28,6.1,6.1,5.95,6.0,6.0,2838792.0,170.29
2018-02-27,6.1,6.15,6.0,6.1,6.1,2338862.0,141.72
2018-02-26,6.15,6.25,6.05,6.1,6.1,2555825.0,157.58
2018-02-23,6.1,6.2,6.05,6.15,6.1,2867720.0,175.62
2018-02-22,6.1,6.1,6.0,6.05,6.05,2442077.0,147.54
2018-02-21,6.25,6.25,6.0,6.05,6.05,2028818.0,123.76
2018-02-20,6.1,6.25,6.05,6.2,6.15,2415014.0,148.3
2018-02-19,6.3,6.35,6.0,6.1,6.05,3725867.0,227.67
2018-02-16,6.4,6.5,6.15,6.25,6.2,3309943.0,207.74
2018-02-15,6.35,6.55,6.3,6.4,6.35,3973343.0,255.43
2018-02-14,6.75,6.75,6.35,6.4,6.4,5692202.0,369.18
2018-02-12,6.55,6.7,6.5,6.65,6.65,6066209.0,399.4
2018-02-09,6.2,6.55,6.15,6.45,6.4,7122442.0,454.69
2018-02-08,6.3,6.6,6.25,6.45,6.4,6555091.0,424.4
2018-02-07,6.2,6.4,6.2,6.25,6.3,5439860.0,343.78
2018-02-06,5.95,6.2,5.8,6.1,6.05,8192779.0,493.03
2018-02-05,6.5,6.6,6.1,6.5,6.35,9039471.0,573.84
2018-02-02,7.0,7.05,6.5,6.6,6.6,13555836.0,914.38
2018-02-01,7.2,7.3,7.0,7.0,7.05,6696307.0,477.86
2018-01-31,7.25,7.45,7.15,7.25,7.2,6148372.0,446.41
2018-01-30,7.25,7.5,7.1,7.25,7.2,8942954.0,647.9
2018-01-29,7.4,7.4,7.2,7.25,7.25,4793404.0,350.28
2018-01-25,7.25,7.6,7.2,7.3,7.35,8026262.0,591.72
2018-01-24,7.5,7.5,7.25,7.3,7.25,5922272.0,433.29
2018-01-23,7.75,7.8,7.35,7.55,7.5,10159421.0,770.72
2018-01-22,7.5,7.85,7.4,7.65,7.6,7874949.0,600.88
2018-01-19,7.4,7.55,7.3,7.45,7.4,6745831.0,500.15
2018-01-18,7.9,8.15,7.25,7.45,7.45,18968956.0,1451.16
2018-01-17,7.65,8.0,7.35,7.9,7.85,14630358.0,1128.42
2018-01-16,8.25,8.3,7.5,7.65,7.65,20152479.0,1575.58
2018-01-15,8.55,8.65,8.05,8.15,8.1,38752049.0,3208.56
2018-01-12,7.05,8.35,7.0,8.25,8.25,92460880.0,7295.97
2018-01-11,7.15,7.25,6.95,7.0,7.0,26351285.0,1863.97
2018-01-10,7.55,7.6,7.1,7.15,7.15,22476869.0,1634.06
2018-01-09,7.75,7.75,7.5,7.55,7.55,14167199.0,1073.63
2018-01-08,7.7,7.8,7.6,7.65,7.65,15295870.0,1177.42
2018-01-05,7.8,7.85,7.55,7.65,7.6,22788187.0,1755.39
2018-01-04,7.9,8.1,7.65,7.75,7.75,25405227.0,1999.51
2018-01-03,7.9,8.15,7.75,7.85,7.8,21756753.0,1722.85
2018-01-02,8.1,8.25,7.75,7.85,7.85,15077366.0,1199.57
2018-01-01,8.0,8.65,7.9,8.05,8.0,37834174.0,3121.59
2017-12-29,8.1,8.25,7.75,7.85,7.85,25668871.0,2041.18
2017-12-28,8.5,8.65,7.9,8.0,8.05,14796834.0,1220.22
2017-12-27,8.6,8.75,8.4,8.45,8.45,4989581.0,426.42
2017-12-26,8.8,8.85,8.45,8.55,8.55,4654059.0,400.96
2017-12-22,8.5,8.85,8.5,8.7,8.65,10900668.0,947.49
2017-12-21,8.2,8.85,8.1,8.45,8.45,12733861.0,1081.91
2017-12-20,8.5,8.5,8.0,8.15,8.15,8369283.0,685.36
2017-12-19,8.4,8.55,8.25,8.35,8.35,5176805.0,433.85
2017-12-18,8.3,8.6,7.85,8.25,8.2,7757876.0,639.14
2017-12-15,8.45,8.55,8.15,8.4,8.3,5279094.0,440.2
2017-12-14,8.45,8.6,8.25,8.35,8.35,6108464.0,509.44
2017-12-13,8.6,8.8,8.4,8.45,8.45,5502278.0,469.98
2017-12-12,8.75,8.95,8.45,8.65,8.6,6823747.0,592.56
2017-12-11,8.95,9.05,8.55,8.75,8.7,6869800.0,603.6
2017-12-08,8.95,9.25,8.8,8.9,8.9,9811879.0,882.09
2017-12-07,8.3,9.4,8.25,8.8,8.8,31163545.0,2788.5
2017-12-06,8.0,8.55,7.95,8.15,8.1,6748870.0,555.65
2017-12-05,8.2,8.2,7.8,8.0,8.0,5809224.0,463.18
2017-12-04,8.35,8.55,7.95,8.05,8.1,8587468.0,710.52
2017-12-01,8.7,8.95,8.25,8.25,8.3,17393943.0,1503.94
2017-11-30,7.7,8.5,7.4,8.5,8.5,19024339.0,1568.09
2017-11-29,8.35,8.35,7.65,7.75,7.75,10265764.0,813.54
2017-11-28,8.6,8.6,8.0,8.1,8.1,10069851.0,834.11
2017-11-27,8.55,8.75,8.5,8.55,8.55,7990442.0,688.1
2017-11-24,8.8,8.9,8.45,8.55,8.55,10684119.0,922.48
2017-11-23,9.1,9.25,8.7,8.8,8.8,13288472.0,1191.42
2017-11-22,8.8,9.2,8.4,9.0,9.0,23357101.0,2070.32
2017-11-21,8.95,9.5,8.35,8.65,8.6,59643185.0,5396.12
2017-11-20,7.7,8.9,7.7,8.85,8.8,45459437.0,3815.11
2017-11-17,7.45,8.1,7.25,7.65,7.6,36052664.0,2787.93
2017-11-16,6.3,7.3,6.15,7.25,7.2,27367013.0,1903.32
2017-11-15,6.55,6.8,6.05,6.3,6.2,9437064.0,596.24
2017-11-14,6.8,6.95,6.35,6.5,6.5,10655204.0,705.32
2017-11-13,7.4,7.4,6.15,6.75,6.75,29673032.0,2009.1
2017-11-10,7.0,7.8,7.0,7.4,7.3,57459961.0,4266.74
2017-11-09,5.7,6.7,5.7,6.7,6.7,40360732.0,2593.61
2017-11-08,5.4,5.7,5.4,5.65,5.6,10238134.0,568.48
2017-11-07,5.75,5.75,5.3,5.4,5.35,15999873.0,873.74
2017-11-06,5.55,5.8,5.5,5.6,5.65,7566557.0,428.48
2017-11-03,5.65,5.7,5.5,5.5,5.55,9411448.0,523.6
2017-11-02,5.65,5.75,5.55,5.6,5.6,5153822.0,290.0
2017-11-01,5.75,5.8,5.55,5.65,5.6,5329042.0,301.88
2017-10-31,6.0,6.0,5.6,5.65,5.7,10396948.0,599.52
2017-10-30,6.1,6.1,5.8,5.9,5.9,19845682.0,1176.49
2017-10-27,5.7,6.25,5.65,5.8,5.85,25915082.0,1542.09
2017-10-26,5.8,5.8,5.5,5.6,5.6,6760732.0,380.3
2017-10-25,5.55,6.0,5.45,5.7,5.65,9340313.0,533.78
2017-10-24,5.5,5.65,5.45,5.5,5.5,3048333.0,168.78
2017-10-23,5.5,5.5,5.4,5.45,5.45,1969063.0,107.37
2017-10-19,5.5,5.6,5.4,5.5,5.5,1158879.0,64.1
2017-10-18,5.5,5.55,5.4,5.45,5.45,1554242.0,84.9
2017-10-17,5.55,5.55,5.5,5.5,5.5,857135.0,47.41
